,0
0,54.126019
1,56.680637
2,57.478962
3,57.558784
4,57.798290
5,58.516773
6,58.213406
7,57.878117
8,57.478962
9,57.478962
10,57.079800
11,57.119720
12,57.239460
13,56.520981
14,55.882317
15,56.241558
16,56.041981
17,55.483162
18,55.483162
19,55.483162
20,54.684841
21,55.483162
22,55.084007
23,55.004169
24,55.123920
25,54.724758
26,53.886532
27,53.487358
28,53.487358
29,53.886532
30,53.487358
31,52.768875
32,53.487358
33,53.327702
34,52.689045
35,52.689045
36,53.487358
37,53.886532
38,53.886532
39,54.165936
40,54.245762
41,53.247864
42,54.086105
43,54.086105
44,53.487358
45,54.165936
46,53.487358
47,52.728962
48,52.369713
49,50.294090
50,48.418034
51,45.903336
52,44.546192
53,44.306702
54,43.907539
55,44.067207
56,43.228966
57,45.464260
58,47.819305
59,47.100807
60,42.310898
61,42.710056
62,39.357117
63,39.915943
64,40.315105
65,40.554596
66,38.926025
67,38.957962
68,40.275185
69,40.035698
70,41.233170
71,39.788212
72,40.674347
73,42.111320
74,42.710056
75,44.466366
76,44.705853
77,45.384426
78,46.781479
79,46.661736
80,45.903336
81,45.264679
82,43.907539
83,44.705853
84,48.298294
85,49.974762
86,49.934849
87,51.252068
88,50.693249
89,51.691147
90,53.048283
91,52.329800
92,52.968460
93,53.168037
94,52.728962
95,53.806686
96,56.281483
97,56.281483
98,55.531059
99,56.656685
100,57.740631
101,57.532181
102,59.408230
103,58.240910
104,59.158089
105,60.575554
106,61.367653
107,62.076385
108,65.161438
109,65.745110
110,65.453285
111,65.661736
112,65.036385
113,65.036385
114,65.036385
115,64.202576
116,66.078629
117,65.828491
118,65.244820
119,67.746231
120,67.329330
121,65.578346
122,65.786804
123,65.411583
124,65.036385
125,64.244270
126,64.202576
127,64.202576
128,63.243706
129,66.662277
130,65.703415
131,65.453285
132,65.411583
133,66.120316
134,64.827927
135,64.702858
136,63.076958
137,62.534981
138,62.409908
139,60.867386
140,57.407108
141,58.282604
142,58.365982
143,59.033012
144,60.784000
145,59.616680
146,60.867386
147,59.199772
148,59.866825
149,60.533859
150,61.367653
151,60.867386
152,60.533859
153,61.701180
154,61.367653
155,62.076385
156,62.701729
157,61.284279
158,61.659485
159,62.701729
160,62.910191
161,62.534981
162,62.868488
163,62.493282
164,62.201462
165,61.701180
166,61.159199
167,59.741749
168,58.365982
169,57.532181
170,55.447681
171,54.071915
172,53.071350
173,52.487694
174,53.363182
175,51.904030
176,50.027985
177,45.858982
178,44.524910
179,41.689983
180,32.251377
181,29.933413
182,24.380304
183,27.698828
184,23.179630
185,25.013992
186,31.901178
187,32.451481
188,39.355343
189,41.773365
190,43.899548
191,40.856186
192,32.034584
193,34.285843
194,30.100166
195,32.518192
196,32.434811
197,34.227478
198,33.643814
199,32.184669
200,35.895077
201,37.020710
202,31.475939
203,32.893402
204,34.352547
205,30.975658
206,30.016790
207,32.309742
208,29.891720
209,31.475939
210,33.060158
211,32.810017
212,33.310299
213,33.518745
214,34.602692
215,32.351429
216,32.518192
217,32.976776
218,31.726078
219,33.143532
220,33.351990
221,33.852261
222,32.643261
223,32.518192
224,30.308619
225,31.142420
226,30.975658
227,30.558764
228,30.600447
229,29.850031
230,29.182991
231,29.766653
232,28.349192
233,32.017914
234,36.979012
235,39.230278
236,40.439285
237,44.358143
238,46.692783
239,44.441525
240,45.775608
241,43.607723
242,46.942924
243,47.943481
244,50.861786
245,54.030220
246,52.696144
247,56.531620
248,55.864582
249,55.614445
250,53.363182
251,49.694458
252,50.695026
253,52.112484
254,52.112484
255,51.695580
256,54.324169
257,54.762264
258,54.937508
259,53.272736
260,52.834637
261,52.396534
262,53.535595
263,55.726082
264,55.726082
265,53.886074
266,54.499409
267,53.798458
268,54.762264
269,55.550850
270,54.499409
271,56.076561
272,52.046059
273,49.943188
274,49.066994
275,48.453651
276,46.876503
277,47.139362
278,47.840317
279,49.855568
280,48.979378
281,49.417473
282,47.402225
283,49.943188
284,52.571777
285,52.571777
286,52.484158
287,53.185120
288,52.133678
289,50.994625
290,51.257488
291,49.855568
292,50.819389
293,50.030811
294,49.066994
295,49.505089
296,49.329853
297,49.943188
298,52.308918
299,50.994625
300,51.169872
301,50.468906
302,53.447983
303,53.360359
304,52.396534
305,52.659393
306,52.659393
307,53.447983
308,53.447983
309,53.185120
310,52.922260
311,57.916569
312,54.324169
313,53.535595
314,52.659393
315,48.891754
316,49.943188
317,52.484158
318,53.447983
319,51.169872
320,51.169872
321,51.432724
322,54.849888
323,54.324169
324,55.200367
325,55.112747
326,56.076561
327,56.952763
328,56.339424
329,56.952763
330,57.215622
331,57.390850
332,57.127995
333,56.689896
334,56.689896
335,56.777519
336,56.164188
337,56.952763
338,57.653721
339,55.638470
340,55.025131
341,54.061310
342,53.798458
343,54.324169
344,54.849888
345,56.514664
346,57.828953
347,59.318485
348,64.750908
349,69.482368
350,67.553619
351,66.486992
352,67.464729
353,69.420242
354,68.886917
355,68.442482
356,69.331352
357,70.397980
358,72.264603
359,73.153465
360,73.064575
361,72.175697
362,71.109070
363,77.153351
364,75.020065
365,81.419899
366,85.419777
367,83.108734
368,83.464279
369,84.175362
370,83.019844
371,80.442146
372,81.953209
373,65.420349
374,70.842422
375,67.642494
376,68.531372
377,64.264832
378,64.442604
379,65.242584
380,65.775902
381,67.642494
382,66.486992
383,67.198082
384,66.131439
385,68.975800
386,71.375732
387,70.842422
388,69.509125
389,68.975800
390,67.909172
391,67.109184
392,71.553505
393,69.953545
394,69.953545
395,67.731392
396,68.442482
397,66.309212
398,68.620255
399,66.309212
400,70.486870
401,71.109070
402,70.753525
403,70.664642
404,73.153465
405,72.620148
406,73.775673
407,72.442383
408,70.220215
409,71.109070
410,68.709152
411,69.864670
412,69.064682
413,69.331352
414,71.109070
415,71.109070
416,68.798035
417,68.531372
418,67.553619
419,67.642494
420,67.464729
421,67.998062
422,69.686897
423,70.842422
424,71.286842
425,71.286842
426,70.397980
427,69.509125
428,69.242455
429,69.064682
430,71.109070
431,72.264603
432,70.575752
433,70.486870
434,70.931305
435,73.064575
436,74.664528
437,77.331123
438,77.864433
439,74.842293
440,72.353493
441,71.997932
442,70.220215
443,71.464622
444,70.220215
445,70.842422
446,70.486870
447,72.042389
448,73.109024
449,73.686775
450,75.286736
451,73.597893
452,74.753418
453,75.375626
454,66.264778
455,67.109184
456,66.664757
457,66.664757
458,63.464863
459,64.931480
460,65.331467
461,66.664757
462,67.464729
463,66.264778
464,66.220322
465,65.909233
466,67.553619
467,68.442482
468,69.331352
469,70.131325
470,72.264603
471,69.331352
472,69.242455
473,71.242409
474,70.353546
475,71.464622
476,70.175774
477,70.086884
478,69.909103
479,70.220215
480,69.509125
481,69.331352
482,68.131378
483,69.642441
484,70.220215
485,69.998001
486,70.309097
487,70.353546
488,70.797981
489,70.309097
490,69.642441
491,68.486923
492,69.598015
493,68.886917
494,68.442482
495,68.842468
496,69.109131
497,69.998001
498,71.242409
499,71.375732
500,72.220154
501,73.820107
502,74.931190
503,70.543327
504,71.814384
505,70.906502
506,69.590050
507,69.953201
508,71.451233
509,71.950577
510,74.992012
511,74.901230
512,76.535439
513,75.990700
514,76.943985
515,77.624908
516,75.445969
517,74.084129
518,73.902557
519,74.038727
520,70.951889
521,72.767677
522,73.221634
523,74.583473
524,74.674263
525,74.855827
526,75.491356
527,74.901230
528,75.945305
529,81.029510
530,78.850563
531,80.938721
532,81.165695
533,80.575562
534,82.845306
535,84.479507
536,86.567650
537,86.794632
538,85.841354
539,84.978851
540,85.432793
541,87.520958
542,86.068329
543,85.432793
544,85.795944
545,85.069641
546,83.934769
547,85.205826
548,85.115028
549,84.797272
550,84.388718
551,85.069641
552,84.888062
553,85.024239
554,86.386086
555,84.252533
556,85.024239
557,85.750557
558,85.387413
559,85.160431
560,86.431473
561,85.795944
562,86.522270
563,87.611748
564,86.295296
565,90.108452
566,89.155159
567,89.064377
568,89.654503
569,91.788055
570,89.472931
571,88.292664
572,90.516998
573,89.291336
574,88.111076
575,87.339363
576,85.795944
577,84.661079
578,87.157791
579,85.932144
580,86.249908
581,85.750557
582,86.431473
583,88.973579
584,89.109756
585,87.566338
586,89.427528
587,88.247269
588,89.609100
589,89.654503
590,89.881470
591,90.108452
592,99.868309
593,99.505142
594,99.868309
595,99.868309
596,99.868309
597,98.960411
598,110.036713
599,111.216980
600,113.668289
601,119.388016
602,118.630135
603,123.680183
604,124.782005
605,124.690193
606,124.782005
607,121.660172
608,118.171043
609,119.181061
610,119.272873
611,118.905602
612,118.538322
613,111.376442
614,116.426483
615,114.590103
616,115.783752
617,116.242844
618,113.121002
619,114.865562
620,118.446503
621,116.151024
622,115.324654
623,116.334671
624,115.967392
625,115.141014
626,116.610123
627,118.446503
628,116.610123
629,116.242844
630,116.793755
631,118.630135
632,118.446503
633,117.528313
634,119.181061
635,122.578354
636,122.761993
637,129.556610
638,129.372971
639,125.792030
640,127.536568
641,123.588371
642,124.873833
643,127.720215
644,127.720215
645,131.301178
646,132.494797
647,133.688461
648,133.596634
649,132.035721
650,132.770279
651,132.403000
652,135.708466
653,136.810303
654,132.494797
655,132.219360
656,140.023972
657,null
658,146.910400
659,143.972198
660,142.319443
661,142.319443
662,130.107529
663,127.720215
664,132.219360
665,135.708466
666,132.494797
667,137.728500
668,138.738510
669,139.013962
670,141.309433
671,141.860352
672,140.023972
673,137.177597
674,127.536568
675,132.678436
676,130.474808
677,130.658432
678,135.616653
679,127.628418
680,120.925613
681,117.436501
682,118.721962
683,126.342949
684,128.362961
685,128.362961
686,130.750229
687,131.301178
688,130.658432
689,134.606644
690,131.301178
691,139.564865
692,137.544876
693,138.646698
694,142.778534
695,127.628418
696,128.087494
697,129.464783
698,128.087494
699,128.087494
700,129.923874
701,132.219360
702,126.985672
703,127.444771
704,130.658432
705,132.127518
706,132.403000
707,135.708466
708,136.993942
709,136.351196
710,137.177597
711,135.616653
712,134.606644
713,133.963913
714,132.219360
715,131.760254
716,131.484802
717,136.902130
718,134.606644
719,134.055725
720,133.321182
721,135.892105
722,134.055725
723,132.311172
724,128.730240
725,124.506554
726,123.496552
727,126.342949
728,128.362961
729,131.576614
730,131.301178
731,131.852097
732,133.137543
733,136.626678
734,140.115784
735,142.319443
736,147.185867
737,146.818573
738,139.381241
739,141.952179
740,141.309433
741,143.788544
742,143.788544
