,0
0,1333.825806
1,1305.703003
2,1250.582153
3,1291.882446
4,1265.527588
5,1335.111450
6,1349.413818
7,1375.608154
8,1361.466431
9,1372.072876
10,1375.929565
11,1408.552124
12,1368.537476
13,1407.427246
14,1397.463745
15,1377.376099
16,1409.516235
17,1404.373901
18,1374.322510
19,1345.557007
20,1411.284180
21,1422.854614
22,1410.159180
23,1451.298828
24,1452.906006
25,1458.048340
26,1432.175293
27,1442.299561
28,1433.460938
29,1438.281860
30,1463.351563
31,1458.369751
32,1443.103149
33,1446.959839
34,1440.210449
35,1498.545288
36,1497.902588
37,1487.617432
38,1525.864380
39,1561.057983
40,1595.127075
41,1574.878662
42,1582.913940
43,1581.788818
44,1566.040039
45,1554.630127
46,1536.792236
47,1528.917969
48,1560.093994
49,1545.952393
50,1567.807739
51,1560.415527
52,1570.539673
53,1623.089355
54,1598.823364
55,1652.819092
56,1638.355713
57,1648.399780
58,1631.124268
59,1609.831421
60,1607.018921
61,1611.840088
62,1621.482422
63,1638.757568
64,1633.534668
65,1596.573364
66,1609.831421
67,1604.769287
68,1620.276733
69,1592.206055
70,1588.764893
71,1621.703613
72,1643.252930
73,1633.174805
74,1653.904785
75,1607.774048
76,1603.513428
77,1633.502441
78,1624.161743
79,1632.355103
80,1682.583008
81,1721.912598
82,1750.590820
83,1773.942871
84,1751.410156
85,1789.920898
86,1807.946777
87,1814.092285
88,1823.924927
89,1796.885498
90,1810.405151
91,1773.942871
92,1782.956055
93,1771.075439
94,1777.630127
95,1773.942871
96,1704.706055
97,1666.605103
98,1646.530518
99,1648.988525
100,1623.505981
101,1616.787231
102,1585.978638
103,1623.014404
104,1592.533813
105,1584.012329
106,1555.661865
107,1550.909546
108,1527.311523
109,1565.166748
110,1568.280396
111,1615.804077
112,1609.576904
113,1584.012329
114,1591.714478
115,1569.263550
116,1557.628540
117,1592.861450
118,1599.744141
119,1562.708496
120,1584.667725
121,1552.712158
122,1572.868774
123,1585.814941
124,1573.032471
125,1589.420166
126,1617.278809
127,1646.530518
128,1686.679688
129,1697.331543
130,1730.106445
131,1729.287109
132,1727.648438
133,1773.942871
134,1738.300415
135,1752.639282
136,1769.026855
137,1785.414429
138,1789.101563
139,1798.933960
140,1810.814697
141,1839.083008
142,1856.699585
143,1855.880249
144,1819.008545
145,1795.656372
146,1751.410156
147,1773.123901
148,1744.445190
149,1764.520264
150,1751.819702
151,1763.700928
152,1789.920898
153,1805.489258
154,1805.079468
155,1789.920898
156,1830.479736
157,1835.396118
158,1852.192993
159,1791.969238
160,1791.969238
161,1719.045044
162,1731.335693
163,1712.490112
164,1670.701782
165,1599.416382
166,1543.699097
167,1491.259277
168,1481.754517
169,1468.152832
170,1527.639648
171,1509.613159
172,1489.128784
173,1527.311523
174,1465.858765
175,1431.223145
176,1433.079468
177,1467.843140
178,1448.267578
179,1453.836670
180,1418.060059
181,1406.247314
182,1426.329224
183,1449.280151
184,1467.168457
185,1497.038086
186,1503.788452
187,1496.025635
188,1533.995850
189,1549.183838
190,1559.309204
191,1565.553101
192,1566.228394
193,1588.841553
194,1630.862183
195,1675.413696
196,1633.899658
197,1625.124146
198,1613.648804
199,1589.179077
200,1600.148315
201,1578.547485
202,1545.977417
203,1553.908936
204,1553.065186
205,1591.710571
206,1578.884888
207,1572.641113
208,1517.963867
209,1502.775879
210,1535.177124
211,1546.652344
212,1532.645874
213,1560.996704
214,1623.099243
215,1674.569946
216,1632.718262
217,1614.323853
218,1613.142700
219,1601.161011
220,1603.017212
221,1636.768433
222,1653.813110
223,1670.519653
224,1673.726196
225,1700.642822
226,1723.424927
227,1728.487549
228,1685.876465
229,1672.038696
230,1724.268677
231,1755.066650
232,1760.551392
233,1747.894531
234,1777.848877
235,1741.988037
236,1695.580078
237,1708.658569
238,1715.409058
239,1705.705444
240,1719.205933
241,1710.346191
242,1725.956177
243,1721.737305
244,1697.689453
245,1736.503540
246,1739.456787
247,1743.675781
248,1733.128540
249,1732.706665
250,1709.924316
251,1723.424927
252,1701.064575
253,1728.487549
254,1703.596069
255,1744.941284
256,1752.957275
257,1751.691772
258,1761.817017
259,1820.881836
260,1800.630981
261,1841.554321
262,1845.773315
263,1829.741211
264,1833.960327
265,1809.068726
266,1818.772339
267,1831.007080
268,1836.069824
269,1831.850586
270,1833.538574
271,1858.008179
272,1844.929565
273,1809.912720
274,1822.569336
275,1816.662720
276,1809.068726
277,1826.787842
278,1844.085815
279,1833.116577
280,1823.835205
281,1835.647949
282,1894.712524
283,1890.493774
284,1856.320679
285,1847.882935
286,1783.755249
287,1798.943115
288,1714.986938
289,1731.862671
290,1727.643799
291,1713.721436
292,1675.413696
293,1681.151245
294,1743.675781
295,1748.738403
296,1761.395020
297,1714.986938
298,1700.220947
299,1731.862671
300,1817.084717
301,1798.943115
302,1766.457642
303,1774.895508
304,1733.550171
305,1761.817017
306,1790.927490
307,1793.036865
308,1639.299805
309,1636.093506
310,1640.649902
311,1561.671631
312,1511.888794
313,1556.440308
314,1605.717407
315,1617.867676
316,1553.740234
317,1418.566406
318,1267.529419
319,1305.668335
320,1283.561401
321,1068.084229
322,1155.649170
323,1116.192993
324,1124.499634
325,987.960632
326,947.812195
327,956.638123
328,944.697266
329,1142.151001
330,1203.065796
331,1207.911255
332,1169.839600
333,1157.552856
334,1225.562622
335,1137.824707
336,1123.115356
