,0
0,1807.131104
1,1783.116089
2,1710.642212
3,1721.362915
4,1711.499756
5,1711.499756
6,1713.215088
7,1688.342407
8,1698.634644
9,1680.623413
10,1679.336670
11,1681.052246
12,1694.346191
13,1695.632690
14,1700.349976
15,1702.494141
16,1735.085938
17,1755.670288
18,1738.516846
19,1720.505493
20,1730.797729
21,1697.776978
22,1732.512939
23,1747.951172
24,1747.093506
25,1736.801270
26,1739.374512
27,1770.250732
28,1777.112183
29,1768.535645
30,1801.127319
31,1809.703979
32,1815.707764
33,1807.131104
34,1822.569336
35,1792.550537
36,1771.108521
37,1794.265625
38,1802.842529
39,1776.254517
40,1813.134766
41,1829.430542
42,1848.299561
43,1840.580566
44,1834.576904
45,1835.434326
46,1826.000122
47,1826.857666
48,1862.880249
49,1841.438110
50,1838.865234
51,1827.715210
52,1846.584351
53,1873.172363
54,1862.022705
55,1874.030029
56,1875.745728
57,1871.457031
58,1860.307129
59,1871.457031
60,1888.610718
61,1880.891602
62,1880.033569
63,1879.176270
64,1790.834961
65,1835.434326
66,1801.127319
67,1829.430542
68,1837.150024
69,1857.734131
70,1875.745728
71,1865.453491
72,1870.599487
73,1840.580566
74,1852.588257
75,1837.150024
76,1841.438110
77,1833.719116
78,1832.861328
79,1845.726685
80,1861.164673
81,1859.449219
82,1886.895142
83,1910.052368
84,1914.340942
85,1920.344849
86,1907.479370
87,1892.899048
88,1907.479370
89,1907.479370
90,1920.344849
91,1926.348389
92,1956.367310
93,1922.060181
94,1915.198730
95,1922.917725
96,1940.071289
97,1922.917725
98,1904.048828
99,1891.183838
100,1890.325806
101,1893.756592
102,1875.745728
103,1868.884033
104,1835.434326
105,1828.572998
106,1765.822876
107,1777.923462
108,1752.858032
109,1780.516357
110,1773.601807
111,1832.375977
112,1819.411377
113,1783.973511
114,1783.109497
115,1771.873047
116,1756.315308
117,1771.008911
118,1809.039307
119,1771.008911
120,1790.888306
121,1782.245239
122,1785.702393
123,1793.481567
124,1803.853149
125,1802.988892
126,1806.446289
127,1805.582031
128,1799.531616
129,1802.124634
130,1802.124634
131,1796.074097
132,1810.767944
133,1804.717407
134,1802.124634
135,1813.360840
136,1825.461426
137,1893.743530
138,1896.336304
139,1894.607544
140,1884.235596
141,1908.437012
142,1926.588257
143,1944.739014
144,1987.955566
145,1978.447632
146,1967.211304
147,1969.804565
148,1980.176270
149,1974.990356
150,1958.568115
151,1964.618408
152,1962.889893
153,1968.940063
154,1963.753906
155,1966.346802
156,1971.532959
157,1960.296631
158,1950.789307
159,1919.673340
160,1924.859009
161,1924.859009
162,1931.774048
163,1888.557495
164,1872.999634
165,1875.592285
166,1854.848755
167,1802.124634
168,1791.752808
169,1790.024048
170,1781.380981
171,1772.737549
172,1740.757324
173,1756.315308
174,1828.054565
175,1828.054565
176,1858.306030
177,1879.914429
178,1879.914429
179,1879.914429
180,1866.949463
181,1864.356445
182,1871.270874
183,1835.833374
184,1832.375977
185,1855.712891
186,1867.813477
187,1840.155273
188,1810.767944
189,1804.830566
190,1810.069336
191,1802.210815
192,1833.644775
193,1832.771729
194,1844.995850
195,1855.473999
196,1837.137573
197,1852.854248
198,1858.966675
199,1872.937256
200,1874.683472
201,1864.205444
202,1865.078735
203,1839.757080
204,1833.644775
205,1819.673950
206,1849.361816
207,1851.981201
208,1786.493896
209,1776.889038
210,1794.352417
211,1785.620850
212,1786.493896
213,1775.143066
214,1778.635620
215,1812.689087
216,1779.508667
217,1807.449707
218,1781.255249
219,1792.606201
220,1793.479248
221,1782.128296
222,1782.128296
223,1778.635620
224,1776.889038
225,1758.552612
226,1760.298950
227,1761.172241
228,1774.269775
229,1765.537964
230,1764.664917
231,1776.889038
232,1801.337891
233,1792.606201
234,1832.771729
235,1816.181396
236,1800.464600
237,1803.084106
238,1792.606201
239,1790.859741
240,1789.113525
241,1815.308472
242,1802.210815
243,1769.903931
244,1798.718384
245,1841.503296
246,1832.771729
247,1848.488525
248,1875.556641
249,1885.161499
250,1868.571289
251,1851.981201
252,1817.927734
253,1820.547363
254,1830.152100
255,1856.346924
256,1870.317749
257,1846.742432
258,1850.234863
259,1870.317749
260,1922.707520
261,1986.448486
262,1988.194946
263,1976.843628
264,1975.097290
265,1974.224487
266,2006.531250
267,2008.277832
