,0
0,693.482178
1,680.664551
2,632.557007
3,644.875122
4,615.577698
5,644.542236
6,657.026978
7,661.354858
8,647.538574
9,662.520142
10,640.879944
11,654.197083
12,630.059875
13,640.047729
14,642.378235
15,631.724548
16,650.035522
17,651.866638
18,641.212952
19,614.246155
20,653.864136
21,673.673157
22,677.168884
23,704.635132
24,702.138245
25,695.979126
26,677.834778
27,687.656006
28,685.159058
29,685.491943
30,711.460083
31,691.318115
32,677.335266
33,666.681824
34,664.018311
35,688.488281
36,677.002380
37,683.327942
38,692.982727
39,723.944702
40,735.264282
41,733.932434
42,744.586060
43,744.586060
44,728.772034
45,725.276489
46,699.474792
47,697.810181
48,718.451599
49,721.780701
50,726.774658
51,730.936157
52,740.757385
53,778.544373
54,773.384033
55,787.366882
56,804.179626
57,806.343567
58,802.681458
59,779.709656
60,785.036499
61,783.704651
62,792.693665
63,805.011902
64,800.351013
65,768.556702
66,782.373047
67,772.884644
68,777.379150
69,765.726746
70,768.723083
71,782.040100
72,803.680176
73,797.521118
74,813.334961
75,780.208984
76,780.874878
77,783.704651
78,768.556702
79,776.047424
80,804.013245
81,827.317871
82,827.983704
83,827.151367
84,815.998474
85,825.819763
86,829.814819
87,836.057190
88,849.790222
89,833.143982
90,851.038696
91,834.392517
92,834.392517
93,847.293396
94,839.802551
95,811.337463
96,797.521118
97,797.987488
98,799.359802
99,798.673584
100,778.775452
101,761.793396
102,746.698059
103,753.731018
104,731.774475
105,733.832947
106,717.879944
107,716.679199
108,688.890320
109,707.930908
110,707.587830
111,717.879944
112,716.679199
113,711.018555
114,725.770691
115,696.609558
116,668.648987
117,687.861084
118,699.697083
119,689.576477
120,688.204163
121,671.393555
122,676.539734
123,690.091003
124,684.430420
125,686.317261
126,690.434143
127,715.650085
128,736.749023
129,734.690491
130,741.037354
131,736.749023
132,737.606628
133,772.600159
134,763.337219
135,762.650940
136,768.311768
137,766.767883
138,782.377686
139,777.403076
140,782.034729
141,797.301270
142,814.111938
143,791.469177
144,784.779236
145,779.976135
146,757.161804
147,756.304138
148,727.314453
149,740.351257
150,731.774475
151,740.179810
152,769.855530
153,790.268433
154,778.432251
155,770.713135
156,801.075195
157,811.024231
158,811.367371
159,818.228821
160,823.374878
161,804.848999
162,807.936584
163,790.782959
164,805.535156
165,773.972351
166,725.599121
167,702.613281
168,694.207947
169,707.587830
170,745.840393
171,711.190002
172,707.416260
173,724.569885
174,703.127808
175,683.401062
176,678.598145
177,699.354065
178,698.324829
179,702.613281
180,700.554810
181,696.437927
182,695.065674
183,704.500183
184,730.916748
185,742.752747
186,734.004456
187,714.963867
188,738.292786
189,769.373657
190,773.705627
191,776.651550
192,796.752319
193,773.879089
194,782.369934
195,822.051514
196,822.224792
197,820.492065
198,808.708923
199,799.871460
200,786.182068
201,766.081360
202,749.792786
203,763.482117
204,769.200439
205,783.063049
206,778.904297
207,767.121155
208,726.226440
209,714.269897
210,718.602051
211,732.118042
212,729.865356
213,716.522583
214,748.579773
215,758.803467
216,751.005798
