,0
0,408.680115
1,412.001984
2,396.816437
3,414.659454
4,404.029602
5,403.744843
6,418.740601
7,427.092529
8,425.479095
9,417.127075
10,424.150360
11,422.536987
12,421.397980
13,416.462738
14,416.557648
15,413.995117
16,418.171082
17,431.648254
18,418.930359
19,420.074738
20,425.128937
21,427.608429
22,429.801788
23,429.324982
24,425.891876
25,432.185852
26,425.510437
27,421.314453
28,426.750122
29,424.652161
30,431.995117
31,433.234863
32,429.515656
33,434.760651
34,431.995117
35,434.760651
36,431.899811
37,433.330231
38,431.041473
39,435.809662
40,434.760651
41,428.562073
42,433.711670
43,429.324982
44,427.608429
45,432.185852
46,432.662689
47,429.992523
48,431.899811
49,436.763275
50,433.139496
51,433.139496
52,439.338135
53,440.196350
54,442.199005
55,444.869171
56,451.449188
57,453.261078
58,450.972412
59,453.642548
60,454.405487
61,454.882294
62,454.882294
63,452.784302
64,453.547211
65,454.977631
66,447.348572
67,449.828064
68,455.645233
69,473.954895
70,481.202545
71,477.578705
72,481.965393
73,481.965393
74,486.352142
75,488.450104
76,488.831512
77,492.073883
78,495.507019
79,501.419525
80,497.414276
81,497.223602
82,496.460571
83,501.991699
84,503.708282
85,506.759857
86,504.471130
87,507.141357
88,509.048584
89,515.914795
90,520.301331
91,519.919983
92,531.554260
93,521.255005
94,526.023193
95,542.044189
96,543.379272
97,548.528931
98,552.915588
99,543.570007
100,539.183289
101,544.142212
102,543.570007
103,549.291748
104,547.575317
105,549.673218
106,553.487793
107,545.668030
108,542.616272
109,543.188538
110,563.977783
111,563.786987
112,558.065247
113,552.724854
114,560.544678
115,566.647949
116,554.250671
117,569.699585
118,570.843811
119,562.070435
120,569.318054
121,571.606812
122,552.534180
123,552.343445
124,560.163269
125,557.874573
126,568.745850
127,570.462585
128,577.900818
129,564.168396
130,553.297058
131,535.368713
132,538.611084
133,545.477295
134,544.714355
135,539.564758
136,536.131714
137,534.796509
138,536.894531
139,539.755432
140,522.590088
141,522.399475
142,526.976807
143,514.007446
144,528.311951
145,526.595459
146,527.167603
147,527.167603
148,532.507874
149,535.368713
150,531.363586
151,526.023193
152,534.224426
153,524.497375
154,526.404663
155,524.306580
156,519.347778
157,518.775696
158,506.759857
159,510.765076
160,504.852570
161,510.192932
162,514.388977
163,513.244507
164,516.677551
165,513.053772
166,501.800964
167,489.594513
168,486.733551
169,496.079163
170,505.424683
171,510.383575
172,513.053772
173,499.702942
174,496.460571
175,493.027527
176,500.847290
177,500.084473
178,500.656616
179,508.667145
180,499.512207
181,500.656616
182,510.383575
183,501.610229
184,508.152161
185,511.423035
186,512.385132
187,489.296051
188,490.835327
189,496.800018
190,499.493744
191,497.377197
192,483.716217
193,495.260742
194,499.878510
195,508.152161
196,495.645599
197,502.379883
198,504.303925
199,498.339264
200,500.648224
201,498.146820
202,479.579437
203,481.407318
204,489.488464
205,492.374573
206,490.642944
207,495.838043
208,479.098358
209,466.495575
210,469.477966
211,469.862732
212,467.072815
213,463.320831
214,472.267883
215,519.119446
216,502.764679
217,529.509521
218,515.078796
219,517.387756
220,509.883850
221,530.086792
222,532.972839
223,539.130005
224,539.707153
225,544.132629
226,543.362915
227,542.208557
228,541.054077
229,540.861694
230,523.544861
231,525.276550
232,521.620789
233,527.970337
234,526.238586
235,513.924438
236,514.694092
237,516.233337
238,516.618164
239,508.921722
240,515.078796
241,518.157410
242,515.848511
243,518.542236
244,511.615417
245,519.311768
246,519.889160
247,527.585510
248,543.170471
249,548.558044
250,540.669250
251,546.826294
252,536.051453
