,0
0,292.290131
1,291.410797
2,277.268951
3,279.613678
4,273.019012
5,275.070679
6,278.807648
7,279.174042
8,276.243103
9,270.014771
10,271.626801
11,270.600952
12,271.113892
13,272.506134
14,272.725922
15,267.157104
16,275.950012
17,275.143921
18,272.652618
19,269.428619
20,278.148224
21,279.393860
22,284.229980
23,287.600525
24,290.091888
25,291.997009
26,293.315918
27,294.048676
28,302.108826
29,298.078735
30,305.845795
31,307.237976
32,305.186310
33,302.548431
34,301.962219
35,300.203705
36,300.203705
37,302.914795
38,307.164703
39,303.427734
40,307.897461
41,307.164703
42,309.362976
43,312.953339
44,308.190552
45,306.212158
46,308.117279
47,306.285431
48,312.000824
49,309.143097
50,310.168884
51,309.582733
52,308.043915
53,311.634369
54,309.216400
55,311.927490
56,314.199036
57,315.078308
58,310.242218
59,310.095673
60,316.543884
61,318.375641
62,321.526459
63,317.496277
64,307.018127
65,304.013916
66,308.996582
67,307.750854
68,307.604370
69,311.854279
70,317.936035
71,319.474792
72,318.229065
73,313.319702
74,311.048248
75,300.350281
76,299.690674
77,296.759796
78,301.082977
79,298.298492
80,302.182007
81,305.113007
82,309.509430
83,314.052490
84,314.418854
85,315.444702
86,314.785248
87,316.323975
88,315.004974
89,320.663818
90,321.818695
91,322.357605
92,328.208801
93,334.906982
94,332.289337
95,327.669952
96,325.514160
97,322.434631
98,326.823029
99,332.135315
100,330.672455
101,331.750336
102,329.209686
103,328.131866
104,321.356750
105,319.893921
106,318.046173
107,319.585968
108,313.811676
109,318.046173
110,321.048828
111,327.438904
112,323.281494
113,320.971771
114,321.664703
115,317.122253
116,309.731232
117,311.270996
118,314.273621
119,309.808167
120,314.273621
121,311.501984
122,310.347107
123,321.664703
124,316.121399
125,318.431122
126,321.048828
127,321.741699
128,322.203552
129,319.893921
130,317.815155
131,314.581512
132,315.428497
133,317.969147
134,320.509827
135,321.125732
136,321.048828
137,318.354095
138,317.661194
139,318.893097
140,318.046173
141,320.663818
142,324.975250
143,331.673431
144,333.521179
145,334.829987
146,332.366302
147,331.442444
148,329.132721
149,328.362823
150,326.438110
151,326.438110
152,326.823029
153,327.438904
154,325.283203
155,324.128387
156,323.204498
157,320.355865
158,321.895630
159,318.893097
160,316.275452
161,316.121399
162,317.815155
163,314.119690
164,312.656830
165,315.351501
166,308.576416
167,296.334900
168,293.871216
169,294.102203
170,299.337524
171,294.949066
172,292.485474
173,292.716339
174,285.633270
175,282.551819
176,285.001221
177,287.213562
178,282.946899
179,283.262939
180,286.423401
181,285.554321
182,283.262939
183,279.312195
184,280.418427
185,279.786346
186,281.050507
187,278.364105
188,280.813477
189,287.924652
190,287.608612
191,295.825989
192,306.097778
193,310.285492
194,308.626190
195,316.843536
196,311.707733
197,307.124939
198,306.571838
199,307.045898
200,307.678070
201,306.650818
202,306.729858
203,306.176788
204,309.100281
205,314.236145
206,315.500366
207,311.312653
208,304.122437
209,301.514954
210,300.250793
211,298.591522
212,296.300110
213,296.300110
214,301.198914
215,320.162048
216,313.525055
217,321.110321
218,322.769623
219,322.374573
220,325.693054
221,329.643738
222,330.749939
223,333.041382
224,335.253662
225,332.567230
226,335.174652
227,334.700623
228,329.011658
229,328.063446
230,331.619141
231,333.436401
232,341.179688
233,338.730286
234,342.680908
235,340.310516
236,343.787170
237,346.394592
238,341.416748
239,340.547577
240,343.234039
241,327.510376
242,330.512909
243,318.818939
244,314.236145
245,316.053436
246,318.660828
247,317.475739
248,317.949738
249,317.633728
250,319.055969
251,314.789276
252,310.759552
253,312.418854
254,310.522522
255,314.394165
256,319.530060
257,319.214020
258,316.053436
259,320.873260
260,328.537567
261,338.177155
262,336.517944
263,335.411713
264,332.883331
265,331.224030
266,332.172119
267,333.910522
268,333.594421
269,332.014191
270,330.828918
271,334.700623
272,331.382050
273,327.115326
274,329.801788
275,328.774658
276,330.038849
277,326.167114
278,325.218994
279,324.744904
280,322.769623
281,321.505402
282,322.137482
283,323.006622
284,323.480743
285,324.191864
286,321.189331
287,325.218994
288,318.186859
289,321.426331
290,321.900452
291,320.399170
292,314.789276
293,317.159576
294,317.475739
295,322.690613
296,323.164551
297,322.216492
298,321.347321
299,324.428925
300,325.851074
301,324.112854
302,324.665863
303,326.167114
304,323.322693
305,323.717743
306,320.952271
307,319.293030
308,307.757080
309,301.673065
310,300.171814
311,288.161743
312,277.178864
313,271.173828
314,273.386200
315,276.625732
316,277.810974
317,271.015808
318,243.361130
319,249.761215
320,245.731522
321,214.916367
322,214.600342
323,198.402557
324,195.479080
325,185.918457
326,172.881241
327,182.994904
328,166.718201
329,191.686432
330,204.407578
331,218.866974
332,212.150894
333,211.597824
334,212.150894
335,190.817276
336,197.296371
337,184.575195
338,194.372864
339,210.728653
340,200.377884
341,209.069321
342,202.353180
343,192.081467
344,190.501205
345,195.795090
346,192.318512
347,186.866623
348,187.656769
349,201.876236
350,195.429794
351,202.554901
352,211.630783
353,220.282654
354,205.099442
355,201.452225
356,194.157501
357,199.161942
358,202.894150
359,209.764755
360,205.438797
361,207.813873
362,199.670898
363,196.447662
364,194.411957
365,204.505768
366,203.148575
367,202.724472
368,201.028107
369,200.264633
370,210.697800
371,222.742508
372,222.148727
373,210.104019
374,214.684448
375,221.300507
376,236.568451
377,238.519424
378,251.327515
379,251.751633
380,246.068573
381,244.202408
382,233.684555
383,234.532715
384,236.059570
385,244.372116
386,236.059570
387,236.483627
388,236.398880
389,233.005951
390,237.586349
391,228.255905
392,228.171082
393,228.171082
394,232.327393
395,232.072952
396,231.818436
397,236.398880
398,231.988098
399,240.385483
400,241.657791
401,238.773834
402,236.907791
403,239.876526
404,242.930115
405,245.389923
406,249.376633
407,248.273880
408,248.104279
409,247.256073
410,244.372116
411,247.256073
412,243.778290
413,238.349716
414,234.956818
415,237.077377
416,235.805069
417,226.220215
418,223.675491
419,232.327393
420,236.229172
421,241.148880
422,252.345398
423,249.037292
424,247.680191
425,254.720352
426,257.604309
427,253.537369
428,249.903030
429,250.162598
430,248.345428
431,248.431961
432,242.288223
433,243.240082
434,246.701324
435,244.364990
436,246.960968
437,245.576401
438,244.624573
439,238.567352
440,238.740448
441,237.355942
442,236.750259
443,240.557587
444,245.749557
445,249.124207
446,249.816498
447,262.363495
448,261.325165
449,262.623138
450,260.459900
451,259.248444
452,252.931564
453,244.278412
454,241.682556
