,0
0,379.162354
1,368.667908
2,356.891693
3,360.176208
4,363.701080
5,364.181732
6,366.985565
7,367.065704
8,365.383392
9,364.422028
10,366.825348
11,364.902740
12,364.902740
13,364.021484
14,361.698303
15,364.502167
16,370.350189
17,367.866852
18,372.433136
19,372.513214
20,378.921997
21,373.314362
22,380.364044
23,389.977264
24,393.662354
25,398.148468
26,397.828064
27,405.198242
28,404.877777
29,398.709320
30,408.562897
31,412.568390
32,409.844635
33,407.761780
34,410.966248
35,409.363983
36,404.076660
37,410.805969
38,411.767303
39,410.004791
40,413.689972
41,410.805969
42,418.015839
43,418.816986
44,415.292145
45,416.734100
46,417.054596
47,412.568390
48,414.491119
49,421.380554
50,422.181641
51,420.419189
52,409.844635
53,404.076660
54,372.353027
55,377.159607
56,381.245209
57,378.601624
58,376.278351
59,373.314362
60,376.678955
61,381.004913
62,381.966187
63,382.446930
64,378.361267
65,372.513214
66,373.074005
67,374.676178
68,370.590576
69,376.839172
70,382.847443
71,389.576721
72,388.535278
73,387.974518
74,389.817108
75,376.518707
76,366.264557
77,363.701080
78,373.634735
79,375.717651
80,386.452423
81,386.852966
82,387.814301
83,397.187195
84,397.587738
85,403.916443
86,403.916443
87,403.756226
88,403.275543
89,405.839172
90,407.601532
91,403.756226
92,408.402649
93,409.524200
94,404.507935
95,405.494751
96,405.741425
97,405.247986
98,407.715057
99,408.619598
100,406.234863
101,404.507935
102,396.449005
103,395.955627
104,388.061188
105,386.498718
106,386.663177
107,385.923065
108,379.179901
109,382.387024
110,382.387024
111,381.975861
112,383.209381
113,377.699707
114,379.097656
115,377.781982
116,372.518982
117,370.134186
118,367.996185
119,365.035706
120,365.200134
121,372.025543
122,380.331207
123,384.031677
124,382.387024
125,384.031677
126,391.432770
127,398.833801
128,397.271362
129,395.873352
130,396.777924
131,398.587067
132,401.629761
133,404.590149
134,404.343475
135,397.846954
136,399.327148
137,399.327148
138,406.399292
139,404.507935
140,404.590149
141,407.386078
142,406.563782
143,408.044006
144,408.537384
145,409.524170
146,406.728210
147,400.725159
148,401.218567
149,404.836853
150,405.659180
151,414.951599
152,417.747589
153,424.984131
154,426.464325
155,425.313049
156,430.247070
157,430.904938
158,436.332367
159,438.141479
160,437.483643
161,438.963867
162,443.897888
163,446.200470
164,451.134430
165,458.864471
166,448.009613
167,443.075562
168,440.773010
169,455.081726
170,467.910126
171,459.357849
172,455.081726
173,456.726318
174,451.463409
175,450.970032
176,451.463409
177,454.259338
178,452.779083
179,464.620819
180,452.121277
181,445.049225
182,444.884766
183,441.430847
184,447.187195
185,448.667389
186,456.397400
187,456.232941
188,458.042053
189,463.305084
190,470.377167
191,461.495941
192,467.087860
193,472.515228
194,469.883789
195,469.061462
196,474.159851
197,481.889893
198,483.699005
199,481.232056
200,470.048248
201,473.666626
202,461.824799
203,464.291840
204,470.377167
205,468.074677
206,468.732422
207,463.963043
208,447.845062
209,443.733398
210,447.351685
211,452.943665
212,451.627930
213,456.397400
214,454.917236
215,457.219757
216,459.357849
217,456.890808
218,456.726318
219,451.707428
220,451.540100
221,447.524933
222,447.859528
223,448.863281
224,463.752991
225,467.433441
226,472.954437
227,476.969543
228,481.653961
229,481.988556
230,486.338287
231,487.174866
232,479.311768
233,487.676697
234,488.513275
235,484.832550
236,478.140625
237,477.471466
238,479.813629
239,478.140625
240,479.479034
241,481.821320
242,483.996094
243,479.813629
244,477.806000
245,480.984802
246,484.330719
247,485.334442
248,481.821320
249,482.657684
250,479.646362
251,469.441101
252,458.733978
253,462.247223
254,460.908905
255,467.600769
256,465.258667
257,461.243500
258,466.764313
259,476.802185
260,480.650085
261,486.338287
262,474.794647
263,475.798431
264,476.300385
265,477.471466
266,483.326996
267,484.163391
268,484.832550
269,474.125488
270,472.452545
271,480.148224
272,485.836395
273,492.361084
274,493.699493
275,495.205139
276,496.041656
277,495.874268
278,513.608032
279,512.102356
280,512.771606
281,514.946472
282,522.474854
283,541.714355
284,539.539368
285,535.356934
286,534.185852
287,538.535583
288,531.007080
289,531.174377
290,535.858765
291,531.508972
292,528.163025
293,537.029785
294,542.216125
295,540.375793
296,546.063965
297,547.904236
298,542.550781
299,548.406189
300,548.740784
301,553.592407
302,538.033691
303,533.851257
304,532.847351
305,535.356934
306,549.075500
307,559.615295
308,551.752136
309,535.189575
310,536.193359
311,528.497620
312,508.923615
313,510.931244
314,511.935089
315,513.440674
316,509.592957
317,499.554810
318,464.087494
319,460.741577
320,450.870911
321,421.091675
322,437.319611
323,415.738068
324,403.943512
325,399.259125
326,415.403534
327,393.152710
328,367.137695
329,405.783783
330,437.988831
331,449.699829
332,431.798798
333,425.274139
334,436.483185
335,407.875061
336,416.658234
337,418.247650
338,432.133423
339,442.004089
340,442.673279
341,450.369049
342,442.338654
343,433.806366
344,452.196777
345,479.868286
346,470.930878
347,459.415436
348,438.618805
349,441.368774
350,433.978302
351,441.712585
352,440.509399
353,460.790436
354,436.900116
355,432.259583
356,422.376892
357,426.329956
358,421.517517
359,440.165710
360,432.259583
361,444.462494
362,433.978302
363,423.408112
364,426.673737
365,430.540833
366,427.361176
367,428.134613
368,424.525330
369,424.267487
370,441.196991
371,431.743927
372,439.134460
373,426.415894
374,428.220551
375,427.103333
376,441.196991
377,439.306335
378,442.056305
379,450.134308
380,455.977936
381,454.602997
382,443.946899
383,433.806396
384,427.962738
385,437.415710
386,435.353302
387,430.540833
388,434.837646
389,435.696991
390,437.415710
391,412.150452
392,417.478455
393,416.962891
394,425.986237
395,415.416046
396,415.330139
397,415.501984
398,414.384857
399,422.978424
400,420.400391
401,412.408264
402,410.689545
403,407.767670
404,409.400513
405,402.525604
406,420.572205
407,410.173920
408,417.822296
409,421.001923
410,425.728394
411,417.736328
412,424.095612
413,410.689545
414,411.119263
415,416.275421
416,409.830170
417,433.978302
418,421.259705
419,422.892517
420,441.025085
421,450.993652
422,448.169464
423,448.169464
424,456.642151
425,465.291382
426,473.057983
427,471.469299
428,471.292755
429,472.704865
430,475.529114
431,474.823090
432,466.526917
433,467.762543
434,478.000305
435,474.117035
436,468.468536
437,465.291382
438,458.583771
439,442.344482
440,453.641388
441,450.111115
442,444.639130
443,457.877747
444,452.935333
445,454.170868
446,448.169464
447,448.345978
448,459.113312
449,468.821594
450,463.173126
451,465.644318
452,466.350464
453,441.461914
454,440.138031
455,440.844116
456,431.930115
457,434.930847
458,435.901703
459,430.782806
460,425.399109
461,429.282440
462,435.283936
463,436.960785
464,438.549408
465,435.548676
466,434.842621
467,439.785034
468,432.724426
469,426.369965
470,422.574860
471,418.691589
472,426.634705
473,425.487366
474,423.104431
475,410.307190
476,398.416748
477,412.559082
478,403.371124
479,389.048645
480,372.564270
481,365.177826
482,357.611328
483,371.933746
484,387.337158
485,398.326691
486,388.868500
487,387.787537
488,398.056519
489,417.603485
490,428.232758
491,424.269318
492,424.449463
493,438.501678
494,446.068268
495,449.581299
496,457.418182
497,469.308533
498,472.191010
499,474.352905
500,465.345062
501,459.940369
502,454.175354
503,453.995148
504,458.679260
505,465.525177
506,478.676666
507,469.848938
508,465.345062
509,461.922028
510,464.264130
511,460.480835
512,452.734070
513,453.995148
514,452.193634
515,453.995148
516,444.807129
517,443.365936
518,441.744476
519,445.167542
520,451.472992
521,453.995148
522,453.274597
523,444.086578
524,440.303253
525,444.897278
526,451.112671
527,454.895966
528,449.761475
529,450.932495
530,447.149261
531,445.077423
532,444.807129
533,451.833313
534,446.428619
535,439.582611
536,437.600861
537,442.645294
538,432.286285
539,431.565674
540,424.449463
541,423.458618
542,429.223663
543,425.080017
544,416.252319
545,422.918121
546,428.863312
547,425.080017
548,430.124420
549,426.971649
550,425.710541
551,432.196198
552,432.376343
553,431.745789
554,432.376343
555,437.330658
556,437.690979
557,434.087860
558,425.170135
559,419.134827
560,424.989960
561,437.330658
562,446.788910
563,451.833313
564,435.889465
565,441.113983
566,446.338501
567,449.581299
568,448.049988
569,435.529114
570,447.149261
571,449.401184
572,450.752350
573,444.536896
574,452.193634
575,456.877716
576,453.274597
577,451.292847
578,447.779755
579,440.933807
580,439.852875
581,450.392059
582,450.301971
583,443.906372
584,444.987335
585,449.491272
586,462.102234
587,454.895966
588,459.760162
589,469.848938
590,473.992584
591,474.533081
592,463.903809
593,454.895966
594,452.734070
595,463.903809
596,470.929901
597,470.209259
598,471.110077
599,466.606171
600,474.172760
601,462.876282
602,459.542938
603,461.394775
604,457.876221
605,460.561432
606,461.024414
607,468.709717
608,462.968903
609,462.968903
610,467.043060
611,470.376373
612,475.191254
613,466.302246
614,472.228271
615,470.006012
616,486.487701
617,484.080292
618,481.858032
619,481.302429
620,477.969116
