,0
0,132.593658
1,132.043686
2,127.760559
3,128.627197
4,127.793900
5,128.360519
6,132.493668
7,132.510330
8,132.027023
9,127.360580
10,126.827263
11,126.210648
12,123.194115
13,124.160728
14,121.960838
15,121.727516
16,125.110695
17,125.427338
18,125.560684
19,125.210678
20,129.243835
21,129.510452
22,131.093735
23,130.677109
24,132.776978
25,131.010422
26,132.593658
27,132.577011
28,134.493561
29,133.643616
30,138.210068
31,137.460083
32,136.043472
33,135.710205
34,135.543503
35,136.743469
36,133.393631
37,134.410248
38,134.860229
39,131.810349
40,132.177017
41,131.993683
42,133.760284
43,134.643570
44,130.343765
45,129.943787
46,130.693756
47,131.710373
48,131.677048
49,130.793747
50,132.910309
51,131.760361
52,132.493668
53,134.060242
54,133.976944
55,130.110458
56,132.677002
57,137.410080
58,139.076691
59,140.152420
60,138.735168
61,139.793839
62,140.493912
63,141.142776
64,138.547379
65,135.559204
66,137.454544
67,139.042526
68,139.930450
69,140.852493
70,141.672089
71,141.911148
72,143.943100
73,140.391464
74,137.095978
75,132.707672
76,132.793030
77,130.880646
78,132.793030
79,130.692795
80,132.058823
81,135.166504
82,136.600815
83,140.015808
84,140.579300
85,138.957153
86,138.410751
87,137.830200
88,137.574081
89,139.742599
90,141.689163
91,143.157623
92,142.918579
93,144.216293
94,144.626099
95,142.218521
96,142.047760
97,136.942276
98,137.488693
99,140.613449
100,140.254868
101,139.623077
102,140.476837
103,139.742599
104,136.105621
105,136.225128
106,133.919998
107,134.483475
108,132.417404
109,134.585938
110,136.600815
111,137.181320
112,135.525070
113,133.493149
114,134.039536
115,130.470840
116,127.636375
117,127.431465
118,128.626740
119,128.712097
120,128.831604
121,127.499771
122,127.619293
123,131.563644
124,130.197647
125,129.121902
126,128.968216
127,130.692795
128,129.958603
129,128.473038
130,127.653458
131,127.209488
132,128.695038
133,129.429260
134,130.812347
135,128.473038
136,126.953369
137,126.748474
138,125.416595
139,127.465622
140,128.063232
141,127.892494
142,130.214722
143,131.290451
144,132.314941
145,133.151627
146,134.227356
147,133.971222
148,133.561417
149,133.595581
150,134.842056
151,134.210281
152,133.851700
153,134.961594
154,132.997955
155,133.458984
156,132.861359
157,133.698013
158,136.686188
159,136.532471
160,136.208054
161,136.669098
162,137.300888
163,134.654221
164,131.546585
165,133.083328
166,130.761108
167,125.758110
168,125.706902
169,125.962997
170,127.165634
171,125.283249
172,123.296288
173,122.965149
174,120.925873
175,119.566406
176,121.849648
177,122.529419
178,120.681862
179,121.291901
180,121.413910
181,120.298409
182,119.113220
183,118.660057
184,119.862671
185,119.043495
186,119.862671
187,119.670975
188,119.705826
189,121.849648
190,122.093674
191,122.686264
192,128.699432
193,129.588348
194,129.588348
195,130.819748
196,133.753983
197,130.024078
198,128.978302
199,131.139557
200,132.063324
201,130.076355
202,128.141678
203,129.082870
204,129.971786
205,131.523026
206,131.069855
207,130.407532
208,125.771286
209,123.801743
210,124.568649
211,125.788704
212,125.440140
213,126.363899
214,130.024078
215,139.854324
216,137.344482
217,142.956757
218,143.148468
219,142.921906
220,143.793365
221,144.333710
222,144.054825
223,144.473145
224,145.013474
225,148.464493
226,148.586502
227,149.649704
228,146.773819
229,146.233521
230,145.693192
231,146.529831
232,147.418747
233,146.686691
234,148.185623
235,145.048325
236,149.579987
237,150.556046
238,148.917664
239,148.237900
240,148.795654
241,148.429642
242,148.516785
243,147.453583
244,146.564667
245,147.505875
246,149.893707
247,149.667130
248,152.002670
249,151.828400
250,149.492828
251,147.436157
252,144.961151
253,145.675766
254,145.675766
255,147.627869
256,149.614838
257,148.272751
258,147.000412
259,149.771713
260,159.026764
261,167.724106
262,163.279572
263,161.327469
264,159.811096
265,155.488602
266,156.394928
267,156.865509
268,158.172745
269,157.074692
270,156.551804
271,161.397171
272,159.741364
273,157.719543
274,159.601929
275,158.643311
276,159.357941
277,157.736969
278,158.329575
279,157.736969
280,155.558289
281,154.076782
282,152.717316
283,152.508148
284,151.985245
285,152.298981
286,149.457993
287,151.148636
288,148.743362
289,149.911148
290,149.911148
291,149.457993
292,146.407822
293,147.871872
294,149.893707
295,150.730347
296,154.007080
297,154.390533
298,154.163956
299,156.011490
300,156.290344
301,153.658493
302,153.309921
303,154.861115
304,152.577866
305,154.024521
306,158.015884
307,156.534363
308,148.168213
309,144.542862
310,144.612564
311,139.639664
312,134.485901
313,129.567245
314,126.185646
315,125.263397
316,121.773293
317,118.391708
318,106.782204
319,105.642952
320,106.637535
321,88.174431
322,92.568680
323,80.525177
324,79.349747
325,75.226753
326,75.715004
327,80.489006
328,76.582993
329,86.818176
330,95.642853
331,97.632027
332,88.038811
333,84.991753
334,85.091225
335,74.919334
336,73.798172
337,72.550415
338,78.264748
339,85.706055
340,83.771133
341,88.228683
342,84.584885
343,78.662598
344,78.734932
345,82.017052
346,82.288292
347,78.219551
348,79.295509
349,81.917595
350,80.118286
351,82.333504
352,88.391434
353,99.621193
354,95.751358
355,92.894180
356,90.127434
357,93.490944
358,91.194344
359,95.317360
360,92.767601
361,92.225105
362,88.617477
363,87.830841
364,88.111130
365,95.118431
366,94.684433
367,96.492790
368,93.961105
369,93.255859
370,100.163704
371,108.355461
372,110.869041
373,104.196274
374,109.205368
375,108.048042
376,113.310287
377,111.682785
378,118.807625
379,119.169312
380,113.274117
381,112.116791
382,103.979279
383,105.841866
384,104.973854
385,110.923302
386,107.939537
387,107.270454
388,105.389786
389,104.250542
390,105.697205
391,101.140198
392,101.827370
393,100.344528
394,103.527199
395,103.454857
396,102.659195
397,106.601379
398,104.630280
399,106.058876
400,103.943123
401,103.436783
402,101.230606
403,106.474792
404,108.102280
405,107.921455
406,108.771378
407,107.216209
408,105.245117
409,105.082375
410,105.462112
411,106.167374
412,105.299370
413,102.713448
414,100.362610
415,101.140198
416,94.955688
417,91.122017
418,90.923103
419,93.870689
420,95.208855
421,97.053360
422,95.697105
423,94.575935
424,96.420433
425,101.049782
426,100.814705
427,97.722443
428,98.735107
429,97.595863
430,97.758621
431,99.639275
432,97.270363
433,97.650101
434,99.820107
435,98.680862
436,99.820107
437,99.946701
438,101.230606
439,95.751358
440,93.581352
441,95.443939
442,96.637436
443,96.691689
444,94.286606
445,94.829109
446,94.973770
447,92.785690
448,93.689857
449,92.803772
450,93.093102
451,90.905022
452,88.084015
453,83.328087
454,83.156303
455,83.997177
456,83.970055
457,82.776543
458,88.608437
459,87.930305
460,88.255806
461,88.608437
462,88.346214
463,89.919464
464,94.196182
465,94.485527
466,96.836365
467,96.999107
468,95.697105
469,92.315514
470,91.809181
471,90.525276
472,92.044273
473,93.454773
474,94.322769
475,92.876099
476,94.286606
477,100.850861
478,99.928612
479,96.384270
480,93.852615
481,94.630196
482,96.348099
483,96.782104
484,102.496445
485,99.802025
486,99.603119
487,100.308365
488,116.221710
489,121.520142
490,122.532814
491,119.675636
492,121.303131
493,125.480385
494,125.136795
495,128.030136
496,125.625069
497,124.558136
498,126.764297
499,135.805984
500,129.657639
501,127.578064
502,126.131393
503,121.664803
504,129.512970
505,132.858398
506,134.323120
507,134.377396
508,132.243576
509,132.333984
510,131.918045
511,128.174805
512,123.021042
513,128.717316
514,130.833054
515,130.380981
516,131.592560
517,131.104324
518,127.722733
519,131.990402
520,137.270737
521,139.784332
522,134.974136
523,134.612503
524,132.623322
525,129.766159
526,129.476791
527,140.182159
528,141.158646
529,138.265335
530,136.710159
531,139.458832
532,137.759003
533,138.211090
534,134.540146
535,136.818649
536,132.786072
537,132.297821
538,130.923477
539,129.350220
540,123.979469
541,126.077141
542,121.447792
543,123.491219
544,120.742554
545,121.917961
546,126.746216
547,128.210968
548,131.809570
549,133.111588
550,133.346649
551,133.545563
552,133.527466
553,131.972321
554,131.918045
555,139.205658
556,140.652344
557,139.567322
558,133.364731
559,138.916321
560,139.476913
561,143.925415
562,148.807907
563,147.861832
564,145.187332
565,146.770203
566,147.570755
567,154.957443
568,151.609772
569,156.085480
570,161.852966
571,159.906219
572,158.286942
573,158.523468
574,164.290924
575,163.999832
576,166.492386
577,164.945908
578,167.201965
579,166.110336
580,164.618423
581,164.727585
582,167.584015
583,165.600876
584,166.437820
585,164.090805
586,172.059708
587,169.130508
588,167.383896
589,168.821198
590,170.440460
591,171.004486
592,168.930374
593,171.095444
594,169.949249
595,170.640610
596,167.966095
597,172.096100
598,170.731567
599,165.382568
600,164.418289
601,165.855606
602,165.546310
603,169.276077
604,169.658127
605,171.895996
606,171.677643
607,159.651474
608,155.466873
609,160.797699
610,161.106995
611,165.146042
612,168.712067
613,163.745117
614,165.073288
615,162.107666
616,164.381897
617,163.035553
618,163.981628
619,161.998505
620,162.726273
621,162.853622
622,163.453995
623,163.417618
624,163.071930
625,167.110977
626,166.565170
627,168.821198
628,169.603546
629,169.512558
630,167.347504
631,170.094772
632,168.439117
633,164.199951
634,162.889999
635,164.108994
636,163.199295
637,163.035553
638,161.125183
639,162.671677
640,156.340195
641,157.322678
642,156.958786
643,157.195297
644,158.650818
645,159.051086
646,156.030899
647,157.559204
648,155.667038
649,159.469543
650,156.795029
651,161.652817
652,156.030899
653,156.922409
654,152.501266
655,157.704727
656,157.122528
657,154.648163
658,155.284943
659,153.847626
660,150.481766
661,144.932632
662,147.061310
663,152.101013
664,150.390808
665,152.028229
666,154.138718
667,154.084152
668,157.158920
669,160.306458
670,158.741776
671,160.015350
672,160.433807
673,162.689865
674,163.490402
675,166.164917
676,167.729584
677,168.639267
678,169.658127
679,169.437424
680,170.209885
681,168.205231
682,167.561554
683,167.727051
684,164.508621
685,164.894836
686,166.071869
687,167.193741
688,170.246658
689,169.694916
690,170.853561
691,170.025955
692,169.179977
693,170.559296
694,169.842056
695,170.669647
696,170.467346
697,167.745468
698,167.120163
699,165.759216
700,169.327103
701,166.384521
702,165.391388
703,168.002914
704,168.021317
705,160.848785
706,160.940750
707,166.641998
708,169.161575
709,168.959274
710,172.674286
711,171.331741
712,172.674286
713,174.347870
714,172.766235
715,172.214493
716,178.945663
717,176.462845
718,178.154846
719,179.460602
720,181.777878
721,181.575592
722,177.400803
723,178.761749
724,181.906631
725,183.414688
726,183.469879
727,182.476746
728,181.060623
729,182.862961
730,184.462997
731,186.486023
732,183.414688
733,183.249191
734,185.980255
735,184.692871
736,182.495148
737,183.469879
738,176.095032
739,176.904236
740,176.959412
741,174.715698
742,177.253662
743,180.784775
744,179.589340
745,180.233032
746,180.030731
747,179.957169
748,179.626129
749,175.598480
750,179.074402
751,178.191620
752,177.805405
753,179.773270
754,167.046616
755,168.536285
756,169.400665
757,174.421432
758,172.177734
759,171.644379
760,172.012207
761,171.699554
762,170.945511
763,168.131683
764,167.819016
765,163.809738
766,165.593689
767,162.283279
768,167.487991
769,166.292557
770,164.232758
771,169.437424
772,170.890335
773,172.324844
774,172.361633
775,173.336349
776,172.931763
777,171.957031
778,180.839951
779,181.998566
780,184.325058
781,188.738922
782,191.175735
783,190.348160
784,194.762024
785,199.635666
786,198.164398
787,197.520691
788,192.922913
789,190.302155
790,189.014816
791,183.212387
792,175.046738
793,180.876724
794,185.934265
795,187.175690
796,181.042252
797,181.354889
798,184.922775
799,186.715912
800,188.003281
801,184.462997
802,188.509048
803,189.612503
804,191.267700
805,191.865417
806,189.520554
807,179.828430
808,182.495148
809,180.233032
810,177.143326
811,175.782394
812,176.039856
813,174.862823
814,180.214630
815,164.968399
816,173.704178
817,168.168457
818,159.285538
819,162.724686
820,158.942566
821,147.520981
822,142.647522
823,null
824,152.225098
825,148.442993
826,151.566528
827,159.939850
828,158.208725
829,164.794510
830,161.558075
831,160.485535
832,158.528610
833,162.630615
834,159.939850
835,158.378082
836,157.399628
837,150.983215
838,147.182297
839,142.478180
840,139.524002
841,138.338547
842,137.642349
843,138.300934
844,134.857513
845,132.260834
846,136.042969
847,136.362839
848,134.782242
849,135.723068
850,137.228394
851,137.077850
852,140.069672
853,141.179855
854,138.018677
855,135.647797
856,134.518829
857,133.521545
858,137.642349
859,139.429932
860,142.064209
861,141.650253
862,140.954056
863,139.843872
864,137.341278
865,135.139755
866,138.583160
867,137.303665
868,141.462082
869,142.722778
870,146.636612
871,146.015671
872,144.209290
873,143.682434
874,148.405380
875,153.147110
876,154.182022
877,157.757141
878,160.297379
879,161.087646
880,159.055481
881,157.870041
882,161.219360
883,158.999023
884,158.585068
885,156.101288
886,150.343475
887,146.843613
888,147.4833
889,151.246643
890,144.547989
891,146.693069
892,150.644516
893,150.926773
894,151.792313
895,144.961945
896,149.534363
897,149.252106
898,150.550430
899,147.483337
900,144.058762
901,144.134018
902,146.316727
903,138.752518
904,138.169205
905,142.083038
906,142.967422
907,142.064209
908,143.136749
909,140.389557
910,136.927322
911,141.405640
912,145.093658
913,148.856964
914,148.311279
915,149.553162
916,148.499451
917,151.209000
918,147.596268
919,148.330093
920,141.443283
921,147.878479
922,150.343475
923,150.550430
924,153.655167
925,152.864853
926,154.294907
927,156.176559
928,156.044846
929,159.714050
930,161.115631
931,163.613708
932,163.575562
933,162.564896
934,160.829590
935,160.657974
936,157.587830
937,155.490234
938,155.986038
939,155.051620
940,156.519958
941,154.555847
942,157.034821
943,156.844131
944,153.888397
945,160.791458
946,158.751053
947,160.066833
948,156.462769
949,158.522217
950,160.982147
951,165.863861
952,163.937866
953,161.992813
954,164.223907
955,163.175110
956,162.965332
957,159.990555
958,158.522217
