,0
0,1896.907349
1,1883.096802
2,1850.986572
3,1839.248047
4,1878.953125
5,1881.715454
6,1891.728149
7,1865.487793
8,1836.830322
9,1814.733398
10,1777.444336
11,1761.216553
12,1762.942749
13,1749.132446
14,1739.464600
15,1734.042480
16,1809.037720
17,1760.449341
18,1745.661499
19,1749.886230
20,1818.895630
21,1742.492798
22,1765.026123
23,1758.336304
24,1763.970337
25,1793.545776
26,1760.449341
27,1763.266357
28,1740.732178
29,1769.251831
30,1789.672607
31,1806.220703
32,1781.222656
33,1747.773926
34,1707.635742
35,1684.397705
36,1672.426636
37,1767.490723
38,1853.401367
39,1892.130981
40,1908.327026
41,1887.553467
42,1957.971558
43,1924.874878
44,1927.340088
45,1893.538940
46,1937.198364
47,1935.086426
48,1980.857300
49,1988.251831
50,2013.249756
51,1984.378052
52,1978.040894
53,2007.263916
54,2000.222656
55,2022.052124
56,2037.544067
57,1995.997070
58,1968.182617
59,1942.479980
60,2016.066284
61,2022.052124
62,2042.472900
63,2147.747803
64,2166.761230
65,2167.817139
66,2154.789795
67,2173.098389
68,2098.455811
69,2111.483154
70,2168.521484
71,2225.207275
72,2251.614746
73,2242.459961
74,2275.555908
75,2208.648926
76,2199.346680
77,2206.501953
78,2211.153809
79,2255.519531
80,2285.573975
81,2243.354980
82,2274.482666
83,2231.905762
84,2237.630127
85,2232.621094
86,2226.538330
87,2225.465332
88,2217.593750
89,2207.933105
90,2210.437988
91,2235.125488
92,2237.630127
93,2218.309326
94,2187.539063
95,2210.079590
96,2178.236816
97,2133.870361
98,2141.026123
99,2154.622559
100,2139.595215
101,2094.871338
102,2060.880371
103,2073.403809
104,2056.229736
105,2035.835083
106,2064.816650
107,2031.542358
108,2050.146729
109,2056.586914
110,2078.770752
111,2094.513428
112,2116.338623
113,2126.714355
114,2133.512695
115,2134.585449
116,2112.045166
117,2135.659912
118,2065.531982
119,2010.790405
120,2024.743652
121,1975.010620
122,1980.019775
123,2030.826538
124,2024.028320
125,2086.283691
126,2156.769775
127,2161.062500
128,2197.557129
129,2100.953125
130,2087.715576
131,2064.816650
132,2032.257935
133,2046.211304
134,2003.634277
135,2003.634277
136,2001.487061
137,1990.754150
138,2011.505981
139,2010.074585
140,2004.062134
141,2003.333862
142,2085.317627
143,2113.739502
144,2166.573486
145,2162.200928
146,2174.589600
147,2208.112305
148,2160.379150
149,2147.990234
150,2113.374756
151,2117.382813
152,2131.958252
153,2150.905518
154,2131.593506
155,2262.404053
156,2254.023682
157,2233.253906
158,2232.889648
159,2201.189209
160,2200.824707
161,2200.096191
162,2263.497070
163,2170.217529
164,2151.269043
165,2299.570313
166,2266.776855
167,2171.674805
168,2171.674805
169,2190.622070
170,2237.990967
171,2227.788574
172,2225.238037
173,2210.298828
174,2192.444336
175,2222.322998
176,2207.384033
177,2212.849121
178,2171.674805
179,2204.103760
180,2170.581787
181,2157.828369
182,2063.819580
183,2062.362061
184,2092.969727
185,2098.799561
186,2114.468506
187,2122.484131
188,2116.654297
189,2120.662109
190,2136.694580
191,2110.095459
192,2160.014404
193,2217.585938
194,2239.448242
195,2183.932617
196,2116.289307
197,2149.812256
198,2157.828369
199,2158.192871
200,2126.127930
