,0
0,341.372803
1,358.789764
2,350.611389
3,350.535614
4,332.437134
5,338.646637
6,354.473419
7,342.811584
8,333.573029
9,328.650787
10,332.512848
11,340.918427
12,337.435059
13,342.281464
14,336.753479
15,337.737915
16,347.658051
17,350.459900
18,350.005554
19,351.595795
20,358.562592
21,361.212952
22,362.954681
23,374.692230
24,370.451569
25,381.204651
26,384.536591
27,377.494110
28,392.260651
29,391.200470
30,405.134094
31,406.648590
32,403.316620
33,404.679718
34,408.163147
35,406.194244
36,405.436981
37,406.648590
38,411.949402
39,407.860199
40,414.826965
41,414.675507
42,413.766876
43,425.428619
44,418.764771
45,426.337311
46,434.818695
47,424.217010
48,427.548981
49,427.246002
50,426.791687
51,425.580078
52,430.729431
53,432.546875
54,436.030304
55,435.575928
56,434.061401
57,446.177551
58,453.750153
59,453.598755
60,454.658966
61,458.445190
62,460.414093
63,463.594543
64,457.839386
65,458.293732
66,455.416168
67,459.656799
68,461.171326
69,463.291656
70,464.200348
71,464.351807
72,464.654724
73,450.569641
74,442.845612
75,444.057251
76,446.783386
77,450.266785
78,462.534393
79,449.509491
80,453.750153
81,458.596588
82,459.656799
83,470.864227
84,473.893188
85,466.472137
86,469.349701
87,458.293732
88,457.536438
89,474.465149
90,475.542389
91,476.158020
92,479.389862
93,472.002838
94,473.387848
95,470.925537
96,474.926849
97,463.692322
98,466.308655
99,471.541168
100,463.076721
101,466.308655
102,459.075378
103,456.920837
104,449.226013
105,450.918884
106,461.691681
107,463.076721
108,459.844879
109,469.078796
110,472.002838
111,477.081421
112,472.156677
113,451.534485
114,459.383209
115,439.684418
116,430.450531
117,435.529144
118,437.529816
119,434.297943
120,437.683716
121,429.373260
122,425.371918
123,426.295288
124,435.375214
125,432.451202
126,434.759674
127,434.297943
128,438.607086
129,439.068817
130,437.375946
131,432.143402
132,434.759674
133,433.990173
134,432.912872
135,435.067444
136,432.912872
137,433.528503
138,431.835602
139,429.219299
140,434.144043
141,440.607727
142,444.147430
143,445.840302
144,450.303314
145,449.379913
146,441.992767
147,439.376526
148,443.531860
149,449.533813
150,472.772247
151,482.467773
152,480.621094
153,481.390442
154,486.315216
155,485.853546
156,487.854156
157,495.087402
158,496.780212
159,503.089996
160,504.321106
161,509.399811
162,510.169281
163,506.167908
164,496.472473
165,497.088043
166,491.855591
167,481.390442
168,480.467163
169,486.007355
170,487.854156
171,490.162659
172,490.162659
173,490.624329
174,479.389862
175,475.850220
176,476.773590
177,481.852203
178,479.082031
179,481.082764
180,483.237274
181,489.393219
182,498.011414
183,480.928772
184,482.006134
185,486.623016
186,486.623016
187,478.620361
188,461.383850
189,467.231964
190,471.695007
191,457.382538
192,468.309296
193,480.467163
194,480.159363
195,504.475067
196,501.551025
197,493.702271
198,486.469086
199,486.007355
200,497.088043
201,497.549683
202,491.855591
203,488.469757
204,485.699677
205,496.780212
206,498.626984
207,497.395813
208,475.696320
209,475.542389
210,477.543030
211,476.619751
212,472.926178
213,468.924927
214,464.727417
215,518.264587
216,514.463074
217,540.914795
218,536.004639
219,531.411194
220,533.945557
221,530.302429
222,529.668884
223,516.838928
224,511.770416
225,511.612000
226,513.512695
227,508.919281
228,505.117859
229,499.890869
230,502.108276
231,496.406219
232,499.573975
233,501.791504
234,507.176941
235,496.406219
236,508.919281
237,508.127258
238,506.860138
239,508.760895
240,516.205383
241,519.056396
242,516.522156
243,516.997375
244,511.770416
245,522.224365
246,532.361572
247,529.668884
248,542.023682
249,539.330933
250,528.084900
251,519.690125
252,514.463074
253,526.659424
254,523.808350
255,529.510437
256,530.777588
257,526.184265
258,521.590698
259,531.411194
260,605.856323
261,613.142517
262,601.738037
263,591.442383
264,583.364441
265,585.423462
266,586.215454
267,588.908081
268,590.808960
269,590.808960
270,591.284058
271,595.560608
272,590.808960
273,592.234436
274,603.638733
275,602.846863
276,600.312500
277,598.886963
278,608.549072
279,618.527771
280,623.437988
281,627.239441
282,633.100037
283,646.563477
284,638.960571
285,635.951111
286,631.357605
287,641.178162
288,628.506592
289,638.643799
290,632.783203
291,635.475952
292,635.792786
293,642.128479
294,650.206543
295,664.778748
296,637.059875
297,633.100037
298,652.424011
299,654.641541
300,678.242371
301,680.776489
302,689.488098
303,689.329773
304,689.646545
305,695.665527
306,683.785950
307,683.627625
308,662.878052
309,638.327026
310,622.645996
311,608.865784
312,599.678894
313,594.293518
314,600.154053
315,612.667175
316,596.986267
317,579.721313
318,532.678406
319,528.560059
320,510.978394
321,439.225983
322,417.050842
323,359.157898
324,356.386047
325,312.510956
326,288.831116
327,323.281738
328,307.521576
329,324.152893
330,338.566772
331,378.640381
332,358.761963
333,352.822174
334,349.258331
335,325.974426
336,330.567871
337,304.353699
338,354.326935
339,373.175751
340,384.896912
341,405.804932
342,367.711212
343,343.160156
344,373.384186
345,393.560547
346,373.627258
347,366.577667
348,384.485199
349,417.950409
350,419.570984
351,416.491913
352,438.369843
353,442.259308
354,420.543396
355,430.104828
356,433.021912
357,419.084869
358,419.084869
359,430.104828
360,413.250732
361,398.422302
362,387.888458
363,376.625366
364,387.402283
365,400.691162
366,407.902771
367,392.183044
368,396.558624
369,401.096283
370,431.887512
371,407.416595
372,431.077209
373,402.716858
374,411.306000
375,416.167755
376,435.614838
377,428.970428
378,445.824646
