,0
0,505.620758
1,498.725952
2,475.743164
3,474.823853
4,468.848358
5,470.686951
6,478.041443
7,466.550110
8,464.251801
9,456.529602
10,453.403931
11,464.251801
12,463.792145
13,464.711456
14,463.792145
15,457.448914
16,467.929047
17,462.872864
18,462.872864
19,456.529602
20,459.655243
21,466.090424
22,470.686951
23,482.638031
24,486.774933
25,483.097687
26,479.880066
27,488.153900
28,474.823853
29,474.364227
30,488.153900
31,491.831146
32,490.452179
33,479.420441
34,478.501129
35,466.090424
36,459.471405
37,463.792145
38,460.574585
39,454.139404
40,452.852356
41,457.632751
42,456.529602
43,454.139404
44,478.041443
45,467.469391
46,461.493866
47,464.251801
48,473.444916
49,478.501129
50,487.694214
51,495.968079
52,506.540070
53,517.112183
54,522.628052
55,516.192871
56,519.410461
57,518.491211
58,508.838318
59,510.516846
60,511.449249
61,511.449249
62,512.847900
63,506.786987
64,501.192322
65,489.536652
66,484.874359
67,485.340607
68,483.941956
69,490.002869
70,490.935272
71,484.874359
72,486.273071
73,482.077026
74,484.874359
75,474.617432
76,470.421387
77,476.016113
78,478.347198
79,476.948578
80,480.212128
81,486.273071
82,490.469086
83,496.063751
84,497.462494
85,496.063751
86,489.536652
87,488.604156
88,487.671753
89,502.591003
90,503.523407
91,510.516846
92,519.841248
93,520.773743
94,524.969788
95,527.767090
96,528.699585
97,531.963135
98,534.760437
99,538.490295
100,537.091614
101,539.889038
102,529.631958
103,525.435974
104,525.435974
105,524.503540
106,502.124725
107,497.462494
108,493.732697
109,503.057220
110,505.388245
111,519.841248
112,528.233337
113,524.503540
114,529.165771
115,529.165771
116,524.503540
117,533.361816
118,531.496948
119,519.375122
120,522.172424
121,522.172424
122,516.111450
123,521.706116
124,523.104858
125,523.571106
126,527.767090
127,523.571106
128,527.300903
129,528.233337
130,526.834717
131,528.233337
132,528.699585
133,523.571106
134,515.179016
135,512.847900
136,510.983002
137,515.179016
138,513.780334
139,512.381653
140,506.786987
141,514.246582
142,521.239990
143,531.496948
144,530.098267
145,538.490295
146,528.233337
147,530.564514
148,523.571106
149,517.510193
150,520.773743
151,517.510193
152,524.503540
153,516.577759
154,510.983002
155,515.179016
156,512.381653
157,500.259827
158,526.368469
159,529.165771
160,538.490295
161,526.834717
162,533.828125
163,538.024109
164,537.557861
165,534.364868
166,524.503967
167,516.521362
168,516.521362
169,523.095337
170,537.182190
171,538.121399
172,545.634399
173,551.269104
174,551.738708
175,555.964844
176,556.434387
177,551.738708
178,548.451782
179,561.599609
180,554.086548
181,554.556152
182,550.799622
183,540.938721
184,536.243103
185,534.834351
186,542.347412
187,543.756165
188,553.147400
189,552.677856
190,550.330078
191,554.556152
192,557.373474
193,561.130066
194,565.825684
195,575.216980
196,560.190918
197,557.843079
198,557.373474
199,559.721313
200,569.112610
201,580.382202
202,583.199585
203,578.034363
204,582.730042
205,580.382202
206,584.138672
207,589.773499
208,578.034363
209,570.990906
210,573.808228
211,578.034363
212,575.686523
213,578.503906
214,566.295227
215,581.321289
216,570.051758
217,586.486511
218,577.095276
219,574.747437
220,574.747437
221,566.295227
222,560.660461
223,544.695251
224,555.964844
225,555.025696
226,556.434387
227,557.373474
228,559.721313
229,550.799622
230,545.164856
231,547.982178
232,547.043091
233,521.686584
234,506.190948
235,541.877869
236,510.886597
237,493.982239
238,493.043121
239,501.964874
240,503.373535
241,505.721375
242,508.538757
243,504.782288
244,501.025726
245,500.556183
246,500.556183
247,508.538757
248,514.173584
249,507.130035
250,499.617004
251,496.330078
252,494.451813
253,499.617004
254,498.208313
255,502.434418
256,501.964874
257,495.860474
258,492.573547
259,500.556183
260,509.947449
261,521.217041
262,515.582275
263,509.947449
264,502.434418
265,516.521362
266,521.217041
267,525.443054
