,0
0,2926.400635
1,3101.259766
2,3008.847168
3,3040.557373
4,2926.400635
5,2999.787109
6,3171.022217
7,3169.209961
8,3109.413818
9,3007.034912
10,3027.873291
11,3083.139648
12,3102.314697
13,3087.788086
14,3048.747803
15,3046.024170
16,3103.222656
17,3158.604492
18,3144.077881
19,3156.788574
20,3225.790039
21,3218.526855
22,3278.448486
23,3391.936768
24,3391.028320
25,3404.647217
26,3404.647217
27,3381.949707
28,3450.042725
29,3431.884521
30,3487.266357
31,3463.661377
32,3437.332031
33,3440.963379
34,3446.410889
35,3430.976318
36,3404.647217
37,3419.173584
38,3445.502930
39,3407.371094
40,3454.582031
41,3450.950684
42,3459.121582
43,3477.279541
44,3411.910400
45,3447.318848
46,3488.174561
47,3427.344971
48,3456.397949
49,3441.871094
50,3469.108398
51,3465.476563
52,3486.358643
53,3478.187500
54,3473.648193
55,3479.095459
56,3471.832275
57,3558.991211
58,3586.228516
59,3586.228516
60,3570.793945
61,3584.412842
62,3586.228516
63,3586.228516
64,3540.833008
65,3539.925049
66,3499.069336
67,3549.004150
68,3549.912109
69,3547.188477
70,3614.373535
71,3582.596924
72,3599.847168
73,3484.542969
74,3446.410889
75,3431.884521
76,3439.147705
77,3432.792236
78,3439.147705
79,3412.818359
80,3349.264893
81,3381.949707
82,3406.463135
83,3473.648193
84,3489.082520
85,3429.160400
86,3427.344971
87,3354.712646
88,3353.804199
89,3468.200195
90,3474.555908
91,3501.793213
92,3492.713867
93,3485.450684
94,3495.437744
95,3466.384521
96,3489.082520
97,3433.700195
98,3446.410889
99,3455.489746
100,3410.094727
101,3431.884521
102,3369.238770
103,3386.489258
104,3362.883545
105,3315.672607
106,3356.528320
107,3368.330811
108,3324.751221
109,3371.962158
110,3387.396973
111,3419.173584
112,3431.884521
113,3317.488037
114,3374.686523
115,3231.237061
116,3184.933838
117,3190.381104
118,3189.473389
119,3186.749512
120,3212.171143
121,3174.039063
122,3120.472412
123,3197.644531
124,3258.474365
125,3245.763672
126,3237.592773
127,3238.500488
128,3263.922119
129,3263.013916
130,3273.001221
131,3204.907959
132,3207.631348
133,3231.237061
134,3224.882080
135,3201.276123
136,3238.500488
137,3245.763672
138,3271.185059
139,3233.960693
140,3251.211426
141,3387.396973
142,3399.199951
143,3429.160400
144,3480.002930
145,3443.687012
146,3380.133545
147,3381.041748
148,3375.593994
149,3394.659912
150,3442.779053
151,3489.990234
152,3468.200195
153,3474.555908
154,3479.095459
155,3476.371582
156,3410.094727
157,3456.397949
158,3434.607910
159,3499.977295
160,3495.437744
161,3581.688721
162,3597.123291
163,3525.398682
164,3520.859131
165,3554.451660
166,3499.977295
167,3391.936768
168,3393.752197
169,3434.607910
170,3500.885254
171,3490.897705
172,3493.621826
173,3505.424561
174,3481.819092
175,3431.884521
176,3476.371582
177,3519.043457
178,3474.555908
179,3517.227295
180,3531.902344
181,3622.253662
182,3620.428711
183,3445.202393
184,3530.989746
185,3574.796631
186,3562.019775
187,3542.854248
188,3499.047607
189,3534.640381
190,3632.292725
191,3600.350342
192,3619.516113
193,3671.536377
194,3721.731201
195,3840.374023
196,3789.266113
197,3753.673584
198,3740.896484
199,3771.013428
200,3812.082520
201,3791.091309
202,3788.353516
203,3777.401855
204,3797.479980
205,3821.208740
206,3813.907715
207,3802.043213
208,3663.322510
209,3658.759033
210,3690.701660
211,3656.934082
212,3616.778076
213,3585.748291
214,3663.322510
215,3974.531738
216,3984.569824
217,4078.571777
218,4064.882324
219,4071.270752
220,4132.417480
221,4122.377930
222,4144.281738
223,4049.367432
224,4042.978760
225,4021.075439
226,4084.960693
227,4066.707031
228,4074.921631
229,4016.512451
230,4082.222412
231,4052.105225
232,4063.969727
233,4040.241455
234,4104.125977
235,4061.231934
236,4188.087402
237,4178.048828
238,4173.485840
239,4177.136230
240,4147.019531
241,4181.699707
242,4133.330078
243,4133.330078
244,4074.921631
245,4070.358643
246,4146.106934
247,4184.437988
248,4270.225098
249,4300.342285
250,4185.350586
251,4166.185059
252,4164.359863
253,4209.079102
254,4151.582031
255,4157.971191
256,4196.301758
257,4159.796387
258,4164.359863
259,4116.902832
260,4692.776367
261,4758.486328
262,4638.018066
263,4531.239746
264,4526.676270
265,4491.996582
266,4503.861328
267,4514.811523
268,4508.423340
269,4461.879395
270,4434.500000
271,4515.724609
272,4454.578125
273,4434.500000
274,4420.811035
275,4426.286621
276,4404.382813
277,4387.042969
278,4424.460938
279,4453.665039
280,4421.723633
281,4556.793945
282,4599.687500
283,4692.776367
284,4732.932617
285,4939.187500
286,4884.429199
287,4933.712402
288,4864.351074
289,4878.953613
290,4784.039551
291,4769.437988
292,4782.214355
293,4833.322266
294,4860.701660
295,4818.719727
296,4727.456055
297,4674.523926
298,4711.029297
299,4736.582520
300,4868.002441
301,4880.779297
302,4858.875977
303,4869.827637
304,4893.555664
305,4995.771484
306,4884.429199
307,4992.121094
308,4813.244141
309,4694.602051
310,4599.687500
311,4426.286621
312,4338.673340
313,4324.070801
314,4394.343750
315,4459.141602
316,4364.226563
317,4225.506348
318,3986.395752
319,3865.927734
320,3719.905762
321,3322.909180
322,3302.830811
323,3161.372314
324,3322.909180
325,3134.905762
326,3087.276367
327,3190.655273
328,2942.545410
329,3216.969971
330,3397.413574
331,3472.598389
332,3424.668213
333,3383.316406
334,3397.413574
335,3260.201416
336,3195.354492
337,3182.197266
338,3552.482422
339,3605.111572
340,3716.948975
341,3735.745361
342,3615.449463
343,3458.501465
344,3584.435791
345,3784.615234
346,3724.467529
347,3692.514160
348,3834.425293
349,4030.845947
350,4071.257568
351,3908.670654
352,4041.183838
353,4080.655762
354,3931.225830
355,3948.142578
356,3918.068604
357,3932.165771
358,3945.323242
359,4011.109619
360,3919.948242
361,3856.980713
362,3900.212158
363,3679.356689
364,3767.698730
365,3827.846924
366,3851.341797
367,3667.139160
368,3744.203857
369,3722.588135
370,3873.897217
371,3820.328369
372,3928.406494
373,3848.522461
374,3881.415771
375,3927.466553
376,4035.544678
377,4100.391602
378,4116.368652
379,4235.724121
380,4024.267334
381,3963.179443
382,3818.448486
383,3929.346191
384,3810.930420
385,3967.878418
386,4132.345703
387,4118.247559
388,4044.942871
389,4164.298340
390,4266.737793
391,4084.414307
392,4009.229980
393,3857.920898
394,3953.781494
395,3914.309326
396,3922.767822
397,3937.804688
398,3912.429688
399,4063.739258
400,4037.424561
401,3983.854980
402,4135.164551
403,4164.298340
404,4163.358887
405,4134.225098
406,4193.432617
407,4197.191895
408,4158.660156
409,4217.868164
410,4168.997559
411,4199.071777
412,4232.904785
413,4184.035156
414,4201.890625
415,4411.468750
416,4343.802734
417,4291.173340
418,4185.914063
