,0
0,236.371429
1,236.023880
2,233.034393
3,225.665207
4,219.964478
5,218.991196
6,217.600784
7,213.777130
8,208.493515
9,198.273941
10,200.985260
11,199.386261
12,198.134918
13,197.161636
14,196.744507
15,193.685547
16,194.728394
17,195.701630
18,197.926346
19,197.231140
20,206.825058
21,213.081894
22,215.376129
23,216.001801
24,216.210327
25,215.028488
26,214.750412
27,215.862793
28,218.504578
29,217.878876
30,224.552887
31,221.911102
32,225.109100
33,226.012848
34,228.932709
35,231.713562
36,226.499466
37,227.959412
38,228.585114
39,225.387146
40,227.333740
41,228.515594
42,229.697418
43,229.280334
44,226.499466
45,220.868256
46,225.665207
47,226.151886
48,227.125168
49,226.916626
50,226.708008
51,233.868713
52,233.521103
53,238.318039
54,239.847504
55,239.986572
56,238.735214
57,244.296844
58,243.254028
59,245.756775
60,255.350723
61,255.489777
62,255.142136
63,254.585968
64,252.083206
65,253.682190
66,253.473618
67,255.767776
68,256.880157
69,260.008575
70,264.944580
71,270.506317
72,269.463501
73,264.318909
74,262.511353
75,260.008575
76,256.532562
77,257.436310
78,257.505829
79,258.131470
80,259.730530
81,259.104858
82,264.457916
83,269.533020
84,265.987427
85,268.281647
86,267.377869
87,264.944580
88,271.131989
89,275.025146
90,272.591888
91,275.303192
92,277.806000
93,276.693634
94,275.303192
95,274.608002
96,274.608002
97,274.260406
98,274.260406
99,274.468964
100,274.260406
101,275.650818
102,269.741516
103,271.549072
104,268.698730
105,268.768250
106,267.099762
107,268.559692
108,264.597046
109,268.907288
110,269.741516
111,269.602478
112,267.795013
113,265.431274
114,266.891205
115,264.179901
116,252.291779
117,241.585556
118,251.666046
119,247.147217
120,248.190018
121,245.200592
122,244.366364
123,243.949249
124,244.018768
125,241.029343
126,239.708450
127,239.152298
128,238.109482
129,233.173492
130,230.392624
131,229.280334
132,231.922165
133,232.130692
134,232.756409
135,231.063110
136,228.029312
137,222.243881
138,222.949417
139,224.572113
140,233.250275
141,235.155167
142,239.317886
143,235.578537
144,237.836227
145,239.035614
146,241.998932
147,238.400635
148,236.495728
149,236.707382
150,237.554047
151,241.716675
152,247.431564
153,250.606415
154,251.876404
155,252.158600
156,250.465317
157,252.581940
158,251.946960
159,264.787720
160,266.410431
161,268.456512
162,265.281586
163,260.201721
164,261.048340
165,256.109589
166,250.747513
167,246.232147
168,246.161560
169,244.821045
170,246.373230
171,246.232147
172,245.173767
173,244.115463
174,242.704422
175,237.624557
176,239.811722
177,245.526611
178,245.597107
179,246.937653
180,254.698563
181,250.465317
182,257.591278
183,250.324219
184,250.324219
185,252.440842
186,254.627960
187,244.750458
188,252.229156
189,263.799957
190,264.858276
191,264.082153
192,270.149811
193,273.042450
194,269.303131
195,271.631409
196,265.916534
197,263.447174
198,264.223297
199,263.941071
200,268.244843
201,267.680389
202,270.290955
203,267.398163
204,266.974823
205,272.689728
206,267.680389
207,266.622070
208,262.812225
209,259.637299
210,258.790649
211,251.241409
212,246.443726
213,244.538818
214,245.314987
215,268.033203
216,265.704895
217,274.030243
218,269.655914
219,269.020905
220,269.726410
221,265.846008
222,262.247803
223,256.109589
224,255.756836
225,258.367279
226,258.790649
227,260.766174
228,258.367279
229,261.260071
230,264.999390
231,269.796997
232,266.057678
233,259.848969
234,264.928833
235,263.306030
236,266.692657
237,251.735321
238,262.459473
239,262.036072
240,266.551544
241,272.760315
242,273.042450
243,270.502533
244,262.189240
245,265.670898
246,270.360443
247,271.639404
248,268.086700
249,273.700012
250,268.726196
251,270.573578
252,267.305145
253,270.644653
254,272.349945
255,275.121094
256,281.515930
257,275.902679
258,277.323730
259,278.105316
260,291.108215
261,299.066284
262,293.760681
263,292.671417
