,0
0,406.338959
1,398.772156
2,380.838715
3,389.540558
4,385.227478
5,391.053864
6,390.826965
7,389.086578
8,387.951508
9,384.849152
10,376.298523
11,380.233337
12,372.590881
13,374.709564
14,377.509308
15,367.634583
16,380.384766
17,375.277100
18,383.865356
19,384.924774
20,394.080627
21,394.080627
22,393.323975
23,395.669617
24,398.772156
25,394.383301
26,394.080627
27,395.518402
28,390.448639
29,386.665161
30,395.972351
31,395.064270
32,387.875793
33,384.773438
34,387.346130
35,383.562775
36,374.482574
37,380.611664
38,386.967834
39,393.550873
40,394.610321
41,393.550873
42,413.905792
43,419.202606
44,414.132843
45,411.635681
46,411.862671
47,412.543793
48,417.083832
49,415.117798
50,417.113129
51,412.892090
52,411.971191
53,413.966583
54,413.582825
55,412.201447
56,412.124664
57,409.054810
58,409.822235
59,410.129303
60,409.054810
61,411.433899
62,413.122314
63,412.892090
64,414.964203
65,410.052490
66,411.050171
67,411.817596
68,420.413177
69,422.024933
70,417.880524
71,425.171478
72,428.624939
73,426.859802
74,432.692474
75,423.713257
76,420.720154
77,422.562103
78,418.878235
79,422.562103
80,428.624939
81,429.162201
82,432.692474
83,430.006287
84,429.469116
85,436.376251
86,443.743896
87,440.520538
88,442.208954
89,439.446136
90,437.911224
91,437.374054
92,435.992523
93,438.985596
94,435.685608
95,447.043976
96,437.604187
97,436.913605
98,426.783173
99,424.020142
100,429.008789
101,423.636566
102,420.183014
103,420.643463
104,409.208313
105,413.122314
106,409.433594
107,408.420807
108,410.056824
109,416.523590
110,420.263519
111,428.288452
112,433.197052
113,434.131958
114,436.391510
115,436.703156
116,423.925323
117,424.237061
118,425.016144
119,421.743805
120,421.743805
121,420.808899
122,423.847443
123,424.314941
124,418.860992
125,423.457947
126,429.924774
127,432.807434
128,433.976166
129,421.354248
130,419.951843
131,419.873932
132,417.614410
133,425.327820
134,421.977478
135,427.976929
136,433.352844
137,428.755981
138,429.301422
139,432.028412
140,429.067688
141,427.431488
142,434.677521
143,433.119232
144,425.639496
145,425.327820
146,422.678772
147,425.327820
148,425.717346
149,425.171997
150,425.249878
151,425.405731
152,422.367188
153,423.535797
154,411.381378
155,401.798096
156,403.356354
157,407.485687
158,410.835938
159,407.875305
160,407.953156
161,407.485687
162,410.602295
163,423.224152
164,425.171997
165,419.718140
166,410.524414
167,401.720184
168,395.019623
169,393.928802
170,398.402802
171,398.402802
172,396.739197
173,401.571716
174,394.521057
175,387.945679
176,388.341736
177,396.184601
178,390.837250
179,395.194427
180,391.708618
181,386.598938
182,386.638550
183,395.115204
184,398.402802
185,396.263885
186,399.115753
187,398.402802
188,401.650879
189,401.650879
190,396.897644
191,399.908051
192,406.166565
193,405.691193
194,399.274261
195,399.279785
196,415.593781
197,409.572998
198,408.067810
199,409.493774
200,412.741852
201,411.078247
202,404.899017
203,402.997650
204,407.434082
205,411.395081
206,408.622375
207,407.354889
208,389.767761
209,384.143036
210,392.065186
211,397.927460
212,397.372955
213,401.096344
214,397.689819
215,390.995667
216,390.361877
217,388.341736
218,385.172943
219,386.796967
220,384.261841
221,388.183350
222,395.432037
223,401.175598
224,404.027496
225,405.611969
226,405.611969
227,390.203430
228,396.580750
229,387.628815
230,393.808044
231,404.899017
232,409.097656
233,407.275635
234,413.409607
235,409.145935
236,407.617554
237,411.800720
238,410.915741
239,407.295746
240,409.387207
241,403.675690
242,403.756134
243,399.894714
244,400.015381
245,401.423157
246,402.468964
247,396.676880
248,393.660217
249,391.045685
250,386.299438
251,387.546356
252,378.134216
253,379.984497
254,374.353241
255,380.587799
256,379.099579
257,377.530823
258,372.663879
259,377.571075
260,372.020355
261,376.485138
262,385.213440
263,385.575439
264,389.074799
265,390.200989
266,393.418823
267,392.332855
268,389.316101
269,384.931763
270,379.381104
271,386.822327
272,397.441132
273,405.525848
274,401.262329
275,397.642273
276,395.832214
277,398.406525
278,399.894714
279,398.929413
280,398.366241
281,400.498108
282,399.331604
283,396.998718
284,394.464661
285,386.540802
286,387.868164
287,391.045685
288,383.684906
289,387.546356
290,384.449127
291,375.761108
292,367.394684
293,364.177002
294,379.340881
295,389.597717
296,382.116241
297,378.093964
298,373.749908
299,377.852661
300,381.794495
301,376.478851
302,373.941437
303,377.338257
304,374.473480
305,378.811554
306,381.594574
307,371.240295
308,358.716919
309,350.900116
310,350.654449
311,338.990540
312,324.257141
313,336.616852
314,339.645416
315,345.947968
316,341.077850
317,323.479553
318,260.453461
319,269.211578
320,259.593994
321,225.093338
322,226.157410
323,212.283478
324,212.528992
325,191.288406
326,197.058975
327,206.021805
328,210.278107
329,255.665115
330,277.806091
331,275.841614
332,250.058273
333,264.873444
334,281.735046
335,273.140533
336,289.224487
337,276.087189
338,274.900360
339,279.115753
340,274.491089
341,274.818451
342,262.827148
343,245.310791
344,238.967255
345,248.462128
346,247.438950
347,239.949509
348,254.355453
