,0
0,1627.064087
1,1590.667603
2,1540.790771
3,1555.169678
4,1524.165161
5,1552.024414
6,1587.522339
7,1597.857178
8,1573.592773
9,1537.196045
10,1546.632080
11,1556.517578
12,1543.403564
13,1548.829956
14,1510.843994
15,1508.583130
16,1555.161133
17,1569.631714
18,1560.587524
19,1468.336060
20,1535.715820
21,1537.524780
22,1570.536255
23,1618.923096
24,1575.510620
25,1584.102661
26,1589.981445
27,1594.955688
28,1589.981445
29,1592.242554
30,1616.661987
31,1614.401001
32,1606.261108
33,1653.291382
34,1648.316895
35,1614.853149
36,1589.981445
37,1589.981445
38,1638.368286
39,1629.323853
40,1656.456787
41,1635.202637
42,1698.512573
43,1689.920532
44,1669.118896
45,1690.372803
46,1726.097656
47,1750.517212
48,1774.484497
49,1769.057861
50,1766.344604
51,1767.701172
52,1772.223267
53,1761.370117
54,1751.421509
55,1769.510010
56,1787.146362
57,1769.510010
58,1738.759521
59,1708.913574
60,1761.370117
61,1766.344604
62,1766.796753
63,1695.347046
64,1683.137573
65,1665.048828
66,1677.258545
67,1682.232910
68,1679.519653
69,1681.328613
70,1675.449707
71,1686.302856
72,1713.887817
73,1710.722168
74,1708.461304
75,1663.240112
76,1668.214233
77,1698.060425
78,1715.244385
79,1736.950684
80,1767.701172
81,1764.083496
82,1785.337646
83,1749.160400
84,1769.962280
85,1791.216187
86,1772.223267
87,1747.803955
88,1752.325806
89,1770.866699
90,1760.917969
91,1772.675537
92,1767.701172
93,1789.859863
94,1821.514648
95,1797.547119
96,1816.992310
97,1804.330566
98,1814.279175
99,1818.801392
100,1824.227905
101,1816.088135
102,1775.388794
103,1808.852539
104,1741.020752
105,1754.587158
106,1717.957886
107,1737.855225
108,1685.850708
109,1730.619873
110,1737.855225
111,1635.202637
112,1675.449707
113,1629.776245
114,1650.578003
115,1654.647949
116,1615.305298
117,1635.655029
118,1627.062988
119,1569.631714
120,1569.179810
121,1533.002563
122,1537.524780
123,1566.466309
124,1578.676025
125,1578.676025
126,1611.687744
127,1609.878906
128,1634.750488
129,1604.000000
130,1575.962891
131,1575.058350
132,1585.459351
133,1623.445313
134,1600.834595
135,1609.878906
136,1612.592285
137,1632.037231
138,1625.706421
139,1609.878906
140,1647.167969
141,1714.380615
142,1735.557251
143,1740.621094
144,1760.876953
145,1794.943481
146,1806.912964
147,1808.294067
148,1782.974121
149,1772.385986
150,1796.784912
151,1846.043579
152,1832.693115
153,2096.479248
154,2159.088623
155,2147.118896
156,2143.436035
157,2123.180420
158,2119.497314
159,2072.540527
160,2065.174805
161,2113.052246
162,2125.942383
163,2084.510254
164,2079.906494
165,2137.911865
166,2070.699219
167,1991.517334
168,1988.755005
169,1984.151489
170,2041.235962
171,2039.394653
172,1973.102905
173,1969.419922
174,1928.908325
175,1903.128052
176,1935.353271
177,1949.164185
178,1941.798340
179,2029.267090
180,1953.767822
181,1965.737061
182,1941.798340
183,1947.322754
184,1994.279663
185,1992.437744
186,2011.773071
187,2012.693848
188,2047.681396
189,2080.827148
190,2073.461182
191,2055.046875
192,2007.169434
193,2012.693848
194,1997.962402
195,2002.565796
196,1968.499146
197,2002.565796
198,1951.926270
199,1962.974976
200,2028.345947
201,2010.852417
202,1951.005615
203,1939.036133
204,1969.419922
205,1997.041504
206,2001.645386
207,1941.798340
208,1847.885010
209,1843.281372
210,1878.268799
211,1884.713623
212,1865.378540
213,1872.744385
214,1885.634521
215,1845.122681
216,1835.455078
217,1821.644409
218,1781.593140
219,1763.178711
220,1727.270508
221,1736.938232
222,1777.449829
223,1788.498413
224,1823.485718
225,1861.695679
226,1888.396606
227,1886.555176
228,1889.317383
229,1881.951660
230,1873.665161
231,1898.524658
232,1904.048828
233,1909.573242
234,1950.084717
235,1881.951660
236,1875.506592
237,1919.701172
238,1896.682983
239,1960.212769
240,1981.389160
241,1917.859741
242,1913.255981
243,1887.475830
244,1869.982300
245,1871.823608
246,1922.463135
247,1927.066772
248,1928.908325
249,1932.591187
250,1937.194824
251,1846.043579
252,1813.818481
253,1830.391357
254,1887.475830
255,1933.511841
256,1934.432617
257,1944.560669
258,1916.938843
259,1896.682983
260,1951.926270
261,1997.041504
262,1986.913696
263,2014.535156
264,1990.749878
265,2027.769897
266,2068.492188
267,2057.385742
268,2066.640869
269,2055.534668
270,2040.726807
271,2037.024902
272,2058.311523
273,2024.993286
274,2002.781250
275,2013.887573
276,2053.683838
277,2051.832764
278,2074.970459
279,2101.809814
280,2140.680664
281,2137.904297
282,2155.488770
283,2107.362793
284,2094.405762
285,1989.824219
286,1937.996216
287,1942.623901
288,1849.611084
289,1860.254272
290,1873.211304
291,1864.881836
292,1807.500977
293,1831.563965
294,1874.136963
295,1882.466431
296,1866.732910
297,1864.881836
298,1847.297485
299,1837.579590
300,1888.944946
301,1874.136963
302,1849.611084
303,1856.552368
304,1831.101074
305,1863.030884
306,1776.959351
307,1731.147217
308,1661.272095
309,1623.326538
310,1621.012817
311,1550.674683
312,1526.149048
313,1537.255005
314,1575.663208
315,1577.051514
316,1540.494263
317,1478.948486
318,1397.967285
319,1407.222290
320,1338.272705
321,1208.239868
322,1283.205322
323,1149.470581
324,1130.497803
325,1020.826233
326,1053.681396
327,1072.654053
328,1004.167236
329,1156.874634
330,1253.589233
331,1290.146484
332,1226.749878
333,1212.404663
334,1225.824341
335,1142.992310
336,1155.023682
337,1156.874634
338,1230.914551
339,1290.609253
340,1322.539063
341,1354.468872
342,1329.943237
343,1296.162231
344,1295.699707
345,1361.872803
346,1345.676636
347,1285.519043
348,1248.499146
349,1239.706909
350,1194.820190
351,1247.110962
352,1290.609253
353,1334.570679
354,1286.444580
355,1273.950439
356,1229.989014
357,1247.573608
358,1235.542114
359,1281.817017
360,1269.322876
361,1277.189575
362,1258.216797
363,1201.298584
