,0
0,210.052780
1,209.851501
2,203.692429
3,203.289856
4,200.149948
5,203.088608
6,202.806808
7,202.444504
8,202.525024
9,201.317352
10,196.446457
11,200.029190
12,201.317352
13,200.472015
14,195.963364
15,191.630157
16,195.610489
17,195.405334
18,196.964630
19,197.046707
20,194.789825
21,195.282227
22,189.578445
23,190.809464
24,191.671188
25,191.260864
26,187.608810
27,188.716721
28,186.952271
29,190.276031
30,196.061859
31,195.323242
32,195.323242
33,195.241180
34,193.887054
35,194.010147
36,193.681870
37,192.286713
38,192.040527
39,190.727402
40,188.757751
41,189.373276
42,191.999481
43,190.768433
44,187.813995
45,187.075348
46,188.306366
47,186.952271
48,188.306366
49,187.978119
50,189.742584
51,191.219818
52,190.399139
53,188.224319
54,189.496368
55,187.157425
56,186.623962
57,180.550903
58,176.857803
59,176.201279
60,175.996063
61,175.585770
62,177.842636
63,178.047806
64,177.842636
65,177.063019
66,176.816788
67,179.196777
68,179.319870
69,181.371582
70,184.654327
71,185.639160
72,187.116409
73,187.075348
74,187.075348
75,185.228790
76,181.781937
77,182.766769
78,184.654327
79,183.628479
80,182.971924
81,183.136063
82,183.833649
83,185.475021
84,186.295700
85,183.710541
86,183.464355
87,183.956757
88,184.202957
89,184.613297
90,184.531235
91,186.582962
92,188.675690
93,189.332230
94,188.634674
95,186.829147
96,184.859512
97,184.613297
98,188.757751
99,188.675690
100,187.978119
101,187.937088
102,185.269852
103,185.885361
104,184.572266
105,179.935379
106,172.959579
107,171.359238
108,168.486832
109,169.635773
110,168.404755
111,168.158524
112,166.394073
113,166.804428
114,166.927505
115,167.419937
116,162.922577
117,161.067810
118,161.363251
119,160.854446
120,159.672638
121,159.016098
122,159.869614
123,165.491302
124,165.450287
125,165.121994
126,170.046127
127,170.579559
128,171.236115
129,171.113007
130,171.933701
131,169.307510
132,169.923019
133,171.523361
134,169.635773
135,166.722351
136,165.245117
137,159.869614
138,161.281204
139,161.855682
140,163.103119
141,161.231964
142,160.362045
143,161.675140
144,164.137192
145,164.301331
146,162.791260
147,162.331696
148,160.755966
149,157.883560
150,158.655014
151,157.620941
152,155.930344
153,155.930344
154,155.848236
155,155.585632
156,155.093216
157,153.484695
158,155.995987
159,155.799011
160,155.322998
161,157.555283
162,159.672638
163,157.785065
164,158.540115
165,159.147415
166,152.664001
167,150.497391
168,151.088272
169,151.334473
170,151.282181
171,150.759201
172,150.079330
173,149.992157
174,146.156921
175,143.280518
