,0
0,2002.296021
1,1972.644653
2,1924.048950
3,1950.406006
4,1960.289429
5,1966.055176
6,2013.826782
7,2036.889282
8,2027.828979
9,1991.588379
10,1976.762451
11,1989.117432
12,1966.878784
13,1997.354126
14,1989.117432
15,1970.173462
16,2014.650635
17,2019.592773
18,2031.123779
19,1998.177734
20,2011.356079
21,2004.766968
22,2009.708862
23,2027.005371
24,2041.831177
25,2066.541016
26,2075.600830
27,2086.308350
28,2078.895264
29,2079.718994
30,2097.015625
31,2105.252197
32,2094.544922
33,2100.310059
34,2087.132080
35,2050.067627
36,2065.717041
37,2068.188232
38,2082.189941
39,2106.899170
40,2170.320801
41,2174.438965
42,2202.443115
43,2179.380859
44,2175.262695
45,2157.966064
46,2171.144287
47,2152.200439
48,2218.916016
49,2028.652832
50,2110.194580
51,2111.841553
52,2168.673340
53,2183.499268
54,2175.262695
55,2175.262695
56,2175.262695
57,2157.966064
58,2094.544922
59,2088.779297
60,2122.548828
61,2132.432861
62,2139.845703
63,2126.667480
64,2124.196289
65,2119.254395
66,2151.376709
67,2160.436768
68,2155.494873
69,2160.436768
70,2157.142334
71,2173.615479
72,2162.907715
73,2129.138184
74,2179.380859
75,2134.903809
76,2141.492920
77,2167.026123
78,2156.318848
79,2149.729492
80,2153.847656
81,2146.434814
82,2172.791504
83,2117.606934
84,2104.428711
85,2123.372803
86,2107.723389
87,2105.252197
88,2120.078125
89,2111.841553
90,2157.966064
91,2188.441162
92,2194.206543
93,2214.797607
94,2227.976318
95,2260.922119
96,2265.864258
97,2271.629883
98,2269.982666
99,2250.214844
100,2257.627686
101,2243.625977
102,2271.629883
103,2275.748047
104,2250.214844
105,2268.335205
106,2259.274902
107,2250.214844
108,2232.094727
109,2256.804199
110,2302.104980
111,2340.816406
112,2358.937012
113,2200.795654
114,2280.689941
115,2350.700195
116,2306.222900
117,2356.466064
118,2363.055176
119,2341.640137
120,2356.466064
121,2349.052979
122,2346.582275
123,2339.992920
124,2387.764404
125,2373.762451
126,2398.472412
127,2405.885010
128,2422.358154
129,2421.534424
130,2400.943115
131,2393.530273
132,2398.472412
133,2419.063232
134,2399.295654
135,2436.359863
136,2447.067627
137,2459.422363
138,2470.953613
139,2452.833008
140,2427.300049
141,2447.891113
142,2454.480469
143,2503.899414
144,2531.903809
145,2525.736572
146,2504.593506
147,2492.260010
148,2450.854492
149,2401.520508
150,2394.472412
151,2385.662842
152,2385.662842
153,2379.496094
154,2405.044189
155,2417.377686
156,2409.448975
157,2407.687012
158,2427.949219
159,2414.734619
160,2460.545166
161,2487.855225
162,2518.689209
163,2525.736572
164,2498.426758
165,2553.047119
166,2511.641357
167,2442.925781
168,2437.639893
169,2493.140869
170,2465.830811
171,2408.568115
172,2427.068359
173,2386.543701
174,2377.734131
175,2369.805420
176,2392.710693
177,2391.829590
178,2370.686279
179,2412.091797
180,2362.757568
181,2350.424072
182,2368.924316
183,2378.615234
184,2388.305664
185,2405.044189
186,2427.949219
187,2466.711914
188,2498.426758
189,2484.331055
190,2476.402832
191,2391.829590
192,2341.614258
193,2394.472412
194,2385.662842
195,2288.756348
196,2305.494629
197,2336.328613
198,2353.066895
199,2361.876709
200,2318.709229
201,2290.518311
202,2290.518311
203,2292.280273
204,2313.423584
205,2333.685791
206,2340.733398
207,2343.376221
208,2252.636475
209,2239.422119
210,2280.827393
211,2242.945801
212,2266.731934
213,2266.731934
214,2242.945801
215,2239.422119
216,2224.445801
217,2213.873779
218,2159.253906
219,2114.324707
220,2119.610596
221,2108.157715
222,2105.514893
223,2123.134277
224,2118.729248
225,2050.013916
226,2025.346924
227,2043.847046
228,2067.633301
229,2070.275879
230,2074.680664
231,2063.228271
232,2058.823486
233,2076.442871
234,2085.252686
235,2084.371826
236,2076.442871
237,2078.204834
238,2205.064209
239,2251.755615
240,2181.278076
241,2161.896729
242,2138.991699
243,2115.205566
244,2137.229492
245,2189.206787
246,2235.898438
247,2271.137207
248,2308.137695
249,2272.898682
250,2272.017822
251,2229.731445
252,2223.564697
253,2202.421143
254,2196.254395
255,2212.992676
256,2212.112305
257,2178.635254
258,2203.302490
259,2173.349609
260,2183.039795
261,2200.659180
262,2227.969482
263,2259.684326
264,2236.779053
265,2227.088623
266,2280.827393
267,2270.255859
268,2293.160889
269,2280.827393
270,2259.684326
271,2283.470703
272,2294.923096
273,2315.185059
274,2308.137695
275,2306.375488
276,2314.304443
277,2344.257324
278,2360.995605
279,2388.305664
280,2420.901611
281,2440.282959
282,2436.758789
283,2448.211670
284,2448.211670
285,2424.425293
286,2427.949219
287,2456.140381
288,2442.044678
289,2462.307129
290,2458.783203
291,2466.711914
292,2454.378174
293,2470.235840
294,2486.974121
295,2503.712402
296,2503.712402
297,2475.521484
298,2450.854492
299,2462.307129
300,2451.735596
301,2539.832275
302,2501.950439
303,2512.522217
304,2496.664795
305,2520.450928
306,2471.997559
307,2464.949951
308,2404.163086
309,2331.042725
310,2340.733398
311,2295.804199
312,2179.516113
313,2215.635986
314,2274.660889
315,2294.041992
316,2250.874512
317,2177.754150
318,1961.916870
319,1905.535156
320,1745.639282
321,1511.741943
322,1631.113281
323,1386.644409
324,1316.166992
325,1354.489136
326,1405.585327
327,1491.039185
328,1434.216797
329,1585.743408
330,1538.611450
331,1539.052002
332,1434.216797
333,1450.074219
334,1530.242310
335,1486.193970
336,1472.979370
337,1468.134155
338,1617.458252
339,1719.209961
340,1683.971313
341,1787.485229
342,1753.567871
343,1674.280762
344,1698.507324
345,1766.342041
346,1722.734009
347,1641.684814
348,1698.507324
349,1714.805176
350,1739.912720
351,1777.794556
352,1810.390381
353,1849.153076
354,1775.151733
355,1754.889160
356,1719.650513
357,1705.114624
358,1698.507324
359,1670.756714
360,1628.910767
361,1643.446777
362,1607.327148
363,1573.409912
364,1597.195923
365,1661.506714
366,1639.482422
367,1639.482422
368,1635.958618
369,1650.935059
370,1685.292725
371,1781.318481
372,1832.414673
373,1795.413818
374,1818.318970
375,1829.771729
376,1887.915649
