,0
0,107.457497
1,107.614883
2,107.024666
3,109.857689
4,104.821213
5,105.450783
6,108.047707
7,108.755951
8,108.598564
9,106.670555
10,104.663841
11,105.647514
12,106.867287
13,107.024666
14,106.119682
15,102.302994
16,105.765549
17,106.159035
18,107.024666
19,108.047707
20,108.047707
21,103.286690
22,103.286690
23,102.853859
24,104.506447
25,106.395103
26,105.214699
27,106.001648
28,106.355759
29,106.040993
30,107.929657
31,105.568817
32,105.529480
33,103.207977
34,105.765549
35,106.277069
36,106.355759
37,108.637909
38,108.165733
39,107.339447
40,106.788589
41,107.654236
42,110.605278
43,108.755951
44,109.424850
45,107.182053
46,107.614883
47,108.874008
48,108.795303
49,109.739632
50,108.244446
51,108.165733
52,109.228119
53,107.969002
54,95.338524
55,96.440247
56,98.446953
57,98.958481
58,99.666725
59,97.974785
60,97.148491
61,97.187843
62,96.912415
63,95.810684
64,96.558296
65,95.495911
66,95.613960
67,95.928726
68,96.204163
69,95.023750
70,94.945045
71,95.692642
72,96.755028
73,94.984406
74,94.551575
75,93.882683
76,92.898994
77,92.977684
78,91.521835
79,90.420105
80,89.869240
81,89.042946
82,90.223373
83,89.790550
84,88.177315
85,87.114929
86,86.721466
87,86.209946
88,87.311668
89,86.682114
90,85.973854
91,85.816475
92,84.203239
93,83.967148
94,83.219551
95,84.596703
96,83.494980
97,81.960442
98,83.691719
99,83.258896
100,83.613022
101,82.668686
102,82.235863
103,82.944122
104,83.494980
105,82.629333
106,80.576431
107,79.207832
108,81.602898
109,81.243637
110,81.277847
111,80.388260
112,79.960564
113,80.011887
114,81.004128
115,80.234291
116,80.063210
117,79.396011
118,80.114540
119,80.319824
120,80.405357
121,79.994766
122,80.508011
123,80.439575
124,80.798836
125,81.397606
126,81.996353
127,81.808174
128,80.302711
129,78.437996
130,77.958992
131,78.284027
132,76.367989
133,78.301140
134,77.685265
135,75.341537
136,76.214020
137,75.769226
138,75.119133
139,74.759880
140,73.836075
141,75.084923
142,75.769226
143,76.932541
144,76.231125
145,74.896736
146,75.341537
147,74.178230
148,75.067818
149,74.708549
150,75.067818
151,75.478394
152,76.128487
153,75.358635
154,75.392853
155,76.761467
156,77.206253
157,75.512619
158,76.162697
159,76.128487
160,73.818962
161,74.828308
162,77.702377
163,62.938576
164,65.077019
165,63.246517
166,62.767502
167,60.919891
168,59.294678
169,58.490631
170,57.789204
171,56.848293
172,56.027138
173,55.907391
174,56.027138
175,55.565239
176,55.975822
177,56.711445
178,55.240192
179,55.462585
180,55.702099
181,56.061356
182,57.019375
183,57.754997
184,58.422195
185,59.619717
186,60.064518
187,60.150051
188,59.773685
189,59.106495
190,58.045830
191,57.994503
192,60.252701
193,62.322708
194,63.965038
195,64.871735
196,64.119003
197,62.356926
198,62.254276
199,62.938576
200,62.750404
201,61.381794
202,60.492203
203,60.902782
204,62.271393
205,62.835934
206,63.075443
207,62.955692
208,60.543518
209,59.431549
210,59.585503
211,61.125183
212,59.346001
213,58.165585
214,58.270550
215,60.142342
216,59.057743
217,61.261921
218,61.139462
219,60.999516
220,61.226925
221,63.151199
222,63.938404
223,64.900543
224,64.655640
225,63.448586
226,64.043365
227,62.416485
228,63.116219
229,63.466084
230,62.346504
231,62.783836
232,62.101601
233,63.466084
234,62.364006
235,63.798458
236,64.235794
237,65.425346
238,65.162949
239,64.533188
240,64.410728
241,65.197937
242,64.340752
243,63.588535
244,69.378853
245,71.985374
246,72.650124
247,72.072845
248,71.897911
249,70.900780
250,70.166061
251,68.749092
252,68.276772
253,69.098961
254,69.921158
255,70.638382
256,71.023232
257,70.026108
258,71.005745
259,70.585899
260,76.796059
261,78.930252
262,78.877769
263,78.545403
264,78.283005
265,77.985619
266,78.632866
267,78.772812
268,79.245140
269,78.825294
270,78.108070
271,78.860291
272,79.140175
273,78.352974
274,76.673615
275,77.163422
276,76.533661
277,74.994240
278,76.603638
279,78.492920
280,79.909897
281,79.455063
282,81.221901
283,81.781685
284,80.837044
285,81.519279
286,79.245140
287,79.822426
288,77.880653
289,77.268387
290,76.726089
291,75.991364
292,74.207031
293,74.941757
294,73.419830
295,73.647247
296,74.346977
297,74.469437
298,72.317749
299,71.827927
300,74.154556
301,62.818825
302,62.329014
303,63.536049
304,64.428223
305,65.530312
306,68.224297
307,69.431335
308,67.157188
309,66.474945
310,67.087219
311,66.912277
312,63.081234
313,64.113342
314,64.515686
315,66.772331
316,66.037621
317,61.017010
318,50.328537
319,48.299301
320,46.305050
321,38.091896
322,37.890720
323,37.033546
324,34.357052
325,34.033424
326,37.768269
327,38.004433
328,34.208359
329,36.666180
330,38.468006
331,37.654556
332,34.960579
333,33.569851
334,33.307449
335,32.459023
336,29.668818
337,27.849504
338,27.534624
339,28.321829
340,29.458899
341,31.120775
342,29.004070
343,27.569613
344,28.041935
345,27.823265
346,28.094414
347,27.429665
348,26.423794
349,27.762037
350,28.234360
351,29.738794
352,31.418161
353,36.255093
354,34.899353
355,34.269588
356,33.902225
357,35.319191
358,34.243351
359,38.335258
360,34.954147
361,34.224136
362,33.695839
363,33.859131
364,34.617962
365,37.806957
366,35.751400
367,36.068378
368,35.050201
369,33.897552
370,36.529434
371,37.710903
372,37.509190
373,35.079018
374,36.481407
375,37.019318
376,38.191177
377,37.874199
378,41.101624
379,42.792175
380,41.341759
381,40.179504
382,38.536976
383,41.457024
384,40.909515
385,41.716366
386,41.168861
387,40.275558
388,41.312943
389,39.804890
390,40.486874
391,38.604206
392,37.163395
393,37.173000
394,37.739727
395,37.019318
396,38.748291
397,38.901981
398,38.998032
399,38.479343
400,38.066307
401,38.114334
402,36.500618
403,37.682091
404,38.162361
405,37.931831
406,39.209354
407,39.286198
408,39.651199
409,39.315014
410,39.843311
411,40.217918
412,38.777107
413,45.279984
414,46.211712
415,48.968468
416,48.430561
417,47.124222
418,46.845669
419,47.546864
420,46.912907
421,46.096447
422,45.308796
423,44.396282
424,45.693012
425,47.479626
426,46.807243
427,45.702625
428,44.790108
429,44.934189
430,43.512585
431,43.867985
432,44.098515
433,43.378109
434,43.743114
435,43.003498
436,42.081375
437,42.235065
438,44.223385
439,43.762325
440,44.828526
441,44.617210
442,43.791142
443,44.088913
444,43.397320
445,43.474159
446,42.820995
447,42.014137
448,41.994926
449,41.418602
450,41.716366
451,41.015171
452,40.141079
453,37.701302
454,37.845387
455,37.403530
456,37.355507
457,38.469734
458,39.228561
459,38.277622
460,38.508156
461,38.604206
462,39.122902
463,39.593571
464,39.708832
465,39.305405
466,40.237129
467,39.487911
468,39.574360
469,38.815529
470,39.190144
471,38.056702
472,38.546577
473,38.296837
474,38.440918
475,38.498554
476,39.103691
477,39.555149
478,38.825138
479,38.219997
480,36.500618
481,35.828239
482,35.712978
483,35.828239
484,37.028923
485,37.413139
486,37.739727
487,37.211430
488,41.860451
489,42.648094
490,42.561649
491,41.908478
492,42.081375
493,43.166786
494,42.494411
495,43.560612
496,42.455990
497,42.004532
498,41.783607
499,43.551003
500,45.270378
501,44.050488
502,43.944828
503,42.379143
504,43.493370
505,43.704693
506,43.666271
507,44.136940
508,42.705727
509,42.705727
510,43.618244
511,42.235065
512,41.745186
513,39.814495
514,39.872124
515,41.399387
516,42.139008
517,41.697159
518,40.160290
519,40.909515
520,43.032314
521,42.926655
522,44.098515
523,44.012066
524,44.761288
525,44.646027
526,45.904335
527,48.776360
528,47.748577
529,48.180820
530,48.142403
531,48.603458
532,47.614101
533,49.179790
534,48.622673
535,47.566078
536,48.411354
537,49.602425
538,49.045311
539,48.123188
540,47.229881
541,47.393177
542,49.506371
543,50.889549
544,49.736900
545,49.948219
546,49.410313
547,49.794533
548,49.410313
549,49.736900
550,50.697437
551,50.966396
552,51.888515
553,51.158504
554,51.177711
555,52.253525
556,51.734829
557,50.678230
558,50.274803
559,49.852165
560,49.467953
561,50.101910
562,51.389034
563,49.948219
564,50.678230
565,51.754040
566,51.715622
567,51.715622
568,50.697437
569,49.890587
570,49.929008
571,49.487160
572,49.948219
573,49.621635
574,51.773254
575,52.810635
576,53.963291
577,53.271694
578,51.715622
579,50.659023
580,50.793499
581,49.852165
582,49.602425
583,49.333473
584,49.429527
585,49.506371
586,50.428490
587,52.003784
588,53.790390
589,53.521439
590,54.174610
591,54.366718
592,55.154358
593,55.749897
594,54.750931
595,54.251453
596,53.963291
597,54.289875
598,54.539612
599,53.483017
600,53.233276
601,53.790390
602,53.079586
603,52.887482
604,52.138256
605,53.290909
606,53.848022
607,54.424351
608,54.462769
609,53.905651
610,54.693298
611,55.577003
612,54.481979
613,52.541687
614,52.868267
615,51.888515
616,52.388000
617,51.773254
618,51.485088
619,51.004814
620,50.255592
621,50.428490
622,51.216137
623,51.389034
624,52.426422
625,52.695374
626,52.503262
627,52.791424
628,51.811672
629,52.503262
630,51.465878
631,51.312187
632,50.313229
633,50.140327
634,50.005852
635,50.178753
636,50.678230
637,50.178753
638,50.101910
