,0
0,4588.595215
1,4442.484863
2,4288.976563
3,4324.117188
4,4253.835938
5,4289.900879
6,4350.934082
7,4379.602051
8,4337.988770
9,4253.835938
10,4260.309570
11,4367.580566
12,4298.224121
13,4295.449707
14,4294.525391
15,4247.363281
16,4306.547363
17,4332.439453
18,4312.095703
19,4263.083984
20,4420.291992
21,4413.818359
22,4494.270996
23,4523.863281
24,4567.325195
25,4559.002930
26,4475.776367
27,4538.658203
28,4459.130371
29,4447.108398
30,4515.540039
31,4544.207031
32,4445.258789
33,4427.688477
34,4429.537598
35,4436.012207
36,4393.472656
37,4500.743164
38,4537.733398
39,4458.205566
40,4570.099609
41,4606.165039
42,4684.768066
43,4682.918945
44,4636.681152
45,4634.833496
46,4710.662109
47,4705.113281
48,4740.253418
49,4771.694824
50,4769.845215
51,4773.544434
52,4692.166992
53,4701.414063
54,4688.467773
55,4695.864746
56,4679.220215
57,4513.690430
58,4418.441406
59,4448.957520
60,4520.163574
61,4517.389648
62,4518.314453
63,4484.098145
64,4454.505859
65,4423.064941
66,4514.614746
67,4507.216797
68,4537.733398
69,4496.120117
70,4503.517578
71,4487.796875
72,4522.012695
73,4520.163574
74,4585.820801
75,4528.486816
76,4522.012695
77,4573.799316
78,4530.335449
79,4622.810059
80,4658.875488
81,4621.886719
82,4669.973145
83,4708.812500
84,4660.724609
85,4721.758301
86,4712.511719
87,4681.069824
88,4697.714355
89,4698.648926
90,4717.323730
91,4704.251465
92,4709.853516
93,4691.179199
94,4743.468750
95,4775.215820
96,4752.806641
97,4747.204102
98,4808.832031
99,4801.738281
100,4827.830566
101,4785.896973
102,4747.691406
103,4733.714355
104,4691.782227
105,4775.646484
106,4719.736816
107,4724.395508
108,4668.486328
109,4729.055176
110,4757.009277
111,4789.624023
112,4784.965332
113,4747.691406
114,4724.395508
115,4803.602539
116,4766.328125
117,4784.965332
118,4752.352051
119,4687.122559
120,4733.714355
121,4724.395508
122,4766.328125
123,4696.440430
124,4738.373047
125,4757.009277
126,4845.534180
127,4873.489258
128,4901.444824
129,4892.125977
130,4887.466797
131,4882.807617
132,4878.148438
133,4971.331543
134,4873.489258
135,4966.672852
136,5008.605469
137,4980.650391
138,4971.331543
139,4924.739746
140,4798.942383
141,4770.987793
142,4743.032715
143,4554.802734
144,4601.393555
145,4631.211914
146,4547.348145
147,4551.075684
148,4504.483398
149,4483.982422
150,4457.892090
151,4463.482422
152,4524.983887
153,4543.620605
154,4565.984375
155,4491.437012
156,4506.347168
157,4469.073242
158,4497.028320
159,4344.208008
160,4301.343262
161,4355.389648
162,4435.527344
163,4429.936035
164,4368.436035
165,4347.936035
166,4357.253906
167,4355.389648
168,4273.388184
169,4319.980469
170,4428.073242
171,4420.618164
172,4387.072266
173,4374.026367
174,4359.117188
175,4357.253906
176,4360.979980
177,4368.436035
178,4319.980469
179,4405.708008
180,4337.581543
181,4303.752441
182,4288.717773
183,4288.717773
184,4363.893066
185,4418.394531
186,4455.981934
187,4395.842773
188,4418.394531
189,4410.876953
190,4518.001465
191,4493.569824
192,4501.086426
193,4613.849121
194,4649.556641
195,4606.331543
196,4512.362793
197,4504.845703
198,4504.845703
199,4595.055176
200,4576.261230
201,4551.829102
202,4448.464844
203,4510.483398
204,4512.362793
205,4555.588379
206,4566.864746
207,4566.864746
208,4448.464844
209,4380.807129
210,4461.620117
211,4469.138184
212,4482.292480
213,4499.207520
214,4472.895508
215,4448.464844
216,4452.223145
217,4467.257813
218,4392.083496
219,4461.620117
220,4444.706055
221,4348.857910
222,4437.187500
223,4472.895508
224,4519.880371
225,4529.276855
226,4512.362793
227,4525.519043
228,4514.242676
229,4525.519043
230,4548.070801
231,4564.985840
232,4591.296387
233,4606.331543
234,4563.106934
235,4491.689453
236,4482.292480
237,4578.141113
238,4595.055176
239,4471.017090
240,4459.741211
241,4435.308594
242,4510.483398
243,4518.001465
244,4491.689453
245,4527.398438
246,4574.382324
247,4694.662109
248,4717.214355
249,4687.144531
250,4679.626465
251,4664.592285
252,4598.813965
253,4580.020020
254,4604.452148
255,4610.090332
256,4574.382324
257,4555.588379
258,4557.467773
259,4581.900391
260,4581.900391
261,4613.849121
262,4623.246094
263,4589.416992
264,4572.503906
265,4660.833496
266,4740.707031
267,4815.881348
268,4811.182617
269,4829.976074
270,4811.182617
271,4792.389160
272,4778.293457
273,4787.690430
274,4782.992188
275,4782.992188
276,4731.310059
277,4754.801758
278,4806.484375
279,4834.675293
280,4726.610840
281,4754.801758
282,4811.182617
283,4797.087402
284,4792.389160
285,4764.198242
286,4778.293457
287,4895.754395
288,4778.293457
289,4844.072754
290,4839.373535
291,4797.087402
292,4683.385742
293,4736.007813
294,4703.119629
295,4778.293457
296,4759.500488
297,4750.104004
298,4768.896973
299,4834.675293
300,4891.056152
301,4782.992188
302,4754.801758
303,4782.992188
304,4773.595215
305,4872.262207
306,4792.389160
307,4712.516113
308,4623.246094
309,4474.775879
310,4493.569824
311,4341.339844
312,4279.320801
313,4407.117676
314,4457.860840
315,4422.153809
316,4354.496094
317,4200.387207
318,4098.902344
319,4164.679688
320,4074.470215
321,3828.272949
322,3895.930176
323,3824.514404
324,3995.536621
325,3952.311279
326,4288.717773
327,4157.163086
328,3909.085938
329,3933.517578
330,4021.848389
331,4074.470215
332,3920.361572
333,3954.190674
334,4014.330078
335,3900.629150
336,3892.171387
337,3864.920410
338,3988.019531
339,4024.666748
340,4013.391357
341,4145.886230
342,4402.419922
343,4178.774414
344,4296.159180
345,4391.207520
346,4424.474121
347,4405.464355
348,4526.175293
349,4551.837402
350,4523.323242
351,4605.064453
352,4731.478516
353,4691.557617
354,4640.232910
355,4535.680176
356,4601.262695
357,4591.757813
358,4649.736816
359,4720.072266
360,4754.289063
361,4782.803711
362,4801.813477
363,4629.777344
364,4688.706543
365,4809.417969
366,4769.497070
367,4809.417969
368,4820.822754
369,4870.248047
370,4794.209473
371,4847.436523
372,4950.087891
373,4932.979980
374,4866.446289
375,4934.880371
376,4955.791016
377,4944.385254
378,4917.771484
379,4894.959961
380,4900.663086
381,4908.267090
382,4798.012207
383,4759.992188
384,4756.191406
385,4870.248047
386,4896.860840
387,4902.564453
388,4980.503906
389,4923.475098
390,4934.880371
391,4870.248047
392,4955.791016
393,4965.295410
394,5037.532715
395,4995.710938
396,4978.602051
397,5007.116211
398,4938.683105
399,5104.065918
400,5107.867188
401,5090.758789
402,5058.443359
403,5128.777832
404,5210.519043
405,5208.618164
406,5269.448730
407,5267.547363
408,5326.477539
409,5358.793457
410,5315.071777
411,5337.882813
412,5419.624023
413,5442.435547
414,5560.294434
415,5512.770508
416,5516.572754
417,5396.812500
418,5446.237793
419,5531.780762
420,5453.840820
421,5522.275391
422,5491.860352
423,5550.790527
424,5564.096191
425,5613.521973
426,5719.975586
427,5738.984863
428,5659.144043
429,5761.795898
430,5716.173340
431,5685.757813
432,5654.662109
433,5654.662109
434,5731.205566
435,5673.797852
436,5777.131836
437,5736.946289
438,5645.093750
439,5675.710938
440,5784.785645
441,5580.031738
442,5572.377441
443,5664.229980
444,5679.538574
445,5788.612793
446,5815.403809
447,5853.674805
448,5884.292969
449,5932.132324
450,5978.059082
451,5985.712891
452,5997.194336
453,5876.638672
454,5870.896973
455,5943.614258
456,5859.415527
457,5880.465332
458,5951.268066
459,5985.712891
460,5979.972168
461,6050.775391
462,6048.861816
463,6052.688477
464,5886.206543
465,6025.897949
466,6064.170898
467,6043.121094
468,6123.491211
469,6138.799805
470,6180.898926
471,6094.787598
472,6184.726563
473,6085.220215
474,6123.491211
475,5983.799805
476,5909.169434
477,5993.367676
478,5974.231445
479,6102.441895
480,5899.601074
481,5809.662598
482,5773.304199
483,5832.625488
484,5916.823730
485,6064.170898
486,6092.874512
487,6198.121582
488,5953.182129
489,6372.259277
490,6200.035156
491,6025.897949
492,5949.354980
493,5899.601074
494,5821.144531
495,5769.477051
496,5978.059082
497,6008.676270
498,5874.724609
499,5606.821777
500,5639.353027
501,5652.747559
502,5692.934082
503,5698.674316
504,5777.131836
505,5756.082520
506,5683.365234
507,5874.724609
508,5826.885254
509,5974.231445
510,5999.108887
511,6037.379883
512,6108.182617
513,6127.318848
514,6004.849121
515,6033.553711
516,6056.516113
517,6060.343262
518,6079.479492
519,6144.541016
520,6138.799805
521,6131.145996
522,6309.110352
523,6253.615723
524,6311.023438
525,6347.382324
526,6347.382324
527,6335.899902
528,6297.628906
529,6326.332520
530,6335.899902
531,6144.541016
532,6175.158203
533,6163.676758
534,6090.961426
535,6067.997559
536,6031.639160
537,6033.553711
538,6096.701172
539,6146.454102
540,6194.294434
541,6295.714355
542,6127.318848
543,6094.787598
544,6014.416992
545,6148.368164
546,6251.702637
547,6226.825684
548,6213.430176
549,6142.627441
550,6190.467773
551,6186.640137
552,6150.281738
553,6209.602539
554,6314.851074
555,6347.382324
556,6410.529785
557,6276.579590
558,6253.615723
559,6182.812988
560,6098.614746
561,6029.726074
562,5999.108887
563,5970.404785
564,5901.515137
565,6031.639160
566,6046.947754
567,5920.650879
568,5922.564453
569,5819.229980
570,5891.947266
571,5983.799805
572,6029.726074
573,6023.984863
574,5914.910156
575,5916.823730
576,6025.897949
577,5985.712891
578,5978.059082
579,5957.008789
580,6052.688477
581,6119.664551
582,6117.750000
583,6121.578125
584,6104.355469
585,6073.738770
586,6090.961426
587,6073.738770
588,6140.713867
589,6134.973145
590,6110.096191
591,6240.220703
592,6326.332520
593,6286.146973
594,6343.555176
595,6307.196289
596,6385.653809
597,6448.802246
598,6414.357422
599,6429.666016
600,6485.160156
601,6554.049316
602,6630.593750
603,6555.962891
604,6567.444336
605,6494.728516
606,6469.852051
607,6471.765137
608,6366.517578
609,6571.271973
610,6503.308105
611,6489.812012
612,6458.962891
613,6306.646973
614,6256.517578
615,6300.863281
616,6298.935547
617,6318.215332
618,6356.777344
619,6381.841309
620,6547.653320
621,6545.725586
622,6611.279297
623,6591.998535
624,6765.523438
625,6576.574707
626,6736.602051
627,6759.738770
628,6761.666992
629,6699.968750
630,6717.322266
631,6672.977051
632,6723.105957
633,6701.897461
634,6719.250000
635,6790.586914
636,6859.997559
637,6912.054688
638,6969.896484
639,6879.277344
640,6838.789063
641,6904.342285
642,6935.191406
643,6902.414551
644,6958.328125
645,6994.960938
646,7014.241699
647,7077.867188
648,7102.931152
649,7091.362793
650,7156.916992
651,7172.341309
652,7189.693848
653,7322.729004
654,7370.930664
655,7363.218262
656,7432.627930
657,7503.965820
658,7465.404785
659,7463.476563
660,7550.239258
661,7502.038086
662,7484.685059
663,7505.893555
664,7583.015625
665,7646.641602
666,7544.454590
667,7968.625000
668,8018.754395
669,null
670,8117.085938
671,8188.422852
672,8279.041016
673,8404.364258
674,8485.342773
675,8410.149414
676,8408.221680
677,8496.911133
678,8516.190430
679,8581.745117
680,8693.572266
681,8701.283203
682,8764.910156
683,8878.665039
684,8840.103516
685,8905.656250
686,8907.584961
687,8938.433594
688,8811.182617
689,8724.420898
690,8728.276367
