,0
0,136.648605
1,135.848465
2,134.248154
3,133.714691
4,130.958618
5,127.758011
6,131.669861
7,128.691513
8,125.090836
9,125.446449
10,124.468483
11,124.424026
12,121.312317
13,120.778862
14,125.401985
15,118.333969
16,122.645897
17,123.534973
18,120.867775
19,120.023163
20,124.468483
21,126.024338
22,124.601845
23,126.513313
24,126.735588
25,127.135674
26,123.579391
27,121.579033
28,122.868164
29,123.090439
30,124.646294
31,125.846512
32,124.335114
33,122.690361
34,123.579391
35,124.157295
36,124.424026
37,125.535362
38,125.802055
39,126.957840
40,126.557755
41,124.913010
42,130.514099
43,129.536118
44,128.069199
45,126.246605
46,127.669098
47,129.491684
48,131.803238
49,106.865082
50,105.398125
51,107.976410
52,107.754135
53,112.510605
54,115.577873
55,114.733261
56,114.599907
57,114.644356
58,116.111320
59,117.933884
60,122.690361
61,122.468086
62,122.334747
63,121.756821
64,120.467705
65,120.112099
66,119.623093
67,118.245064
68,119.134094
69,119.223030
70,122.601433
71,120.467705
72,121.979095
73,121.356789
74,120.645531
75,119.356369
76,119.045189
77,126.024338
78,123.846138
79,126.513313
80,125.846512
81,126.735588
82,127.269020
83,127.669098
84,124.486252
85,123.850174
86,122.941528
87,125.712967
88,126.712456
89,128.393478
90,126.803337
91,124.895134
92,125.031448
93,123.577591
94,120.715317
95,122.805229
96,120.442711
97,121.487679
98,123.304993
99,123.850174
100,125.894669
101,126.121819
102,124.077347
103,130.347092
104,127.212234
105,130.392548
106,131.210312
107,133.163940
108,128.575195
109,129.529297
110,128.938660
111,129.847305
112,128.711517
113,127.166794
114,125.667519
115,129.847305
116,128.438919
117,128.620636
118,133.527405
119,129.711029
120,129.165833
121,126.803337
122,126.303535
123,126.757896
124,127.257660
125,127.621124
126,128.166306
127,128.302628
128,128.575195
129,129.029556
130,128.620636
131,128.393478
132,128.847809
133,129.029556
134,129.256729
135,128.575195
136,129.120407
137,129.029556
138,130.029068
139,128.575195
140,130.347092
141,132.482437
142,133.300232
143,131.937225
144,135.162979
145,134.481491
146,133.618256
147,133.209396
148,133.254791
149,133.118515
150,133.300232
151,131.755524
152,132.709595
153,135.526443
154,136.344238
155,133.618256
156,133.073074
157,132.709595
158,136.117081
159,135.026703
160,135.980774
161,136.389709
162,139.388245
163,140.660385
164,141.841644
165,167.193222
166,168.556198
167,165.285004
168,164.512680
169,166.557144
170,165.921112
171,165.421326
172,164.467255
173,166.284546
174,163.058807
175,164.376358
176,166.193680
177,168.192749
178,163.967468
179,162.331879
180,160.741714
181,160.332825
182,161.423218
183,159.378754
184,159.469604
185,158.424652
186,160.696289
187,160.968887
188,161.695831
189,159.318085
190,159.684448
191,159.821823
192,161.012466
193,159.043304
194,158.951752
195,162.477875
196,159.272293
197,160.050797
198,159.821823
199,162.752655
200,163.668549
201,160.875092
202,163.851730
203,163.164810
204,162.386307
205,163.531189
206,160.462921
207,162.935822
208,161.287247
209,160.371368
210,159.363907
211,162.019928
212,160.279770
213,163.256378
214,165.958237
215,169.347015
216,168.705887
217,170.262878
218,170.766647
219,167.698441
220,167.652634
221,166.690948
222,167.561050
223,166.690948
224,166.507797
225,165.546112
226,168.797516
227,167.652634
228,185.741348
229,180.566589
230,184.367538
231,184.092758
232,181.436707
233,181.116135
234,180.703995
235,178.368515
236,174.750748
237,173.102142
238,174.063843
239,174.018036
240,172.186264
241,172.598419
242,171.728317
243,171.133011
244,169.942337
245,172.186264
246,174.933914
247,179.742325
248,176.719879
249,176.399338
250,175.346039
251,176.719879
252,176.353546
253,179.055420
254,176.765701
255,176.124573
256,173.102142
257,173.193741
258,171.133011
259,171.636719
260,175.117065
261,174.933914
262,175.849792
263,176.032974
264,173.697495
265,175.071304
266,178.826416
267,184.367538
268,181.482483
269,182.077820
270,181.757248
271,180.887177
272,184.367538
273,181.848862
274,185.466599
275,184.001144
276,187.206741
277,194.350677
278,195.816071
279,199.021698
280,196.365585
281,192.427307
282,194.900192
283,188.214249
284,189.404892
285,190.961868
286,184.733887
287,187.481522
288,184.917068
289,185.558182
290,187.664703
291,186.748825
292,190.503967
293,190.870316
294,193.160019
295,194.625443
296,194.808594
297,194.442245
298,194.167511
299,195.358124
300,195.174988
301,196.090836
302,197.831039
303,201.860931
304,197.189911
305,201.128220
306,198.288956
307,197.647858
308,193.801147
309,189.954391
310,190.870316
311,188.763779
312,187.756302
313,178.093719
314,176.353546
315,171.224594
316,168.705887
317,169.942337
318,159.226501
319,157.990067
320,157.486328
321,149.609711
322,147.182617
323,144.892899
324,138.298553
325,134.635010
326,150.708786
327,154.097549
328,158.310608
329,166.416183
330,165.317139
331,170.583450
332,165.775101
333,164.355453
334,170.812439
335,163.943314
336,168.412033
337,167.852844
338,167.759659
339,167.852844
340,165.616074
341,168.318863
342,166.268463
343,168.691666
344,169.250870
345,172.419647
346,175.961258
347,172.419647
348,177.359238
349,190.127594
350,188.636398
351,188.077225
352,190.127594
353,188.077225
354,197.956375
355,192.923630
356,195.719589
357,201.497971
358,202.057190
359,201.497971
360,204.293961
361,189.941193
362,192.364410
363,187.517990
364,188.636398
365,197.024384
366,193.296387
367,195.719589
368,193.110016
369,195.719589
370,191.432404
371,186.772400
372,189.568420
373,189.009201
374,191.059616
375,185.654037
376,188.263611
377,190.314011
378,190.686813
379,185.374390
380,189.941193
381,186.399612
382,186.586014
383,185.374390
384,189.754807
385,191.432404
386,197.583588
387,194.228394
388,193.855606
389,191.059616
390,193.110016
391,187.145233
392,191.246017
393,184.535629
394,182.485229
395,182.298843
396,185.374390
397,185.933609
398,184.908417
399,184.628830
400,180.900848
401,180.341629
402,179.689240
403,176.427231
404,178.943604
405,178.477631
406,184.069626
407,181.366821
408,186.958817
409,187.704422
410,187.145233
411,189.754807
412,191.618820
413,188.077225
414,191.059616
415,191.991592
416,193.669205
417,191.618820
418,189.568420
419,191.059616
420,188.263611
421,189.009201
422,185.933609
423,183.603638
424,179.875641
425,182.764832
426,185.467621
427,185.374390
428,183.510406
429,185.374390
430,184.069626
431,183.976425
432,183.603638
433,182.019241
434,183.044418
435,182.298843
436,180.155212
437,179.409622
438,178.570831
439,176.147644
440,178.011642
441,174.263321
442,173.700302
443,175.952484
444,175.201752
445,174.920227
446,173.606445
447,174.075653
448,173.700302
449,175.952484
450,172.761856
451,174.544861
452,175.858612
453,170.228149
454,167.506744
455,169.758942
456,165.817627
457,167.694427
458,168.445145
459,165.911438
460,167.788284
461,166.662201
462,164.785355
463,164.691528
464,164.128464
465,164.973022
466,164.879181
467,165.911438
468,167.131393
469,167.788284
470,167.412903
471,168.914383
472,172.011124
473,172.480362
474,172.949570
475,170.697342
476,172.668045
477,174.451004
478,173.606445
479,173.512589
480,179.236923
481,176.327820
482,169.571243
483,169.383591
484,170.509674
485,179.236923
486,180.550690
487,180.081497
488,187.588776
489,189.747147
490,189.747147
491,191.999344
492,191.623978
493,194.251541
494,192.562393
495,189.184097
496,188.621063
497,190.310181
498,191.060913
499,191.060913
500,190.122528
501,191.060913
502,193.688492
503,194.063858
504,192.562393
505,192.750061
506,192.937775
507,194.063858
508,193.125443
509,194.063858
510,192.562393
511,196.879074
512,195.002258
513,195.940674
514,194.063858
515,193.876160
516,194.814590
517,192.750061
518,189.559464
519,190.122528
520,189.747147
521,190.497894
522,194.251541
523,191.811646
524,186.931900
525,192.750061
526,194.251541
527,195.377625
528,195.002258
529,194.814590
530,191.999344
531,191.060913
532,190.685562
533,189.184097
534,186.931900
535,184.961227
536,186.181183
537,190.497894
538,191.248611
539,191.060913
540,191.248611
541,192.374695
542,189.934814
543,189.559464
544,187.870331
545,187.682617
