,0
0,5243.845703
1,5209.232910
2,4915.023926
3,5031.841797
4,5040.495117
5,5157.312988
6,5295.764648
7,5209.232910
8,5157.312988
9,5122.701172
10,5131.354004
11,5200.579590
12,5157.312988
13,5027.515137
14,5001.556152
15,4975.596191
16,5122.701172
17,5178.946777
18,5209.232910
19,5096.741211
20,5334.704102
21,5447.196777
22,5460.175781
23,5559.688477
24,5637.567383
25,5641.893555
26,5564.015137
27,5542.381348
28,5585.646973
29,5503.441895
30,5572.666992
31,5650.546387
32,5628.913574
33,5555.360840
34,5576.994141
35,5546.708008
36,5468.829102
37,5503.441895
38,5559.688477
39,5386.623535
40,5451.522949
41,5538.054199
42,5685.159180
43,5685.159180
44,5542.381348
45,5546.708008
46,5633.239746
47,5728.424805
48,5845.244629
49,5832.265137
50,5879.856934
51,5814.958496
52,5784.671387
53,5793.324219
54,5724.098633
55,5702.466309
56,5702.466309
57,5711.118164
58,5650.546387
59,5646.219238
60,5624.586914
61,5706.792480
62,5667.852539
63,5672.178711
64,5637.567383
65,5559.688477
66,5529.401855
67,5546.708008
68,5551.034180
69,5486.135742
70,5460.175781
71,5507.768555
72,5680.832031
73,5776.018555
74,5771.691895
75,5659.200195
76,5602.953613
77,5698.138672
78,5650.546387
79,5806.304199
80,5741.405273
81,5840.917480
82,5861.685059
83,5982.830078
84,5970.715332
85,6008.789063
86,5988.021484
87,5908.412598
88,5934.372070
89,5944.755859
90,5984.561035
91,5968.984375
92,6019.174316
93,5962.062012
94,5965.523438
95,5981.099609
96,6017.442871
97,5932.641113
98,5917.065430
99,5936.102051
100,5925.719238
101,5910.142578
102,5866.877441
103,5913.604492
104,5721.502930
105,5773.422363
106,5709.387695
107,5702.466309
108,5612.472168
109,5814.958496
110,5958.600586
111,6065.900391
112,6046.863281
113,6067.630859
114,6114.358398
115,6098.782715
116,5980.720215
117,5952.659180
118,5900.041992
119,5793.055664
120,5847.425781
121,5831.641113
122,5842.164063
123,5845.672363
124,5963.181641
125,5963.181641
126,6012.290527
127,6064.907227
128,6091.214844
129,6145.584961
130,6133.307617
131,6089.460449
132,6150.846680
133,6171.893066
134,6126.292969
135,6189.431641
136,6217.494141
137,6215.741211
138,6201.709473
139,6192.938965
140,6119.276855
141,6156.108887
142,6182.416504
143,6270.109863
144,6275.372070
145,6270.109863
146,6128.045898
147,6098.230469
148,6066.661133
149,6028.075195
150,6087.707031
151,5998.258789
152,6094.722168
153,6129.800293
154,6073.675781
155,6033.336914
156,6036.843750
157,5929.858398
158,5935.120117
159,5982.474609
160,5985.981934
161,6115.768555
162,6263.094238
163,6243.802246
164,6105.246094
165,6054.382813
166,5826.378418
167,5612.406250
168,5547.513184
169,5568.559570
170,5691.330566
171,5701.854492
172,5721.146484
173,5772.009766
174,5663.269043
175,5656.252930
176,5757.978027
177,5819.363770
178,5773.763184
179,5947.397461
180,5989.489746
181,5947.397461
182,6045.614258
183,5992.998047
184,6064.907227
185,6124.538574
186,6177.155273
187,6208.724121
188,6247.309082
189,6271.864258
190,6252.572266
191,6245.555664
192,6094.722168
193,6168.385254
194,6198.201660
195,6299.926758
196,6243.802246
197,6177.155273
198,6192.938965
199,6233.279297
200,6115.768555
201,6142.077148
202,6208.724121
203,6050.875488
204,6178.909180
205,6222.755859
206,6222.755859
207,6122.785156
208,5919.334961
209,5877.241699
210,5991.244141
211,5994.750977
212,5959.673828
213,5978.966797
214,6012.290527
215,6050.875488
216,6000.013184
217,6033.336914
218,6117.523926
219,6154.354492
220,6166.631348
221,6203.464355
222,6228.017578
223,6156.108887
224,6221.001465
225,6264.848633
226,6312.203125
227,6375.343750
228,6357.804199
229,6345.526367
230,6410.420410
231,6429.713379
232,6426.205078
233,6447.251465
234,6475.312988
235,6573.530273
236,6466.544922
237,6064.907227
238,6033.336914
239,5835.148438
240,5870.226563
241,5808.840820
242,5836.903320
243,5696.592285
244,5671.389648
245,5733.247559
246,5791.568848
247,5832.217285
248,5895.842285
249,5883.470215
250,5839.288086
251,5798.638672
252,5731.479492
253,5720.876465
254,5674.924805
255,5655.483887
256,5636.043457
257,5611.300781
258,5556.512695
259,5565.350098
260,5717.340820
261,5811.009277
262,5846.356445
263,5782.732910
264,5793.336426
265,5756.222656
266,5795.104492
267,5784.500000
268,5832.217285
269,5763.291992
270,5782.732910
271,5839.288086
272,5740.316406
273,5659.019043
274,5681.995117
275,5697.900391
276,5763.291992
277,5749.152832
278,5782.732910
279,5811.009277
280,5876.401855
281,5696.132813
282,5759.757324
283,5713.806152
284,5710.270996
285,5667.855957
286,5611.300781
287,5620.137207
288,5561.815918
289,5552.978516
290,5604.231445
291,5461.076172
292,5418.661133
293,5496.423828
294,5549.444824
295,5538.839355
296,5561.815918
297,5507.027344
298,5507.027344
299,5510.562988
300,5584.790527
301,5547.676270
302,5524.701172
303,5531.770996
304,5503.492676
305,5614.834961
306,5533.538086
307,5524.701172
308,5286.109863
309,5109.375977
310,5058.123535
311,4943.246582
312,4888.459473
313,4907.900391
314,4987.430176
315,5081.099121
316,5022.776855
317,4824.834961
318,4481.971191
319,4347.653809
320,4322.027344
321,3835.125244
322,3745.874268
323,3426.870117
324,3654.856689
325,3874.889893
326,3902.283936
327,4157.663574
328,3808.615234
329,4319.375977
330,4425.416016
331,4573.873047
332,4420.114258
333,4577.407715
334,4506.713379
335,4208.033691
336,4391.836914
337,4348.537109
338,4441.322266
339,4577.407715
340,4639.264648
341,4734.701172
342,4833.671875
343,4646.333496
344,4588.011719
345,4872.552734
346,4865.483398
347,4761.210938
348,4683.447754
349,4911.434570
350,4750.606445
351,4918.503418
352,4877.854980
353,5135.886719
354,4999.801758
355,4955.617188
356,4883.156738
357,5006.871094
358,5001.568848
359,5150.024902
360,5224.254395
361,5169.465332
362,5142.955566
363,4966.222656
364,5031.613281
365,5287.877930
366,5408.056641
367,5733.247559
368,5733.247559
369,5915.283203
370,5947.095215
371,6008.951660
372,5996.216309
373,6033.859863
374,6032.067871
375,6024.896973
376,6196.985840
377,6157.549316
378,6231.045410
379,6175.475098
380,6087.637695
381,6058.957031
382,5920.926758
383,6006.970703
384,5944.231445
385,6105.563965
386,6136.037598
387,6112.733887
388,6168.304688
389,6116.319824
390,6146.793945
391,6055.370605
392,6089.430176
393,6005.178711
394,6032.067871
