,0
0,2542.735840
1,2510.593994
2,2471.310303
3,2486.042236
4,2500.326904
5,2523.540039
6,2541.842773
7,2540.057373
8,2522.201172
9,2507.915771
10,2482.470459
11,2506.576904
12,2515.951172
13,2521.308105
14,2495.416748
15,2469.524658
16,2488.720459
17,2495.416748
18,2465.061035
19,2446.311523
20,2446.758057
21,2427.562500
22,2441.847900
23,2436.936768
24,2440.508545
25,2452.561523
26,2432.473145
27,2458.364990
28,2427.116455
29,2439.615723
30,2458.364990
31,2470.417236
32,2457.918457
33,2445.419189
34,2441.847900
35,2424.884277
36,2411.492676
37,2434.258789
38,2474.881836
39,2590.501465
40,2590.501465
41,2610.589600
42,2647.641113
43,2611.482178
44,2647.195068
45,2662.372559
46,2682.907471
47,2666.836914
48,2699.871094
49,2711.477783
50,2736.029541
51,2717.727051
52,2696.299805
53,2691.389160
54,2701.656738
55,2695.853516
56,2677.997314
57,2653.444580
58,2622.196289
59,2624.537842
60,2646.608643
61,2668.678711
62,2689.397217
63,2695.252930
64,2744.797607
65,2732.636719
66,2750.202637
67,2742.094971
68,2749.302002
69,2748.401367
70,2774.525146
71,2779.028809
72,2760.112061
73,2770.020752
74,2827.673096
75,2779.479248
76,2783.082764
77,2819.566162
78,2791.640381
79,2821.367676
80,2826.772461
81,2795.694336
82,2829.474854
83,2792.991699
84,2800.648682
85,2810.557861
86,2818.214844
87,2820.016357
88,2813.710449
89,2812.809814
90,2806.503906
91,2811.008057
92,2808.305420
93,2803.350830
94,2815.962646
95,2865.057373
96,2865.957764
97,2861.003906
98,2903.342285
99,2888.028076
100,2912.800781
101,2910.548828
102,2880.821777
103,2889.379395
104,2893.433105
105,2919.106689
106,2919.106689
107,2923.610596
108,2931.267578
109,2955.139160
110,2988.019043
111,3018.196533
112,3015.944824
113,3012.341309
114,2994.775635
115,2989.370605
116,2989.370605
117,3016.395264
118,3025.853516
119,2986.667725
120,3022.700684
121,2995.676025
122,3028.556152
123,2970.903564
124,3005.134766
125,3036.213135
126,3069.092773
127,3065.490234
128,3057.832520
129,3089.812012
130,3084.857422
131,3079.452393
132,3063.237549
133,3054.679932
134,3049.725098
135,3057.832520
136,3044.770752
137,3091.163086
138,3083.506104
139,3052.427734
140,3034.861572
141,3048.374023
142,3037.564209
143,3090.712646
144,3137.105225
145,3122.691895
146,3086.659180
147,3108.278809
148,3108.728760
149,3097.468994
150,3093.865234
151,3054.679932
152,3063.687744
153,3080.803467
154,3097.468994
155,3062.336670
156,3051.076172
157,3044.770752
158,3069.543457
159,3020.898926
160,2919.106689
161,2993.424316
162,3073.596680
163,3106.477051
164,3101.972656
165,3176.290527
166,3101.522217
167,3046.572510
168,3020.898926
169,3043.870117
170,3067.106201
171,3088.088623
172,3123.667725
173,3101.316895
174,3108.158691
175,3115.913574
176,3149.211914
177,3143.737793
178,3141.000977
179,3179.773438
180,3120.930908
181,3118.194336
182,3142.369385
183,3151.492432
184,3183.878662
185,3196.194336
186,3276.019531
187,3307.493164
188,3293.353027
189,3182.966309
190,3155.141602
191,3081.246338
