,0
0,654.219116
1,648.385864
2,612.040405
3,600.373962
4,564.925842
5,576.592224
6,601.271301
7,593.643250
8,647.488525
9,615.630066
10,624.155579
11,619.219788
12,607.553284
13,613.386536
14,600.373962
15,608.002014
16,611.142944
17,604.861023
18,618.322266
19,607.104614
20,617.424927
21,618.770996
22,641.655212
23,659.603638
24,652.872925
25,645.693604
26,623.706848
27,606.207153
28,603.963562
29,616.527588
30,641.206543
31,638.065613
32,618.770996
33,600.822632
34,602.617432
35,585.566528
36,571.656494
37,574.348816
38,594.091919
39,603.066162
40,596.335571
41,595.438110
42,605.758484
43,612.489014
44,589.604919
45,581.079346
46,587.810059
47,579.733276
48,587.810059
49,575.694946
50,574.797485
51,565.374634
52,551.913208
53,582.425598
54,577.041016
55,563.579773
56,580.630737
57,601.271301
58,600.822632
59,589.156189
60,597.681702
61,584.220337
62,625.501648
63,643.450012
64,613.835205
65,528.131592
66,527.682922
67,509.734528
68,486.401611
69,490.100494
70,504.895935
71,510.906586
72,494.724030
73,485.939209
74,491.949860
75,479.928589
76,469.294342
77,472.993195
78,498.885223
79,502.121796
80,516.917358
81,535.411621
82,537.815796
83,541.144897
84,539.110535
85,543.734131
86,537.815796
87,550.207153
88,547.432983
89,571.475708
90,581.647583
91,574.619690
92,593.668823
93,590.154907
94,599.771912
95,605.135376
96,604.210632
97,611.238525
98,619.191040
99,617.341614
100,603.655762
101,600.696716
102,586.271057
103,585.531311
104,571.290649
105,571.105652
106,554.460815
107,552.241516
108,532.452576
109,541.514771
110,548.727600
111,558.899536
112,579.428101
113,561.488647
114,561.303772
115,548.172729
116,537.076111
117,543.179321
118,550.392090
119,544.658813
120,551.686646
121,554.275940
122,541.884705
123,564.077942
124,577.948608
125,580.537842
126,584.236694
127,580.907776
128,587.565735
129,572.585327
130,573.140137
131,577.393799
132,576.653992
133,572.400391
134,583.312073
135,591.264648
136,582.572327
137,573.879883
138,575.729309
139,580.352905
140,591.264648
141,602.731018
142,619.191040
143,615.677124
144,632.506958
145,632.137085
146,626.033997
147,581.647583
148,560.563965
149,558.159668
150,554.830750
151,554.830750
152,554.830750
153,562.968262
154,557.234924
155,565.002686
156,583.127075
157,574.989502
158,587.380737
159,583.497009
160,573.325073
161,579.243286
162,574.249878
163,562.043457
164,547.062988
165,539.295410
166,535.041687
167,519.876343
168,509.889435
169,518.026917
170,527.274109
171,526.534363
172,514.882935
173,515.437805
174,505.635712
175,504.156189
176,523.945129
177,535.966370
178,542.624451
179,545.768494
180,585.800293
181,581.225281
182,582.178406
183,589.041077
184,600.288025
185,599.525635
186,617.063416
187,622.972839
188,642.416931
189,650.423279
190,652.138916
191,659.954834
192,670.248718
193,678.064453
194,679.780090
195,691.027100
196,687.214600
197,681.495789
198,689.120850
199,692.361572
200,693.314636
201,693.695923
202,701.511597
203,699.986694
204,699.795959
205,707.230591
206,708.564941
207,711.996216
208,712.377502
209,705.896118
210,725.721497
211,729.152771
212,714.855652
213,751.646790
214,769.756531
215,804.069580
216,795.491333
217,801.210144
218,816.651123
219,800.257019
220,812.457275
221,839.526428
222,838.763977
223,832.473206
224,844.292175
225,836.476379
226,829.232544
227,833.235718
228,833.617004
229,848.295349
230,855.348633
231,765.753418
232,784.434937
233,764.990784
234,762.512756
235,765.562744
236,770.137878
237,778.906677
238,779.669250
239,778.906677
240,786.341187
241,798.350708
242,817.223022
243,814.554199
244,818.938660
245,821.988708
246,825.038696
247,838.763977
248,847.342224
249,810.360352
250,811.694702
251,813.410461
252,806.738464
253,812.647949
254,815.697937
255,822.751221
256,813.029175
257,790.153748
258,778.334778
259,795.872559
260,828.470032
261,852.679810
262,837.048279
263,828.470032
264,825.991882
265,812.647949
266,822.751221
267,846.389099
268,834.570068
269,841.813965
270,842.767151
271,875.936462
272,862.592529
273,863.545593
274,876.889587
275,887.183533
276,885.658447
277,894.999268
278,879.367737
279,881.655273
280,888.327271
281,890.042908
282,867.930054
283,868.692566
284,855.348633
285,868.120667
286,846.389099
287,845.435913
288,834.570068
289,847.532898
290,852.107971
291,846.007751
292,836.095154
293,846.389099
294,845.817200
295,855.539307
296,850.773499
297,847.151550
298,863.545593
299,882.227173
300,887.945984
301,825.801331
302,797.397644
303,795.300720
304,785.578674
305,798.350708
306,810.169800
307,822.369934
308,795.491333
309,793.966309
310,808.454102
311,774.712891
312,752.599976
313,755.459473
314,764.990784
315,769.756531
316,752.981262
317,732.012146
318,682.639465
319,663.386047
320,619.732239
321,508.834839
322,462.692902
323,362.473785
324,318.389130
325,320.054596
326,317.115601
327,356.105988
328,345.721619
329,427.817017
330,479.738953
331,497.078918
332,472.979309
333,489.829437
334,549.588623
335,508.442963
336,440.846497
337,473.861023
338,561.540466
339,599.159363
340,636.778259
341,659.114502
342,662.249390
343,644.223694
344,635.798645
345,669.302917
346,693.794434
347,685.761230
348,668.911011
349,685.761230
350,684.585632
351,710.056763
352,722.596375
353,760.411255
354,738.662781
355,734.548218
356,732.588928
357,736.703491
358,733.960449
359,776.673523
360,763.350220
361,770.011902
362,733.372620
363,730.825562
364,732.001160
365,763.546143
366,770.991516
367,794.699280
368,793.719666
369,772.950867
370,793.523682
371,790.780701
372,798.226013
373,776.673523
374,796.658630
375,800.969055
376,817.819214
377,810.177856
378,813.704651
379,786.078369
380,769.815918
381,758.843689
382,740.034363
383,730.433655
384,734.744141
385,711.820129
386,721.028870
387,749.243103
388,746.500061
389,757.276306
390,772.167114
391,752.573975
392,730.041809
393,748.067505
394,727.690613
395,725.535400
396,733.176758
397,762.958313
398,760.999023
399,772.950867
400,800.773193
401,793.327759
402,817.819214
403,845.641541
404,852.890991
405,850.343872
406,894.820435
407,861.903870
408,862.099792
409,854.262573
410,754.337341
411,752.377991
412,730.825562
413,726.515015
414,716.522522
415,700.260132
416,699.476440
417,669.106995
418,651.081238
419,677.140259
420,672.045959
421,689.483887
422,709.273010
423,710.448608
424,701.435730
425,769.032166
426,769.424133
427,783.727112
428,754.141357
429,750.810608
430,757.276306
431,753.357666
432,733.176758
433,770.207764
434,755.512939
435,784.314880
436,803.320251
437,803.124329
438,787.841736
439,764.917603
440,780.004456
441,789.017334
442,792.544067
443,810.373840
444,804.104004
445,822.325623
446,849.168274
447,856.221863
448,866.998108
449,897.367554
450,894.428589
451,887.179077
452,874.835327
453,830.750732
454,835.453064
455,869.349304
456,838.196167
457,978.091492
458,955.559326
459,993.374084
460,954.187744
461,982.597839
462,974.760498
463,1010.028320
464,1019.824890
465,1030.111206
466,1028.641846
467,1068.318115
468,1043.336670
469,1032.560303
470,1048.234863
471,1033.540039
472,1043.826538
473,1018.355347
474,1003.660522
475,951.248779
476,990.435120
477,983.577515
478,971.037903
479,977.699585
480,951.444702
481,953.991760
482,946.546448
483,914.021729
484,923.818298
485,961.829041
486,965.747742
487,974.368652
488,956.930725
489,965.159973
490,998.272400
491,979.658875
492,979.462952
493,974.760498
494,953.403992
495,940.864441
496,950.465027
497,954.971497
498,951.248779
499,976.719910
500,992.884277
501,994.843567
502,1021.294312
503,1014.436707
504,1017.375671
505,1018.845215
506,1035.989136
507,994.843567
508,1013.946838
509,1011.987610
510,1018.355347
511,1018.355347
512,1018.355347
513,1065.868896
514,1067.828247
515,1087.421387
516,1123.668701
517,1127.097534
518,1108.973877
519,1106.524658
520,1139.833130
521,1122.199219
522,1134.934692
523,1128.077148
524,1110.443359
525,1391.115601
526,1374.461426
527,1430.301880
528,1437.159546
529,1444.996704
530,1408.749390
531,1392.095337
532,1363.195313
533,1376.910645
534,1372.991943
535,1384.747803
536,1219.675293
537,1244.166748
538,1252.004028
539,1253.963379
540,1245.146362
541,1247.595581
542,1199.592285
543,1216.736328
544,1215.756592
545,1257.392212
546,1257.392212
547,1235.349854
548,1230.941284
549,1260.821045
550,1291.190308
551,1285.312378
552,1293.149780
553,1314.702271
554,1325.478394
555,1332.825928
556,1323.029297
557,1320.090332
558,1322.539429
559,1337.724121
560,1371.522461
561,1382.788574
562,1409.729126
563,1405.810425
564,1384.257935
565,1416.096924
566,1420.505249
567,1431.281616
568,1434.220581
569,1386.217407
570,1388.176636
571,1443.037476
572,1420.995117
573,1450.385010
574,1436.669678
575,1465.569702
576,1491.040771
577,1488.101807
578,1521.410278
579,1524.838989
580,1528.757568
581,1493.979858
582,1508.674683
583,1502.796753
584,1522.879639
585,1479.284912
586,1500.837402
587,1487.122192
588,1497.408569
589,1546.881226
590,1547.860962
591,1563.535645
592,1534.635498
593,1541.003296
594,1572.352539
595,1574.311768
596,1591.455811
597,1613.988037
598,1611.048950
599,1593.905029
600,1629.172729
601,1631.131958
602,1656.113403
603,1665.420166
604,1689.421753
605,1684.523560
606,1658.562500
607,1657.093018
608,1612.518433
609,1640.438721
610,1619.865967
611,1625.743896
612,1588.027100
613,1532.676270
614,1506.715332
615,1521.410278
616,1525.818604
617,1518.471313
618,1535.615234
619,1507.694946
620,1531.206787
621,1546.881226
622,1581.659302
623,1600.272827
624,1636.520142
625,1631.621826
626,1615.947266
627,1638.479492
628,1651.704834
629,1663.950562
630,1697.748779
631,1696.769165
632,1750.650513
633,1736.445313
634,1729.097900
635,1766.814819
636,1774.652100
637,1764.855469
638,1786.897705
639,1787.387573
640,1784.938477
641,1797.674072
642,1784.448608
643,1777.591064
644,1810.409668
645,1763.385986
646,1741.343628
647,1743.792725
648,1709.994507
649,1744.282593
650,1760.936890
651,1817.756958
652,1831.472290
653,1770.733521
654,1783.468994
655,1831.962036
656,1827.063721
657,1831.472290
658,1833.921387
659,1792.286011
660,1783.958740
661,1731.057129
662,1710.974243
663,1755.548828
664,1813.348633
665,1810.899414
666,1814.817993
667,1797.184204
668,1779.060547
669,1786.897705
670,1779.550415
671,1782.489380
672,1765.835083
673,1873.597656
674,1897.109375
675,1889.761963
676,1893.680664
677,1931.397339
678,1925.519409
679,1902.987427
680,1920.131348
681,1865.760376
682,1846.656982
683,1819.226563
684,1806.001099
685,1811.389160
686,1825.594360
687,1833.431519
688,1876.046753
689,1876.046753
690,1870.658691
691,1893.680664
692,1937.765137
693,1908.865356
694,1903.477173
695,1908.865356
696,1909.844971
697,1871.148438
698,1882.414551
699,1887.312866
700,1866.250244
701,1903.967041
702,1850.575684
703,1889.272095
704,1916.212646
705,1876.536621
706,2215.008789
707,2328.649414
708,2215.988281
709,2165.046143
710,2177.781738
711,2107.246338
712,2120.961426
713,2086.673340
714,2112.144775
715,2077.856201
716,2088.632813
717,2047.486938
718,2090.591797
719,2088.632813
720,2065.120605
721,2030.832764
722,2023.975220
723,2017.117554
724,2054.344482
725,2080.795410
726,2126.839355
727,2116.063232
728,2079.815674
729,2081.775146
730,2093.531006
731,1961.277100
732,2007.321045
733,2017.117554
734,2006.341309
735,2020.056641
736,2008.300659
737,1991.646484
738,1982.829590
739,2006.341309
740,1970.094116
741,1931.887207
742,1924.050049
743,1983.809204
744,1956.868652
745,1930.907715
746,1931.397339
747,1931.397339
748,1909.844971
749,1879.475586
750,1881.434937
751,1846.656982
752,1788.367310
753,1789.347046
754,1688.931885
755,1710.484375
756,1635.050659
757,1685.503052
758,1629.172729
759,1605.660889
760,1655.623535
761,1679.625122
762,1685.013184
763,1649.255615
764,1599.782959
765,1540.023804
766,1556.188110
767,1551.289917
768,1535.125366
769,1568.433838
770,1565.005005
771,1598.803223
772,1632.601440
773,1645.337036
774,1649.745483
775,1626.233765
776,1657.582764
777,1648.765747
778,1652.684570
779,1656.603271
780,1623.294678
781,1626.233765
782,1632.601440
783,1665.420166
784,1689.911621
785,1691.380981
786,1671.787964
787,1692.850586
788,1672.277832
789,1674.726929
790,1688.931885
791,1601.742188
792,1513.572876
793,1490.061157
794,1512.593262
795,1516.511841
796,1540.023804
797,1558.637207
798,1588.027100
799,1582.638916
800,1551.289917
801,1540.513428
802,1572.842407
803,1562.555908
804,1614.477783
805,1645.826782
806,1663.950562
807,1650.235352
808,1669.338867
809,1669.338867
810,1664.440430
811,1616.437134
812,1607.620239
813,1609.579468
814,1614.477783
815,1557.657715
816,1623.784546
817,1649.745483
818,1569.903442
819,1528.267822
820,1527.288208
821,1461.651123
822,1406.790161
823,1364.175049
824,1457.242554
825,1435.200195
826,1496.918823
827,1500.347534
828,1517.001709
829,1548.840698
830,1616.437134
831,1687.462524
832,1632.111694
833,1640.438721
834,1640.928589
835,1622.804932
836,1632.111694
837,1610.069336
838,1636.520142
839,1632.111694
840,1610.069336
841,1618.396484
842,1654.154053
843,1643.377686
844,1588.516846
845,1523.369507
846,1516.022095
847,1521.410278
848,1505.735718
849,1493.000122
850,1519.940674
851,1541.983032
852,1534.145752
853,1507.205200
854,1466.549316
855,1439.118774
856,1443.527344
857,1435.689941
858,1461.161255
859,1487.612061
860,1462.140991
861,1425.403687
862,1376.910645
863,1343.112305
864,1223.104126
865,1208.899048
866,1259.841431
867,1274.046387
868,1336.744507
869,1339.683472
870,1344.581787
871,1363.685181
872,1332.336060
873,1374.461426
874,1390.135864
875,1337.234253
876,1350.949707
877,1382.298706
878,1403.851196
879,1431.281616
880,1432.261230
881,1430.301880
882,1407.769897
883,1416.586792
884,1423.934082
885,1420.505249
886,1379.849609
887,1313.722534
888,1314.212402
889,1347.520752
890,1264.739624
891,1246.615845
892,1284.822632
893,1279.434448
894,1280.904053
895,1269.148193
896,1308.824341
897,1308.334473
898,1277.475220
899,1239.268433
900,1219.675293
901,1227.022705
902,1187.836426
903,1110.443359
904,1116.811035
905,1074.196045
906,1074.685791
907,1053.623169
908,1071.257080
909,1060.480713
910,1081.053589
911,1096.728149
912,1096.728149
913,1103.585693
914,1130.526367
915,1126.117798
916,1155.997437
917,1131.016113
918,1121.219604
919,1157.467041
920,1155.017944
921,1178.039795
922,1191.265259
923,1179.999146
924,1216.246460
925,1276.495483
926,1273.556519
927,1297.068237
928,1250.534668
929,1281.883545
930,1329.886963
931,1384.257935
932,1390.625732
933,1377.890259
934,1354.868286
935,1352.403931
936,1300.160889
937,1271.082275
938,1277.982300
939,1276.010864
940,1262.703613
941,1228.696411
942,1260.732300
943,1254.817993
944,1158.710571
945,1184.339111
946,1182.367676
947,1194.196289
948,1192.717773
949,1182.860596
950,1201.096313
951,1239.539429
952,1207.503540
953,1184.832031
954,1215.882080
955,1195.674927
956,1181.381958
957,1179.410522
958,1118.789063
959,1067.531616
960,1092.992676
