,0
0,1809.381714
1,1749.935913
2,1712.782227
3,1729.965820
4,1715.568848
5,1745.291626
6,1766.190552
7,1764.333008
8,1760.617432
9,1741.111694
10,1726.714844
11,1728.108154
12,1730.430176
13,1722.999634
14,1730.430176
15,1711.853638
16,1750.864624
17,1769.441528
18,1749.471313
19,1728.841431
20,1766.211548
21,1755.934937
22,1763.409058
23,1776.021362
24,1786.765259
25,1786.765259
26,1753.599121
27,1754.066406
28,1751.263428
29,1782.561035
30,1815.727295
31,1828.806763
32,1817.128906
33,1821.800049
34,1795.640625
35,1779.758301
36,1760.139038
37,1803.114990
38,1801.713379
39,1786.297974
40,1826.003906
41,1840.017944
42,1872.249634
43,1854.031860
44,1840.952026
45,1847.959106
46,1868.512573
47,1876.921021
48,1889.066528
49,1907.751587
50,1893.737671
51,1897.474854
52,1885.329346
53,1884.395142
54,1904.014648
55,1920.831177
56,1921.765503
57,1876.921021
58,1831.142578
59,1834.412354
60,1840.952026
61,1867.578491
62,1880.658203
63,1880.658203
64,1899.343384
65,1887.197754
66,1881.592407
67,1896.540527
68,1896.540527
69,1878.789551
70,1905.883057
71,1911.488525
72,1906.817505
73,1900.277466
74,1955.398682
75,1895.606323
76,1871.315552
77,1901.211548
78,1891.869141
79,1914.291382
80,1942.318970
81,1956.332764
82,1981.557983
83,1973.149658
84,1952.595703
85,1953.529907
86,1958.201294
87,1975.952148
88,1984.360718
89,2032.942139
90,2047.890015
91,2015.191162
92,2019.862183
93,2017.993896
94,2055.364014
95,2068.443604
96,2087.128662
97,2088.062988
98,2099.273926
99,2088.997559
100,2078.720459
101,2069.377686
102,2057.232422
103,2070.312256
104,2037.613159
105,2051.627197
106,2032.007690
107,2039.481445
108,2031.073486
109,2063.772461
110,2091.799561
111,2167.474609
112,2148.789551
113,2149.723877
114,2176.816895
115,2222.595947
116,2186.159912
117,2178.686035
118,2211.385010
119,2191.765381
120,2223.530029
121,2230.069824
122,2243.149170
123,2218.859131
124,2227.267090
125,2232.872803
126,2242.215088
127,2246.886719
128,2231.004150
129,2239.412354
130,2227.267090
131,2249.689453
132,2260.900146
133,2282.388672
134,2224.463867
135,2259.966064
136,2255.294922
137,2301.073975
138,2270.243164
139,2237.543945
140,2219.582764
141,2251.695801
142,2271.530518
143,2304.588135
144,2301.754639
145,2300.810303
146,2233.750244
147,2271.530518
148,2257.362793
149,2252.640381
150,2255.473877
151,2243.195557
152,2283.808594
153,2257.362793
154,2280.030518
155,2247.917969
156,2274.364014
157,2297.032227
158,2295.142822
159,2315.922119
160,2303.643555
161,2344.257080
162,2380.148438
163,2371.647949
164,2361.258057
165,2402.816406
166,2341.423828
167,2314.977539
168,2311.199463
169,2358.424561
170,2416.039307
171,2402.816406
172,2414.150146
173,2392.426758
174,2361.258057
175,2361.258057
176,2378.259521
177,2393.371338
178,2366.925537
179,2422.650635
180,2384.870605
181,2375.426025
182,2394.315674
183,2368.814453
184,2373.537109
185,2378.259521
186,2450.041992
187,2454.764160
188,2460.431152
189,2442.485596
190,2484.988281
191,2432.096191
192,2332.923340
193,2343.312500
194,2384.870605
195,2331.034180
196,2306.477051
197,2355.591309
198,2352.757813
199,2394.315674
200,2397.149414
201,2406.594482
202,2407.538818
203,2375.426025
204,2428.317871
205,2450.986084
206,2454.764160
207,2399.982910
208,2339.534424
209,2321.588867
210,2391.482422
211,2406.594482
212,2416.039307
213,2412.261230
214,2368.814453
215,2345.201904
216,2318.755615
217,2299.865479
218,2277.197021
219,2269.641357
220,2239.417236
221,2197.859131
222,2216.749023
223,2212.026611
224,2256.418701
225,2258.307373
226,2285.697754
227,2282.864258
228,2310.254883
229,2293.253662
230,2285.697754
231,2284.753662
232,2236.583984
233,2250.751465
234,2238.473145
235,2255.473877
236,2249.806885
237,2306.477051
238,2339.534424
239,2327.256348
240,2302.698730
241,2292.309570
242,2342.368164
243,2336.701172
244,2309.310547
245,2371.647949
246,2421.706543
247,2412.261230
248,2418.872803
249,2416.983643
250,2420.761719
251,2386.759521
252,2335.756592
253,2320.644531
254,2314.977539
255,2334.812256
256,2322.533936
257,2317.811035
258,2307.421631
259,2321.588867
260,2311.199463
261,2367.869873
262,2387.704346
263,2393.371338
264,2394.315674
265,2415.094482
266,2422.650635
267,2460.431152
268,2449.096924
269,2427.373291
270,2410.372070
271,2419.007080
272,2419.007080
273,2405.726074
274,2400.034424
275,2402.880127
276,2446.517334
277,2437.030762
278,2434.185059
279,2464.541504
280,2506.280762
281,2485.410889
282,2513.869873
283,2507.229492
284,2476.873291
285,2508.178223
286,2482.565186
287,2554.661377
288,2508.178223
289,2566.044678
290,2577.428223
291,2556.558350
292,2501.538086
293,2537.585693
294,2578.376953
295,2611.578613
296,2626.757080
297,2619.167969
298,2635.294434
299,2673.239746
300,2634.346191
301,2665.650635
302,2677.982910
303,2678.931641
304,2680.829102
305,2749.130127
306,2721.619629
307,2715.928467
308,2633.397461
309,2608.733154
310,2622.962402
311,2531.893799
312,2457.900879
313,2567.942139
314,2667.548096
315,2685.572266
316,2656.164307
317,2483.513916
318,2333.630127
319,2286.198730
320,2228.332764
321,1981.688354
322,2034.811768
323,1949.434937
324,1954.178101
325,1913.387207
326,1850.777344
327,1931.411133
328,1785.322021
329,2005.404297
330,2177.106689
331,2352.603027
332,2175.208984
333,2227.383789
334,2135.366455
335,2092.678223
336,2077.500244
337,2005.404297
338,2065.167969
339,2105.958984
340,2128.726074
341,2136.315430
342,2168.568359
343,2099.318604
344,2187.541016
345,2255.843018
346,2300.428223
347,2179.003418
348,2220.743164
349,2204.616455
350,2142.007080
351,2222.640381
352,2342.167725
353,2355.448975
354,2253.945557
355,2229.281006
356,2226.434814
357,2310.863281
358,2343.116699
359,2467.387207
360,2424.698486
361,2369.678223
362,2344.065186
363,2235.921387
364,2277.660889
365,2388.650879
366,2392.445313
367,2568.890625
368,2547.072021
369,2538.534180
370,2621.065186
371,2665.650635
372,2719.722656
373,2668.496582
374,2666.599609
375,2675.137451
376,2738.695313
377,2764.308350
378,2699.801514
379,2611.578613
380,2625.808105
381,2632.448975
382,2565.095947
383,2584.068359
384,2595.452148
385,2680.829102
386,2677.034424
387,2674.188477
388,2676.085693
389,2670.393799
390,2734.900879
391,2661.856445
392,2656.172363
393,2697.346191
394,2729.901611
395,2699.261230
396,2735.647217
397,2764.372803
398,2770.117920
399,2796.928467
400,2750.967285
401,2755.754883
402,2670.535156
403,2660.960205
404,2701.176025
405,2705.006104
406,2724.156494
407,2696.388428
408,2707.878662
409,2727.986572
410,2684.897949
411,2684.897949
412,2736.604492
413,2658.087646
414,2660.002441
415,2652.342285
416,2686.813232
417,2634.149414
418,2563.292480
419,2655.214844
420,2594.890869
421,2615.956299
422,2610.211182
423,2648.512451
424,2613.083740
425,2650.427246
426,2743.307129
427,2708.836426
428,2656.172363
429,2677.238037
430,2676.280273
431,2669.577637
432,2661.917236
433,2646.597168
434,2707.878662
435,2675.322754
436,2698.303467
437,2685.855469
438,2671.492920
439,2618.828857
440,2715.539307
441,2626.489258
442,2556.589600
443,2680.110596
444,2799.801270
445,2856.294678
446,2816.079102
447,2818.951904
448,2824.697021
449,2866.827881
450,2934.812012
451,2953.004883
452,2991.305908
453,2830.441650
454,2831.399414
455,2866.827881
456,2813.206543
457,2844.804932
458,2828.526855
459,2827.569092
460,2795.971191
461,2813.206543
462,2825.654297
463,2871.615234
464,2810.333984
465,2791.183105
466,2809.376221
