,0
0,645.390076
1,636.077026
2,612.794617
3,619.313782
4,613.725952
5,623.970276
6,630.489319
7,619.313782
8,617.451172
9,607.206787
10,601.619019
11,603.481750
12,594.168701
13,591.374878
14,573.680176
15,578.336609
16,592.306030
17,589.512268
18,599.756470
19,594.892517
20,604.246155
21,605.181641
22,608.923035
23,621.082825
24,621.082825
25,619.211975
26,616.405945
27,620.147400
28,621.082825
29,622.018188
30,635.113281
31,631.371826
32,622.018188
33,618.276733
34,619.211975
35,621.082825
36,612.664490
37,617.341309
38,623.888855
39,625.759705
40,630.436523
41,631.371826
42,642.596313
43,641.660706
44,631.371826
45,629.501099
46,636.048706
47,640.725403
48,645.402222
49,643.531555
50,648.208374
51,650.079224
52,644.466919
53,646.337769
54,643.531555
55,646.337769
56,650.079224
57,641.660706
58,633.242554
59,632.307190
60,638.854675
61,641.660706
62,641.660706
63,639.790039
64,635.113281
65,631.371826
66,637.919434
67,643.531555
68,638.854675
69,637.919434
70,640.725403
71,643.531555
72,647.272888
73,645.402222
74,655.691345
75,635.113281
76,633.242554
77,635.113281
78,631.371826
79,636.983948
80,647.272888
81,648.208374
82,651.949707
83,654.755920
84,655.507263
85,662.081116
86,660.202942
87,657.385559
88,655.507263
89,656.446350
90,655.507263
91,654.568176
92,657.385559
93,652.690002
94,649.872498
95,657.385559
96,657.385559
97,655.507263
98,657.385559
99,663.020203
100,656.446350
101,655.507263
102,652.690002
103,651.750732
104,641.420288
105,647.994324
106,642.359497
107,641.420288
108,637.663879
109,648.933350
110,649.872498
111,660.202942
112,662.081116
113,653.629028
114,655.507263
115,659.263794
116,648.933350
117,650.811646
118,651.750732
119,641.420288
120,645.176819
121,638.603088
122,640.481384
123,644.237732
124,643.298523
125,645.176819
126,654.568176
127,663.020203
128,660.202942
129,656.446350
130,654.568176
131,653.629028
132,655.507263
133,658.324646
134,653.629028
135,662.081116
136,657.385559
137,653.629028
138,654.568176
139,656.446350
140,651.750732
141,658.324646
142,665.837646
143,668.654907
144,672.411499
145,670.431152
146,673.260071
147,673.260071
148,672.317139
149,672.317139
150,669.488281
151,674.203003
152,674.203003
153,679.860657
154,679.860657
155,672.317139
156,672.317139
157,669.488281
158,674.203003
159,673.260071
160,675.145996
161,681.746460
162,688.347168
163,689.290039
164,686.461243
165,687.404175
166,668.545288
167,655.344299
168,648.743652
169,654.401306
170,670.431152
171,670.431152
172,664.773621
173,667.602539
174,655.344299
175,647.800659
176,659.116028
177,665.716553
178,658.173035
179,664.773621
180,658.173035
181,654.401306
182,652.515442
183,655.344299
184,658.173035
185,661.944824
186,670.431152
187,668.545288
188,671.374207
189,669.488281
190,672.317139
191,672.317139
192,670.431152
193,677.031860
194,676.088806
195,678.917725
196,672.317139
197,669.488281
198,667.602539
199,673.260071
200,673.260071
201,671.374207
202,666.659485
203,665.716553
204,670.431152
205,674.203003
206,666.659485
207,666.659485
208,649.686584
209,643.910278
210,654.326538
211,656.220276
212,654.326538
213,653.379517
214,656.220276
215,653.379517
216,652.432617
217,651.485779
218,652.432617
219,654.326538
220,657.167236
221,652.432617
222,652.432617
223,657.167236
224,658.114197
225,660.954895
226,668.530334
227,670.424255
228,670.424255
229,665.689636
230,672.318054
231,684.628052
232,684.628052
233,683.681091
234,691.256592
235,689.362793
236,685.575012
237,688.415710
238,684.628052
239,681.787415
240,685.575012
241,686.521973
242,685.575012
243,689.362793
244,687.468811
245,691.256592
246,700.725952
247,705.460510
248,703.566650
249,703.566650
250,698.831970
251,695.044312
252,685.575012
253,685.575012
254,684.628052
255,689.362793
256,692.203552
257,690.309570
258,687.468811
259,696.938232
260,696.938232
261,709.248230
262,713.982788
263,714.929810
264,724.399048
265,727.239685
266,733.868347
267,736.709106
268,732.921326
269,725.345947
270,724.399048
271,730.007080
272,728.106079
273,720.501953
274,726.204895
275,722.402954
276,729.056580
277,730.957764
278,734.759949
279,733.809204
280,734.759949
281,736.660950
282,743.314575
283,744.265137
284,739.512512
285,735.710266
286,726.204895
287,734.759949
288,716.699646
289,724.303894
290,724.303894
291,713.848206
292,702.441711
293,714.798645
294,727.155640
295,734.759949
296,741.413452
297,736.660950
298,736.660950
299,741.413452
300,744.265137
301,737.611389
302,743.314575
303,744.265137
304,738.561951
305,747.116760
306,745.215698
307,735.710266
308,717.650330
309,697.689148
310,699.590271
311,670.123779
312,638.756287
313,655.865845
314,660.618530
315,665.371277
316,660.618530
317,623.547791
318,583.625549
319,587.427551
320,590.279175
321,548.455933
322,549.406372
323,528.494690
324,470.512451
325,457.205017
326,454.353485
327,481.918823
328,461.957672
329,497.127319
330,525.643127
331,548.455933
332,524.692688
333,525.643127
334,541.802124
335,517.088379
336,529.445313
337,518.989441
338,541.802124
339,567.466492
340,582.674988
341,598.833984
342,592.180237
343,584.576050
344,589.255737
345,595.940979
346,598.806030
347,582.570557
348,597.850952
349,599.761047
350,587.345703
351,600.716125
352,613.131531
353,628.412048
354,615.996704
355,603.581177
356,592.120789
357,608.356323
358,607.401367
359,618.861755
360,622.681885
361,625.547058
362,612.176453
363,602.626160
364,611.221313
365,643.692688
366,636.052368
367,636.052368
368,635.097412
369,633.187256
370,647.512817
371,647.512817
372,653.242920
373,637.007324
374,646.557861
375,644.647644
376,654.197998
377,647.512817
378,662.793335
379,661.838318
380,657.063171
381,655.153137
382,637.007324
383,633.187256
384,633.187256
385,649.422913
386,657.063171
387,655.153137
388,670.433594
389,658.018188
390,665.658508
391,654.197998
392,651.333008
393,653.242920
394,656.108032
395,652.287903
396,656.108032
397,661.838318
398,660.883301
399,670.433594
400,658.973206
401,657.063171
402,647.512817
403,657.063171
404,674.253723
405,663.748352
406,672.343689
407,670.329834
408,672.247803
409,669.370789
410,671.288757
411,666.493774
412,668.411926
413,657.862976
414,652.109192
415,654.026978
416,653.068054
417,643.478210
418,638.683350
419,651.150085
420,656.904114
421,659.781006
422,655.945068
423,659.781006
424,663.616943
425,668.411926
426,675.124695
427,665.534851
428,665.534851
429,666.493774
