,0
0,6506.985352
1,6445.058594
2,6259.281250
3,6149.720215
4,5944.887695
5,5997.286621
6,6083.030762
7,6121.138672
8,6292.625977
9,6168.774414
10,6116.375488
11,6049.685547
12,5963.942383
13,6016.340820
14,5949.651855
15,5925.833984
16,6063.976563
17,6097.321289
18,6268.808594
19,6130.666016
20,6283.099121
21,6416.478027
22,6487.930664
23,6421.241211
24,6278.334961
25,6221.172852
26,5963.942383
27,5916.306641
28,5940.124512
29,5863.907715
30,5944.887695
31,5897.252930
32,5911.543457
33,5835.327148
34,5830.562988
35,5740.056641
36,5797.218750
37,5806.745605
38,5944.887695
39,5968.705566
40,6078.267090
41,6116.375488
42,6206.882324
43,6235.463379
44,6078.267090
45,6073.503418
46,6063.976563
47,6030.631836
48,6106.848145
49,5963.942383
50,5897.252930
51,5816.272949
52,5759.109863
53,5859.144531
54,5792.455078
55,5792.455078
56,5801.982422
57,5801.982422
58,5768.637695
59,5744.819824
60,5835.327148
61,5825.799805
62,5935.360840
63,5778.164063
64,5373.264648
65,5263.703125
66,5430.426758
67,5416.135742
68,5330.392578
69,5430.426758
70,5663.839844
71,5578.096191
72,5568.568848
73,5544.751465
74,5654.312500
75,5554.278809
76,5525.697266
77,5649.549316
78,5759.109863
79,5625.730957
80,5663.839844
81,5741.009277
82,5788.644043
83,5969.658691
84,6003.955566
85,5973.469238
86,5838.185059
87,5733.387695
88,5769.590332
89,5940.057617
90,6000.452148
91,6183.582520
92,6333.593262
93,6473.863770
94,6475.812012
95,6454.382324
96,6403.728516
97,6368.661133
98,6304.370605
99,6355.023926
100,6319.956543
101,6590.755859
102,6234.235840
103,6243.976563
104,6082.275879
105,6039.415527
106,5856.284668
107,5823.165527
108,5731.600098
109,5737.445313
110,5698.480957
111,5671.206055
112,5733.548828
113,5663.413086
114,5606.915527
115,5601.070801
116,5632.242188
117,5528.987793
118,5721.859375
119,5468.593262
120,5482.230957
121,5482.230957
122,5447.163574
123,5599.123047
124,5651.724121
125,5739.393066
126,5708.221680
127,5739.393066
128,5708.221680
129,5680.947266
130,5678.999023
131,5735.496582
132,5659.517090
133,5682.895508
134,5760.823242
135,5879.663086
136,5712.118164
137,5542.625000
138,5474.437988
139,5548.469727
