,0
0,291.000000
1,292.899994
2,277.000000
3,275.899994
4,268.500000
5,266.500000
6,276.299988
7,235.399994
8,235.800003
9,234.000000
10,242.000000
11,239.800003
12,238.600006
13,237.300003
14,233.800003
15,233.199997
16,238.199997
17,237.800003
18,242.300003
19,245.399994
20,249.399994
21,262.299988
22,271.799988
23,276.000000
24,273.700012
25,273.100006
26,270.100006
27,271.899994
28,276.299988
29,276.100006
30,279.399994
31,280.600006
32,281.700012
33,279.500000
34,273.100006
35,273.000000
36,272.000000
37,272.399994
38,271.600006
39,278.200012
40,282.100006
41,277.299988
42,276.100006
43,274.899994
44,273.299988
45,270.399994
46,272.600006
47,273.600006
48,277.399994
49,271.799988
50,270.000000
51,276.799988
52,274.500000
53,276.500000
54,272.500000
55,271.399994
56,264.200012
57,270.799988
58,265.000000
59,269.799988
60,272.600006
61,274.200012
62,269.200012
63,265.299988
64,263.000000
65,264.500000
66,265.200012
67,269.899994
68,275.600006
69,281.100006
70,288.000000
71,288.399994
72,292.500000
73,287.399994
74,287.799988
75,285.600006
76,282.000000
77,287.299988
78,285.700012
79,286.399994
80,292.200012
81,292.000000
82,290.000000
83,293.399994
84,288.399994
85,281.799988
86,281.000000
87,283.799988
88,285.200012
89,298.000000
90,297.000000
91,296.000000
92,301.399994
93,303.799988
94,301.600006
95,302.799988
96,303.799988
97,304.399994
98,304.200012
99,301.600006
100,297.799988
101,298.399994
102,297.000000
103,296.799988
104,292.000000
105,295.399994
106,289.200012
107,294.399994
108,287.200012
109,294.000000
110,292.399994
111,292.200012
112,293.600006
113,287.600006
114,288.399994
115,283.200012
116,279.600006
117,281.600006
118,290.799988
119,287.600006
120,289.799988
121,287.399994
122,291.000000
123,294.600006
124,293.799988
125,292.799988
126,292.200012
127,293.200012
128,291.799988
129,290.000000
130,286.000000
131,283.799988
132,284.000000
133,285.799988
134,280.200012
135,285.799988
136,282.399994
137,276.600006
138,274.200012
139,274.000000
140,276.600006
141,276.200012
142,278.799988
143,272.000000
144,266.399994
145,261.200012
146,263.399994
147,260.799988
148,256.399994
149,250.800003
150,257.200012
151,263.399994
152,238.199997
153,235.800003
154,231.600006
155,226.800003
156,227.600006
157,228.600006
158,228.399994
159,254.600006
160,239.199997
161,229.800003
162,214.800003
163,214.399994
164,226.800003
165,224.800003
166,221.199997
167,216.199997
168,220.199997
169,230.800003
170,235.800003
171,236.800003
172,229.800003
173,237.800003
174,214.000000
175,220.800003
176,229.800003
177,240.000000
178,239.399994
179,242.199997
180,248.600006
181,246.600006
182,246.000000
183,243.000000
184,246.800003
185,249.199997
186,242.600006
187,236.600006
188,243.199997
189,254.800003
190,255.600006
191,259.000000
192,264.399994
193,264.799988
194,270.799988
195,279.200012
196,277.799988
197,277.399994
198,282.799988
199,275.799988
200,279.600006
201,281.200012
202,274.600006
203,274.200012
204,271.799988
205,274.799988
206,279.200012
207,282.399994
208,278.000000
209,284.000000
210,284.799988
211,283.799988
212,280.399994
213,275.000000
214,277.600006
215,297.799988
216,309.799988
217,317.799988
218,312.600006
219,319.200012
220,325.600006
221,323.000000
222,320.000000
223,319.200012
224,313.000000
225,310.600006
226,315.000000
227,318.200012
228,313.600006
229,309.000000
230,314.200012
231,316.000000
232,314.399994
233,312.399994
234,318.799988
235,319.200012
236,322.399994
237,320.399994
238,316.200012
239,314.000000
240,321.600006
241,331.200012
242,330.000000
243,330.600006
244,336.000000
245,336.399994
246,340.200012
247,338.799988
248,336.200012
249,339.000000
250,337.200012
251,332.000000
252,334.000000
253,341.200012
254,343.600006
255,352.000000
256,352.399994
257,347.000000
258,347.200012
259,345.600006
260,360.000000
261,472.200012
262,472.200012
263,449.200012
264,473.000000
265,474.600006
266,469.200012
267,472.200012
268,469.200012
269,456.399994
270,458.600006
271,459.399994
272,472.600006
273,469.799988
274,480.200012
275,476.000000
276,487.600006
277,490.799988
278,497.000000
279,518.000000
280,513.500000
281,508.000000
282,514.500000
283,511.000000
284,514.000000
285,518.000000
286,509.500000
287,509.500000
288,495.600006
289,489.000000
290,482.200012
291,480.600006
292,471.399994
293,474.399994
294,495.000000
295,485.799988
296,483.000000
297,464.600006
298,468.000000
299,474.000000
300,481.000000
301,490.000000
302,490.000000
303,483.600006
304,487.200012
305,498.200012
306,503.000000
307,491.799988
308,464.000000
309,449.600006
310,445.000000
311,401.200012
312,383.799988
313,370.000000
314,361.399994
315,365.000000
316,343.399994
317,329.399994
318,303.000000
319,297.399994
320,301.399994
321,259.000000
322,250.600006
323,215.600006
324,217.199997
325,228.199997
326,226.199997
327,230.399994
328,231.000000
329,233.600006
330,245.800003
331,255.199997
332,210.199997
333,187.100006
334,182.600006
335,185.899994
336,184.199997
337,185.199997
338,192.100006
339,201.800003
340,221.800003
341,230.800003
342,242.600006
343,208.000000
344,221.000000
345,230.000000
346,237.199997
347,226.199997
348,226.000000
349,236.199997
350,226.600006
351,230.199997
352,244.000000
353,261.200012
354,260.000000
355,251.600006
356,248.000000
357,249.600006
358,250.800003
359,251.800003
360,244.800003
361,241.399994
362,241.199997
363,240.000000
364,244.000000
365,263.000000
366,275.799988
367,264.799988
368,263.200012
369,266.000000
370,287.200012
371,298.799988
372,320.799988
373,306.600006
374,310.000000
375,312.799988
376,315.000000
377,318.600006
378,367.200012
379,367.399994
380,357.799988
381,349.200012
382,326.200012
383,323.000000
384,318.000000
385,332.000000
386,333.600006
387,322.200012
388,329.200012
389,328.200012
390,331.799988
391,308.799988
392,309.799988
393,306.000000
394,307.399994
395,305.600006
396,308.799988
397,318.799988
398,320.600006
399,330.000000
400,316.399994
401,302.799988
402,307.799988
403,310.799988
404,308.799988
405,288.399994
406,293.000000
407,289.799988
408,295.200012
409,284.000000
410,286.799988
411,282.000000
412,286.000000
413,273.399994
414,268.799988
415,278.399994
416,270.399994
417,264.000000
418,251.800003
419,254.600006
420,265.000000
421,262.399994
422,270.600006
423,270.200012
424,279.000000
425,294.200012
426,284.600006
427,287.600006
428,283.399994
429,289.000000
430,282.799988
431,305.799988
432,346.600006
433,346.399994
434,344.799988
435,350.799988
436,347.000000
437,356.200012
438,350.000000
439,353.000000
