,0
0,719.460449
1,696.269409
2,703.820007
3,719.640076
4,721.617615
5,731.145752
6,738.336853
7,755.954712
8,749.302979
9,736.179504
10,744.808716
11,746.067078
12,759.550293
13,752.359192
14,750.561462
15,779.505371
16,782.022156
17,773.033447
18,798.201904
19,798.561462
20,786.696350
21,823.370544
22,805.932373
23,828.224365
24,853.572693
25,841.887268
26,830.381775
27,826.426758
28,801.977234
29,809.707520
30,797.842468
31,805.213257
32,819.954712
33,797.482788
34,801.797424
35,851.055908
36,846.201965
37,867.774963
38,874.426575
39,903.370483
40,872.269348
41,872.988403
42,868.853577
43,870.831177
44,855.190674
45,846.921021
46,850.876038
47,852.853516
48,868.673889
49,876.224365
50,871.550171
51,880.898499
52,883.774902
53,923.595215
54,890.246887
55,892.943542
56,877.303040
57,804.134521
58,788.494019
59,773.033447
60,740.673889
61,718.201965
62,734.022156
63,721.617615
64,702.381836
65,717.662659
66,720.898560
67,732.404236
68,731.325623
69,721.258240
70,721.258240
71,725.932373
72,722.157043
73,719.640076
74,748.044739
75,749.302979
76,764.044678
77,783.820007
78,767.999756
79,773.033447
80,782.741272
81,774.112122
82,771.055847
83,792.808777
84,784.359253
85,794.966003
86,787.954651
87,771.055847
88,773.572693
89,717.662659
90,715.145691
91,705.078430
92,700.224487
93,687.640198
94,699.685242
95,683.145813
96,672.539124
97,682.162720
98,691.675354
99,677.406433
100,684.906677
101,684.174988
102,677.406433
103,684.357910
104,673.747681
105,673.930603
106,665.149841
107,662.954529
108,664.052246
109,675.759949
110,681.247925
111,664.418030
112,668.625488
113,674.296509
114,673.930603
115,666.430359
116,670.271851
117,664.783752
118,675.028259
119,678.687012
120,681.613892
121,702.468445
122,728.810974
123,717.834900
124,722.225342
125,734.116028
126,742.714050
127,722.408325
128,720.396057
129,736.128357
130,743.079773
131,768.141907
132,755.336487
133,760.641541
134,752.958252
135,794.667358
136,807.838684
137,812.594971
138,816.802490
139,800.155457
140,792.838013
141,795.947937
142,780.032654
143,790.277039
144,800.704224
145,796.313782
146,805.277649
147,818.448914
148,814.424377
149,800.338440
150,803.082520
151,804.362854
152,820.827026
153,842.596252
154,818.631897
155,743.994446
156,726.981689
157,724.786560
158,719.481262
159,715.822632
160,717.651978
161,718.932495
162,726.798706
163,597.829895
164,549.718018
165,554.108643
166,558.864807
167,585.390381
168,589.780701
169,622.708923
170,628.904297
171,622.848328
172,630.922913
173,625.968079
174,627.803223
175,615.874756
176,608.901184
177,598.257324
178,601.560608
179,612.020996
180,610.369263
181,627.986694
182,640.098694
183,667.992859
184,672.764221
185,679.370789
186,684.509155
187,701.025513
188,703.961731
189,663.404846
190,659.918213
191,638.997498
192,645.053589
193,669.093994
194,687.628906
195,669.460938
196,662.487366
197,675.700500
198,676.067444
199,657.532593
200,658.266663
201,681.205933
202,683.041138
203,676.434570
204,670.011475
205,645.053589
206,627.252625
207,633.675537
208,612.020996
209,604.313293
210,607.616638
211,619.177917
212,632.023987
213,614.223145
214,600.275940
215,578.804749
216,582.108154
217,560.269836
218,559.352234
219,565.591797
220,565.224670
221,577.153076
222,596.422241
223,586.512451
224,601.744019
225,625.234009
226,617.526306
227,623.398804
228,634.776672
229,651.476501
230,660.652283
231,661.753357
232,649.090881
233,647.439209
234,627.252625
235,617.893433
236,602.294739
237,574.400452
238,601.744019
239,583.943176
240,572.932312
241,573.115906
242,575.318054
243,568.344482
244,549.258972
245,514.758179
246,495.122131
247,528.705383
248,525.585632
249,523.933899
250,529.989929
251,524.301086
252,534.577759
253,500.444183
254,516.776978
255,509.619812
256,512.189087
257,508.702209
258,533.660156
259,541.734802
260,525.218567
261,540.817322
262,536.045898
263,536.963501
264,529.255920
265,533.660156
266,543.019531
267,550.543640
268,568.895020
269,587.430054
270,587.430054
271,590.916748
272,606.515503
273,606.515503
274,601.927673
275,589.081604
276,568.895020
277,573.666443
278,567.977356
279,558.801758
280,572.198303
281,581.007019
282,587.430054
283,595.504578
284,583.759705
285,585.044250
286,580.272949
287,583.576172
288,585.594910
289,562.471985
290,568.160950
291,596.422241
292,607.800171
293,589.081604
294,572.748840
295,572.198303
296,599.909058
297,610.002319
298,598.807861
299,599.725464
300,593.485901
301,618.443970
302,619.361511
303,610.552795
304,631.289917
305,643.585388
306,634.409790
307,653.495117
308,674.415833
309,667.442383
310,650.008362
311,628.720825
312,554.030334
313,568.895020
314,596.238770
315,604.680420
316,611.103333
317,608.534180
318,603.579224
319,566.692810
320,567.977356
321,510.353912
322,498.975952
323,483.560760
324,536.596558
325,549.625977
326,519.346130
327,546.506165
328,568.895020
329,666.891602
330,701.943054
331,689.831055
332,667.625854
333,642.300781
334,611.837463
335,601.010193
336,621.930664
337,583.576172
338,608.717712
339,637.345947
340,602.294739
341,655.513916
342,687.812439
343,638.447021
344,668.910339
345,649.457886
346,644.319580
347,660.652283
348,696.988159
349,700.319946
350,676.158203
351,667.980408
352,654.412598
353,668.537964
354,661.475281
355,652.368164
356,647.907471
357,640.473145
358,625.975952
359,632.852844
360,638.056885
361,644.747803
362,644.747803
363,646.048889
364,685.451172
365,748.085999
366,755.148560
367,749.944641
368,718.348328
369,737.863647
370,717.233276
371,697.717896
372,732.287842
373,730.615112
374,752.174927
375,737.492004
376,694.000671
377,703.293762
378,666.679382
379,678.760254
380,704.780701
381,713.144348
382,721.322083
383,738.049561
384,694.744080
385,700.877563
386,711.657471
387,705.152283
388,724.853455
389,757.193115
390,793.249878
391,778.381104
392,761.096130
393,766.486084
394,781.540710
395,781.912537
396,770.389160
397,783.956909
398,795.108459
399,818.155151
400,822.615845
401,844.361328
402,860.159424
403,873.541382
404,922.608459
405,933.945862
406,968.329895
407,970.188477
408,1014.330261
409,1019.441406
410,993.420837
411,1088.674316
412,1104.936890
413,1107.260254
414,1186.250610
415,1168.593872
416,1171.846558
417,1123.058228
418,1145.361572
419,1184.856445
420,1175.563599
421,1245.261230
422,1238.056030
423,1204.092041
424,1203.161499
