,0
0,213.715881
1,205.440659
2,194.934784
3,201.051208
4,197.525299
5,204.145477
6,209.794128
7,212.384628
8,208.426971
9,210.801559
10,207.383545
11,211.844925
12,204.865005
13,206.663971
14,207.023743
15,203.030075
16,208.678772
17,209.650238
18,203.281921
19,193.603546
20,204.505234
21,206.771881
22,207.887268
23,210.945465
24,212.384628
25,212.744431
26,209.614258
27,209.938065
28,207.167664
29,208.858673
30,214.255524
31,213.032196
32,208.642792
33,206.268204
34,207.347565
35,214.075653
36,209.722183
37,213.751816
38,219.652420
39,222.674652
40,220.336044
41,217.133850
42,218.537064
43,219.688385
44,213.931763
45,210.153946
46,208.570847
47,209.902100
48,214.723251
49,213.787842
50,218.501099
51,218.141281
52,217.853455
53,223.394226
54,216.234406
55,222.242905
56,219.688385
57,220.911667
58,222.098999
59,218.716980
60,219.040787
61,219.616440
62,220.156143
63,222.674652
64,217.997391
65,213.679871
66,217.421677
67,218.752930
68,221.127548
69,220.371979
70,219.796341
71,223.646072
72,230.374191
73,228.071548
74,229.438736
75,224.041840
76,223.142380
77,222.063019
78,222.134995
79,224.221725
80,228.791107
81,234.727661
82,236.022888
83,239.656769
84,236.526642
85,239.081131
86,238.181641
87,237.713928
88,238.577393
89,232.209106
90,239.225052
91,237.462067
92,240.340408
93,244.873749
94,243.362625
95,242.607056
96,240.376343
97,238.447739
98,230.584824
99,231.845840
100,225.763153
101,223.871597
102,219.865952
103,221.349503
104,214.747620
105,212.856049
106,208.219879
107,208.331131
108,201.543777
109,205.475250
110,206.476669
111,207.811890
112,205.252731
113,202.508102
114,202.693573
115,197.649399
116,192.605225
117,193.606659
118,192.901947
119,191.752167
120,192.864868
121,188.896301
122,190.454041
123,194.200058
124,192.493973
125,193.792099
126,193.532486
127,196.536713
128,200.950348
129,199.948914
130,202.508102
131,201.803406
132,200.282761
133,206.217041
134,204.325500
135,206.847565
136,207.886063
137,206.402481
138,205.994492
139,205.771957
140,195.757828
141,202.767746
142,205.994492
143,207.329727
144,205.363998
145,202.285568
146,199.948914
147,203.324066
148,197.463974
149,200.393982
150,196.573807
151,197.538101
152,199.429703
153,202.285568
154,200.950348
155,200.023117
156,201.951767
157,201.988846
158,204.399628
159,205.697754
160,204.585114
161,201.840485
162,204.140060
163,202.508102
164,197.649399
165,188.747955
166,179.698120
167,174.320160
168,171.612656
169,170.091965
170,174.913574
171,171.464264
172,171.241730
173,175.173218
174,170.982117
175,164.788193
176,166.457184
177,172.799469
178,170.462875
179,172.428589
180,169.832336
181,167.273178
182,166.012161
183,167.050629
184,171.798080
185,175.766647
186,175.729568
187,175.024857
188,180.143234
189,183.788574
190,185.400101
191,186.282593
192,190.963623
193,193.342529
194,193.802979
195,200.555954
196,196.642273
197,194.493591
198,194.148270
199,195.145874
200,196.872482
201,191.117096
202,187.395279
203,186.474442
204,186.704651
205,189.543961
206,187.817352
207,182.637512
208,178.608734
209,174.925293
210,173.927704
211,172.661499
212,171.817398
213,172.546417
214,178.033203
215,182.253815
216,177.150711
217,179.299377
218,176.843765
219,175.385712
220,174.618347
221,178.570374
222,177.496033
223,179.567963
224,178.301788
225,179.759811
226,183.788574
227,184.862946
228,182.177078
229,178.531998
230,184.901306
231,193.534378
232,198.867691
233,197.179443
234,198.522400
235,195.222610
236,188.392899
237,188.277786
238,185.438461
239,183.443283
240,186.934891
241,183.788574
242,184.901306
243,185.707047
244,183.865311
245,189.467224
246,190.579941
247,191.462418
248,189.927658
249,190.234619
250,187.165070
251,187.855713
252,180.834152
253,182.906082
254,166.445694
255,168.939682
256,168.172318
257,166.560806
258,167.826996
259,173.697479
260,173.275452
261,179.069183
262,178.186676
263,179.721436
264,183.903702
265,181.601532
266,180.757401
267,180.143524
268,183.213028
269,182.138702
270,180.603943
271,184.978043
272,185.438461
273,181.332962
274,181.870132
275,184.018814
276,182.982834
277,184.325760
278,185.937256
279,186.205841
280,185.208267
281,185.745407
282,186.627914
283,185.553558
284,182.637512
285,180.412079
286,175.078766
287,176.920502
288,169.898926
289,174.656708
290,175.615936
291,173.735855
292,170.743057
293,170.052429
294,178.877319
295,181.639923
296,183.404907
297,178.954056
298,176.191498
299,179.069183
300,183.289780
301,182.484009
