,0
0,1146.304321
1,1106.703003
2,1075.750488
3,1090.468018
4,1114.896362
5,1122.786377
6,1122.179565
7,1124.455200
8,1122.786377
9,1113.379028
10,1098.661377
11,1140.234741
12,1138.110474
13,1147.973022
14,1135.986572
15,1119.751831
16,1143.269531
17,1131.282715
18,1138.262207
19,1143.269531
20,1152.069702
21,1148.883179
22,1152.524780
23,1166.028687
24,1165.270142
25,1157.076782
26,1130.979492
27,1144.483154
28,1126.124268
29,1124.151855
30,1136.896973
31,1131.889893
32,1130.979492
33,1119.144775
34,1107.309937
35,1092.743896
36,1089.405884
37,1101.696167
38,1123.393066
39,1120.661987
40,1125.365845
41,1122.786377
42,1155.104004
43,1174.373535
44,1173.160034
45,1187.118652
46,1175.890991
47,1173.463257
48,1173.615234
49,1188.028931
50,1199.408569
51,1191.822510
52,1191.519043
53,1194.098267
54,1188.334229
55,1186.943481
56,1185.552612
57,1168.399902
58,1159.746460
59,1156.964844
60,1167.009155
61,1165.463989
62,1171.336060
63,1166.081909
64,1166.236572
65,1168.554565
66,1166.699951
67,1168.245483
68,1163.918579
69,1165.773071
70,1160.209839
71,1168.708984
72,1161.446045
73,1177.980835
74,1209.968750
75,1201.469482
76,1197.451294
77,1206.568604
78,1209.195679
79,1228.512207
80,1233.766357
81,1222.331055
82,1237.011230
83,1226.657715
84,1226.812256
85,1231.602661
86,1227.121338
87,1222.485352
88,1218.931030
89,1209.659424
90,1198.533325
91,1197.605957
92,1201.314941
93,1190.497803
94,1177.826294
95,1203.169067
96,1190.188721
97,1201.623901
98,1206.414185
99,1212.441040
100,1215.685913
101,1205.177856
102,1195.597046
103,1199.305908
104,1172.726929
105,1177.826294
106,1173.035889
107,1160.518799
108,1168.554565
109,1171.799561
110,1185.243652
111,1216.299927
112,1220.223389
113,1217.398193
114,1212.062256
115,1232.935791
116,1233.249512
117,1241.410522
118,1213.788696
119,1205.156860
120,1206.255737
121,1198.251343
122,1215.672241
123,1200.919556
124,1198.722412
125,1212.219116
126,1228.227417
127,1237.487061
128,1234.975708
129,1242.352051
130,1241.881104
131,1243.293823
132,1246.432739
133,1251.768677
134,1259.458862
135,1261.028320
136,1237.015991
137,1250.042236
138,1259.929810
139,1245.491211
140,1241.410522
141,1237.173218
142,1248.002075
143,1271.386475
144,1287.865234
145,1286.139038
146,1284.255615
147,1277.507202
148,1287.080566
149,1289.434814
150,1280.959595
151,1274.211304
152,1285.824951
153,1306.541504
154,1303.088745
155,1294.614380
156,1291.945923
157,1298.380371
158,1303.088745
159,1297.595459
160,1310.464966
161,1322.863281
162,1357.547607
163,1356.606079
164,1336.046265
165,1342.166992
166,1326.943970
167,1304.815063
168,1292.416748
169,1301.048462
170,1327.298706
171,1329.209351
172,1328.731567
173,1340.512939
174,1321.089722
175,1309.945435
176,1319.816162
177,1325.069946
178,1326.502686
179,1341.308838
180,1334.144409
181,1346.244385
182,1343.060181
183,1347.199463
184,1360.731934
185,1362.483276
186,1382.543091
187,1387.796875
188,1389.229614
189,1354.682251
190,1365.348877
191,1336.692017
192,1306.760986
193,1313.447876
194,1323.000122
195,1307.365967
196,1295.298218
197,1310.104614
198,1311.060059
199,1319.656982
200,1330.641968
201,1341.945801
202,1353.249268
203,1337.328857
204,1362.164795
205,1373.150024
206,1388.752197
207,1377.607788
208,1329.368408
209,1329.845947
210,1352.453369
211,1365.508057
212,1363.597900
213,1369.488159
214,1362.801636
215,1333.348633
216,1340.671997
217,1317.905762
218,1302.462769
219,1314.880737
220,1310.423096
221,1305.328613
222,1317.587280
223,1339.398315
224,1368.692261
225,1353.249268
226,1382.384033
227,1384.931274
228,1418.523438
229,1407.856812
230,1401.806885
231,1396.234863
232,1377.130127
233,1370.921143
234,1371.716797
235,1382.702271
236,1367.737061
237,1377.926270
238,1384.613159
239,1372.812134
240,1371.682495
241,1383.302856
242,1385.078003
243,1369.099976
244,1373.135010
245,1382.979858
246,1393.632080
247,1404.122437
248,1420.746094
249,1422.037109
250,1415.419922
251,1396.698364
252,1377.653809
253,1378.299438
254,1377.330933
255,1395.568604
256,1394.761597
257,1412.353394
258,1414.613037
259,1407.511719
260,1392.018188
261,1423.651245
262,1434.948608
263,1448.021606
264,1457.705200
265,1463.192627
266,1464.645142
267,1466.743042
268,1467.711426
269,1450.926636
270,1435.594116
271,1434.141724
272,1439.951904
273,1428.654297
274,1422.198364
275,1429.299927
276,1444.632324
277,1450.442505
278,1459.964600
279,1456.091064
280,1480.945557
281,1458.996216
282,1489.660889
