,0
0,1614.695313
1,1595.794189
2,1518.839722
3,1534.140503
4,1542.241089
5,1609.744873
6,1636.746704
7,1607.944824
8,1659.247925
9,1694.350098
10,1702.450439
11,1658.798096
12,1581.393311
13,1499.488647
14,1527.840210
15,1507.588867
16,1516.139648
17,1544.491089
18,1534.590576
19,1511.639404
20,1499.488647
21,1518.839722
22,1439.635010
23,1414.433350
24,1435.584961
25,1435.134766
26,1385.181641
27,1401.832642
28,1407.233032
29,1395.082397
30,1392.832153
31,1392.832153
32,1400.482666
33,1408.583008
34,1396.882568
35,1374.831299
36,1359.530273
37,1376.181274
38,1431.084595
39,1449.535645
40,1478.337280
41,1471.586792
42,1495.438110
43,1513.889404
44,1511.639404
45,1521.089844
46,1556.191895
47,1548.541382
48,1556.191895
49,1589.493774
50,1583.193604
51,1546.741333
52,1543.591064
53,1506.239014
54,1484.187622
55,1532.790405
56,1533.240479
57,1521.989990
58,1479.687134
59,1501.738892
60,1517.939575
61,1533.240479
62,1564.292358
63,1558.891968
64,1510.289063
65,1510.289063
66,1509.838989
67,1490.037964
68,1426.134277
69,1400.932617
70,1438.734985
71,1432.434448
72,1467.536865
73,1482.837524
74,1585.893799
75,1547.641235
76,1535.940674
77,1567.892578
78,1567.892578
79,1595.794189
80,1612.444946
81,1655.197754
82,1629.996338
83,1632.246460
84,1620.415161
85,1638.617065
86,1635.886719
87,1643.167480
88,1628.151001
89,1623.600464
90,1601.758423
91,1590.382080
92,1582.646362
93,1550.793213
94,1508.474121
95,1551.248291
96,1541.237427
97,1540.327271
98,1544.877686
99,1571.725342
100,1606.763916
101,1602.668335
102,1599.938232
103,1601.303223
104,1617.684692
105,1613.134644
106,1591.292236
107,1593.112671
108,1587.651978
109,1602.213501
110,1619.960327
111,1623.600464
112,1582.646362
113,1553.523438
114,1538.962280
115,1586.741943
116,1589.472168
117,1596.752808
118,1578.096191
119,1501.648560
120,1487.542114
121,1437.942139
122,1457.509033
123,1465.700073
124,1454.323730
125,1449.773315
126,1462.969727
127,1468.430176
128,1500.738525
129,1510.294312
130,1489.817261
131,1497.553223
132,1547.607910
133,1584.466675
134,1584.011719
135,1594.477539
136,1538.962280
137,1577.640869
138,1563.534546
139,1560.804321
140,1568.540039
141,1567.174927
142,1594.477539
143,1633.611572
144,1630.881348
145,1641.802368
146,1612.224365
147,1632.701538
148,1642.712280
149,1638.162109
150,1641.802368
151,1628.151001
152,1639.527100
153,1633.156616
154,1640.437134
155,1638.617065
156,1646.352661
157,1639.982300
158,1635.886719
159,1642.257446
160,1659.549072
161,1670.925171
162,1710.059082
163,1703.233521
164,1675.020508
165,1695.042603
166,1652.268311
167,1611.769409
168,1631.791382
169,1642.712280
170,1675.475586
171,1777.860840
172,1806.528442
173,1822.000000
174,1808.348755
175,1805.618530
176,1821.089966
177,1852.033203
178,1844.752441
179,1878.425659
180,1869.262573
181,1862.848633
182,1870.178833
183,1853.685425
184,1836.275879
185,1848.187744
186,1866.513672
187,1869.262573
188,1877.509521
189,1811.077393
190,1828.486938
191,1757.473511
192,1751.059448
193,1790.918579
194,1779.006714
195,1776.715820
196,1774.883301
197,1811.535645
198,1836.275879
199,1855.518066
200,1896.751831
201,1915.078003
202,1970.972656
203,1974.637817
204,2003.959839
205,2012.206177
206,2015.871582
207,1968.223755
208,1894.919434
209,1882.091064
210,1894.002930
211,1916.910645
212,1887.588745
213,1895.835571
214,1870.178833
215,1852.769165
216,1853.685425
217,1846.354980
218,1832.610352
219,1841.773560
220,1826.196411
221,1800.539795
222,1800.539795
223,1795.958130
224,1824.363892
225,1812.451782
226,1839.940918
227,1838.108276
228,1841.773560
229,1841.773560
230,1841.773560
231,1832.610352
232,1835.359375
233,1855.518066
234,1779.464722
235,1740.063599
236,1726.777344
237,1721.737549
238,1740.063599
239,1719.905029
240,1730.900513
241,1742.812622
242,1745.561523
243,1741.896362
244,1726.777344
245,1741.438110
246,1771.676270
247,1773.508667
248,1795.958130
249,1773.050659
250,1754.724487
251,1741.438110
252,1738.230957
253,1731.817017
254,1731.358643
255,1753.808228
256,1749.226563
257,1780.381104
258,1810.619263
259,1766.636597
260,1732.275024
261,1757.015381
262,1748.310303
263,1820.240234
264,1816.575317
265,1842.689819
266,1851.852905
267,1850.936646
268,1859.183350
269,1844.522461
270,1824.363892
271,1818.865723
272,1819.782104
273,1751.975830
274,1724.944580
275,1717.614136
276,1742.812622
277,1746.936035
278,1766.636597
279,1781.755371
280,1809.702759
281,1750.601196
282,1791.834839
283,1790.460571
284,1805.121338
285,1784.504517
286,1774.425171
287,1800.997925
288,1776.715820
289,1779.922974
290,1753.808228
291,1681.420288
292,1678.671387
293,1677.754639
294,1692.873901
295,1720.821289
296,1740.521851
297,1751.975830
298,1721.737549
299,1718.072144
300,1708.909302
301,1707.345947
302,1716.239746
303,1724.944580
304,1759.305908
305,1786.795166
306,1750.142822
307,1766.178467
308,1688.292603
309,1681.878296
310,1672.715088
311,1750.142822
312,1638.353760
313,1740.063599
314,1722.195679
315,1767.094849
316,1784.046387
317,1702.953247
318,1664.926636
319,1666.759155
320,1675.464111
321,1591.622070
322,1583.375366
323,1590.247559
324,1626.441650
325,1624.151123
326,1674.982910
327,1750.231812
328,1580.689697
329,1684.737427
330,1672.195923
331,1735.367798
332,1824.551636
333,1825.016113
334,1890.510376
335,1911.877319
336,2023.357056
337,2117.185791
338,2181.286621
339,2042.865967
340,2025.214844
341,2067.019775
342,2115.327881
343,2082.812988
344,2071.664795
345,2113.469727
346,2141.339600
347,2169.209717
348,2182.215820
349,2198.937744
350,2191.505371
351,2188.718994
352,2158.061768
353,2165.493896
354,2201.724121
355,2091.174316
356,2213.801758
357,2198.937744
358,2313.204590
359,2297.411621
360,2327.139404
361,2303.914307
362,2374.518311
363,2287.192627
364,2280.689697
365,2285.334473
366,2291.837158
367,2303.914307
368,2336.429443
369,2380.092285
370,2285.334473
371,2278.831543
372,2392.169189
373,2388.453125
374,2315.991455
375,2252.819824
376,2247.245605
377,2222.162598
378,2164.564453
379,2119.973145
380,2121.830811
381,2185.931885
382,2155.274902
383,2141.339600
384,2191.505371
385,2230.523682
386,2250.032715
387,2252.819824
388,2327.139404
389,2303.914307
390,2173.854492
391,2136.694580
392,2080.955078
393,2093.032227
394,2106.966797
395,2062.375000
396,2061.446045
397,2080.025879
398,2040.078735
399,2066.090820
400,2076.309814
401,2034.504883
402,1989.913086
403,1955.540161
404,1969.475098
405,1950.895264
406,2055.872070
407,2040.078735
408,2097.676514
409,2078.167969
410,2056.801025
411,2030.789185
412,2047.511230
413,1999.203247
414,2005.706055
415,1997.345215
416,1976.907104
417,1997.345215
418,1997.345215
419,2057.729980
420,2002.919067
421,2019.640991
422,2003.848145
423,2223.091797
424,2133.907715
425,2087.457764
426,2174.783936
427,2162.706543
428,2173.854492
429,2220.304688
430,2213.801758
431,2218.446533
432,2226.849854
433,2193.237061
434,2192.303223
435,2228.717285
436,2234.319580
437,2199.772949
438,2213.778320
439,2173.629395
440,2258.595459
441,2252.059814
442,2294.075439
443,2379.975098
444,2421.991211
445,2465.874512
446,2475.211182
447,2495.752441
448,2486.415527
449,2493.885254
450,2456.537354
451,2464.006836
452,2474.277588
453,2414.521484
454,2306.213379
455,2362.234863
456,2372.505615
457,2399.582520
458,2376.240234
459,2406.118164
460,2421.991211
461,2432.261230
462,2454.670166
463,2456.537354
