,0
0,1719.442993
1,1642.984741
2,1579.558960
3,1601.280273
4,1579.993286
5,1579.993286
6,1613.009521
7,1596.067139
8,1591.288452
9,1576.083618
10,1550.452881
11,1582.600098
12,1578.255737
13,1584.337646
14,1563.919800
15,1552.625000
16,1588.682007
17,1606.493408
18,1613.444214
19,1578.255737
20,1648.632202
21,1645.591309
22,1656.017334
23,1637.337036
24,1631.255249
25,1623.435913
26,1603.017700
27,1603.886963
28,1574.346069
29,1539.592041
30,1593.895142
31,1617.788208
32,1600.845825
33,1593.460449
34,1584.772095
35,1577.386963
36,1561.313110
37,1463.568237
38,1425.339111
39,1418.822998
40,1449.666870
41,1451.404541
42,1477.904175
43,1503.100830
44,1481.379639
45,1419.257080
46,1460.527466
47,1451.838745
48,1438.806152
49,1449.997070
50,1455.679932
51,1473.165527
52,1468.794067
53,1472.728516
54,1479.722778
55,1495.022583
56,1492.399780
57,1494.585449
58,1486.279785
59,1522.999634
60,1565.402100
61,1587.696533
62,1558.407959
63,1533.053955
64,1501.142456
65,1500.268311
66,1512.945435
67,1529.556763
68,1522.125366
69,1533.491089
70,1578.516602
71,1582.887939
72,1579.828003
73,1561.468262
74,1570.210815
75,1550.539673
76,1547.916504
77,1568.899414
78,1556.222412
79,1594.253906
80,1629.225098
81,1640.590454
82,1707.910278
83,1758.181641
84,1770.421509
85,1798.398560
86,1772.169922
87,1767.798584
88,1796.649780
89,1839.489990
90,1860.472656
91,1877.958374
92,1927.792603
93,1908.558228
94,1905.935181
95,1946.152222
96,1951.398071
97,1945.278076
98,1989.865967
99,1991.614746
100,1973.255005
101,2003.854858
102,1984.620361
103,2003.854858
104,1986.369263
105,2029.208862
106,1988.992065
107,2009.100464
108,1968.883545
109,2016.969116
110,2048.443604
111,2127.128662
112,2114.888672
113,2091.282959
114,2097.403320
115,2003.854858
116,1986.369263
117,1998.609009
118,1990.740479
119,1963.637451
120,1989.865967
121,1981.123901
122,1947.901001
123,1858.724121
124,1732.390015
125,1661.136230
126,1695.670288
127,1672.501831
128,1642.339111
129,1632.284912
130,1638.405029
131,1634.907593
132,1659.824951
133,1670.753418
134,1625.290649
135,1653.704834
136,1663.759155
137,1653.704834
138,1672.501831
139,1644.524902
140,1674.687622
141,1677.747681
142,1707.473267
143,1730.204590
144,1764.301514
145,1778.290039
146,1768.673096
147,1765.175781
148,1728.456055
149,1745.504517
150,1766.924316
151,1760.804443
152,1782.661377
153,1798.398560
154,1799.272827
155,1792.278442
156,1809.764282
157,1817.632568
158,1828.998413
159,1835.992676
160,1818.507080
161,1840.364258
162,1853.478394
163,1855.227051
164,1835.992676
165,1847.358276
166,1786.158569
167,1664.196411
168,1641.027832
169,1602.559326
170,1792.278442
171,1806.266968
172,1745.067383
173,1709.221802
174,1640.590454
175,1623.542236
176,1659.387695
177,1674.687622
178,1674.250488
179,1700.041748
180,1672.064697
181,1651.519165
182,1669.004761
183,1627.039307
184,1658.950562
185,1641.901978
186,1656.327759
187,1652.393433
188,1674.250488
189,1705.287354
190,1731.078857
191,1724.084595
192,1723.647461
193,1770.421509
194,1770.421509
195,1789.655518
196,1760.804443
197,1756.432983
198,1755.558716
199,1787.907227
200,1774.792969
201,1773.044312
202,1755.558716
203,1752.935913
204,1790.071655
205,1823.432617
206,1825.188354
207,1761.100586
208,1628.535034
209,1605.270508
210,1594.735229
211,1571.909424
212,1555.229126
213,1594.735229
214,1551.278564
215,1626.340332
216,1571.470581
217,1614.049438
218,1580.249756
219,1559.618652
220,1526.696777
221,1517.478760
222,1551.278564
223,1531.086426
224,1572.787231
225,1527.135742
226,1544.693970
227,1535.476074
228,1560.057617
229,1555.667969
230,1524.941040
231,1535.476074
232,1574.982300
233,1554.351074
234,1548.205811
235,1538.548584
236,1549.961548
237,1582.883667
238,1531.086426
239,1514.405884
240,1526.696777
241,1559.179810
242,1595.613159
243,1559.618652
244,1542.938232
245,1585.078369
246,1623.706665
247,1632.924805
248,1654.872681
249,1668.041382
250,1628.535034
251,1585.517212
252,1543.377319
253,1587.712036
254,1593.857422
255,1615.805420
256,1633.363647
257,1635.119507
258,1615.805420
259,1675.064819
260,1714.571045
261,1819.920898
262,1790.949585
263,1776.025146
264,1719.399536
265,1722.911011
266,1733.446045
267,1734.323975
268,1727.739746
269,1719.838623
270,1698.768433
271,1722.911011
272,1700.963135
273,1643.459839
274,1643.459839
275,1678.137451
276,1661.895874
277,1619.317017
278,1606.587280
279,1590.784790
280,1606.587280
281,1571.470581
282,1580.688721
283,1560.057617
284,1576.738281
285,1586.395020
286,1559.618652
287,1607.903931
288,1579.371704
289,1625.462280
290,1641.703735
291,1650.044067
292,1514.405884
293,1538.109619
294,1560.935425
295,1541.182373
296,1499.920410
297,1408.617065
298,1434.954590
299,1438.905151
300,1479.728271
301,1479.905029
302,1493.161865
303,1494.045532
304,1484.765869
305,1499.790283
306,1511.279541
307,1511.279541
308,1480.788818
309,1461.345581
310,1452.507568
311,1377.827271
312,1357.942017
313,1374.292114
314,1342.917603
315,1309.775513
316,1271.772705
317,1270.446899
318,1127.715088
319,1180.742554
320,1149.367798
321,1070.268677
322,1167.043701
323,1200.185669
324,1281.052612
325,1356.616455
326,1321.706787
327,1234.211670
328,1023.427917
329,1117.993408
330,1234.653564
331,1290.332153
332,1199.302002
333,1204.604614
334,1224.931885
335,1171.020752
336,1171.020752
337,1128.598755
338,1163.950439
339,1227.141357
340,1291.657959
341,1316.403931
342,1353.965088
343,1303.589111
344,1301.379761
345,1354.406860
346,1374.292114
347,1303.589111
348,1313.752563
349,1290.774048
350,1295.192993
351,1332.312134
352,1414.062744
353,1457.368286
354,1273.098389
355,1268.237671
356,1296.518799
357,1281.494263
358,1259.841431
359,1330.102661
360,1400.806030
361,1422.900635
362,1406.992432
363,1387.549072
364,1443.227661
365,1468.857544
366,1468.415894
367,1499.348389
368,1518.791870
369,1524.536377
370,1590.820679
371,1584.192383
372,1635.893799
373,1620.427612
374,1618.659790
375,1545.305542
376,1497.580933
377,1433.947998
378,1438.808838
379,1475.927979
380,1450.739990
381,1494.487549
382,1417.597900
383,1427.319702
384,1438.808838
385,1470.625244
386,1483.882202
387,1485.207642
388,1471.950928
389,1493.603760
390,1495.371460
391,1429.528931
392,1476.369751
393,1468.415894
394,1468.857544
395,1439.250610
396,1360.151611
397,1396.386841
398,1381.804443
399,1433.064209
400,1403.899170
401,1418.039795
402,1386.665405
403,1374.734131
404,1419.365601
405,1362.802856
406,1422.016602
407,1398.154541
408,1378.711304
409,1404.341064
410,1546.631226
411,1546.631226
412,1540.002930
413,1509.070190
414,1537.351318
415,1531.606689
416,1542.212280
417,1517.024170
418,1545.747314
419,1612.915161
420,1593.030151
421,1634.126221
422,1612.915161
423,1648.266968
424,1578.447510
425,1578.889404
426,1590.378540
427,1577.121826
428,1564.748779
429,1547.072998
430,1528.513428
431,1536.467651
432,1511.279541
433,1493.603760
434,1489.184814
435,1466.206299
436,1466.647949
437,1430.854858
438,1428.645386
439,1412.737061
440,1434.831787
441,1387.990967
442,1360.593506
443,1414.062744
444,1442.343872
445,1453.833130
446,1469.741455
447,1463.112915
448,1456.484619
449,1458.252319
450,1465.764526
451,1440.134644
452,1456.484619
453,1397.270752
454,1387.549072
455,1427.319702
456,1376.305664
457,1387.920044
458,1414.722412
459,1389.706787
460,1395.514160
461,1424.550049
462,1445.098511
463,1456.266235
464,1437.504517
465,1418.742798
466,1353.076782
467,1375.859009
468,1377.645630
469,1320.020386
470,1298.131714
471,1256.141357
472,1267.308960
473,1258.821411
474,1233.359253
475,1204.769897
476,1260.608276
477,1263.288574
478,1230.678955
479,1234.252686
480,1226.658569
481,1213.703979
482,1208.343628
483,1207.896851
484,1254.801147
485,1284.283813
486,1293.217896
487,1286.517456
488,1399.534424
489,1408.915283
490,1409.808594
491,1410.702026
492,1410.255371
493,1414.275757
494,1443.311646
495,1363.351074
496,1311.979736
497,1332.081665
498,1322.254028
499,1340.122192
500,1299.025146
