,0
0,1314.277100
1,1288.356323
2,1267.235596
3,1254.755249
4,1230.754761
5,1251.874878
6,1257.635254
7,1259.555298
8,1248.995239
9,1245.155029
10,1248.995239
11,1278.755859
12,1255.715332
13,1292.196289
14,1276.835815
15,1270.190796
16,1296.230957
17,1315.520386
18,1304.911011
19,1266.333008
20,1293.337769
21,1320.342407
22,1340.596069
23,1363.743164
24,1359.885376
25,1352.169556
26,1346.382935
27,1361.814087
28,1362.778687
29,1335.773926
30,1362.778687
31,1356.991943
32,1360.849609
33,1340.596069
34,1342.525024
35,1356.027344
36,1350.240601
37,1344.454102
38,1352.169556
39,1350.240601
40,1371.458862
41,1398.463623
42,1429.326294
43,1427.397339
44,1429.326294
45,1424.503784
46,1445.721924
47,1434.148560
48,1441.864136
49,1450.544189
50,1446.686523
51,1458.260132
52,1445.721924
53,1447.651123
54,1442.828613
55,1451.508789
56,1457.295532
57,1482.371338
58,1486.229248
59,1498.767334
60,1519.020752
61,1528.665283
62,1551.812500
63,1538.309937
64,1543.132324
65,1552.777100
66,1564.350342
67,1573.994995
68,1589.426270
69,1577.852905
70,1600.035400
71,1608.715454
72,1608.715454
73,1600.999634
74,1610.644409
75,1615.466797
76,1597.141846
77,1596.177368
78,1598.106323
79,1609.679810
80,1612.573364
81,1652.598145
82,1671.405273
83,1675.263062
84,1689.247559
85,1706.125488
86,1714.805664
87,1698.892212
88,1687.800903
89,1684.907471
90,1658.867065
91,1683.460815
92,1694.069824
93,1677.191772
94,1676.709473
95,1702.267700
96,1715.770020
97,1694.552368
98,1692.623169
99,1711.912476
100,1735.541504
101,1732.648071
102,1723.968018
103,1738.916992
104,1732.648071
105,1728.790283
106,1687.318848
107,1693.587891
108,1674.780884
109,1679.603149
110,1716.252441
111,1750.490723
112,1760.135254
113,1732.166138
114,1745.668335
115,1761.581909
116,1743.257324
117,1755.795166
118,1737.470581
119,1720.110107
120,1770.261963
121,1751.455078
122,1767.850952
123,1767.368530
124,1784.246582
125,1782.317993
126,1824.753784
127,1835.845215
128,1911.072876
129,1932.773193
130,1925.539673
131,1918.788574
132,1921.682007
133,1945.311279
134,1912.519653
135,1955.920044
136,1936.631104
137,1997.391846
138,1982.924927
139,1980.031372
140,1955.920044
141,1948.204468
142,1943.381958
143,1957.849121
144,2019.574463
145,1981.960327
146,1940.488770
147,1942.417603
148,1943.381958
149,1947.239990
150,1920.203247
151,1928.440186
152,1930.862793
153,1951.697876
154,1956.543091
155,1924.563965
156,1931.347534
157,1919.718506
158,1935.708130
159,1942.976196
160,1920.203247
161,1931.831909
162,1946.852417
163,1938.130859
164,1928.440186
165,1965.264648
166,1879.017822
167,1820.389404
168,1837.348022
169,1851.399536
170,1910.997070
171,1902.760132
172,1926.502197
173,1912.450562
174,1879.017822
175,1868.842651
176,1876.595093
177,1899.368286
178,1896.460938
179,1939.099731
180,1901.306396
181,1898.883667
182,1891.130981
183,1864.481812
184,1899.852783
185,1902.275269
186,1926.986816
187,1931.347534
188,1934.739136
189,1937.646362
190,1955.573975
191,1914.873291
192,1872.718872
193,1939.099731
194,1948.790527
195,1911.197632
196,1886.285767
197,1928.440186
198,1956.543091
199,1942.007080
200,1911.481445
201,1890.646484
202,1911.481445
203,1854.791260
204,1884.347656
205,1906.636353
206,1910.027832
207,1900.337280
208,1844.131592
209,1840.739746
210,1872.718872
211,1895.491821
212,1874.172607
213,1831.533569
214,1848.007690
215,1830.564453
216,1838.317017
217,1820.389404
218,1803.430786
219,1811.667847
220,1796.647217
221,1783.564819
222,1783.080322
223,1757.884644
224,1801.008179
225,1800.523682
226,1799.554321
227,1802.461792
228,1824.265503
229,1815.544067
230,1839.286011
231,1834.440918
232,1844.131592
233,1846.069580
234,1855.275635
235,1848.007690
236,1822.812134
237,1848.492310
238,1852.368530
239,1815.059570
240,1821.842896
241,1839.770630
242,1995.305664
243,1991.429443
244,1981.738770
245,1991.429443
246,2026.315552
247,2064.109375
248,2084.459717
249,2068.955078
250,2040.851929
251,2031.161377
252,2048.604248
253,2026.315552
254,2016.625000
255,2053.449707
256,2048.604248
257,2035.037354
258,2002.089111
259,2014.687012
260,2009.841797
261,2079.614502
262,2097.057373
263,2054.418457
264,2059.263916
265,2055.387939
266,2077.676514
267,2084.033691
268,2102.501953
269,2083.061523
270,2056.816650
271,2092.781738
272,2052.928467
273,2032.515625
274,2034.459839
275,2016.963257
276,2038.348022
277,2033.487671
278,2055.844482
279,2044.180176
280,2061.676758
281,2056.816650
282,2094.725830
