,0
0,304.335236
1,297.080933
2,299.054871
3,310.109039
4,312.379089
5,301.028839
6,304.878052
7,299.548340
8,291.652527
9,288.000671
10,293.725189
11,306.457214
12,303.002777
13,301.226257
14,303.891052
15,305.174164
16,300.041840
17,275.860840
18,262.339203
19,268.063721
20,263.227509
21,265.596252
22,255.035553
23,252.864227
24,252.765533
25,259.871765
26,264.313171
27,265.300140
28,260.167847
29,262.832703
30,255.825165
31,255.479706
32,246.448837
33,243.932037
34,242.945053
35,250.890259
36,251.679840
37,256.762756
38,257.601715
39,260.562683
40,263.128815
41,266.780609
42,261.006836
43,256.022522
44,261.993805
45,264.115784
46,262.536621
47,273.837555
48,282.621674
49,275.169952
50,275.071259
51,276.403687
52,275.614105
53,267.274109
54,270.629852
55,274.824524
56,280.450287
57,275.663452
58,267.619537
59,272.011627
60,270.037659
61,266.978027
62,270.235046
63,265.596252
64,265.300140
65,263.474243
66,267.965027
67,268.951996
68,270.136383
69,269.544189
70,264.806671
71,266.435181
72,265.793640
73,264.510590
74,265.053406
75,263.572937
76,270.876587
77,271.715515
78,274.972565
79,274.577759
80,282.522980
81,275.959564
82,273.886871
83,278.180237
84,275.466064
85,284.299500
86,285.582581
87,283.460602
88,285.385193
89,284.250183
90,282.868408
91,283.115173
92,285.237152
93,284.546265
94,281.634674
95,280.400970
96,289.135712
97,287.655273
98,291.159027
99,291.356445
100,301.719727
101,312.033661
102,310.503845
103,313.464783
104,315.043945
105,316.919220
106,315.932251
107,308.677917
108,309.714233
109,310.454468
110,316.524414
111,319.682739
112,319.880157
113,322.791718
114,322.643707
115,323.087830
116,318.794434
117,318.350311
118,308.924683
119,313.415405
120,317.313995
121,308.480530
122,307.049408
123,309.516876
124,320.768433
125,319.781464
126,322.939789
127,313.810211
128,309.220764
129,311.737579
130,309.319458
131,309.171417
132,309.960968
133,313.119324
134,315.340057
135,316.623108
136,320.028198
137,314.402374
138,314.303711
139,325.209839
140,326.344879
141,328.960327
142,324.124146
143,323.383911
144,325.357849
145,327.331848
146,323.828064
147,325.012421
148,326.986389
149,331.378448
150,329.601898
151,331.427795
152,328.812286
153,325.160492
154,322.446289
155,319.534698
156,317.758148
157,322.347595
158,309.516876
159,311.688202
160,312.872589
161,315.882874
162,319.929504
163,317.313995
164,313.415405
165,305.716980
166,311.392090
167,314.353058
168,320.667969
169,313.607208
170,314.502228
171,321.960785
172,327.181763
173,330.662415
174,323.949738
175,324.446960
176,319.225983
177,321.662445
178,319.325439
179,320.220459
180,320.866852
181,329.170715
182,338.767365
183,348.662415
184,344.783966
185,343.839203
186,342.148590
187,342.795013
188,342.645813
189,340.756317
190,341.701080
191,351.596069
192,350.154114
193,348.861267
194,348.065704
195,349.905487
196,349.259094
197,349.060181
198,351.049133
199,339.015991
200,335.386169
201,339.612671
202,336.778442
203,337.971802
204,340.955231
205,341.104401
206,343.640289
207,344.634766
208,337.922058
209,335.634796
210,338.170685
211,337.474579
212,334.540863
213,330.761871
214,326.237000
215,328.176239
216,320.021545
217,316.441467
218,319.872375
219,325.391724
220,328.375153
221,325.739777
222,324.397247
223,322.855804
224,319.076813
225,319.574066
226,317.286743
227,317.137573
228,319.325439
229,323.949738
230,320.369629
231,319.325439
232,320.866852
233,323.203888
234,325.192810
235,319.424896
236,317.535370
237,317.535370
238,317.435944
239,320.469086
240,318.977356
241,319.225983
242,316.093384
243,309.977386
244,307.093384
245,309.679016
246,306.844788
247,311.369659
248,310.772949
249,312.513275
250,314.949768
251,314.502228
252,325.690063
253,331.060211
254,335.982849
255,334.441406
256,334.242523
257,335.336456
258,335.386169
259,335.137543
260,334.441406
261,328.176239
262,319.872375
263,323.154175
264,319.971832
265,321.115479
266,321.065765
267,326.833710
268,334.292236
269,335.535339
270,335.585083
271,329.767395
272,323.949738
273,324.248047
274,320.518768
275,320.071289
276,321.214935
277,323.900024
278,326.299988
279,327.750000
280,326.600006
281,325.600006
282,322.500000
283,319.899994
284,315.700012
285,314.049988
286,312.799988
287,315.250000
288,318.850006
289,324.799988
290,323.950012
291,320.149994
292,328.500000
293,329.700012
294,327.649994
295,325.200012
296,334.600006
297,336.649994
298,334.799988
299,331.000000
300,331.750000
301,331.450012
302,333.100006
303,340.850006
304,338.049988
305,341.049988
306,339.149994
307,336.250000
308,337.299988
309,339.600006
310,340.000000
311,335.299988
312,338.200012
313,331.299988
314,333.700012
315,338.700012
316,339.399994
317,334.649994
318,335.899994
319,336.049988
320,334.500000
321,334.549988
322,326.850006
323,321.049988
324,326.700012
325,329.500000
326,331.100006
327,320.200012
328,320.399994
329,322.750000
330,326.500000
331,327.700012
332,328.799988
333,324.950012
334,322.950012
335,323.000000
336,327.250000
337,328.100006
338,326.850006
339,325.750000
340,327.000000
341,328.299988
342,330.100006
343,332.600006
344,334.600006
345,335.399994
346,331.100006
347,330.049988
348,331.350006
