,0
0,520.413025
1,508.319489
2,490.217499
3,495.917572
4,491.912048
5,496.302734
6,505.854462
7,505.238220
8,503.389587
9,499.769073
10,499.769073
11,502.773285
12,500.847565
13,503.774628
14,498.382568
15,491.449860
16,500.847565
17,498.305542
18,498.074402
19,494.069000
20,505.700409
21,494.608032
22,500.000214
23,497.689240
24,501.771851
25,498.844757
26,492.528351
27,494.377014
28,498.536652
29,492.143158
30,502.079926
31,500.693420
32,493.991913
33,492.220093
34,487.675415
35,491.449860
36,486.134796
37,494.608032
38,502.156921
39,492.143158
40,492.220093
41,493.067566
42,503.389587
43,501.155731
44,494.145935
45,494.454132
46,501.078674
47,503.466522
48,507.549072
49,509.089752
50,512.941101
51,511.246582
52,490.756622
53,495.609589
54,492.155487
55,492.471497
56,490.970764
57,485.283722
58,487.021515
59,484.099030
60,485.046814
61,488.127380
62,492.392517
63,492.234558
64,493.024414
65,492.866394
66,493.261292
67,494.841003
68,489.786011
69,490.022980
70,490.970764
71,494.919952
72,492.550323
73,492.787354
74,497.605499
75,484.178070
76,485.125916
77,483.704224
78,484.257019
79,487.969330
80,492.313568
81,502.186646
82,510.164215
83,512.533752
84,512.296692
85,515.850891
86,515.140076
87,517.588867
88,515.535095
89,514.508301
90,520.274170
91,518.062622
92,523.512634
93,525.487183
94,526.435059
95,527.303894
96,523.433655
97,522.801697
98,525.566162
99,528.804626
100,526.908936
101,525.171204
102,527.382874
103,537.571899
104,523.038696
105,520.511230
106,514.903198
107,514.982117
108,513.402527
109,516.245972
110,523.907471
111,528.333130
112,523.297546
113,519.620789
114,521.539063
115,525.535461
116,526.974243
117,527.054260
118,526.334778
119,523.936951
120,522.418274
121,515.624268
122,517.063049
123,517.702393
124,516.583496
125,514.824890
126,520.260193
127,526.255066
128,524.256592
129,518.661682
130,517.862366
131,516.023987
132,520.419983
133,525.615601
134,525.375671
135,522.737976
136,519.221069
137,516.183838
138,517.782288
139,519.301025
140,523.377502
141,525.056030
142,528.972473
143,534.647522
144,536.725647
145,536.805542
146,537.524963
147,534.327820
148,536.086121
149,532.889099
150,531.130615
151,530.251404
152,533.288696
153,535.926453
154,530.970703
155,528.652771
156,529.691833
157,529.612000
158,536.246155
159,524.656372
160,523.617188
161,529.452087
162,532.649231
163,531.370300
164,524.896118
165,532.329529
166,516.423584
167,500.997284
168,501.876465
169,501.476776
170,506.992035
171,497.160553
172,488.368408
173,491.006134
174,481.334656
175,479.012421
176,483.791992
177,489.057678
178,483.549042
179,484.683105
180,480.956726
181,475.042938
182,470.587463
183,471.316437
184,479.174438
185,479.093445
186,481.928894
187,480.956726
188,489.381622
189,485.088257
190,486.870422
191,491.731049
192,497.077728
193,506.717804
194,507.284882
195,508.279755
196,501.128174
197,495.781525
198,493.837219
199,499.021912
200,498.697906
201,496.510620
202,495.214539
203,498.859924
204,501.614288
205,505.745758
206,505.988678
207,502.181305
208,488.490631
209,488.571655
210,487.599518
211,489.543701
212,485.412262
213,489.786743
214,490.771393
215,498.485962
216,498.403809
217,497.254852
218,495.367249
219,497.665283
220,493.725891
221,496.270142
222,500.948059
223,501.194153
224,506.692841
225,506.692841
226,487.817047
227,482.564545
228,482.564545
229,478.461151
230,483.221069
231,489.130096
232,490.689392
233,490.853455
234,493.069427
235,488.801819
236,481.415588
237,483.139069
238,471.239075
239,468.038391
240,470.828735
241,471.895630
242,476.573486
243,473.044617
244,467.545929
245,475.834869
246,478.296936
247,478.296936
248,480.184509
249,476.655670
250,472.962433
251,467.135712
252,456.466705
253,458.600403
254,453.265991
255,461.144562
256,459.913635
257,458.682556
