,0
0,389.303467
1,404.413483
2,390.636719
3,390.903381
4,384.503876
5,387.970276
6,396.325195
7,392.680969
8,384.592773
9,373.304749
10,374.371338
11,376.771118
12,370.104980
13,378.815460
14,380.504181
15,378.193207
16,388.414673
17,387.170319
18,387.703644
19,391.970001
20,403.524597
21,409.301941
22,411.524017
23,414.012726
24,413.746063
25,421.478851
26,423.878601
27,421.301056
28,428.233856
29,434.722260
30,446.543549
31,442.010590
32,443.343811
33,444.410370
34,445.476990
35,439.432983
36,441.210632
37,447.965698
38,447.076843
39,449.210022
40,448.321198
41,450.276642
42,452.409790
43,443.965942
44,441.388397
45,438.633057
46,446.188049
47,440.410736
48,444.943695
49,445.121429
50,446.721283
51,450.454346
52,451.343201
53,453.654114
54,452.409790
55,451.520966
56,455.076233
57,468.053009
58,468.230743
59,437.922058
60,433.833466
61,436.766479
62,437.744202
63,438.188629
64,434.366730
65,428.944977
66,430.544800
67,434.455566
68,437.744202
69,439.788513
70,447.787903
71,446.543549
72,451.343201
73,444.943695
74,440.232941
75,430.722534
76,431.789124
77,428.322723
78,428.589417
79,427.700562
80,431.344696
81,442.188324
82,440.499573
83,458.275970
84,457.742706
85,459.520355
86,460.231384
87,458.631531
88,456.498322
89,464.675476
90,460.586945
91,467.519775
92,465.208862
93,456.853851
94,458.987091
95,461.831268
96,456.853851
97,455.253998
98,454.365204
99,454.542938
100,451.520966
101,446.721283
102,462.186798
103,469.652954
104,462.542328
105,462.720123
106,462.542328
107,461.475769
108,460.409180
109,465.742126
110,462.186798
111,466.630859
112,468.586273
113,455.787262
114,460.409180
115,448.321198
116,445.251160
117,447.057068
118,450.939819
119,448.772705
120,459.066467
121,453.648682
122,451.481537
123,458.163452
124,460.330597
125,452.565155
126,454.190430
127,454.732239
128,455.815796
129,457.260529
130,451.391327
131,450.668915
132,456.357574
133,459.969452
134,454.371063
135,453.468140
136,453.829254
137,455.996338
138,455.093445
139,454.009888
140,455.635223
141,457.802338
142,462.678345
143,459.066467
144,461.414185
145,459.969452
146,451.210724
147,451.391327
148,454.732239
149,432.338745
150,435.679718
151,439.291595
152,441.368378
153,442.993744
154,447.779449
155,440.916931
156,446.966736
157,448.501862
158,447.959991
159,457.260529
160,498.255096
161,511.980072
162,517.759094
163,511.077087
164,501.144592
165,500.060913
166,485.974792
167,472.972076
168,473.333313
169,474.416870
170,481.459991
171,475.139221
172,471.527374
173,478.751068
174,468.276703
175,462.136566
176,468.096130
177,480.015167
178,478.209229
179,483.627014
180,487.419464
181,487.058319
182,484.530029
183,473.875061
184,482.723999
185,485.974792
186,492.656677
187,493.559662
188,505.298157
189,506.562317
190,497.713348
191,495.546234
192,494.101440
193,495.907349
194,491.392639
195,500.301239
196,501.686310
197,501.866974
198,499.338623
199,497.352142
200,508.187714
201,503.492249
202,499.519257
203,496.268524
204,495.004425
205,503.853455
206,506.020660
207,516.494934
208,497.893890
209,493.559662
210,501.144592
211,485.794159
212,480.376404
213,477.848114
214,475.680939
215,523.718567
216,507.465240
217,522.815674
218,523.176880
219,506.201172
220,514.689026
221,506.923584
222,510.896576
223,517.036682
224,520.764282
225,521.855225
226,524.946289
227,526.219177
228,526.764648
229,524.946289
230,531.128601
231,528.037476
232,527.673889
233,532.583313
234,532.583313
235,528.401123
236,533.492371
237,528.583008
238,525.128113
239,529.855896
240,539.856567
241,558.948730
242,561.312622
243,560.403503
244,558.221436
245,563.676331
246,568.404053
247,568.222168
248,568.404053
249,578.586548
250,573.313354
251,576.950073
252,567.676697
253,571.495056
254,576.586365
255,580.223022
256,589.132690
257,583.859558
258,579.132019
259,586.405212
260,621.680481
261,623.498840
262,608.588623
263,606.770325
264,600.042603
265,601.497192
266,609.315918
267,620.044006
268,613.861816
269,611.497925
270,611.497925
271,609.134155
272,604.224670
273,600.042603
274,605.497498
275,599.497070
276,602.224609
277,602.224609
278,608.770447
279,618.771118
280,623.316956
281,631.135742
282,634.408630
283,634.590515
284,627.317261
285,624.953430
286,618.953003
287,630.408447
288,615.316467
289,620.044006
290,621.316895
291,622.226074
292,625.862610
293,632.590332
294,636.408813
295,640.590942
296,641.136475
297,642.772949
298,643.136536
299,662.046997
300,661.683289
301,662.228760
302,661.501465
303,666.047302
304,661.319702
305,662.410583
306,663.137939
307,665.501770
308,644.954956
309,633.863220
310,616.043640
311,600.769958
312,578.222900
313,583.859558
314,583.859558
315,588.405396
316,581.132080
317,561.858032
318,534.765198
319,530.037720
320,520.946106
321,472.215363
322,476.215607
323,435.485474
324,428.757721
325,389.027618
326,363.662170
327,400.937561
328,414.665802
329,441.940430
330,452.304779
331,489.125641
332,456.759705
333,453.850433
334,465.487579
335,450.122833
336,450.031891
337,452.941254
338,487.307312
339,506.945099
340,504.763092
341,514.763794
342,493.853271
343,473.488159
344,477.124756
345,488.216492
346,472.578979
347,466.760437
348,474.942810
349,478.215790
350,477.306549
351,478.033875
352,489.125641
353,508.399780
354,477.488464
355,481.852356
356,470.942535
357,478.397614
358,468.760559
359,495.126007
360,481.852356
361,473.306305
362,483.125183
363,461.305481
364,476.761139
365,490.580292
366,481.670593
367,479.670441
368,492.714478
369,493.454620
370,526.388489
371,543.040527
372,557.287354
373,545.445862
374,541.560425
375,540.450195
376,545.260864
377,554.326965
378,565.798340
379,564.503113
380,537.119812
381,530.829041
382,504.925995
383,517.507507
384,508.441315
385,517.692383
386,525.463501
387,520.282776
388,542.485535
389,532.679321
390,535.639648
391,510.846710
392,511.586761
393,507.146210
394,521.393005
395,511.401703
396,512.511902
397,516.027283
398,503.445770
399,509.181549
400,505.851013
401,497.710083
402,495.119781
403,499.190277
404,502.150696
405,489.384094
406,496.969940
407,497.895142
408,487.348816
409,498.080200
410,500.115417
411,514.732178
412,504.740997
413,508.811462
414,501.780609
415,489.013977
416,479.207855
417,462.555817
418,453.582245
419,459.317963
420,463.295929
421,472.917114
422,472.177002
423,481.058075
424,488.273987
425,494.564636
426,497.340027
427,495.304840
428,493.454620
429,499.560394
430,503.445770
431,499.005188
432,499.005188
433,501.595490
434,503.815796
435,498.635193
436,514.917114
437,525.463501
438,519.912781
439,514.362122
440,526.018555
441,516.027283
442,513.437073
443,529.533936
444,515.287170
445,511.586761
446,504.740997
447,524.538269
448,534.714600
449,538.785034
450,535.639648
451,533.789429
452,541.745361
453,511.401703
454,510.291595
455,518.062561
456,522.873169
457,527.683716
458,539.525146
459,533.234375
460,546.371033
461,550.996521
462,559.692566
463,567.463501
464,577.084656
465,587.260864
466,594.291809
467,601.322571
468,601.322571
469,595.586975
470,602.247742
471,603.172852
472,600.212463
473,604.097961
474,607.983398
475,611.128784
476,628.705872
477,639.992249
478,616.679443
479,596.882019
480,578.934875
481,582.635376
482,589.111145
483,593.366699
484,596.882019
485,605.023071
486,605.023071
487,599.472351
488,619.269775
489,592.441589
490,590.591370
491,581.710144
492,585.595703
493,576.714661
494,580.045044
495,594.291809
496,590.961365
497,595.401855
498,597.252197
499,581.525146
500,574.494385
501,572.644165
502,576.899658
503,583.560486
504,614.089111
505,600.582520
506,622.415100
507,619.824829
508,597.067139
509,594.106689
510,620.934998
511,607.983398
512,602.617859
513,615.384216
514,615.939331
515,635.366699
516,647.948242
517,645.912964
518,638.512146
519,630.001099
520,632.221375
521,642.767578
522,662.379944
523,656.644287
524,637.957031
525,645.357849
526,652.573792
527,657.384338
528,665.710327
529,663.490173
530,651.278625
531,642.027466
532,659.789673
533,641.842529
534,638.327087
535,638.697144
536,642.582581
537,636.846924
538,644.987915
539,636.291809
540,631.481262
541,629.260986
542,612.608948
543,624.820435
544,621.675049
545,641.102356
546,659.789673
547,662.565002
548,672.001160
549,666.265442
550,681.992310
551,662.750061
552,661.269836
553,662.009888
554,665.525391
555,668.300720
556,669.410767
557,659.604614
558,672.556152
559,673.481323
560,673.666321
561,681.252319
562,686.062805
563,670.150940
564,644.062866
565,649.798462
566,646.468079
567,655.719238
568,651.648682
569,636.846924
570,656.829285
571,666.080505
572,672.001160
573,673.481323
574,674.961487
575,675.331543
576,682.547424
577,675.701599
578,683.657532
579,680.327148
580,678.846985
581,678.476929
582,676.071594
583,683.842651
584,685.137695
585,673.111206
586,676.996826
587,678.106812
588,689.578308
589,686.432861
590,691.058472
591,694.018799
592,703.455017
593,707.525452
594,725.472656
595,732.133423
596,741.199463
597,743.234741
598,738.794250
599,729.543030
600,726.952759
601,743.049683
602,746.380127
603,752.855896
604,736.018860
605,739.349304
606,746.750122
607,748.230286
608,730.468140
609,742.864685
610,740.089355
611,746.010071
612,748.785522
613,722.697205
614,720.662048
615,731.393250
616,735.093689
617,731.578308
618,733.798584
619,731.208313
620,729.991699
621,729.991699
622,729.991699
623,729.991699
624,738.976135
625,743.468506
626,745.901733
627,741.971008
628,738.976135
629,736.730103
630,740.286377
631,751.517090
632,745.527283
633,742.906799
634,720.819946
635,715.953369
636,719.135376
637,724.563538
638,725.873718
639,726.060913
640,730.927490
641,751.329834
642,778.657776
643,772.855225
644,772.480896
645,778.470520
646,773.229614
647,772.668091
648,764.245117
649,773.042480
650,775.288574
651,785.396118
652,783.711548
653,795.316528
654,787.642273
655,795.690979
656,797.562744
657,826.575195
658,823.580322
659,824.141846
660,814.408630
661,794.567871
662,799.621582
663,823.018738
664,845.667236
665,846.790222
666,850.533813
667,847.351868
668,839.116028
669,837.057068
670,839.677490
671,847.726135
672,856.710754
673,869.625977
674,881.792480
675,881.605286
676,879.733521
677,877.861755
678,882.541199
679,886.097473
680,887.407837
681,890.964111
682,891.338501
683,895.082031
684,880.482239
685,886.846191
686,883.102722
687,873.369507
688,877.861755
689,886.659119
690,890.964111
691,884.974487
692,896.205078
693,899.199951
694,897.328247
695,899.761536
696,886.097473
697,884.787354
698,888.156494
699,901.258911
700,899.012756
701,900.135803
702,891.712830
703,901.633301
704,899.199951
705,887.594971
706,898.264038
707,912.676697
708,913.051086
709,896.392334
710,879.359070
711,842.859558
712,842.298096
713,838.367310
714,830.880249
715,820.023987
716,810.290710
717,792.508850
718,802.803589
719,792.508850
720,782.401306
721,779.780884
722,811.788208
723,824.297485
724,843.484619
725,843.108521
726,836.712646
727,826.554688
728,830.505066
729,840.098694
730,845.553894
731,861.355103
732,868.503235
733,866.810242
734,865.117249
735,868.315125
736,880.354126
737,884.116394
738,904.808472
739,888.442871
740,876.968140
741,865.305420
742,865.869690
743,876.215759
744,880.730408
745,875.463257
746,866.433960
747,857.780945
748,869.820068
749,864.929138
750,863.612427
751,849.316040
752,856.087952
753,860.038330
754,840.474792
755,842.167908
756,814.139404
757,840.474792
758,831.257507
759,830.316895
760,835.772156
761,855.147461
762,852.701965
763,845.553894
764,824.485474
765,816.584900
766,808.119995
767,800.031250
768,816.396790
769,819.406616
770,818.277893
771,829.752625
772,849.692322
773,857.404724
774,843.860779
775,870.760620
776,865.305420
777,847.623108
778,878.849304
779,886.185669
780,865.305420
781,857.592834
782,827.119080
783,835.207764
784,846.494446
785,825.990417
786,796.645264
787,796.080994
788,772.755310
789,772.943420
790,773.131531
791,754.508728
792,732.687866
793,742.093384
794,752.815613
795,744.915039
796,756.765930
797,763.726013
798,771.062378
799,772.190979
800,755.072998
801,737.578796
802,740.024170
803,727.608887
