,0
0,508.003448
1,517.682922
2,506.334534
3,504.165009
4,487.309448
5,499.158447
6,505.500153
7,509.338531
8,516.180847
9,498.490906
10,508.003448
11,508.170319
12,511.341156
13,512.008667
14,498.991516
15,505.500153
16,516.180847
17,515.680237
18,505.166412
19,485.306793
20,493.818024
21,497.823334
22,498.157135
23,501.161041
24,496.321320
25,509.004761
26,504.331970
27,496.655121
28,509.505402
29,513.844421
30,516.013977
31,518.684143
32,516.681519
33,526.527832
34,528.196716
35,527.362305
36,519.852417
37,535.205994
38,541.714600
39,537.375549
40,545.052307
41,549.558228
42,553.563599
43,557.068115
44,554.064148
45,546.554260
46,553.730408
47,544.551636
48,549.057556
49,542.215210
50,553.897339
51,542.215210
52,537.208618
53,542.382080
54,537.709290
55,538.209961
56,538.209961
57,514.845764
58,500.827301
59,499.825958
60,503.163757
61,478.965118
62,479.799561
63,477.796906
64,462.443390
65,449.759949
66,448.758606
67,444.753357
68,449.759949
69,453.765228
70,457.770447
71,452.930756
72,460.941376
73,448.424835
74,447.256653
75,435.073944
76,434.740112
77,425.394440
78,429.733521
79,426.896454
80,427.230225
81,420.554749
82,425.561340
83,441.081787
84,437.744080
85,437.243439
86,436.075195
87,429.900421
88,429.733521
89,455.100311
90,452.763855
91,453.431458
92,461.442017
93,468.951935
94,464.946655
95,449.759949
96,445.921570
97,444.419556
98,446.756012
99,455.600952
100,450.928162
101,457.603668
102,447.256653
103,438.077850
104,430.067322
105,417.884521
106,408.288574
107,416.048828
108,420.554749
109,424.726929
110,423.892487
111,418.885864
112,424.726929
113,419.219635
114,411.542847
115,394.520416
116,399.527008
117,390.848907
118,384.840942
119,384.590637
120,384.840942
121,376.413208
122,374.744293
123,386.342926
124,391.099213
125,392.434296
126,389.513794
127,391.015808
128,389.680695
129,383.255524
130,389.597260
131,384.423767
132,375.995972
133,381.753571
134,369.654236
135,380.501892
136,384.507202
137,377.164185
138,366.733734
139,374.994659
140,379.083344
141,397.941589
142,394.103180
143,396.940277
144,406.285919
145,411.500488
146,410.421600
147,404.847412
148,398.374176
149,401.790619
150,405.386841
151,409.972076
152,409.252808
153,419.771851
154,416.085663
155,409.972076
156,404.667603
157,405.296936
158,407.994110
159,408.803314
160,399.812683
161,393.788971
162,394.328400
163,372.930725
164,381.561737
165,371.761963
166,402.959412
167,399.632843
168,401.161255
169,410.691284
170,417.254486
171,407.095062
172,403.498810
173,399.542938
174,382.191071
175,374.279297
176,379.224152
177,381.112183
178,373.919678
179,377.875549
180,377.875549
181,377.426025
182,380.033325
183,374.638977
184,382.460785
185,379.134247
186,382.280975
187,375.538025
188,381.381927
189,388.034973
190,386.686371
191,380.752563
192,396.216431
193,406.106110
194,410.151886
195,411.140839
196,400.172302
197,397.025574
198,404.577698
199,419.771851
200,429.571625
201,423.727692
202,429.571625
203,431.639465
204,414.467377
205,426.334991
206,427.054230
207,427.773468
208,417.074646
209,407.095062
210,408.803314
211,421.300262
212,414.647186
213,411.860077
214,414.557281
215,448.541809
216,444.496033
217,463.196533
218,459.780060
219,461.398407
220,457.262695
221,472.007294
222,463.196533
223,460.139679
224,465.713867
225,468.051422
226,466.972595
227,470.748596
228,467.332184
229,477.581482
230,487.830750
231,492.505920
232,487.650970
233,490.348175
234,489.628906
235,486.931732
236,486.392303
237,488.190399
238,485.133575
239,487.471222
240,501.136963
241,493.225128
242,497.900299
243,495.203094
244,491.427002
245,499.158966
246,508.689026
247,513.364136
248,514.263245
249,518.783203
250,511.034668
251,500.887756
252,497.013489
253,509.374268
254,506.053436
255,516.569336
256,510.481232
257,504.024109
258,503.839600
259,513.432983
260,580.587036
261,590.364929
262,575.974854
263,579.111084
264,578.004150
265,579.849060
266,577.266235
267,577.450745
268,581.140503
269,576.528259
270,576.528259
271,586.859680
272,576.897278
273,562.691589
274,569.148682
275,570.440186
276,585.383728
277,612.503662
278,604.939575
279,596.637573
280,593.501282
281,588.889038
282,618.960754
283,606.231018
284,588.335571
285,584.830261
286,561.769165
287,572.838501
288,541.475342
289,546.456604
290,546.087585
291,528.007690
292,525.055847
293,530.406006
294,548.301453
295,569.333191
296,573.760925
297,562.507080
298,559.370789
299,580.402527
300,590.180481
301,580.033569
302,589.995972
303,590.364929
304,582.985413
305,592.209839
306,582.800903
307,574.683411
308,522.104004
309,509.927704
310,516.200317
311,475.428284
312,435.394165
313,399.511047
314,428.383575
315,412.333008
316,390.286591
317,398.127380
318,386.504547
319,387.242493
320,366.118500
321,308.188965
322,323.132568
323,235.869247
324,220.648895
325,197.772247
326,179.876816
327,199.524902
328,186.426193
329,198.786942
330,212.254654
331,213.546066
332,195.281647
333,186.610672
334,198.417969
335,186.702911
336,184.489044
337,182.644150
338,208.841599
339,223.877457
340,230.426819
341,227.567230
342,219.634216
343,200.908569
344,202.292236
345,215.298706
346,208.195892
347,211.147705
348,207.273438
349,207.457932
350,200.816330
351,203.030197
352,201.000809
353,212.439148
354,204.690598
355,198.325729
356,188.086578
357,180.753143
358,181.398849
359,175.679688
360,170.606247
361,167.423813
362,160.228729
363,155.155289
364,156.308350
365,173.558060
366,187.717606
367,183.428238
368,190.115967
369,176.002548
370,215.667694
371,229.412125
372,227.290497
373,210.778732
374,223.231750
375,231.164780
376,257.546722
377,265.848724
378,302.100830
379,305.882843
380,287.064972
381,265.940948
382,242.510849
383,254.133667
384,244.171265
385,258.469177
386,249.521439
387,248.137772
388,250.443878
389,238.913315
390,232.363953
391,212.531372
392,209.487320
393,204.598358
394,212.715881
395,204.967331
396,202.199997
397,231.699997
398,226.699997
399,228.000000
400,220.600006
401,212.100006
402,207.500000
403,211.699997
404,213.600006
405,207.100006
406,229.300003
407,224.100006
408,218.899994
409,211.000000
410,217.199997
411,214.800003
412,208.600006
413,198.600006
414,186.949997
415,189.899994
416,184.600006
417,181.050003
418,164.750000
419,163.850006
420,175.399994
421,193.800003
422,186.100006
423,185.649994
424,201.699997
425,218.699997
426,213.300003
427,204.399994
428,194.550003
429,184.250000
430,186.800003
431,201.000000
432,190.500000
433,193.199997
434,197.300003
435,202.199997
436,206.000000
437,216.000000
438,216.300003
439,202.500000
440,202.899994
441,215.800003
442,219.399994
443,209.199997
444,207.800003
445,200.399994
446,200.399994
447,194.199997
448,134.350006
449,133.399994
450,132.199997
451,129.449997
452,110.550003
453,97.199997
454,102.000000
455,100.599998
456,95.239998
457,94.639999
458,94.400002
459,91.000000
460,95.019997
461,93.820000
462,91.480003
463,91.540001
464,98.000000
465,97.500000
466,107.500000
467,103.500000
468,101.750000
469,97.620003
470,98.260002
471,95.760002
472,95.779999
473,100.000000
474,106.849998
475,100.449997
476,104.849998
477,109.000000
478,100.699997
479,96.360001
480,93.699997
481,91.080002
482,96.440002
483,96.419998
484,99.860001
485,102.750000
486,103.949997
487,103.599998
488,130.000000
489,137.649994
490,148.699997
491,144.750000
492,144.600006
493,158.750000
494,153.449997
495,158.800003
496,155.300003
497,157.850006
498,166.500000
499,170.500000
500,170.750000
501,164.649994
502,160.850006
503,154.199997
504,162.750000
505,165.300003
506,170.000000
507,169.550003
508,167.250000
509,161.199997
510,164.199997
511,162.300003
512,156.250000
513,156.949997
514,157.649994
515,161.000000
516,159.699997
517,156.350006
518,143.899994
519,152.250000
520,161.800003
521,163.399994
522,165.399994
523,167.350006
524,159.800003
525,149.850006
526,149.449997
527,158.100006
528,157.350006
529,156.750000
530,152.850006
531,157.899994
532,152.500000
533,162.199997
534,162.250000
535,160.899994
536,159.649994
537,161.850006
538,156.949997
539,151.600006
540,140.000000
541,139.949997
542,139.000000
543,145.600006
544,143.000000
545,142.699997
546,149.949997
547,148.800003
548,153.699997
549,157.649994
550,159.199997
551,153.899994
552,149.899994
553,148.899994
554,149.449997
555,159.550003
556,162.000000
557,159.149994
558,157.699997
559,165.750000
560,178.100006
561,181.600006
562,188.899994
563,186.250000
564,191.949997
565,205.300003
566,202.699997
567,216.500000
568,216.199997
569,203.899994
570,210.000000
571,209.600006
572,205.399994
573,211.899994
574,212.399994
575,217.600006
576,215.600006
577,216.199997
578,215.800003
579,206.699997
580,195.949997
581,187.350006
582,194.800003
583,193.550003
584,196.350006
585,192.199997
586,202.000000
587,198.300003
588,209.550003
589,214.699997
590,217.850006
591,214.550003
592,210.149994
593,206.350006
594,203.399994
595,208.750000
596,206.949997
597,208.250000
598,210.149994
599,193.100006
600,193.940002
601,200.500000
602,196.740005
603,205.000000
604,203.250000
605,202.750000
606,201.449997
607,202.800003
608,203.649994
609,203.300003
610,207.000000
611,213.199997
612,209.850006
613,194.320007
614,193.639999
615,191.899994
616,196.899994
617,189.679993
618,196.559998
619,194.539993
620,191.800003
621,195.119995
622,197.020004
623,202.000000
624,202.899994
625,201.250000
626,202.600006
627,207.000000
628,209.399994
629,198.179993
630,196.339996
631,201.800003
632,198.020004
633,204.500000
634,200.399994
635,203.199997
636,194.720001
637,194.839996
638,196.639999
639,200.300003
640,198.720001
641,197.800003
642,194.600006
643,193.080002
644,192.179993
645,187.479996
646,176.399994
647,173.899994
648,174.220001
649,181.000000
650,180.119995
651,188.979996
652,186.520004
653,180.800003
654,181.360001
655,184.839996
656,177.000000
657,173.020004
658,170.919998
659,165.360001
660,167.779999
661,159.000000
662,160.460007
663,169.419998
664,170.380005
665,168.460007
666,176.199997
667,175.320007
668,181.919998
669,null
670,168.100006
671,173.460007
672,170.899994
673,170.580002
674,178.000000
675,173.440002
676,167.720001
677,166.860001
678,168.979996
679,166.440002
680,165.639999
681,164.460007
682,159.220001
683,163.000000
684,159.820007
685,158.919998
686,160.460007
687,164.740005
688,163.419998
689,161.720001
690,163.520004
691,159.360001
692,159.839996
693,159.839996
694,155.800003
695,156.419998
696,154.860001
697,153.100006
698,151.479996
699,145.320007
700,148.300003
701,142.100006
702,137.119995
703,142.460007
704,149.500000
705,166.179993
706,null
707,174.500000
708,172.220001
709,175.600006
710,186.100006
711,182.000000
712,186.679993
713,178.500000
714,188.020004
715,187.899994
716,186.380005
717,180.199997
718,176.820007
719,179.720001
720,182.000000
721,175.899994
722,171.559998
723,177.160004
724,182.919998
725,175.720001
726,165.559998
727,157.500000
728,160.160004
729,156.059998
730,156.339996
731,159.940002
732,159.960007
733,162.100006
734,163.800003
735,166.699997
736,163.360001
737,167.160004
738,169.779999
739,180.160004
740,177.380005
741,173.699997
742,173.539993
743,169.160004
744,164.320007
745,162.619995
746,160.080002
747,154.580002
748,154.320007
749,148.500000
750,148.139999
751,151.460007
752,152.779999
753,154.320007
754,131.399994
755,null
756,127.459999
757,131.759995
758,132.320007
759,131.699997
760,142.339996
761,142.100006
762,142.759995
763,138.020004
764,137.380005
765,130.300003
766,132.559998
767,125.800003
768,127.019997
769,132.039993
770,130.940002
771,139.979996
772,140.979996
773,143.960007
774,146.639999
775,143.460007
776,143.479996
777,142.479996
778,158.520004
779,160.820007
780,161.580002
781,161.020004
782,162.740005
783,163.339996
784,161.139999
785,165.520004
786,165.419998
787,166.919998
788,165.639999
789,160.000000
790,162.559998
791,157.800003
792,147.479996
793,147.960007
794,158.899994
795,158.479996
796,154.259995
797,156.000000
798,160.320007
799,156.860001
800,157.600006
801,155.080002
802,161.100006
803,167.160004
804,174.960007
805,178.300003
806,174.639999
807,164.800003
808,172.399994
809,173.380005
810,166.300003
811,161.520004
812,158.820007
813,161.679993
814,157.020004
815,147.399994
816,154.520004
817,148.559998
818,136.080002
819,141.779999
820,131.779999
821,123.480003
822,116.239998
823,121.279999
824,134.660004
825,131.580002
826,132.960007
827,136.940002
828,138.360001
829,145.179993
830,142.179993
831,141.919998
832,140.440002
833,142.020004
834,138.800003
835,135.720001
836,137.320007
837,139.919998
838,149.500000
839,144.839996
840,142.240005
841,141.179993
842,141.800003
843,139.679993
844,134.759995
845,132.880005
846,133.160004
847,136.479996
848,135.179993
849,140.300003
850,145.479996
851,144.820007
852,144.020004
853,152.899994
854,149.320007
855,147.500000
856,141.279999
857,140.399994
858,144.539993
859,143.960007
860,149.000000
861,145.479996
862,143.320007
863,131.440002
864,127.440002
865,123.019997
866,126.059998
867,122.360001
868,123.160004
869,121.900002
870,124.320000
871,123.959999
872,122.500000
873,125.080002
874,127.220001
875,122.599998
876,125.639999
877,128.800003
878,130.479996
879,135.039993
880,127.639999
881,125.919998
882,125.300003
883,124.239998
884,124.139999
885,123.180000
886,120.500000
887,115.019997
888,113.900002
889,117.699997
890,109.220001
891,112.440002
892,120.580002
893,119.339996
894,117.480003
895,114.180000
896,114.680000
897,116.080002
898,116.800003
899,111.680000
900,107.620003
901,108.839996
902,107.599998
903,102.900002
904,105.779999
905,109.320000
906,110.120003
907,103.680000
908,110.419998
909,105.980003
910,107.260002
911,111.339996
912,113.800003
913,115.400002
914,115.959999
915,113.459999
916,114.800003
917,114.000000
918,113.160004
919,119.059998
920,121.900002
921,118.739998
922,116.139999
923,116.239998
924,119.000000
925,119.500000
926,119.739998
927,120.639999
928,117.839996
929,120.400002
930,118.699997
931,118.099998
932,120.580002
933,123.000000
934,117.099998
935,118.620003
936,112.559998
937,107.459999
938,106.919998
939,108.419998
940,108.900002
941,105.620003
942,106.379997
943,108.220001
944,104.559998
945,108.379997
946,105.400002
947,108.720001
948,109.680000
949,108.059998
950,111.059998
951,112.940002
952,108.000000
953,107.019997
954,108.419998
955,105.980003
956,108.339996
957,104.800003
958,102.300003
959,100.320000
960,100.760002
961,101.639999
962,99.709999
963,94.669998
964,94.669998
965,93.660004
966,101.059998
967,99.709999
968,99.660004
969,101.220001
970,101.739998
971,102.300003
972,100.760002
973,108.800003
974,109.860001
975,115.040001
976,115.860001
977,118.099998
978,116.120003
979,113.820000
980,112.779999
981,115.639999
982,118.379997
983,119.660004
984,115.279999
985,121.559998
986,123.440002
987,122.480003
988,123.820000
989,124.980003
990,127.779999
991,129.660004
992,129.979996
993,136.619995
994,137.740005
995,141.360001
996,139.179993
997,133.259995
998,131.720001
999,132.179993
1000,132.179993
1001,131.720001
1002,132.279999
1003,134.399994
1004,134.139999
1005,134.300003
1006,133.619995
1007,134.440002
1008,132.960007
1009,134.119995
1010,134.919998
1011,134.199997
1012,132.779999
1013,134.559998
1014,132.940002
1015,132.339996
1016,135.240005
1017,131.279999
1018,134.059998
1019,130.699997
1020,130.059998
1021,127.839996
1022,129.580002
1023,128.259995
1024,128.179993
1025,126.220001
1026,126.139999
1027,123.839996
1028,128.860001
1029,134.539993
1030,138.360001
1031,140.520004
1032,145.500000
1033,143.759995
1034,147.059998
1035,152.860001
1036,157.320007
1037,159.100006
1038,156.940002
1039,161.039993
1040,159.899994
1041,162.839996
1042,162.380005
1043,null
1044,169.720001
1045,171.179993
1046,171.339996
1047,169.399994
1048,168.800003
1049,168.020004
1050,173.580002
1051,172.300003
1052,169.880005
