,0
0,3881.837402
1,3835.876709
2,3741.197998
3,3843.230713
4,3792.673584
5,3861.614990
6,3876.322754
7,3842.311523
8,3861.614990
9,3840.473145
10,3824.846191
11,3828.523682
12,3717.299316
13,3706.268066
14,3733.844727
15,3703.510254
16,3809.219971
17,3894.706787
18,3805.542725
19,3761.420410
20,3871.726563
21,3829.443115
22,3928.717285
23,3944.344727
24,3921.364258
25,3968.243652
26,3930.384033
27,4003.524414
28,3986.611084
29,3986.153564
30,4036.895020
31,4057.922852
32,4014.037842
33,3983.868164
34,4007.638428
35,3892.442139
36,3933.583740
37,3993.924561
38,4042.837158
39,3968.325928
40,3991.639160
41,4040.552246
42,4131.977539
43,4126.948730
44,4058.380127
45,4040.552246
46,4101.349609
47,4076.207520
48,4164.890625
49,4231.630859
50,4241.231445
51,4232.088379
52,4209.231934
53,4155.291016
54,4191.861328
55,4202.832520
56,4289.686523
57,4252.659668
58,4161.690918
59,4122.834961
60,4202.375000
61,4174.489746
62,4197.803711
63,4181.347168
64,4142.491211
65,4113.691895
66,4173.118652
67,4166.719238
68,4162.604492
69,4173.576660
70,4171.289551
71,4203.747070
72,4234.374023
73,4173.118652
74,4246.715820
75,4149.348145
76,4146.148438
77,4151.633301
78,4127.406250
79,4214.882324
80,4276.504395
81,4269.555176
82,4369.170410
83,4413.186035
84,4391.873047
85,4427.548828
86,4410.406250
87,4411.332520
88,4422.451660
89,4470.638184
90,4478.051758
91,4484.074707
92,4521.140625
93,4550.793457
94,4571.180176
95,4568.399902
96,4577.666504
97,4586.932617
98,4605.002930
99,4625.852539
100,4603.612793
101,4684.231934
102,4631.413086
103,4581.373535
104,4617.049805
105,4581.836426
106,4535.966797
107,4494.268555
108,4473.881348
109,4540.600098
110,4617.512695
111,4664.772461
112,4691.645020
113,4619.829590
114,4653.652344
115,4780.604492
116,4742.610840
117,4750.950684
118,4762.997559
119,4674.038574
120,4742.610840
121,4730.564941
122,4669.405273
123,4619.365234
124,4650.872559
125,4683.305176
126,4832.496582
127,4827.863281
128,4809.330566
129,4809.330566
130,4833.422852
131,4845.469727
132,4893.655762
133,4864.002441
134,4841.763184
135,4819.522949
136,4755.584473
137,4839.909668
138,4826.937012
139,4830.643555
140,4845.469727
141,4792.650879
142,4935.354492
143,4851.029785
144,4962.228027
145,4967.787598
146,4930.721680
147,4963.153809
148,4962.228027
149,5003.926758
150,4981.687012
151,5005.780762
152,5069.719238
153,5166.091309
154,5153.118164
155,5114.199219
156,5109.565918
157,5086.398926
158,5104.005859
159,5124.392578
160,5086.398926
161,5177.211426
162,5274.509766
163,5317.135742
164,5299.529785
165,5228.177246
166,5079.913086
167,4901.069336
168,4800.990234
169,4875.122559
170,4897.362793
171,4949.253906
172,4983.540527
173,4914.042480
174,4812.109863
175,4742.610840
176,4745.391113
177,4804.697266
178,4786.164063
179,4831.569336
180,4725.004883
181,4734.270508
182,4712.958008
183,4718.518066
184,4711.058594
185,4779.130859
186,4814.567383
187,4807.106445
188,4802.444336
189,4737.167969
190,4777.266602
191,4728.775391
192,4693.340332
193,4818.297363
194,4697.069824
195,4717.585449
196,4675.622070
197,4699.867676
198,4676.555176
199,4678.419922
200,4654.174805
201,4653.242188
202,4698.002930
203,4622.469238
204,4671.892090
205,4711.990234
206,4732.505859
207,4690.542480
208,4508.702148
209,4456.481934
210,4511.966309
211,4514.297852
212,4467.205566
213,4483.990723
214,4494.249023
215,4440.628418
216,4393.537109
217,4407.058594
218,4397.267090
219,4417.316406
220,4214.960449
221,4252.261230
222,4232.211914
223,4242.936035
224,4298.886719
225,4321.267578
226,4344.580566
