,0
0,692.629211
1,682.945618
2,648.118774
3,650.327393
4,662.898987
5,672.242798
6,683.965088
7,677.732971
8,674.789978
9,661.287292
10,665.268921
11,671.154663
12,669.423645
13,683.445679
14,654.535950
15,668.558044
16,688.465881
17,669.423645
18,678.252258
19,669.942871
20,696.256042
21,694.524902
22,698.160034
23,705.430847
24,712.355408
25,714.605713
26,705.430847
27,723.434448
28,725.165527
29,707.161987
30,726.031250
31,724.646301
32,724.646301
33,703.353455
34,713.220886
35,709.585632
36,701.795471
37,718.760498
38,730.358948
39,735.379211
40,753.209717
41,766.539307
42,786.274109
43,789.216980
44,786.100952
45,783.158081
46,797.180176
47,787.658936
48,805.662659
49,809.471069
50,819.684631
51,814.318176
52,817.261230
53,822.800659
54,818.472961
55,824.878052
56,827.301575
57,829.205872
58,809.644226
59,818.645996
60,827.994080
61,826.955383
62,832.495056
63,836.476624
64,828.859680
65,815.530090
66,827.820862
67,830.244568
68,835.264832
69,830.937012
70,821.589050
71,841.323608
72,842.708557
73,835.784058
74,838.900146
75,830.763855
76,822.973877
77,828.513428
78,840.111816
79,840.458130
80,852.402893
81,862.097107
82,873.782166
83,892.824463
84,890.660583
85,893.257202
86,895.853882
87,890.227783
88,892.824463
89,902.345581
90,917.492920
91,920.089600
92,924.850281
93,933.505798
94,934.804077
95,942.161316
96,936.535034
97,934.371460
98,933.938599
99,935.669617
100,926.581360
101,929.177979
102,924.850281
103,922.686340
104,915.328918
105,915.328918
106,909.270081
107,902.345581
108,893.690002
109,903.643982
110,912.299622
111,941.295837
112,932.640198
113,927.446838
114,924.417358
115,926.148438
116,906.673401
117,916.627441
118,929.610840
119,906.240540
120,917.925720
121,909.702881
122,897.585022
123,908.404663
124,913.165222
125,902.778442
126,913.597900
127,917.492920
128,924.417358
129,929.610840
130,905.797180
131,904.033203
132,905.797180
133,921.672852
134,923.436829
135,931.374695
136,937.548584
137,937.548584
138,968.859009
139,975.914734
140,977.237976
141,982.088867
142,994.436401
143,1007.225342
144,1021.777954
145,1027.069824
146,1012.517273
147,1005.902283
148,993.995361
149,995.318604
150,999.287476
151,995.759583
152,999.287476
153,1002.374451
154,997.082520
155,982.088867
156,984.734680
157,985.175476
158,988.703613
159,1000.169495
160,979.883789
161,980.324768
162,1004.579407
163,1001.051331
164,981.206726
165,993.554626
166,972.828003
167,942.840576
168,939.312622
169,949.014282
170,971.063965
171,969.741028
172,965.331116
173,957.834045
174,944.604370
175,938.430664
176,943.722534
177,954.306152
178,958.275146
179,968.418091
180,957.834045
181,958.275146
182,951.660339
183,953.424316
184,965.772156
185,967.094910
186,989.144592
187,993.995361
188,998.846436
189,1016.927124
190,1010.312195
191,1007.225342
192,993.995361
193,993.113647
194,970.623047
195,983.411682
196,992.231445
197,1004.138428
198,982.088867
199,989.144592
200,979.001892
201,985.175476
202,986.498779
203,980.324768
204,1010.753174
205,1044.709473
206,1028.833862
207,1016.486328
208,959.598206
209,949.455383
210,965.331116
211,960.921143
