,0
0,1532.842651
1,1532.197021
2,1518.955200
3,1509.911499
4,1535.749512
5,1550.929565
6,1569.662109
7,1564.494507
8,1531.874146
9,1508.296875
10,1494.731812
11,1497.961670
12,1503.775269
13,1530.582275
14,1499.899536
15,1492.147949
16,1525.091919
17,1535.426636
18,1538.656494
19,1559.004028
20,1584.196045
21,1505.067017
22,1516.048340
23,1554.805054
24,1562.879395
25,1572.245972
26,1550.283447
27,1564.817627
28,1546.084961
29,1549.637451
30,1603.574463
31,1606.481079
32,1594.853882
33,1588.717896
34,1571.277222
35,1563.202637
36,1525.414429
37,1557.712036
38,1608.096558
39,1631.027710
40,1652.990234
41,1618.431519
42,1658.803345
43,1637.809937
44,1657.188721
45,1639.102051
46,1664.294189
47,1665.586304
48,1695.945923
49,1701.113403
50,1712.740723
51,1705.311890
52,1699.498535
53,1752.789307
54,1721.653076
55,1723.638672
56,1720.991089
57,1693.190430
58,1675.980591
59,1661.749268
60,1675.318604
61,1694.514160
62,1705.435791
63,1729.265137
64,1745.481567
65,1731.581421
66,1742.172729
67,1741.179321
68,1710.069336
69,1701.795532
70,1723.969727
71,1747.137085
72,1753.094238
73,1729.596191
74,1736.215210
75,1713.378784
76,1693.521606
77,1703.449829
78,1694.514160
79,1733.567505
80,1737.207642
81,1729.265137
82,1739.524902
83,1667.705933
84,1689.218628
85,1698.486206
86,1690.542725
87,1683.261719
88,1686.239990
89,1665.389771
90,1659.101440
91,1664.727905
92,1656.784668
93,1661.749268
94,1648.841553
95,1640.567749
96,1620.379517
97,1597.542847
98,1604.162109
99,1607.140381
100,1612.436035
101,1595.226196
102,1561.137207
103,1555.841797
104,1540.617920
105,1443.315674
106,1474.425781
107,1432.724731
108,1437.358276
109,1420.810303
110,1409.226929
111,1409.888672
112,1431.069946
113,1447.949219
114,1418.824585
115,1390.031006
116,1385.515747
117,1376.780640
118,1343.721924
119,1315.500854
120,1309.856567
121,1286.742310
122,1257.177490
123,1302.196777
124,1317.651123
125,1392.907104
126,1392.907104
127,1371.069214
128,1382.492188
129,1359.646484
130,1351.919312
131,1328.132935
132,1311.200439
133,1278.679443
134,1271.960083
135,1255.968140
136,1256.505493
137,1244.948486
138,1253.280273
139,1265.106201
140,1269.809937
141,1240.916992
142,1268.868896
143,1301.524536
144,1333.105469
145,1314.963257
146,1317.516846
147,1346.543823
148,1331.089478
149,1353.935059
150,1360.318481
151,1365.693970
152,1364.014282
153,1378.124512
154,1408.697144
155,1439.605835
156,1441.285889
157,1429.862915
158,1425.831421
159,1434.902588
160,1440.278076
161,1437.926392
162,1471.858643
163,1406.345459
164,1407.689453
165,1444.309448
166,1435.238403
167,1390.219238
168,1375.101074
169,1386.859497
170,1421.127930
171,1414.072510
172,1399.962402
173,1410.713257
174,1403.658081
175,1402.985718
176,1403.658081
177,1418.776245
178,1398.618652
179,1413.064819
180,1397.226929
181,1401.660522
182,1406.094116
183,1405.753052
184,1430.307617
185,1449.064575
186,1463.729370
187,1468.503784
188,1464.411133
189,1461.341675
190,1456.226685
191,1456.908325
192,1481.463257
193,1509.428223
194,1501.584106
195,1479.024292
196,1471.572998
197,1462.706055
198,1470.549805
199,1489.647949
200,1458.613647
201,1428.261597
202,1377.788086
203,1408.822021
204,1226.504150
205,1210.407349
206,1246.966431
207,1268.656250
208,1248.193848
209,1255.014893
210,1241.782837
211,1248.466919
212,1255.969727
213,1263.336060
214,1277.250244
215,1264.154419
216,1255.696899
217,1261.562744
218,1256.651855
219,1253.650757
220,1270.702515
221,1273.703613
222,1262.381104
223,1264.291138
224,1269.884033
225,1241.373291
226,1213.817383
227,1199.494019
228,1194.037598
229,1154.340698
230,1157.751099
231,1185.716309
232,1193.082520
233,1221.593262
234,1207.951782
235,1209.997925
236,1224.184937
237,1222.138916
238,1201.949707
239,1199.220947
240,1181.623779
241,1195.401733
242,1210.679932
243,1201.131104
244,1215.496216
245,1201.842285
246,1187.334717
247,1187.192505
248,1218.483276
249,1218.909668
250,1211.229248
251,1225.310059
252,1212.509277
253,1213.931641
254,1200.988892
255,1218.483276
256,1205.540039
257,1191.743896
258,1186.339355
259,1197.575195
260,1255.320557
261,1283.482056
262,1261.720947
263,1292.157959
264,1298.416138
265,1314.914795
266,1321.457397
267,1323.306396
268,1322.453247
269,1327.715576
270,1329.137939
271,1334.115967
272,1366.971069
273,1359.006104
274,1384.749756
275,1401.248657
276,1397.692505
277,1393.852661
278,1402.670654
279,1414.333374
280,1440.077148
281,1446.122192
282,1454.655762
283,1449.677734
284,1411.631104
285,1388.589722
286,1376.073730
287,1393.141235
288,1368.393311
289,1375.220215
290,1386.314331
291,1367.539795
292,1387.309814
293,1380.340698
294,1389.016602
295,1295.429443
296,1313.777222
297,1302.967651
298,1313.634766
299,1336.107300
300,1307.803345
301,1319.466187
302,1297.847412
303,1279.073120
304,1282.344360
305,1311.359009
306,1264.743530
307,1279.544434
308,1259.119019
309,1255.122681
310,1250.682739
311,1218.268433
312,1150.628052
313,1156.696289
314,1172.089478
315,1216.492432
316,1227.000977
317,1215.012207
318,1151.812134
319,1107.261108
320,1076.474976
321,999.805908
322,1020.231384
323,1008.686584
324,968.723938
325,978.344604
326,987.373291
327,970.500122
328,944.598511
329,985.744995
330,994.477905
331,994.773560
332,978.788391
333,986.485229
334,1107.705322
335,1132.274658
336,1161.506470
337,1157.066406
338,1148.555786
339,1150.405884
340,1168.907227
341,1232.181396
342,1200.359497
343,1175.197510
344,1167.056763
345,1157.806274
346,1156.696289
347,1132.645020
348,1134.494995
349,1135.234985
350,1144.485474
351,1161.876709
352,1207.389648
353,1283.984741
354,1242.542114
355,1219.600342
356,1213.679932
357,1220.340698
358,1198.509033
359,1204.059570
360,1195.918823
361,1244.761963
362,1204.059570
363,1170.757446
364,1205.169678
365,1223.300903
366,1143.745361
367,1136.715332
368,1130.424561
369,1118.953857
370,1115.253662
371,1124.134399
372,1128.898804
373,1100.385742
374,1124.021606
375,1115.392822
376,1139.403809
377,1117.268433
378,1130.399658
379,1136.402344
380,1131.900635
381,1155.161133
382,1121.770630
383,1114.642334
384,1104.887695
385,1161.538818
386,1140.529297
387,1134.151611
388,1166.041016
389,1152.535034
390,1173.169312
391,1140.904419
392,1141.279541
393,1144.656250
394,1154.035645
395,1154.410645
396,1142.780029
397,1139.403809
398,1115.392822
399,1139.403809
400,1104.512451
401,1080.501587
402,1054.239136
403,1050.487549
404,1055.740112
405,1082.377441
406,1071.872437
407,1061.742920
408,1065.494507
409,1056.865601
410,1042.609009
411,1029.852905
412,1043.359375
413,1047.110962
414,1042.984009
415,1058.741455
416,1039.607422
417,1006.216980
418,957.444153
419,954.818115
420,960.445618
421,967.949219
422,947.314697
423,937.185059
424,947.314697
425,961.195984
426,988.959106
427,963.822388
428,956.318665
429,973.576782
430,969.449951
431,973.951965
432,964.686340
433,955.535278
434,990.614502
435,974.981628
436,965.830078
437,973.456299
438,955.535278
439,950.196960
440,952.103516
441,968.499512
442,994.427917
443,1009.298523
444,1011.586304
445,1037.514404
446,1034.082642
447,1034.845459
448,1047.428223
449,1057.723267
450,1050.097534
451,1058.104736
452,1052.385254
453,1022.643982
454,1055.435669
455,1074.119141
456,1052.385254
457,1064.586792
458,1068.399658
459,1044.759155
460,1042.852539
461,1043.996460
462,1040.946289
463,1054.673096
464,1046.665894
465,1039.802124
466,1034.082642
467,1032.557617
468,1021.500000
469,1016.924255
470,1015.399048
471,992.902588
472,1002.816223
473,982.226074
474,992.521301
475,973.837769
476,971.549866
477,991.377441
478,991.377441
479,967.355347
480,937.232727
481,936.088867
482,933.420044
483,937.995361
484,948.671875
485,969.261902
486,943.715027
487,929.606873
488,961.635864
489,1019.212097
490,1023.787842
491,1027.982178
492,1034.082642
493,1069.543701
494,1148.091309
495,1179.739014
496,1147.709839
497,1141.990356
498,1127.119751
499,1148.853760
500,1137.033569
501,1118.910400
502,1113.394409
503,1072.420410
504,1085.815796
505,1118.910400
506,1141.761475
507,1155.944702
508,1195.736816
509,1208.738525
510,1218.588013
511,1241.832886
512,1243.014771
513,1232.377441
514,1228.831421
515,1241.045044
516,1237.893066
517,1239.469116
518,1204.798584
519,1214.254150
520,1213.466064
521,1216.618164
522,1241.832886
523,1226.467651
524,1209.920410
525,1221.739746
526,1232.771118
527,1257.198242
528,1290.686646
529,1290.686646
530,1269.411621
531,1252.076538
532,1266.259766
533,1293.050537
534,1287.929077
535,1276.109497
536,1263.501831
537,1286.746948
538,1292.262573
539,1299.748535
540,1289.110718
541,1280.837158
542,1243.014771
543,1196.918945
544,1158.308472
545,1154.369019
546,1147.671143
547,1152.005005
548,1126.395874
549,1124.820190
550,1137.033691
551,1157.914673
552,1174.855713
553,1173.674072
554,1176.825806
555,1207.950439
556,1192.191162
557,1185.887451
558,1156.593994
559,1134.618042
560,1130.548096
561,1139.501587
562,1139.501587
563,1139.501587
564,1084.968262
565,1112.641968
566,1112.641968
567,1119.153442
568,1128.513428
569,1133.397095
570,1128.106445
571,1121.188354
572,1114.269775
573,1126.478760
574,1137.059692
575,1156.187134
576,1162.291626
577,1165.954468
578,1171.651733
579,1186.709473
580,1199.732544
581,1219.266602
582,1217.231812
583,1215.603882
584,1218.452759
585,1230.254761
586,1218.045898
587,1214.382935
588,1211.534302
589,1219.266602
590,1233.917236
591,1270.137329
592,1255.079468
593,1264.439819
594,1264.846802
595,1266.067627
596,1264.846802
597,1287.636841
598,1286.822876
599,1192.813843
600,1219.266602
601,1210.313599
602,1209.906616
603,1205.429810
604,1204.208984
605,1202.988159
606,1196.476563
607,1226.999146
608,1251.010010
609,1251.823730
610,1289.671631
611,1304.729370
612,1313.275391
613,1278.683472
614,1302.287476
615,1286.008911
616,1294.148315
617,1294.148315
618,1313.682495
619,1331.588989
620,1335.251709
621,1355.599731
622,1350.309448
623,1350.716309
624,1362.518433
625,1333.717163
626,1318.879883
627,1316.406982
628,1332.480835
629,1323.001343
630,1316.818970
631,1329.595703
632,1331.244385
633,1335.777954
634,1339.487427
635,1325.886353
636,1325.062134
637,1331.244385
638,1319.291992
639,1318.879883
640,1302.393799
641,1311.873413
642,1318.879883
643,1303.630249
644,1286.732056
645,1287.968506
646,1284.671143
647,1292.090088
648,1283.434814
649,1299.508911
650,1294.975098
651,1297.447998
652,1282.198364
653,1299.096680
654,1290.029419
655,1306.103271
656,1309.400391
657,1312.285522
658,1317.643311
659,1303.218262
660,1319.704102
661,1276.840698
662,1259.530273
663,1269.833984
664,1272.719238
665,1293.326660
666,1293.738525
667,1279.725464
668,1271.894897
669,1277.664795
670,1271.070313
671,1283.434814
672,1299.508911
