,0
0,824.546814
1,810.118286
2,774.471497
3,755.374878
4,738.400208
5,763.013550
6,783.383179
7,781.261292
8,770.652039
9,766.408447
10,774.047058
11,785.080566
12,777.442078
13,784.231873
14,779.139526
15,783.383179
16,801.206543
17,801.206543
18,822.849487
19,763.013550
20,799.084839
21,817.756958
22,822.000610
23,830.912415
24,829.639282
25,817.756958
26,808.845276
27,809.694031
28,813.088989
29,803.752930
30,813.937622
31,832.609802
32,814.362061
33,797.387207
34,796.538635
35,798.660339
36,793.567932
37,823.273682
38,826.244263
39,812.240234
40,832.185425
41,831.761108
42,842.794617
43,842.794617
44,816.483826
45,805.450256
46,812.664612
47,812.240234
48,816.483826
49,804.177246
50,812.664612
51,816.483826
52,803.328491
53,803.752930
54,806.299133
55,819.030090
56,824.122559
57,819.878906
58,801.630920
59,802.904114
60,798.660339
61,814.786377
62,840.248535
63,855.525696
64,833.458618
65,824.971191
66,845.340820
67,847.887085
68,852.130737
69,851.281921
70,855.525696
71,852.130737
72,862.315674
73,852.979553
74,847.887085
75,819.878906
76,796.538635
77,800.357849
78,797.387207
79,799.933472
80,813.088989
81,825.819946
82,834.477051
83,834.646790
84,858.533630
85,866.031006
86,873.964294
87,875.707886
88,868.995178
89,880.066772
90,883.989807
91,890.964050
92,909.271484
93,896.630798
94,892.707703
95,907.527954
96,917.117737
97,911.015137
98,900.989624
99,907.963928
100,915.810059
101,919.732910
102,917.117737
103,910.143433
104,882.682129
105,883.989807
106,843.190369
107,856.615784
108,851.036499
109,856.267090
110,848.944031
111,851.385071
112,852.431152
113,824.185486
114,828.195618
115,825.057251
116,809.713806
117,809.365112
118,815.293213
119,795.939514
120,807.621460
121,789.837097
122,798.554932
123,811.806030
124,820.000793
125,819.129089
126,837.610962
127,842.318604
128,857.138855
129,853.826172
130,851.908142
131,844.759521
132,847.897949
133,866.728577
134,867.948914
135,883.118042
136,877.015564
137,878.323242
138,889.220459
139,889.656494
140,900.553772
141,904.912598
142,921.040649
143,927.143250
144,914.066406
145,919.732910
146,913.630432
147,896.630798
148,876.579651
149,868.646484
150,860.800354
151,863.938782
152,874.400269
153,888.784668
154,885.733398
155,858.185059
156,864.113159
157,866.379822
158,889.220459
159,898.810242
160,899.246094
161,915.374023
162,932.374023
163,924.963745
164,911.451111
165,901.425659
166,870.564392
167,844.410706
168,836.739014
169,842.667236
170,859.047729
171,846.828796
172,834.786804
173,845.943298
174,820.796997
175,810.525940
176,819.557495
177,827.172180
178,831.953552
179,851.610168
180,855.683105
181,849.130920
182,864.183289
183,859.224854
184,883.131592
185,889.860901
186,885.256592
187,872.683350
188,882.246155
189,896.944214
190,903.142334
191,903.585083
192,898.272400
193,913.767517
194,910.668579
195,905.355896
196,917.752014
197,899.600586
198,886.761902
199,883.308594
200,870.735535
201,859.401917
202,847.005859
203,840.453613
204,842.047424
205,848.599670
206,850.193481
207,843.641174
208,824.338684
209,826.463867
210,840.276611
211,842.224487
212,830.005554
213,836.734802
214,838.859924
215,871.975159
216,860.464478
217,858.162354
218,856.214294
219,857.099792
220,857.276978
221,871.266785
222,858.870728
223,869.318726
224,874.631348
225,891.631714
226,908.454895
227,914.210266
228,896.058899
229,888.090027
230,910.668579
231,923.950073
232,945.200378
233,939.887817
234,1005.852783
235,991.685730
236,987.701233
237,1003.639038
238,984.602295
239,974.862488
240,985.487488
241,977.961426
242,988.586670
243,978.404236
244,969.549805
245,976.190674
246,991.242920
247,991.685730
248,990.800415
249,1006.738220
250,992.571045
251,983.274170
252,978.846985
253,999.654541
254,1006.295349
255,1008.508911
256,1013.821533
257,1008.951599
258,1001.868225
259,1022.675720
260,1050.124390
261,1062.963135
262,1060.749634
263,1056.322388
264,1050.566895
265,1044.811646
266,1059.421387
267,1067.833008
268,1059.421387
269,1047.025269
270,1043.926392
271,1057.207764
272,1046.139771
273,1044.811646
274,1033.301270
275,1023.118652
276,1033.743774
277,1029.759399
278,1038.613647
279,1042.598145
280,1037.285522
281,1043.483398
282,1043.483398
283,1048.796143
284,1027.988525
285,1030.202026
286,1012.050659
287,1021.347595
288,996.998291
289,1000.097351
290,1012.936096
291,996.555481
292,977.518860
293,981.945862
294,997.883728
295,1020.019714
296,1016.920532
297,1000.097351
298,986.372986
299,995.670227
300,1010.279724
301,983.274170
302,969.549805
303,953.169250
304,939.002441
305,952.726624
306,966.893433
307,973.977112
308,918.637329
309,885.433594
310,905.355896
311,879.235596
312,890.746155
313,887.204468
314,920.851013
315,913.324768
316,879.766907
317,848.953796
318,761.118713
319,775.108704
320,754.566589
321,682.138062
322,710.649048
323,706.221863
324,696.482117
325,609.178345
326,597.490601
327,603.157410
328,607.053406
329,630.251709
330,670.273315
331,676.117126
332,641.053955
333,643.356140
334,661.773132
335,625.116211
336,677.255188
337,665.760681
338,689.669189
339,725.531921
340,755.877441
341,767.371948
342,742.083984
343,704.841980
344,692.887634
345,735.647095
346,730.589600
347,700.703918
348,715.416931
349,733.808044
350,712.198486
351,734.267883
352,741.164612
353,788.981628
354,760.935059
355,731.968933
356,722.313538
357,732.888550
358,715.876648
359,755.877441
360,778.406555
361,765.073120
362,763.693665
363,727.830872
364,754.957947
365,781.165405
366,793.119629
367,796.338074
368,799.556519
369,797.257690
370,841.396423
371,854.270264
372,851.971497
373,827.603027
374,837.718262
375,851.511597
376,872.661499
377,903.466614
378,919.558899
379,900.248169
380,873.581116
381,860.707275
382,814.729187
383,824.384644
384,822.545471
385,845.994263
386,840.017090
387,841.396423
388,845.994263
389,851.511597
390,867.603882
391,838.637756
392,830.361694
393,846.913818
394,863.925659
395,848.293091
396,839.097595
397,854.270264
398,861.626709
399,873.581116
400,878.638611
401,861.166992
402,855.189758
403,862.086548
404,884.615784
405,897.029724
406,910.363342
407,904.846069
408,906.685120
409,914.501404
410,913.581848
411,908.984070
412,925.076233
413,987.606384
414,979.330322
415,977.491211
416,994.043274
417,976.571594
418,960.019592
419,994.043274
420,974.732483
421,994.962769
422,974.746582
423,1004.169312
424,995.627380
425,1025.049927
426,1033.592163
427,1015.558716
428,995.627380
429,1003.220215
430,1017.456909
431,1013.660522
432,996.576355
433,991.830750
434,1015.558716
435,1007.016602
436,1018.406189
437,999.423584
438,1001.322021
439,991.830750
440,1007.965820
441,988.983337
442,1007.965820
443,1018.406189
444,1013.660522
445,1030.744629
446,1018.406189
447,1028.846558
448,1028.846558
449,1033.592163
450,1039.286865
451,1032.643066
452,1006.067505
453,967.153564
454,977.593933
455,997.525391
456,971.899231
457,971.899231
458,997.525391
459,1006.067505
460,996.576355
461,1004.169312
462,1033.592163
463,1027.897461
464,1026.948242
465,1032.643066
466,1041.185059
467,1057.320068
468,1044.981567
469,1043.083252
470,1063.014771
471,1047.828857
472,1057.320068
473,1044.981567
474,1060.167480
475,1046.879761
476,1051.625488
477,1063.014771
478,1041.185059
479,1011.762207
480,987.085144
481,988.034302
482,981.390442
483,992.779846
484,996.576355
485,1007.016602
486,1031.693726
487,1030.744629
488,1063.963867
489,1039.286865
490,1045.930786
491,1045.930786
492,1032.643066
493,1056.370972
494,1053.523682
495,1034.541260
496,1010.813110
497,1042.134155
498,1044.032349
499,1115.216431
500,1097.183105
501,1070.607910
502,1059.218262
503,1061.116577
504,1051.625488
505,1057.320068
506,1074.404175
507,1099.081299
508,1077.251587
509,1107.623413
510,1124.707520
511,1095.284912
512,1094.335815
513,1114.267212
514,1129.453247
515,1145.588379
516,1143.690186
517,1137.046143
518,1131.351440
519,1137.995239
520,1130.402222
521,1136.097046
522,1158.875977
523,1154.130371
524,1105.725098
525,1145.588379
526,1151.283081
527,1192.095093
528,1218.670532
529,1215.823120
530,1188.298706
531,1195.891724
532,1230.059937
533,1225.314331
534,1212.975952
535,1229.110840
536,1202.535400
537,1225.314331
538,1242.398438
539,1233.856445
540,1184.502319
541,1177.858398
542,1142.740967
543,1178.807495
544,1182.604004
545,1190.196899
546,1202.535400
547,1225.314331
548,1223.416016
549,1222.466919
550,1257.584351
551,1234.805542
552,1224.365234
553,1220.568726
554,1229.110840
555,1249.991577
556,1271.821045
557,1252.838745
558,1239.551025
559,1271.821045
560,1281.312622
561,1248.093140
562,1281.312622
563,1268.024780
564,1242.398438
565,1223.416016
566,1239.551025
567,1245.245972
568,1221.517944
569,1221.517944
570,1246.195068
571,1258.533569
572,1253.787964
573,1257.584351
574,1247.144043
575,1230.059937
576,1260.431763
577,1249.991577
578,1251.889648
579,1232.907349
580,1223.416016
581,1195.891724
582,1220.568726
583,1219.619629
584,1237.652954
585,1233.856445
586,1261.380859
587,1266.126465
588,1271.885864
589,1298.763428
590,1310.282593
591,1314.122070
592,1334.280396
593,1297.803589
594,1303.562988
595,1302.603271
596,1315.082153
597,1335.240356
598,1330.440674
