,0
0,638.386902
1,622.197266
2,609.687073
3,599.568604
4,596.625000
5,603.064148
6,608.399353
7,602.880127
8,597.728821
9,586.322571
10,580.435364
11,579.331482
12,575.652161
13,567.557190
14,577.123901
15,564.245789
16,576.939880
17,579.699463
18,564.981628
19,557.254822
20,567.189270
21,569.396973
22,588.898132
23,599.568604
24,596.257019
25,604.167908
26,592.761658
27,594.785278
28,601.960266
29,601.224365
30,622.013306
31,622.197266
32,629.556274
33,625.508789
34,622.933167
35,621.093445
36,621.461365
37,630.476074
38,635.075500
39,622.197266
40,628.084412
41,634.339478
42,643.354248
43,637.283020
44,626.796631
45,625.508789
46,638.754822
47,640.778503
48,644.825989
49,653.656738
50,648.137512
51,648.689453
52,650.529175
53,657.704102
54,663.591309
55,665.798950
56,664.143188
57,658.623962
58,643.906250
59,648.689453
60,645.745850
61,657.152161
62,655.128540
63,654.576538
64,669.846313
65,665.614929
66,654.760498
67,659.359863
68,663.223267
69,674.261719
70,670.030334
71,663.407288
72,687.875671
73,677.021301
74,685.851929
75,681.804688
76,666.166870
77,674.813599
78,674.445679
79,674.629700
80,684.564270
81,683.460266
82,701.121765
83,703.145447
84,708.296753
85,712.160156
86,710.136475
87,711.240295
88,711.608215
89,713.264099
90,711.976196
91,719.335083
92,722.278687
93,731.109436
94,734.053040
95,741.411865
96,734.972839
97,732.207825
98,739.143738
99,728.083862
100,730.145813
101,729.021057
102,722.460022
103,729.021057
104,712.337402
105,736.706848
106,702.964539
107,702.964539
108,707.088623
109,718.710876
110,729.021057
111,736.706848
112,725.271973
113,723.584839
114,721.335327
115,732.207825
116,721.710266
117,739.706177
118,731.270569
119,722.085266
120,731.832886
121,727.896301
122,720.772949
123,721.710266
124,729.021057
125,736.331909
126,741.955627
127,745.142395
128,749.453857
129,753.952881
130,753.015625
131,749.828857
132,757.327209
133,761.076294
134,753.203003
135,757.514526
136,758.264404
137,764.637878
138,766.700012
139,765.200317
140,775.885376
141,782.633911
142,774.948120
143,768.574585
144,779.447021
145,782.633911
146,782.633911
147,785.445801
148,792.194153
149,793.881226
150,785.070801
151,780.759277
152,788.070068
153,789.569763
154,784.133484
155,777.197571
156,783.758545
157,782.633911
158,775.135559
159,825.749023
160,817.688354
161,827.811035
162,836.059143
163,820.687683
164,819.187988
165,821.999817
166,797.442993
167,776.447815
168,779.634583
169,783.196167
170,799.606506
171,799.795532
172,800.930542
173,798.471375
174,791.283020
175,787.310608
176,799.417175
177,804.146362
178,804.146362
179,819.847107
180,815.118042
181,810.767273
182,817.388000
183,815.874634
184,825.143921
185,822.873901
186,827.413818
187,803.578918
188,817.198914
189,802.443970
190,804.713928
191,799.038818
192,789.580566
193,781.824768
194,791.093872
195,795.823059
196,794.498901
197,799.606506
198,801.119751
199,797.336365
200,795.444702
201,783.338074
202,787.499695
203,779.743896
204,796.768921
205,806.605530
206,805.848877
207,790.715637
208,762.151428
209,758.746521
210,753.828125
211,740.586487
212,737.181458
213,743.423950
214,743.045593
215,745.315613
216,738.127319
217,745.883118
218,725.453125
219,728.290649
220,725.453125
221,721.669800
222,721.669800
223,721.102417
224,729.236450
225,731.884766
226,721.291443
227,730.182312
228,737.938232
229,733.019836
230,737.749023
231,740.964844
232,751.747253
233,753.071472
234,770.285583
235,756.665588
236,766.880554
237,763.097229
238,753.260620
239,749.098938
240,750.044739
241,745.694031
242,744.369812
243,739.073120
244,730.560669
245,744.180603
246,750.990601
247,756.665588
248,758.746521
249,755.152283
250,748.531494
251,740.964844
252,725.074829
253,722.994019
254,726.020630
255,735.668152
256,739.073120
257,734.533081
258,729.993164
259,733.398132
260,761.394775
261,779.554810
262,779.554810
263,791.661438
264,791.661438
265,799.417175
266,811.523926
267,823.063049
268,820.603821
269,813.983032
270,810.578064
271,820.414795
272,811.902161
273,805.659729
274,807.173035
275,797.903870
276,796.012207
277,789.013062
278,797.714783
279,794.120483
280,810.388916
281,813.037170
282,816.820496
283,810.956360
