,0
0,195.056366
1,196.374878
2,190.359222
3,188.216614
4,189.864777
5,191.924927
6,191.677704
7,189.617554
8,185.744400
9,177.998199
10,181.624084
11,176.679703
12,172.394562
13,173.218628
14,170.828827
15,169.263092
16,171.817749
17,170.993652
18,172.394562
19,174.784363
20,177.503784
21,181.624084
22,185.250000
23,190.029587
24,187.474976
25,186.403687
26,184.590744
27,182.365768
28,185.497223
29,185.332397
30,186.898132
31,179.399124
32,183.025024
33,183.025024
34,182.942627
35,183.601883
36,182.612991
37,186.238876
38,188.875870
39,183.519455
40,185.826859
41,184.261139
42,190.606415
43,190.524002
44,186.650879
45,184.261139
46,187.969406
47,190.688797
48,192.254562
49,191.677704
50,185.826859
51,189.535141
52,188.875870
53,199.094315
54,196.951721
55,192.501770
56,196.951721
57,201.319275
58,201.072052
59,199.506332
60,202.308167
61,204.780365
62,204.533127
63,203.132217
64,194.479523
65,192.584183
66,193.490646
67,193.737869
68,192.666580
69,196.951721
70,198.764679
71,200.989655
72,202.143356
73,189.287903
74,186.733322
75,188.381439
76,187.310135
77,189.535141
78,189.287903
79,192.007339
80,193.490646
81,193.737869
82,198.187820
83,204.285904
84,206.098877
85,203.873886
86,202.308167
87,202.802597
88,205.522018
89,209.065491
90,208.653458
91,210.796021
92,213.845078
93,215.987656
94,215.493210
95,216.482086
96,216.399658
97,218.542252
98,218.624649
99,218.789474
100,217.635788
101,219.366333
102,214.669113
103,214.421951
104,207.994217
105,209.312714
106,201.236893
107,200.247971
108,197.693375
109,199.259109
110,192.007339
111,189.287903
112,188.051804
113,184.590744
114,185.662033
115,179.069504
116,175.526001
117,175.938065
118,179.975967
119,177.091721
120,175.690826
121,176.267685
122,177.503784
123,180.388000
124,179.728760
125,177.160095
126,178.696167
127,181.682968
128,181.426987
129,179.890900
130,179.805573
131,177.160095
132,179.378876
133,180.914948
134,179.208206
135,177.928146
136,177.330780
137,172.551880
138,173.063919
139,175.624039
140,182.877686
141,183.389709
142,184.072403
143,186.376526
144,188.424637
145,187.741928
146,189.192642
147,188.424637
148,185.352463
149,184.584442
