,0
0,634.955078
1,641.970337
2,628.563416
3,641.034973
4,637.917236
5,636.513977
6,647.894287
7,648.517761
8,655.221191
9,645.088135
10,644.152771
11,647.426575
12,644.776245
13,634.487488
14,630.278320
15,617.183105
16,625.601440
17,627.004639
18,622.795349
19,624.666138
20,631.681213
21,635.266785
22,646.802917
23,643.840942
24,641.502686
25,649.453369
26,662.860107
27,675.799316
28,674.084412
29,665.354248
30,669.095825
31,658.806824
32,651.479919
33,656.780151
34,659.586243
35,665.354248
36,672.837341
37,680.787964
38,686.555786
39,674.396301
40,674.240295
41,677.358093
42,678.605225
43,683.126282
44,685.776489
45,684.217529
46,689.829712
47,694.194641
48,690.609131
49,689.829712
50,692.479858
51,690.609131
52,687.023621
53,677.514099
54,685.464783
55,682.346741
56,681.099548
57,685.932312
58,691.388611
59,701.210022
60,705.107300
61,703.859985
62,708.536865
63,706.354492
64,705.730835
65,702.145325
66,698.715698
67,703.080627
68,708.069214
69,713.673218
70,725.354614
71,730.090393
72,734.036804
73,731.669006
74,732.142517
75,720.934631
76,717.461670
77,717.935303
78,719.356079
79,716.672363
80,720.934631
81,720.145264
82,727.722534
83,727.880249
84,725.985962
85,719.829529
86,716.514526
87,708.463989
88,721.250366
89,731.826782
90,730.879578
91,731.510986
92,736.562500
93,722.513245
94,719.040283
95,716.830261
96,738.456787
97,736.562500
98,738.772522
99,738.140930
100,728.511780
101,728.669495
102,734.510437
103,731.037476
104,726.933105
105,719.040283
106,720.461060
107,712.883911
108,704.201660
109,694.256714
110,696.940369
111,708.779602
112,697.887390
113,686.048157
114,683.995972
115,669.631104
116,655.265930
117,657.475952
118,655.897400
119,652.108765
120,652.582336
121,654.003052
122,655.423889
123,657.475952
124,667.578857
125,665.368774
126,670.420288
127,670.262329
128,671.841064
129,665.684570
130,673.893250
131,664.263855
132,665.053223
133,666.947388
134,660.317322
135,661.798157
136,666.440735
137,656.035034
138,668.521851
139,659.877258
140,654.754333
141,666.921021
142,675.565735
143,680.048096
144,680.528259
145,686.931885
146,683.730164
