,0
0,168.597672
1,167.902725
2,159.563187
3,160.049652
4,158.103760
5,158.659729
6,160.397125
7,159.980164
8,159.285202
9,155.740891
10,157.408798
11,158.937714
12,157.061310
13,157.617279
14,157.478302
15,155.462906
16,161.926056
17,160.536133
18,160.049652
19,158.242752
20,163.454941
21,163.454941
22,166.095810
23,167.207764
24,168.111191
25,169.153641
26,170.474091
27,170.057114
28,176.033752
29,174.435349
30,178.605148
31,179.230591
32,178.257629
33,177.493179
34,178.605148
35,178.674637
36,177.423691
37,181.384949
38,181.940933
39,180.273026
40,181.593475
41,182.149429
42,183.956329
43,185.485260
44,182.635880
45,181.523972
46,183.191879
47,183.608871
48,185.415741
49,183.678345
50,185.137726
51,185.554749
52,187.153137
53,188.751556
54,188.056595
55,188.960068
56,191.392426
57,192.365372
58,192.156891
59,195.006210
60,197.508102
61,198.620010
62,198.898010
63,191.948380
64,188.056595
65,186.458160
66,187.987091
67,190.349976
68,190.905960
69,193.477295
70,195.909653
71,198.550537
72,197.855576
73,192.434845
74,191.809387
75,186.875153
76,186.597198
77,186.944672
78,190.071991
79,189.516022
80,191.322906
81,191.253433
82,192.990845
83,196.674118
84,198.550537
85,198.967514
86,197.716568
87,197.647064
88,196.465668
89,198.550537
90,199.384491
91,199.801483
92,201.121887
93,201.677872
94,202.372803
95,202.233810
96,201.191376
97,199.394516
98,200.843582
99,202.510040
100,201.568115
101,202.147766
102,201.060959
103,200.408859
104,197.075943
105,196.786148
106,196.061600
107,196.351410
108,193.743042
109,196.496368
110,197.872955
111,202.437561
112,201.133423
113,197.075943
114,197.148422
115,191.424530
116,187.294617
117,190.772430
118,188.743713
119,185.628159
120,188.381424
121,185.917999
122,184.903625
123,189.395798
124,188.671249
125,191.641907
126,195.626877
127,195.554398
128,197.075943
129,197.003525
130,196.134079
131,193.235855
132,194.612518
133,193.525711
134,194.612518
135,192.801147
136,193.018494
137,194.177811
138,193.308319
139,194.467590
140,194.829865
141,195.264603
142,197.293335
143,198.742416
144,200.191483
145,201.423248
146,199.829208
147,200.771164
148,196.786148
149,194.902344
150,193.090973
151,194.974808
152,196.858612
153,197.148422
154,196.496368
155,196.641235
156,194.974808
157,195.047272
158,195.192108
159,195.119675
160,193.453247
161,195.626877
162,196.423874
163,192.149063
164,189.685608
165,188.019165
166,182.585083
167,176.861206
168,177.730652
169,172.224091
170,174.759995
171,172.441452
172,170.630096
173,171.064835
174,166.282867
175,164.379883
176,167.785950
177,168.230209
178,165.860779
179,163.713501
180,163.269211
181,164.157761
182,162.676834
183,160.455490
184,161.862350
185,162.602829
186,165.490570
187,163.047073
188,166.008881
189,171.932465
190,171.858444
191,175.042358
192,180.447662
193,183.261353
194,183.039215
195,189.333038
196,187.185760
197,182.002594
198,180.743820
199,182.669006
200,187.185760
201,185.556763
202,182.002594
203,181.336182
204,182.594940
205,184.964386
206,183.927765
207,181.484268
208,175.560669
209,174.524033
210,176.004929
211,176.893478
212,172.302689
213,172.969086
214,178.448441
215,193.109344
216,192.220795
217,198.292465
218,198.218460
219,203.623734
220,203.919922
221,203.179474
222,200.069595
223,200.513840
224,201.920715
225,200.143616
226,201.698563
227,198.810822
228,194.738327
229,195.256653
230,196.885651
231,198.588684
232,200.365753
233,201.328339
234,202.439011
235,199.477188
236,201.402374
237,203.919922
238,200.958099
239,201.106201
240,204.882492
241,207.844330
242,206.733612
243,204.660370
244,202.142822
245,205.771011
246,207.622147
247,205.919144
248,209.621384
249,211.250366
250,207.992371
251,204.216080
252,200.439804
253,205.252716
254,204.586304
255,209.917542
256,211.028198
257,210.880157
258,208.584763
259,212.879395
260,226.059341
261,235.240936
262,232.723389
263,228.206650
264,228.206650
265,226.281525
266,228.650925
267,228.799026
268,229.317337
269,227.836456
270,224.356323
271,230.279922
272,226.577667
273,225.837250
274,227.466248
275,228.132645
276,228.724960
277,226.651733
278,223.763947
279,224.356323
280,219.543411
281,217.914429
282,221.542633
283,223.763947
284,227.762405
285,229.761597
286,226.947937
287,230.872284
288,224.726547
289,227.318115
290,228.206650
291,229.539459
292,226.207458
293,225.244873
294,229.021164
295,231.094406
296,230.946350
297,228.947159
298,228.058563
299,229.909683
300,231.760818
301,230.576111
302,235.759262
303,235.092850
304,233.611923
305,235.685196
306,233.167664
307,232.427216
308,222.727310
309,212.509125
310,213.767914
311,199.255081
312,192.516983
313,188.444504
314,196.293289
315,193.627655
316,183.631607
317,178.744598
318,161.418106
319,163.491348
320,163.269211
321,135.391296
322,142.906860
323,129.023407
324,130.097061
325,119.286469
326,115.473175
327,116.287674
328,102.626358
329,119.619682
330,138.945435
331,159.641022
332,155.050217
333,142.351501
334,143.536209
335,127.024193
336,131.466904
337,118.249855
338,137.945831
339,150.829666
340,145.165207
341,157.715820
342,152.976944
343,142.906860
344,143.980499
345,152.088394
346,152.532700
347,142.906860
348,148.756363
349,151.435059
350,146.773071
351,150.526352
352,161.983765
353,172.334885
354,161.667679
355,154.832733
356,155.662445
357,158.823090
358,159.376205
359,161.983765
360,160.956543
361,157.874893
362,153.489471
363,148.313889
364,145.508820
365,151.948639
366,151.948639
367,152.501801
368,146.733566
369,149.301605
370,158.348999
371,162.378845
372,164.512268
373,156.847687
374,163.801117
375,169.490311
376,181.658844
377,181.342789
378,198.252289
379,199.279510
380,191.772964
381,187.269012
382,176.996872
383,178.261139
384,180.868668
385,184.108353
386,176.048691
387,177.391968
388,174.626373
389,174.231293
390,175.495575
391,168.463104
392,170.675552
393,170.912613
394,172.888031
395,174.547363
396,172.413910
397,176.680801
398,173.362091
399,175.021454
400,173.994247
401,172.018845
402,168.068008
403,174.152283
404,175.416550
405,177.787033
406,179.683426
407,179.999527
408,179.683426
409,178.182129
410,178.577209
411,179.604431
412,177.154907
413,171.228668
414,173.836212
415,177.075897
416,177.708008
417,166.882767
418,169.095230
419,174.073257
420,173.915253
421,176.206726
422,177.549973
423,179.525391
424,184.108353
425,188.375244
426,187.189987
427,184.389847
428,182.453156
429,181.726898
430,181.968979
431,183.179428
432,179.790207
433,180.597137
434,180.597137
435,177.611420
436,179.467407
437,176.723755
438,175.351929
439,167.443771
440,167.120941
441,165.264954
442,164.861496
443,166.314011
444,163.893127
445,160.060089
446,160.584595
447,158.446167
448,158.083038
449,159.818008
450,159.737289
451,157.356766
452,155.379730
453,146.059357
454,143.759537
455,145.454132
456,143.638489
457,143.638489
458,152.474655
459,149.408234
460,151.990509
461,154.774521
462,158.002335
463,158.930328
464,161.552933
465,160.503906
466,160.988098
467,160.060089
468,160.786331
469,155.056931
470,155.944611
471,151.304565
472,153.604431
473,154.088593
474,154.290329
475,153.160599
476,155.984940
477,159.293457
478,157.840958
479,149.811722
480,147.148758
481,148.439880
482,149.125793
483,148.076767
484,154.411392
485,155.500778
486,156.953308
487,157.155014
488,179.144623
489,187.456299
490,190.522751
491,186.891434
492,194.718933
493,200.206223
494,202.223633
495,208.759995
496,208.195099
497,209.647629
498,209.889725
499,219.411804
500,211.342255
501,210.212494
502,206.823257
503,203.918243
504,214.489365
505,213.359650
506,212.714081
507,211.100159
508,205.693527
509,205.047989
510,206.177704
511,201.013199
512,197.139801
513,200.851761
514,204.805893
515,210.131805
516,208.759995
517,206.581192
518,196.494247
519,201.255264
