,0
0,42.566936
1,43.173832
2,42.013813
3,41.522163
4,40.631027
5,40.200825
6,40.984409
7,40.800034
8,40.485069
9,39.870495
10,39.916580
11,40.139370
12,39.171413
13,39.570885
14,39.133003
15,38.433929
16,39.340420
17,39.832081
18,39.179092
19,39.332741
20,40.561886
21,40.984409
22,41.253281
23,41.337784
24,42.082958
25,42.029186
26,42.666805
27,42.666805
28,43.120049
29,43.120049
30,44.556618
31,44.556618
32,44.118736
33,44.018867
34,44.310791
35,44.994503
36,43.788399
37,43.665485
38,44.810127
39,44.479801
40,44.694901
41,44.410652
42,44.587345
43,44.756351
44,43.942047
45,43.696213
46,44.341518
47,44.525890
48,44.449070
49,44.095692
50,44.894634
51,44.802444
52,44.840858
53,46.961140
54,46.346565
55,46.093056
56,46.500206
57,47.552670
58,48.305519
59,48.812542
60,48.282467
61,48.451477
62,48.336250
63,48.328568
64,47.744720
65,47.529625
66,47.468166
67,47.890686
68,48.067368
69,49.012280
70,49.811222
71,50.218380
72,50.264477
73,49.972549
74,48.566715
75,47.867634
76,47.652534
77,47.214649
78,47.936775
79,47.583389
80,47.737038
81,48.320892
82,48.704998
83,49.841953
84,49.746628
85,49.420914
86,49.746628
87,49.984955
88,49.889618
89,50.954140
90,51.478458
91,51.772396
92,52.304657
93,52.884590
94,52.352329
95,52.090168
96,51.446690
97,50.533096
98,50.048500
99,50.525158
100,49.706898
101,50.525158
102,49.889618
103,49.762512
104,49.103146
105,49.111088
106,48.372272
107,48.499382
108,47.498413
109,48.173676
110,48.443775
111,48.864815
112,47.935345
113,47.268024
114,48.078339
115,46.989986
116,45.957233
117,46.489498
118,45.782463
119,45.671246
120,45.790409
121,45.488529
122,45.321701
123,45.989014
124,45.925453
125,45.464699
126,45.766575
127,46.386227
128,46.116123
129,46.060513
130,46.116123
131,45.838078
132,46.028732
133,46.132008
134,47.029705
135,46.386227
136,46.155842
137,45.281979
138,45.043652
139,45.210484
140,45.170761
141,44.956268
142,45.464699
143,45.790409
144,46.282948
145,46.282948
146,45.941353
147,45.846024
148,45.909565
149,46.052567
150,45.885735
151,45.822186
152,45.957233
153,46.060513
154,45.830132
155,45.591805
156,45.115150
157,45.059544
158,45.281979
159,45.258144
160,45.099258
161,44.479614
162,44.630554
163,43.756691
164,42.366455
165,41.977188
166,40.722004
167,39.864033
168,39.911697
169,39.911697
170,40.427654
171,40.220459
172,39.602936
173,39.789818
174,39.554180
175,39.472923
176,40.342339
177,40.573910
178,40.399216
179,40.240772
180,40.387028
181,40.618603
182,40.431721
183,40.232643
184,40.468285
185,40.488602
186,40.886730
187,40.293587
188,40.297649
189,40.651096
190,40.659225
191,40.772984
192,42.511803
193,42.739319
194,42.203045
195,44.088123
196,43.974369
197,43.194336
198,43.056206
199,43.925617
200,45.103794
201,44.120621
202,43.470600
203,43.364964
204,43.543720
205,44.640648
206,43.974369
207,43.373093
208,41.926777
209,41.943031
210,42.276169
211,42.008038
212,41.423008
213,41.195496
214,42.796188
215,48.045166
216,46.956371
217,49.418350
218,49.588974
219,49.532101
220,48.906452
221,49.922119
222,49.085209
223,48.979576
224,48.630192
225,48.752068
226,47.882660
227,47.338257
228,46.801987
229,46.151955
230,46.566353
231,46.956371
232,47.200130
233,46.647602
234,46.476974
235,45.729443
236,47.565773
237,48.418930
238,48.418930
239,47.687649
240,48.077671
241,48.540817
242,48.329552
243,48.028915
244,47.695778
245,48.581444
246,49.458977
247,49.743366
248,50.133381
249,50.937786
250,49.686493
251,48.703320
252,48.077671
253,49.215210
254,49.166462
255,49.946495
256,50.482773
257,49.954628
258,49.077087
259,49.662113
260,52.270344
