,0
0,258.302094
1,257.763947
2,253.817642
3,253.100174
4,247.360123
5,247.091080
6,247.987961
7,238.570709
8,236.238800
9,225.386520
10,227.539017
11,226.462799
12,222.516479
13,224.041260
14,220.991837
15,217.404205
16,221.619598
17,221.709320
18,222.426834
19,225.296844
20,227.000900
21,233.817230
22,246.822052
23,249.064209
24,246.194183
25,247.629211
26,248.346680
27,247.449783
28,257.405273
29,256.239319
30,259.647461
31,256.867096
32,256.687744
33,258.481476
34,260.992767
35,260.095856
36,260.364929
37,262.248383
38,261.979309
39,259.019562
40,260.903046
41,260.454559
42,265.387451
43,264.490540
44,259.019562
45,255.611481
46,260.544312
47,259.826813
48,261.710297
49,258.750549
50,256.059906
51,260.185516
52,260.095856
53,261.620544
54,260.903046
55,258.660858
56,263.414368
57,271.934753
58,238.032578
59,244.848816
60,250.230148
61,253.907394
62,248.257019
63,250.499222
64,242.516998
65,237.942841
66,238.750092
67,241.351059
68,240.095352
69,244.221085
70,242.427261
71,246.014786
72,248.526077
73,241.799515
74,241.799515
75,240.812851
76,240.543808
77,241.620102
78,242.427261
79,246.194183
80,250.140488
81,253.369217
82,254.266129
83,256.059906
84,257.494904
85,254.086792
86,252.382660
87,249.692032
88,253.010513
89,249.243591
90,249.602386
91,250.050735
92,252.472412
93,254.266129
94,253.189911
95,253.728012
96,256.328949
97,254.714554
98,256.956818
99,256.059906
100,256.418610
101,260.185516
102,249.422989
103,250.230148
104,248.436432
105,244.759186
106,244.310730
107,243.234497
108,242.786041
109,246.014786
110,246.104538
111,238.839752
112,240.185089
113,238.301651
114,256.203796
115,232.208313
116,229.657608
117,232.680649
118,236.648407
119,219.171371
120,215.468185
121,219.463745
122,221.315369
123,224.044022
124,224.531281
125,217.807053
126,214.883469
127,214.883469
128,213.324219
129,213.616577
130,210.498093
131,210.498093
132,213.129318
133,216.540161
134,206.697433
135,206.599976
136,204.456024
137,198.998657
138,200.460449
139,200.850266
140,204.650925
141,205.333084
142,205.235641
143,204.650925
144,207.866867
145,206.989792
146,207.671967
147,205.820343
148,204.456024
149,202.799316
150,200.850266
151,202.799316
152,202.994217
153,202.506958
154,199.388474
155,199.973175
156,200.850266
157,201.337524
158,201.337524
159,206.307617
160,203.189133
161,204.163651
162,206.794876
163,203.968765
164,202.604416
165,202.604416
166,195.880173
167,185.793793
168,183.942200
169,184.137100
170,184.819275
171,182.772751
172,183.065125
173,179.459366
174,178.338654
175,175.756165
176,176.633240
177,181.018616
178,180.677521
179,182.285492
180,186.865784
181,181.944412
182,184.770554
183,183.942200
184,183.454941
185,187.353043
186,184.770554
187,181.993149
188,188.181412
189,191.494797
190,190.666443
191,191.056259
192,195.977631
193,197.829224
194,193.005310
195,195.100540
196,200.265549
197,198.901215
198,196.757248
199,193.784927
200,190.861343
201,184.673080
202,181.749496
203,177.364120
204,175.658707
205,183.211288
206,179.751724
207,182.967667
208,176.292145
209,174.343094
210,167.472687
211,166.595596
212,163.038574
213,159.725174
214,162.405121
215,181.116074
216,184.234558
217,191.689697
218,194.564545
219,195.587799
220,195.490356
221,193.346375
222,190.763885
223,186.134872
224,179.069565
225,178.631027
226,182.334244
227,182.529129
228,175.707443
229,176.876862
230,175.171448
231,179.702988
232,177.705215
233,177.364120
234,186.524689
235,181.262238
236,183.649826
237,179.946625
238,175.658707
239,172.770065
240,176.854004
241,180.788513
242,185.270874
243,185.270874
244,186.167343
245,191.197556
246,200.012863
247,199.913254
248,195.181870
249,199.415207
250,193.588150
251,190.649704
252,186.117554
253,190.350891
254,192.442642
255,200.411285
256,207.483459
257,205.590897
258,206.387772
259,208.479538
260,222.723495
261,228.002701
262,218.141510
263,217.145432
264,218.141510
265,214.356415
266,215.850525
267,215.352493
268,216.846603
269,215.252884
270,212.663071
271,215.053665
272,213.260727
273,212.264648
274,217.543869
275,217.743088
276,193.637939
277,190.550110
278,188.757156
279,184.274796
280,180.141068
281,183.378326
282,186.316757
283,187.063828
284,185.569702
285,186.764999
286,186.515976
287,183.826569
288,180.141068
289,183.577545
290,178.746552
291,179.941849
292,175.310074
293,176.854004
294,180.290482
295,179.941849
296,184.623428
297,182.730865
298,181.585388
299,177.302231
300,179.842239
301,178.796356
302,183.129318
303,183.079498
304,180.190857
305,180.589310
306,185.519897
307,182.631271
308,178.348129
309,175.359879
310,171.275955
311,158.426529
312,157.779068
313,156.733185
314,163.157898
315,161.215546
316,156.932404
317,153.545731
318,136.014725
319,134.371185
320,128.444504
321,108.024872
322,97.058037
323,96.540070
324,91.958107
325,113.802139
326,115.545280
327,107.377426
328,91.340530
329,99.289253
330,110.166443
331,108.024872
332,98.791214
333,98.572075
334,98.850975
335,99.608002
336,98.870903
337,93.631516
338,99.707603
339,110.813896
340,107.825661
341,110.116646
342,106.331535
343,98.771294
344,93.033875
345,97.715446
346,97.436546
347,90.683121
348,87.655037
349,90.981941
350,90.463982
351,93.990105
352,97.077957
353,98.532227
354,91.738968
355,92.635437
356,90.304611
357,86.758568
358,88.730804
359,94.747131
360,87.216759
361,92.595596
362,85.961708
363,88.332375
364,84.706642
365,87.057388
366,85.463669
367,94.667442
368,97.854897
369,94.189323
370,99.906822
371,98.671684
372,100.305252
373,97.376778
374,99.488464
375,98.432625
376,106.480949
377,105.584480
378,111.112724
379,118.682930
380,120.027641
381,111.710373
382,102.596237
383,105.335457
384,107.576637
385,109.120567
386,111.311935
387,111.610764
388,107.427223
389,109.668404
390,108.572716
391,102.795448
392,101.799370
393,100.255455
394,100.853096
395,98.611916
396,99.269333
397,101.749573
398,97.775215
399,98.014275
400,93.870575
401,94.627602
402,94.508064
403,95.623680
404,97.117798
405,97.695526
406,98.651764
407,97.595917
408,98.452545
409,98.233414
410,97.635757
411,96.101799
412,96.699448
413,94.986191
414,96.121719
415,99.807213
416,100.604080
417,96.281097
418,94.607681
419,96.599838
420,97.834976
421,102.197807
422,100.853096
423,103.193886
424,109.867622
425,116.292336
426,117.537437
427,114.499390
428,112.407623
429,113.154686
430,107.626442
431,108.522911
432,108.572716
433,109.369583
434,110.465271
435,111.361748
436,113.553116
437,112.357826
438,110.664482
439,105.933105
440,107.128403
441,107.427223
442,108.522911
443,110.066841
444,108.024872
445,107.327621
446,105.036629
447,101.450745
448,104.289574
449,108.821739
450,111.660561
451,111.560959
452,110.315857
453,104.090355
454,101.600159
455,100.056229
456,96.838898
457,93.631516
458,99.229492
459,95.962341
460,97.137718
461,99.129875
462,98.313087
463,99.428703
464,97.137718
465,97.038109
466,95.424469
467,98.811134
468,97.157639
469,94.448303
470,93.830734
471,91.639359
472,90.802658
473,92.197159
474,92.197159
475,94.727203
476,97.277176
477,97.456459
478,94.866653
479,93.093636
480,91.141319
481,88.372215
482,88.790565
483,90.165154
484,91.639359
485,96.121719
486,95.524071
487,95.802971
488,112.058998
489,119.977829
490,120.226852
491,120.525681
492,123.264900
493,126.004120
494,127.896660
495,131.681778
496,130.237457
497,132.080215
498,134.520599
499,139.750031
500,134.869217
501,129.689606
502,126.900589
503,125.257057
504,132.229614
505,134.470795
506,141.592758
507,141.941391
508,137.957077
509,136.612366
510,142.439438
511,136.213943
512,129.141769
513,134.221771
514,136.612366
515,138.106476
516,138.604523
517,133.076294
518,128.344910
519,131.133926
520,137.857468
521,138.056686
522,140.297867
523,137.658249
524,135.765701
525,130.884903
526,133.076294
527,138.953156
528,140.795914
529,137.359421
530,133.773544
531,133.922943
532,132.528442
533,137.558655
534,139.052765
535,137.558655
536,133.873138
537,137.160217
538,142.240219
539,142.489243
540,141.094727
541,142.987289
542,147.419830
543,146.523376
544,140.995117
545,139.451202
546,137.957077
547,138.654327
548,138.355499
549,137.807678
550,133.673935
551,134.122162
552,130.835114
553,128.942551
554,129.839035
555,138.355499
556,137.658249
557,134.271591
558,132.528442
559,137.558655
560,138.803757
561,143.435516
562,145.228470
563,145.726501
564,141.343750
565,144.730423
566,144.680618
567,147.868073
568,148.415924
569,144.879837
570,148.465729
571,153.396317
572,156.135544
573,155.488098
574,157.480255
575,157.978287
576,158.326904
577,157.629654
578,155.039841
579,154.541809
580,152.250824
581,148.316299
582,149.561401
583,147.768478
584,153.246918
585,152.450043
586,153.993973
587,150.258667
588,151.802582
589,152.051605
590,156.533966
591,155.637497
592,156.284943
593,154.242996
594,156.583771
595,156.533966
596,154.143372
597,155.886520
598,161.464569
599,153.346512
600,153.844543
601,157.430450
602,157.181427
603,158.028076
604,158.376724
605,158.077896
606,157.878677
607,157.380630
608,155.687302
609,156.384552
610,155.836716
611,158.725357
612,162.311234
613,155.139450
614,151.952011
615,150.706909
616,156.683380
617,155.488098
618,155.537888
619,153.495926
620,153.545731
621,152.151215
622,156.185349
623,155.338669
624,168.536728
625,170.429291
626,164.751617
627,159.173584
628,162.012405
629,159.223389
630,156.832794
631,160.269257
632,163.606140
633,158.675537
634,156.832794
635,158.028076
636,156.384552
637,155.338669
638,154.242996
639,153.844543
640,148.017487
641,152.151215
642,152.151215
643,153.197098
644,152.151215
645,152.898270
646,149.959839
647,149.013565
648,145.875916
649,151.553558
650,152.051605
651,156.484177
652,153.346512
653,151.952011
654,147.270432
655,147.718658
656,146.921799
657,147.021408
658,144.531204
659,136.960999
660,137.757858
661,131.781387
662,131.034317
663,138.056686
664,137.558655
665,139.849625
666,142.090805
667,140.646484
668,141.293945
669,137.558655
670,134.968842
671,136.811584
672,136.911194
673,138.455124
674,139.152374
675,139.401398
676,139.750031
677,140.497086
678,141.094727
679,145.726501
680,146.423752
681,146.523376
682,145.427673
683,144.381790
684,142.140610
685,162.161819
686,163.257507
687,170.030853
688,178.746552
689,178.198700
690,177.750473
691,178.796356
692,183.776764
693,182.083420
694,181.834396
695,180.340286
696,186.366577
697,185.270874
698,183.826569
699,186.416367
700,187.661469
701,188.159500
702,185.420288
703,181.485764
704,181.684982
705,181.037537
706,184.772842
707,187.512054
708,187.611664
709,186.416367
710,191.994415
711,188.757156
712,189.753235
713,182.780670
714,180.888138
715,183.129318
716,184.972046
717,178.796356
718,171.126541
719,173.616745
720,172.072815
721,176.007324
722,181.884216
723,182.631271
724,183.477936
725,181.037537
726,182.979889
727,180.589310
728,179.892044
729,177.252426
730,181.435959
731,185.171265
732,184.374405
733,183.726944
734,182.880295
735,187.860687
736,190.151657
737,187.910477
738,191.845016
