,0
0,332.267731
1,315.483673
2,296.803009
3,293.010071
4,277.458801
5,290.734253
6,302.113312
7,300.121948
8,302.302917
9,294.147980
10,295.570404
11,304.104645
12,296.328918
13,300.596100
14,298.794464
15,295.380768
16,307.613190
17,310.742401
18,305.716644
19,295.191071
20,312.259583
21,315.388824
22,332.552216
23,335.207306
24,335.112427
25,323.923157
26,321.362793
27,320.793884
28,314.156128
29,307.897614
30,321.552460
31,327.716156
32,321.268036
33,311.121735
34,309.699402
35,310.742401
36,305.147736
37,310.457947
38,323.259338
39,319.845581
40,331.604034
41,328.569550
42,333.595306
43,330.655701
44,312.828491
45,297.277222
46,302.966675
47,304.104645
48,304.768433
49,305.337341
50,322.405853
51,325.819611
52,320.224915
53,326.578247
54,322.405853
55,329.991974
56,336.724548
57,334.922882
58,330.086761
59,329.802307
60,337.672791
61,342.983002
62,344.120880
63,341.465790
64,348.482910
65,341.560608
66,337.483185
67,335.681458
68,341.276123
69,347.250153
70,356.543030
71,357.491272
72,361.473877
73,353.508636
74,356.543030
75,344.026062
76,340.233093
77,343.741577
78,339.758942
79,340.043396
80,347.345001
81,359.767029
82,368.775513
83,367.542725
84,372.413055
85,374.062225
86,366.689667
87,358.346893
88,357.473907
89,369.017761
90,372.510132
91,370.958008
92,373.092163
93,375.420349
94,381.434784
95,383.860046
96,385.897125
97,382.695953
98,390.165558
99,398.314240
100,392.299744
101,388.419434
102,391.911621
103,389.001495
104,366.301605
105,366.689667
106,356.309784
107,353.690643
108,341.467651
109,345.735901
110,353.108582
111,351.168396
112,344.571838
113,338.848389
114,344.183838
115,338.654388
116,323.521210
117,328.177521
118,335.841156
119,327.498505
120,325.558319
121,318.088684
122,315.954468
123,326.334381
124,327.595459
125,325.558319
126,331.087708
127,335.162109
128,337.587311
129,334.968079
130,338.363373
131,328.953552
132,326.625397
133,331.184814
134,338.848389
135,345.347961
136,340.788544
137,342.340668
138,341.564545
139,342.922699
140,347.773102
141,350.877380
142,359.705048
143,358.540955
144,365.719574
145,367.853699
146,367.950714
147,362.518311
148,347.482086
149,343.989807
150,349.616302
151,354.272644
152,355.921814
153,364.264435
154,362.518311
155,356.018829
156,355.145691
157,356.212769
158,374.256287
159,380.658783
