,0
0,155.972656
1,144.990173
2,153.110748
3,162.411880
4,161.124039
5,157.403595
6,154.541702
7,152.395294
8,152.967682
9,155.257172
10,157.260483
11,153.253860
12,154.255524
13,155.972656
14,155.972656
15,157.832855
16,163.699722
17,162.268799
18,163.127365
19,161.696411
20,166.990875
21,166.990875
22,166.561630
23,165.130676
24,165.273758
25,170.138962
26,170.425171
27,170.425171
28,170.711349
29,168.851135
30,167.992554
31,165.273758
32,160.837845
33,158.548325
34,159.263809
35,158.405243
36,157.403595
37,156.688126
38,164.415222
39,174.574890
40,174.145615
41,168.278732
42,167.420197
43,169.423492
44,169.995880
45,169.995880
46,170.282059
47,170.282059
48,170.568237
49,169.709686
50,174.431793
51,177.436768
52,176.435120
53,175.147278
54,175.719650
55,174.002487
56,174.002487
57,173.573227
58,172.142303
59,172.142303
60,173.143936
61,176.148926
62,178.152252
63,178.581512
64,175.862717
65,174.574890
66,175.576538
67,173.143936
68,175.004181
69,175.290344
70,173.430130
71,171.856079
72,174.145615
73,173.859436
74,173.143936
75,170.997513
76,171.140625
77,171.856079
78,174.717972
79,176.005829
80,176.864395
81,178.152252
82,176.435120
83,178.152252
84,179.869385
85,178.724625
86,175.004181
87,165.559937
88,162.984268
89,159.979294
90,150.821259
91,142.235596
92,138.515152
93,144.954391
94,144.954391
95,141.591675
96,135.581741
97,123.347168
98,121.773125
99,120.199104
100,106.318977
101,104.601837
102,78.272514
103,72.477196
104,67.003853
105,90.077774
106,79.131081
107,83.566994
108,99.450462
109,107.678360
110,100.595200
111,96.302376
112,84.067833
113,80.562019
114,77.986328
115,84.997940
116,78.272514
117,84.282455
118,93.046989
119,95.873085
120,101.596863
121,104.458733
122,104.458733
123,94.354576
124,95.897758
125,97.220490
126,94.317841
127,94.060646
128,92.590935
129,91.856087
130,92.517448
131,95.420113
132,102.364418
133,97.183746
134,94.942451
135,90.827301
136,91.121239
137,93.546242
138,96.706093
139,94.758736
140,94.575020
141,87.630707
142,83.331841
143,80.208748
144,86.528442
145,89.247375
146,87.079575
147,88.696243
148,90.790558
149,93.546242
150,102.878822
151,110.227303
152,102.878822
153,104.752686
154,104.862907
155,109.565956
156,110.778450
157,121.360275
158,125.769341
159,124.961029
160,115.922386
161,111.917458
162,111.329582
163,116.620491
164,116.547020
165,116.914429
166,118.641342
167,117.906479
168,118.016708
169,123.087151
170,117.245110
171,118.420868
172,118.604576
173,121.470482
174,123.123909
175,121.984886
176,123.197403
177,123.638298
178,125.071251
179,125.659119
180,127.863670
181,125.953079
182,127.533005
183,129.517075
184,129.774292
185,127.790192
186,128.855713
187,130.803070
188,131.354202
189,130.251938
190,127.679970
191,127.275787
192,119.706856
193,120.147758
194,119.633377
195,119.853836
196,116.400024
197,118.016708
198,117.943214
199,119.890564
200,124.593597
201,122.315567
202,124.814056
203,124.703819
204,127.606453
205,133.301575
206,133.779205
207,132.052322
208,133.485260
209,132.272766
210,132.272766
211,128.471817
212,127.711632
213,131.170486
214,130.068222
215,133.565094
216,132.728912
217,131.512604
218,125.849190
219,125.431076
220,120.755920
221,119.653633
222,125.735138
223,121.668144
224,119.349564
225,119.121521
226,116.118774
227,114.940475
228,119.919716
229,121.098022
230,118.589378
231,120.261795
232,113.230049
233,113.001984
234,115.510628
235,111.101517
236,115.054497
237,120.717918
238,119.387589
239,121.250031
240,121.174004
241,122.314323
242,124.670906
243,126.077232
244,121.972221
245,122.732422
246,128.547852
247,126.267303
248,123.872696
249,126.495331
250,124.898933
251,127.977707
252,126.799423
253,126.989464
254,125.507111
255,127.255524
256,128.319794
257,126.381310
258,116.954979
259,112.013756
260,111.101517
261,111.481606
262,110.075279
263,115.814705
264,118.171272
265,117.031006
266,120.337822
267,134.097214
268,137.366028
269,136.073715
270,133.032959
271,139.380554
272,145.424042
273,146.830368
274,147.134460
275,146.716354
276,148.008682
277,148.350754
278,152.721848
279,149.224976
280,146.564301
281,147.058441
282,142.535309
283,146.146210
284,147.476532
285,150.137192
286,148.692841
287,146.982422
288,144.625824
289,148.236740
290,144.359756
291,141.813141
292,143.979660
293,144.853882
294,151.125458
295,152.797867
296,150.327255
297,146.450272
298,149.491043
299,152.797867
300,155.382477
301,154.014160
302,151.847610
303,150.479279
304,150.289246
305,148.806854
306,154.622299
307,151.733597
308,150.935410
309,149.415024
310,150.479279
311,152.037659
312,151.581543
313,149.224976
314,146.868362
315,144.777847
316,146.792358
317,150.137192
318,148.236740
319,145.005920
320,139.418533
321,135.389542
322,139.950699
323,133.717117
324,139.114471
325,138.962433
326,142.155228
327,142.459305
328,141.204987
329,139.038437
330,140.520813
331,139.760635
332,142.535309
333,142.687347
334,149.186966
335,149.985138
336,142.383286
337,140.786880
338,144.207718
339,143.903671
340,144.017685
341,144.853882
342,145.081955
343,139.798630
344,146.792358
345,147.970657
346,151.619553
347,151.733597
348,151.961670
349,155.914642
350,163.288483
351,169.445984
352,166.709305
353,171.498489
354,166.557266
355,169.674042
356,162.756332
357,165.360504
358,161.248642
359,161.490524
360,162.861130
361,163.828629
362,167.134232
363,167.376099
364,165.037979
365,168.827347
366,167.214844
367,168.827347
368,172.777924
369,176.970398
370,176.244781
371,175.761032
372,175.116043
373,174.954773
374,177.373520
375,176.647888
376,178.341003
377,176.567261
378,170.762314
379,170.036682
380,169.714188
381,169.875443
382,171.246078
383,170.439819
384,170.601059
385,170.842941
386,175.196655
387,172.132950
388,174.148529
389,176.244781
390,175.357910
391,178.663513
392,173.987305
393,177.373520
394,184.790955
395,190.354019
396,190.676529
397,192.208374
398,190.273407
399,192.772766
400,191.644028
401,192.289001
402,190.515274
403,189.305923
404,195.191498
405,197.126480
406,200.432068
407,199.948318
408,200.109573
409,198.497086
410,200.432068
411,197.852081
412,194.868988
413,195.110886
414,198.013336
415,196.884583
416,197.126480
417,198.577698
418,197.448959
419,193.498383
420,195.110886
421,194.707733
422,193.820877
423,194.385254
424,188.902786
425,185.435928
426,184.468460
427,184.549072
428,184.629700
429,183.742813
430,186.161545
431,185.355316
432,185.274704
433,180.517868
434,183.662216
435,183.984711
436,183.420334
437,183.420334
438,180.437225
439,179.389114
440,172.455414
441,173.826065
442,180.517868
443,181.404739
444,181.485367
445,184.145950
446,182.855957
447,181.727219
448,183.420334
449,181.727219
450,186.806549
451,188.015915
452,187.048431
453,188.580276
454,191.563400
455,191.966522
456,186.080948
457,185.435928
458,179.872864
459,182.372223
460,180.034119
461,177.534760
462,178.663513
463,174.020737
464,174.103638
465,175.761780
466,173.772018
467,174.020737
468,172.113892
469,172.942963
470,170.787384
471,172.777130
472,170.538666
473,167.802734
474,168.797638
475,167.222397
476,165.025391
477,167.388229
478,167.305328
479,170.041245
480,168.714737
481,169.626709
482,169.792496
483,167.636932
484,165.315552
485,165.895905
486,169.377975
487,169.295074
488,169.958328
489,171.782272
490,168.466003
491,168.963440
492,168.797638
493,166.476257
494,165.398468
495,165.771530
496,163.740341
497,165.439911
498,165.895905
499,166.227524
500,164.942474
501,164.154846
502,165.978806
503,165.191208
504,164.030502
505,163.574509
506,164.154846
507,164.942474
508,164.445038
509,163.035629
510,165.895905
511,165.812988
512,164.652313
513,165.647202
514,168.880524
515,168.051468
516,165.812988
517,165.895905
518,167.139496
519,165.978806
520,162.662552
521,163.615982
522,163.657425
523,163.118530
524,164.983932
525,165.647202
526,165.398468
527,164.901016
528,160.424088
529,161.667679
530,163.906158
531,164.071960
532,164.901016
533,155.822754
534,157.812515
535,154.952240
536,157.605255
537,157.107819
538,159.263382
539,163.159988
540,164.901016
541,165.398468
542,162.206558
543,160.962967
544,158.517227
545,160.051010
546,157.273621
547,159.926636
548,160.921524
549,155.449677
550,159.180481
551,161.584747
552,165.108276
553,164.901016
554,166.476257
555,166.393341
556,165.398468
557,173.274582
558,171.948074
559,171.284836
560,171.782272
561,171.865173
562,174.186554
563,174.103638
564,176.673752
565,177.336990
566,177.336990
567,178.083176
568,178.912231
569,180.155823
570,177.419907
571,171.284836
572,176.342133
573,177.834442
574,177.336990
575,176.673752
576,178.746429
577,178.248962
578,179.492569
579,178.083176
580,177.171188
581,176.093414
582,178.497681
583,179.907089
584,180.238708
585,178.663513
586,175.927582
587,178.166046
588,179.409653
589,176.922470
590,176.922470
591,176.425018
592,178.331894
593,179.658386
594,166.890778
595,174.601089
596,170.621567
597,161.999298
598,163.242889
599,157.563797
600,150.392395
601,147.822296
602,170.041245
603,181.150696
604,181.979767
605,182.891739
606,188.446487
607,185.710571
608,187.119965
609,189.661636
610,186.506470
611,186.769394
612,189.311066
613,189.486359
614,194.131500
615,196.322586
616,194.306778
617,198.513702
618,194.219147
619,193.868561
620,195.095581
621,192.553909
622,190.187531
623,189.223434
624,185.454742
625,186.243530
626,186.506470
627,187.207626
628,183.614212
629,183.877151
630,183.701843
631,188.785202
632,190.450455
633,187.908752
634,185.279434
635,185.016525
636,185.892975
637,187.908752
638,187.733475
639,193.255066
640,188.084076
641,185.367096
642,183.351273
643,180.546677
644,181.160187
645,183.526566
646,182.299561
647,187.470551
648,187.207626
649,189.223434
650,189.223434
651,180.809616
652,181.247818
653,189.924591
654,188.259354
655,190.976303
656,192.378616
657,190.976303
658,194.219147
659,189.398727
660,189.661636
661,191.502182
662,190.625717
663,190.362793
664,187.382904
665,181.423111
666,177.040909
667,176.865631
668,179.056732
669,170.599060
670,171.475525
671,175.025101
672,175.288025
673,171.519333
674,169.591171
675,174.061020
676,176.164474
677,173.710449
678,171.869919
679,170.555252
680,168.451782
681,168.758545
682,161.221161
683,164.332535
684,169.415894
685,170.292313
686,169.021484
687,172.965469
688,171.606995
689,168.013580
690,172.089035
691,179.670227
692,184.227722
693,186.331177
694,187.032318
695,188.697556
696,186.944687
697,184.490646
698,185.805298
699,183.175980
700,186.944687
701,188.171692
702,187.645844
703,190.801010
704,192.115677
705,190.801010
706,189.924591
707,187.733475
708,190.801010
709,194.745010
710,191.940384
711,190.713394
712,190.362793
713,187.470551
714,188.553665
715,186.116638
716,182.957535
717,181.152328
718,179.392258
719,178.715302
720,176.955231
721,176.052628
722,176.684448
723,174.608459
724,179.663040
725,179.211731
726,184.130920
727,182.596497
728,179.843552
729,184.221176
730,182.054916
731,180.385117
732,176.819824
733,178.038361
734,181.603638
735,177.045486
736,178.895828
737,176.007492
738,171.765259
739,168.470764
740,161.656113
741,151.637238
742,144.371262
743,150.328461
744,151.185928
745,156.195374
746,153.261917
747,152.043396
748,149.651505
749,153.938858
750,150.554108
751,147.169357
752,153.171646
753,153.758347
754,157.639542
755,159.354477
756,158.948303
757,160.843765
758,160.572983
759,160.979172
760,163.506439
761,162.333084
762,162.333084
763,156.511276
764,158.135956
765,159.219070
766,157.729797
767,156.556412
768,159.670380
769,161.475601
770,161.926880
771,160.527863
772,167.252258
773,170.727264
774,171.494476
775,171.359100
776,171.359100
777,174.743866
778,179.031219
779,172.487350
780,172.893524
781,175.375671
782,175.691574
783,175.736710
784,173.931503
785,173.525330
786,173.480194
