,0
0,640.164551
1,636.233887
2,632.071838
3,639.085449
4,627.139160
5,637.235657
6,646.561523
7,655.810303
8,650.106873
9,643.786865
10,584.749329
11,599.161926
12,613.497375
13,606.098511
14,600.009644
15,577.042114
16,591.917053
17,588.988342
18,596.233093
19,596.695618
20,603.709167
21,600.318054
22,604.325684
23,608.718933
24,617.659302
25,617.736328
26,606.175537
27,614.807617
28,616.888611
29,612.803772
30,620.202698
31,614.422241
32,615.886658
33,619.740356
34,619.432007
35,613.805725
36,608.025208
37,622.129517
38,634.769470
39,636.002625
40,642.476624
41,640.241638
42,653.035522
43,650.415161
44,651.185852
45,649.104980
46,650.492249
47,651.494080
48,649.567322
49,654.808289
50,649.104980
51,649.181946
52,651.494080
53,653.343872
54,658.970215
55,664.056946
56,661.128113
57,661.898926
58,657.197510
59,653.497986
60,654.577087
61,654.037476
62,655.116699
63,652.264893
64,668.295837
65,673.151550
66,674.538818
67,679.317383
68,673.459778
69,673.228638
70,675.386597
71,682.400208
72,681.012939
73,681.783630
74,683.171021
75,683.093872
76,678.238281
77,685.329041
78,681.475342
79,659.047241
80,655.733154
81,649.567322
82,651.956543
83,649.336121
84,647.486328
85,643.401550
86,641.705933
87,641.243591
88,642.784973
89,636.233887
90,629.913757
91,632.303162
92,631.301086
93,631.763611
94,630.992920
95,631.301086
96,638.931396
97,640.626953
98,644.711731
99,642.784973
100,644.403442
101,637.544006
102,634.461060
103,639.008423
104,643.170410
105,635.077698
106,635.848450
107,643.941040
108,654.808289
109,655.347778
110,649.567322
111,627.755859
112,630.530396
113,630.299194
114,628.295288
115,627.062195
116,621.204712
117,629.374268
118,625.906128
119,628.757751
120,623.516479
121,635.377563
122,636.499634
123,627.523682
124,641.708923
125,653.409973
126,659.500916
127,654.692261
128,654.051025
129,659.420654
130,655.974487
131,667.915894
132,664.549866
133,673.926575
134,668.556946
135,675.208862
136,678.895508
137,677.933777
138,672.484009
139,665.351196
140,667.675476
141,669.839172
142,672.484009
143,691.397949
144,694.844116
145,693.241272
146,684.505554
147,680.979309
148,684.665894
149,684.345215
150,673.606079
151,672.003113
152,671.522339
153,665.190979
154,665.190979
155,666.793823
156,669.037903
157,667.995972
158,674.808167
159,673.766418
160,673.445801
161,678.334595
162,686.509155
163,682.742432
164,676.651489
165,686.028320
166,686.509155
167,674.808167
168,665.992493
169,675.689758
170,678.574951
171,681.059387
172,679.135925
173,670.881104
174,675.449280
175,682.021118
176,687.390808
177,695.565369
178,681.460083
179,686.429016
180,679.456482
181,683.623962
182,684.505554
183,684.906250
184,684.265076
185,688.031982
186,689.955322
187,696.527100
188,694.603638
189,677.453003
190,674.006836
191,657.176636
192,654.291504
193,662.065430
194,666.713745
195,663.988831
196,667.515198
197,676.010315
198,678.494873
199,682.181458
200,682.421875
201,689.474426
202,695.565369
203,691.878845
204,710.872803
205,707.667053
206,706.785461
207,707.747192
208,692.680237
209,688.112061
210,697.328552
211,704.942139
212,705.663452
213,704.621582
214,697.889526
215,714.559265
216,708.308228
217,716.082092
218,717.524658
219,720.490051
220,721.291443
221,719.287842
222,729.866882
223,739.083313
224,741.968384
225,724.417053
226,721.772278
227,716.883545
228,722.814087
229,722.333313
230,721.612000
231,718.887207
232,714.078430
233,719.528259
234,710.311768
235,713.196899
236,710.712463
237,711.193420
238,714.639465
239,716.402710
240,717.364319
241,726.741150
242,720.329712
243,715.761475
244,711.754333
245,720.089233
246,729.626404
247,729.225647
248,739.323792
249,731.219849
250,726.078552
251,717.183167
252,716.530273
253,716.775085
254,720.365845
255,728.445129
256,726.976196
257,726.894592
258,732.036072
259,724.691162
260,757.416504
261,761.415405
262,774.636169
263,774.717651
264,777.492371
265,785.081970
266,788.101624
267,782.797058
268,784.510742
269,778.145386
270,770.637207
271,775.615417
272,775.941772
273,772.269348
274,769.249878
275,767.046387
276,764.271606
277,763.047485
278,768.188904
279,765.903870
280,780.675232
281,783.694702
282,797.078735
283,805.810791
284,805.729187
285,812.094788
286,811.360229
287,827.845398
288,821.316650
289,831.436279
290,833.884521
291,829.477600
292,820.827087
293,823.438416
294,824.091370
295,833.231689
296,838.944153
297,834.700623
298,835.843018
299,840.576416
300,839.107361
301,831.925842
302,848.737366
303,852.654724
304,859.999512
305,871.098328
306,862.610962
307,868.160461
308,852.491333
309,844.330444
310,855.429321
311,848.574158
312,802.056763
313,821.153442
314,827.029358
315,856.898376
316,860.325928
317,828.498291
318,797.568237
319,761.578552
320,755.049866
321,681.927856
322,702.166992
323,704.941650
324,774.064819
325,773.493591
326,746.562439
327,716.040588
328,652.630127
329,686.579590
330,738.646362
331,768.515381
332,764.679749
333,778.634949
334,772.514282
335,743.950928
336,710.817566
337,686.987610
338,706.737122
339,699.065796
340,711.796875
341,741.176270
342,732.688843
343,724.527954
344,732.852112
345,737.911926
346,741.013062
347,730.730286
348,766.801514
349,763.047485
350,766.475098
351,769.249878
352,773.003906
353,770.718872
354,762.068237
355,758.967041
356,766.311951
357,769.739502
358,766.311951
359,751.785522
360,755.376221
361,769.086670
362,769.413086
363,739.544006
364,748.194641
365,761.741821
366,745.746338
367,749.337158
368,741.829102
369,718.652039
370,727.955566
371,736.116516
372,756.682007
373,755.702759
374,758.314148
375,765.659058
376,784.429199
377,770.229126
378,749.663635
379,766.964844
380,755.702759
381,761.741821
382,739.217651
383,747.704956
384,746.725769
385,761.904968
386,776.268250
387,774.799316
388,794.385559
389,794.059082
390,799.771667
391,784.102783
392,794.222412
393,788.672913
394,797.976318
395,807.279785
396,808.748779
397,792.050964
398,777.714539
399,773.497864
400,753.089355
401,758.318054
402,716.826355
403,734.536255
404,733.692871
405,741.282776
406,734.704895
407,739.933472
408,751.908630
409,755.787964
410,761.522644
411,761.353943
412,763.715149
413,761.522644
414,759.161316
415,772.317139
416,775.184448
417,755.450745
418,759.329956
419,774.847107
420,778.389099
421,765.233215
422,757.305969
423,762.365906
424,760.510559
425,748.704041
426,779.401184
427,762.534668
428,752.077332
429,750.222046
430,734.704895
431,736.222778
432,737.572205
433,739.258789
434,748.535278
435,736.560242
436,725.259644
437,719.187683
438,711.091797
439,702.995850
440,728.295593
441,719.187683
442,702.827209
443,727.114929
444,718.007080
445,724.584961
446,716.826355
447,720.368408
448,716.320374
449,723.067017
450,718.850342
451,709.405090
452,715.308350
453,704.345154
454,705.357117
455,716.826355
456,706.875122
457,720.705688
458,718.007080
459,746.342773
460,750.390686
461,767.425903
462,781.425049
463,776.702393
464,775.690430
465,785.979004
466,794.074890
467,788.508972
468,795.086914
469,790.701599
470,793.737671
471,784.292297
472,796.267578
473,790.364319
474,790.870300
475,786.316345
476,788.340271
477,796.942200
478,797.448303
479,795.255615
480,776.027832
481,779.907043
482,775.015869
483,779.401184
484,793.568909
485,801.664917
486,801.327576
487,788.508972
488,793.400269
489,796.267578
490,810.266785
491,804.194824
492,804.194824
493,797.279602
494,789.520996
495,794.412292
496,786.822388
497,784.292297
498,775.015869
499,768.943909
500,766.413940
501,757.476135
502,750.944641
503,729.115906
504,734.787903
505,742.178833
506,737.366150
507,733.069092
508,739.084839
509,749.569580
510,772.945313
511,764.866943
512,751.804077
513,756.960449
514,745.444519
515,754.038452
516,752.491516
517,745.616394
518,730.490967
519,732.553528
520,738.225586
521,736.678650
522,758.851135
523,749.225891
524,743.381958
525,758.507263
526,746.647644
527,758.335449
528,756.101013
529,756.272888
530,754.210327
531,735.647339
532,751.460327
533,749.741455
534,752.319702
535,749.913330
536,755.241638
537,750.772705
538,746.647644
539,752.663391
540,763.148132
541,758.163635
542,753.179077
543,740.803772
544,730.490967
545,742.350708
546,745.616394
547,748.882141
548,749.569580
549,731.694092
550,728.600281
551,734.787903
552,734.787903
553,733.756592
554,735.991150
555,743.725769
556,729.287720
557,743.038086
558,734.787903
559,725.850159
560,710.209106
561,719.146851
562,712.099731
563,709.005859
564,693.020996
565,707.458984
566,711.755981
567,696.286804
568,712.615417
569,711.584167
570,714.677917
571,716.912476
572,723.271973
573,720.521912
574,720.521912
575,726.022034
576,730.834656
577,714.506042
578,712.443420
579,723.615662
580,727.397095
581,739.944336
582,740.975647
583,750.257141
584,739.084839
585,747.678955
586,736.506714
587,742.522522
588,742.092834
589,751.460327
590,763.148132
591,776.468811
592,773.890686
593,772.945313
594,767.703003
595,763.234070
596,771.828064
597,775.437622
598,779.906494
