,0
0,167.945648
1,171.973862
2,164.227234
3,162.677963
4,157.720169
5,157.255325
6,161.515976
7,163.375137
8,163.917435
9,161.283554
10,162.135666
11,162.600494
12,160.896240
13,161.670898
14,159.579330
15,159.656815
16,165.854095
17,167.868149
18,167.790695
19,165.079422
20,171.354095
21,173.523148
22,174.917572
23,171.121750
24,173.600616
25,174.840057
26,180.107773
27,178.093658
28,181.114822
29,183.593704
30,190.178314
31,187.312027
32,185.607788
33,185.220535
34,186.692307
35,188.473999
36,184.755692
37,184.445786
38,188.396545
39,186.614838
40,188.938828
41,188.628937
42,191.340240
43,193.509262
44,185.917664
45,185.220535
46,184.213455
47,186.150101
48,187.854324
49,187.157150
50,191.727585
51,195.213577
52,198.157288
53,199.861496
54,197.692429
55,198.389603
56,200.791046
57,201.410797
58,203.967178
59,205.826340
60,203.967178
61,206.291183
62,201.333374
63,202.572769
64,201.798157
65,199.086868
66,199.164307
67,200.481186
68,202.340424
69,205.981262
70,208.227829
71,208.382813
72,209.467209
73,205.284134
74,198.428009
75,197.869965
76,197.630814
77,197.232178
78,200.421051
79,197.311890
80,196.913269
81,197.471359
82,197.949631
83,202.414078
84,202.573532
85,200.660233
86,201.297974
87,202.733032
88,201.856079
89,205.602997
90,207.755463
91,209.270233
92,209.270233
93,209.907959
94,209.190506
95,207.117767
96,204.646301
97,199.304947
98,191.332748
99,192.129959
100,191.013855
101,190.694931
102,188.303329
103,189.499176
104,187.346664
105,187.506119
106,185.114426
107,185.672455
108,180.410782
109,183.280869
110,183.519943
111,184.875259
112,181.447189
113,177.142258
114,179.773056
115,173.235825
116,173.395294
117,172.757523
118,172.677811
119,171.481964
120,173.156082
121,170.365875
122,169.169998
123,174.112762
124,170.923950
125,170.126678
126,171.003586
127,172.279175
128,172.358932
129,170.525330
130,171.163071
131,169.329468
132,170.764496
133,171.402252
134,177.381378
135,173.554733
136,171.960342
137,171.561691
138,172.279175
139,173.873642
140,174.033112
141,175.228867
142,176.982803
143,177.381378
144,178.258301
145,178.975861
146,180.251419
147,180.012253
148,181.925552
149,181.766113
150,183.121414
151,183.360580
152,182.802475
153,183.280869
154,182.563293
155,183.918610
156,181.845856
157,182.164734
158,182.244492
159,181.925552
160,181.845856
161,181.686386
162,182.961929
163,175.627518
164,172.996735
165,173.076370
166,161.755844
167,157.411026
168,160.081696
169,162.951706
170,165.423096
171,163.111145
172,160.241196
173,161.676117
174,158.208252
175,150.741180
176,154.559601
177,156.680908
178,156.553680
179,154.347473
180,155.705078
181,155.238388
182,156.256622
183,154.941437
184,155.662674
185,157.359711
186,158.038605
187,156.086914
188,156.171738
189,161.602341
190,159.608368
191,163.596436
192,167.796631
193,169.536163
194,167.923920
195,177.172882
196,175.900085
197,173.269608
198,173.524231
199,176.494019
200,181.160980
201,177.257767
202,173.948486
203,172.675690
204,173.863647
205,177.342636
206,176.154694
207,170.978577
208,165.251038
209,164.190414
210,165.548004
211,165.505646
212,160.626572
213,161.305374
214,166.184402
215,185.233963
216,182.603485
217,191.852478
218,194.907181
219,197.028473
220,202.204529
221,205.853210
222,204.240952
223,198.301285
224,191.682755
225,191.597931
226,189.731094
227,185.997620
228,181.330688
229,180.482162
230,182.179199
231,183.876282
232,183.706558
233,183.367142
234,183.027771
235,180.736740
236,188.034058
237,188.628036
238,188.628036
239,187.779495
240,190.664536
241,190.834183
242,188.967438
243,188.882599
244,187.355286
245,190.834183
246,194.737457
247,195.840530
248,196.179977
249,196.943634
250,191.937271
251,188.373505
252,184.979385
253,188.797714
254,191.003906
255,193.464676
256,195.161758
257,194.567734
258,193.379807
259,197.113358
260,213.659668
261,221.466141
262,214.932480
263,211.029190
264,209.926132
265,206.277420
266,205.089554
267,205.938065
268,205.853210
269,205.259201
270,203.901611
271,207.295700
272,202.204529
273,203.647003
274,204.156097
275,203.901611
276,202.543915
277,199.658890
278,196.858795
279,195.755707
280,190.834183
281,188.373505
282,190.664536
283,188.967438
284,190.664536
285,188.967438
286,185.912750
287,189.561447
288,185.064240
289,184.894516
290,187.440140
291,187.949219
292,185.233963
293,184.215637
294,188.373505
295,188.034058
296,190.664536
297,189.137161
298,187.949219
299,188.797714
300,193.464676
301,194.058670
302,180.821594
303,177.342636
304,175.560669
305,174.797012
306,176.239517
307,173.184769
308,167.796631
309,165.548004
310,163.808517
311,155.620209
312,151.589783
313,146.371277
314,144.631821
315,142.765045
316,136.443512
317,133.431183
318,119.557747
319,120.321396
320,120.151764
321,106.660126
322,110.902740
323,107.296524
324,111.793724
325,108.399620
326,103.732681
327,96.562607
328,95.968590
329,102.035576
330,116.036377
331,116.381462
332,105.533821
333,103.118317
334,99.165779
335,93.983459
336,91.743713
337,89.372162
338,94.027420
339,101.493370
340,101.273804
341,107.597908
342,100.966393
343,91.611900
344,91.128830
345,93.280823
346,93.061165
347,90.294365
348,91.963272
349,93.500374
350,91.875427
351,94.422676
352,101.054161
353,105.797264
354,97.101624
355,99.473175
356,96.750252
357,99.033974
358,95.037476
359,100.219780
360,97.013786
361,96.706375
362,93.105133
363,92.402481
364,91.699753
365,93.983459
366,93.676056
367,93.763893
368,90.645737
369,91.480179
370,98.858299
371,105.533821
372,103.689240
373,96.925934
374,101.317688
375,105.885117
376,110.232964
377,111.286980
378,120.641373
379,123.276451
380,115.371307
381,113.087585
382,103.206139
383,104.260170
384,103.864922
385,109.398521
386,107.861404
387,107.597908
388,106.895233
389,105.841232
390,108.520187
391,105.138496
392,105.577698
393,104.084480
394,106.456024
395,106.807388
396,104.918938
397,109.793762
398,107.026970
399,109.881615
400,106.983086
401,105.929070
402,103.689240
