,0
0,4247.957031
1,4293.765625
2,4187.735840
3,4167.242676
4,4113.783203
5,4116.456055
6,4071.905029
7,3941.817871
8,3865.191162
9,3686.098877
10,3751.142334
11,3779.654297
12,3665.605713
13,3662.041748
14,3576.504883
15,3580.959961
16,3606.798828
17,3556.011963
18,3721.739258
19,3875.883301
20,3989.932373
21,4076.359863
22,4290.202148
23,4324.060059
24,4265.253906
25,4238.522461
26,4142.294434
27,4152.096191
28,4164.570313
29,4137.838867
30,4228.722168
31,4210.901855
32,4231.395020
33,4276.837402
34,4292.875000
35,4256.343750
36,4259.907715
37,4324.060059
38,4353.463379
39,4318.714355
40,4331.188477
41,4303.566895
42,4393.559082
43,4362.373047
44,4346.334961
45,4324.060059
46,4411.379395
47,4418.507324
48,4418.507324
49,4300.002930
50,4209.120605
51,4328.515625
52,4331.188477
53,4460.384277
54,4441.673340
55,4448.800781
56,4478.204102
57,4633.239746
58,4549.484863
59,4533.446777
60,4606.509277
61,4617.201660
62,4636.803223
63,4642.150391
64,4574.432617
65,4531.665039
66,4572.651855
67,4570.868652
68,4549.484863
69,4622.547852
70,4643.931641
71,4709.866699
72,4734.814941
73,4617.201660
74,4736.596191
75,4793.621582
76,4790.057129
77,4884.503906
78,4823.915527
79,4896.978027
80,4971.822754
81,5019.937500
82,5030.629395
83,5064.487305
84,5039.540039
85,5044.885254
86,5030.629395
87,4986.079102
88,5005.680664
89,5057.358887
90,5003.898926
91,5068.052246
92,5107.255859
93,5130.421875
94,5144.677734
95,5207.048828
96,5233.779297
97,5212.395020
98,5226.650879
99,5201.702637
100,5137.549805
101,5187.446289
102,5093.000000
103,5078.744141
104,5087.653320
105,5048.449219
106,5055.578125
107,5012.809082
108,4993.207031
109,5101.910645
110,5141.113770
111,5192.792480
112,5150.024414
113,5166.062500
114,5265.854980
115,5135.768066
116,5078.744141
117,5151.806641
118,5237.343262
119,5125.076660
120,5151.806641
121,5133.986328
122,5112.602539
123,5103.691895
124,5201.702637
125,5146.460449
126,5093.000000
127,4970.040527
128,5012.809082
129,5030.629395
130,4923.708496
131,4913.016113
132,4937.964355
133,5000.334473
134,4927.272461
135,4948.656738
136,5019.937500
137,4941.528809
138,4920.144531
139,4888.067383
140,4973.604980
141,4923.708496
142,4873.812500
143,4838.171875
144,4875.593750
145,4904.690430
146,4910.146973
147,4913.783691
148,4928.333008
149,4971.978516
150,4931.969727
151,4942.880859
152,4982.889160
153,4964.704102
154,4966.522461
155,4946.518555
156,4964.704102
157,4982.889160
158,4966.522461
159,5144.742188
160,5153.835938
161,5193.844238
162,5210.211426
163,5106.552246
164,5513.912598
165,5504.820801
166,5388.431152
167,5368.426758
168,5326.599609
169,5344.786133
170,5326.599609
171,5470.267578
172,5424.803223
173,5317.506348
174,5182.933105
175,5128.375488
176,5112.008301
177,5188.387695
178,5135.649902
179,5237.489258
180,5219.304199
181,5242.945801
182,5348.422852
183,5310.232910
184,5310.232910
185,5397.523438
186,5410.254395
187,5395.705566
188,5455.718750
189,5586.655762
190,5573.925293
191,5492.089844
192,5495.727539
193,5526.643066
194,5453.900391
195,5476.525391
196,5592.111328
197,5583.018555
198,5610.296875
199,5292.047363
200,5444.806641
201,5366.607910
202,5339.329590
203,5270.224121
204,5481.178223
205,5652.124023
206,5624.845703
207,5746.689453
208,5519.369141
209,5481.178223
210,5484.815918
211,5528.461426
212,5424.803223
213,5328.418945
214,5412.072266
215,5872.170898
216,5986.741211
217,6183.147949
218,6048.573242
219,6150.413574
220,6124.953613
221,6166.780762
222,6204.970215
223,6088.582031
224,6152.231934
225,6103.130371
226,6152.231934
227,6228.612305
228,6050.391602
229,5984.922852
230,6028.569336
231,5954.007813
232,5988.560059
233,5999.471191
234,6079.488770
235,6001.290527
236,5995.834473
237,6021.294922
238,5992.197266
239,5897.631836
240,6037.661621
241,6115.860352
242,6037.661621
243,6061.303223
244,6055.848145
245,6179.510742
246,6261.346680
247,6184.966797
248,6210.426758
249,6292.262207
250,6144.958008
251,6059.485352
252,5972.193359
253,6115.860352
254,6190.606445
255,6304.330078
256,6359.357910
257,6302.495605
258,6328.175293
259,6269.479492
260,6594.141602
261,6731.711426
262,6680.352539
263,6557.457031
264,6540.949219
265,6436.396484
266,6520.771973
267,6524.440430
268,6667.512695
269,6537.280762
270,6436.396484
271,6381.368164
272,6366.695313
273,6368.528809
274,6330.009277
275,6333.677734
276,6236.462891
277,6194.274902
278,6170.429688
279,6271.313477
280,6298.826660
281,6282.319336
282,6363.026855
283,6350.186523
284,6410.716797
285,6471.246582
286,6465.744629
287,6597.810547
288,6436.396484
289,6456.573730
290,6456.573730
291,6447.401855
292,6320.838379
293,6399.710938
294,6405.214355
295,6304.330078
296,6262.142090
297,6203.446289
298,6307.998535
299,6346.518066
300,6432.727539
301,6399.710938
302,6537.280762
303,6568.462891
304,6480.418457
305,6550.120605
306,6535.446289
307,6491.423828
308,6203.446289
309,6036.528809
310,5970.495605
311,5700.860352
312,5577.964844
313,5526.606445
314,5651.335938
315,5693.523438
316,5427.556641
317,5159.755859
318,4860.771973
319,4882.783203
320,4638.827637
321,4023.435791
322,4109.645508
323,3812.496582
324,3921.634277
325,3530.938477
326,3718.032227
327,3672.175781
328,3259.468994
329,3668.507324
330,3972.076660
331,4134.407715
332,3675.844482
333,3635.490967
334,3734.540771
335,3395.203613
336,3310.828125
337,3109.060059
338,3463.988037
339,3746.463135
340,3867.523926
341,4240.794922
342,4347.180664
343,4087.634521
344,3922.551514
345,4067.457520
346,4205.026367
347,4183.932617
348,4187.601074
349,4214.197754
350,4110.562500
351,4315.082031
352,4389.369141
353,4562.706055
354,4334.341309
355,4367.358398
356,4358.186523
357,4214.197754
358,4258.220215
359,4477.413086
360,4398.540039
361,4387.534668
362,4208.695313
363,4193.104004
364,4055.534912
365,4217.866211
366,4106.894531
367,4138.076660
368,4252.717285
369,4203.192871
370,4424.220703
371,4485.667969
372,4660.838379
373,4460.905273
374,4697.523926
375,4954.318848
376,5069.877441
377,4952.485352
378,5025.854980
379,5137.744629
380,4902.959961
381,4803.910645
382,4517.766602
383,4611.313965
384,4596.639160
385,4767.225098
386,4846.099121
387,4763.557129
388,4807.578613
389,4754.385742
390,4767.225098
391,4493.921387
392,4422.385742
393,4402.208496
394,4481.082031
395,4488.418945
396,4455.402832
397,4613.147949
398,4400.374512
399,4448.065430
400,4379.280762
401,4285.733887
402,4310.496094
403,4326.087402
404,4402.208496
405,4345.347168
406,4589.302734
407,4653.501953
408,4613.147949
409,4624.153809
410,4611.313965
411,4657.169922
412,4736.042969
413,4719.534668
414,4670.010254
415,4825.921875
416,5196.440430
