,0
0,404.477051
1,400.422211
2,381.837219
3,384.202545
4,367.645050
5,372.037872
6,388.933289
7,382.783356
8,381.161377
9,372.781250
10,375.079041
11,379.471863
12,377.917480
13,381.566895
14,375.349396
15,375.349396
16,383.999878
17,380.755920
18,382.850922
19,377.106537
20,386.770660
21,386.297607
22,395.961792
23,405.828827
24,410.897430
25,411.708435
26,411.573151
27,411.978638
28,417.047272
29,420.088501
30,429.009277
31,427.792816
32,425.765381
33,424.143372
34,432.996643
35,435.564819
36,433.266968
37,431.780151
38,428.941742
39,429.009277
40,428.468719
41,427.387360
42,431.171906
43,436.984009
44,430.496155
45,426.576324
46,430.834076
47,436.240570
48,446.377869
49,443.066315
50,447.526703
51,449.419006
52,457.326111
53,465.368286
54,468.341827
55,473.072662
56,470.166718
57,472.734741
58,465.976624
59,472.396912
60,473.072662
61,477.465485
62,489.832977
63,479.492950
64,473.072662
65,467.598572
66,469.017792
67,465.368286
68,466.044128
69,470.166718
70,473.072662
71,470.031372
72,473.816040
73,473.072662
74,473.701904
75,462.724548
76,458.389618
77,458.459595
78,464.962006
79,465.731171
80,473.701904
81,475.449921
82,481.183258
83,487.126434
84,490.202820
85,490.202820
86,486.497131
87,482.441833
88,484.259735
89,492.440186
90,492.510101
91,494.607788
92,501.180115
93,503.906982
94,499.571991
95,497.124817
96,496.425720
97,495.586578
98,497.963837
99,502.788269
100,505.165466
101,496.984924
102,491.531311
103,491.810944
104,480.484131
105,475.380005
106,468.947388
107,473.911621
108,468.038483
109,475.939331
110,475.449921
111,486.357208
112,483.630432
113,477.267853
114,479.645020
115,473.911621
116,462.584778
117,469.157196
118,463.353882
119,459.438416
120,465.381500
121,469.227081
122,464.962006
123,472.862915
124,479.994568
125,481.043396
126,485.378448
127,491.950867
128,492.789917
129,490.552399
130,486.846741
131,479.924652
132,479.924652
133,478.246674
134,477.057983
135,478.945831
136,480.693878
137,479.645020
138,482.092224
139,489.433716
140,488.874420
141,495.726471
142,501.389801
143,502.788269
144,502.089111
145,504.676056
146,500.131378
147,500.271149
148,500.970398
149,495.866333
150,495.656586
151,499.432190
152,502.019196
153,501.739441
154,497.334564
155,499.082550
156,500.620789
157,499.991394
158,501.879303
159,503.557404
160,497.754120
161,495.726471
162,498.243530
163,491.531311
164,486.357208
165,486.497131
166,473.212463
167,458.249817
168,459.018860
169,471.604370
170,488.035309
171,484.819092
172,481.812500
173,484.539276
174,474.541016
175,464.185516
176,475.482361
177,486.489594
178,477.582428
179,465.995789
180,463.171692
181,463.171692
182,459.261230
183,459.333588
184,461.288818
185,468.530426
186,468.530426
187,461.868195
188,464.909607
189,467.806335
190,471.065002
191,477.727234
192,481.927368
193,491.703552
194,493.369019
195,509.155670
196,501.914063
197,499.451965
198,497.569092
199,499.017456
200,500.393402
201,492.427704
202,489.603424
203,489.603424
204,494.165649
205,503.072815
206,500.610657
207,496.844971
208,478.234253
209,475.627136
210,482.579132
