,0
0,1155.126709
1,1123.755615
2,1053.170532
3,1062.507202
4,1050.929688
5,1055.037842
6,1071.470337
7,1065.494995
8,1057.278687
9,1041.219727
10,1036.737915
11,1051.676758
12,1044.954224
13,1015.823975
14,1021.799255
15,1003.873230
16,1037.858643
17,1047.195435
18,1025.534180
19,1000.885498
20,1033.750244
21,1041.593018
22,1064.748291
23,1067.735840
24,1082.674438
25,1080.807007
26,1075.951782
27,1082.300903
28,1095.745605
29,1082.300903
30,1122.635010
31,1122.635010
32,1121.888306
33,1111.057739
34,1118.526855
35,1124.128784
36,1109.937500
37,1106.202515
38,1115.912842
39,1109.563843
40,1129.730957
41,1130.851318
42,1148.404175
43,1156.246948
44,1134.212524
45,1103.961792
46,1127.863525
47,1135.332886
48,1148.404175
49,1133.092041
50,1144.669434
51,1145.042969
52,1136.079712
53,1147.283691
54,1142.802002
55,1146.536743
56,1182.389404
57,1178.654663
58,1174.546509
59,1187.617920
60,1199.568604
61,1209.652222
62,1214.507080
63,1200.315796
64,1164.836548
65,1133.465576
66,1147.283691
67,1142.802002
68,1155.873535
69,1182.762939
70,1213.387207
71,1220.856445
72,1214.880981
73,1204.050415
74,1204.050415
75,1164.836548
76,1153.259155
77,1154.752930
78,1165.583618
79,1169.541992
80,1179.128296
81,1194.083130
82,1231.278320
83,1259.654053
84,1255.052612
85,1288.796875
86,1275.375732
87,1272.691772
88,1264.639038
89,1280.744141
90,1282.277832
91,1305.285400
92,1340.946899
93,1362.420410
94,1365.104736
95,1372.006714
96,1353.600952
97,1341.713989
98,1337.495850
99,1342.864136
100,1330.593384
101,1337.495850
102,1335.961914
103,1333.277832
104,1284.578735
105,1272.308105
106,1235.112915
107,1236.263306
108,1219.774658
109,1240.864746
110,1249.300781
111,1286.112427
112,1276.909424
113,1256.586426
114,1264.639038
115,1259.270630
116,1211.722168
117,1222.458618
118,1231.278320
119,1224.376099
120,1239.714355
121,1209.804688
122,1191.782227
123,1227.827148
124,1232.812256
125,1236.646851
126,1245.466187
127,1254.285767
128,1258.887085
129,1240.097900
130,1245.849854
131,1228.210815
132,1241.248291
133,1273.842041
134,1279.593872
135,1288.796875
136,1302.217651
137,1291.480835
138,1289.947144
139,1287.646362
140,1300.300537
141,1316.022217
142,1330.593384
143,1344.781494
144,1355.901611
145,1372.773682
146,1357.052124
147,1356.668457
148,1346.315308
149,1324.458130
150,1322.540894
151,1329.443115
152,1335.961914
153,1347.082153
154,1334.044556
155,1318.706421
156,1315.639038
157,1313.338013
158,1330.593384
159,1317.555908
160,1297.615967
161,1297.999878
162,1306.819092
163,1303.751587
164,1302.217651
165,1307.586182
166,1227.443726
167,1159.571777
168,1166.474121
169,1160.338623
170,1174.143311
171,1145.384033
172,1132.729980
173,1146.918091
174,1099.752930
175,1096.685181
176,1085.564819
177,1072.910645
178,1082.880737
179,1086.331787
180,1076.889038
181,1059.777100
182,1048.498657
183,1031.386719
184,1047.720825
185,1064.054932
186,1066.777344
187,1049.276367
188,1087.000610
189,1106.835205
190,1092.445557
191,1119.669067
192,1154.670898
193,1160.504395
194,1164.393555
195,1174.601685
196,1151.170776
197,1137.947876
198,1141.058960
199,1143.003418
200,1140.281128
201,1122.002563
202,1104.501709
203,1103.334717
204,1121.224365
205,1145.726074
206,1147.281738
207,1132.891724
208,1083.889404
209,1069.499756
210,1092.056519
211,1088.945190
212,1080.000244
213,1083.111694
214,1120.058105
215,1173.338623
216,1141.447998
217,1148.059570
218,1135.225342
219,1165.171265
220,1171.393921
221,1244.264282
222,1278.422241
223,1308.937134
224,1298.006226
225,1267.036377
226,1267.036377
227,1257.016724
228,1244.719727
229,1228.323975
230,1236.977417
231,1259.749146
232,1274.323364
233,1266.581055
234,1275.234253
235,1246.086182
236,1219.215088
237,1228.323975
238,1200.086792
239,1191.433228
240,1194.621460
