,0
0,1038.411377
1,1047.520508
2,1009.263184
3,1001.976074
4,1007.441528
5,1016.550354
6,1029.302734
7,1011.084961
8,1020.194092
9,1001.976074
10,1001.976074
11,998.332520
12,969.184204
13,965.540527
14,940.035767
15,901.778381
16,910.887390
17,919.996216
18,940.035767
19,934.570374
20,967.362305
21,980.114929
22,987.401672
23,1018.371948
24,1003.797668
25,1031.124390
26,1020.194092
27,1003.797668
28,1003.797668
29,1005.619629
30,1023.837402
31,1022.015198
32,1025.659302
33,1032.946655
34,1040.233398
35,1051.164063
36,1038.411377
37,1040.233398
38,1056.629150
39,1058.451050
40,1067.559937
41,1065.737915
42,1078.490723
43,1093.064819
44,1093.064819
45,1094.886475
46,1107.638916
47,1114.925903
48,1136.787354
49,1162.292358
50,1164.114136
51,1169.579346
52,1158.648926
53,1165.935791
54,1167.772095
55,1175.116333
56,1176.952515
57,1169.607910
58,1154.919189
59,1160.427612
60,1164.099854
61,1171.443970
62,1178.788574
63,1145.738281
64,1142.066284
65,1143.902344
66,1138.394165
67,1143.902344
68,1123.704956
69,1131.049683
70,1132.885742
71,1134.721802
72,1136.557861
73,1149.410645
74,1180.624512
75,1156.755127
76,1173.280273
77,1176.952515
78,1187.969360
79,1195.313721
80,1215.511353
81,1206.330200
82,1217.346802
83,1221.019043
84,1230.199829
85,1241.216675
86,1243.052612
87,1248.561279
88,1244.888916
89,1257.741699
90,1255.905518
91,1257.741699
92,1259.578003
93,1246.724854
94,1263.250244
95,1248.561279
96,1283.447510
97,1263.250244
98,1255.905518
99,1255.905518
100,1244.888916
101,1237.544189
102,1235.708496
103,1224.691528
104,1213.674805
105,1228.364136
106,1210.002563
107,1221.019043
108,1215.511353
109,1210.002563
110,1222.855469
111,1246.724854
112,1241.216675
113,1243.052612
114,1239.380737
115,1239.380737
116,1243.080200
117,1235.680786
118,1243.080200
119,1233.831177
120,1226.431885
121,1207.933594
122,1196.834839
123,1202.384033
124,1191.285278
125,1211.633179
126,1246.779907
127,1268.978027
128,1243.080200
129,1254.179077
130,1224.581909
131,1233.831177
132,1268.978027
133,1241.230469
134,1244.930298
135,1274.527344
136,1263.428223
137,1270.827515
138,1270.827515
139,1268.978027
140,1276.376953
141,1281.927002
142,1289.325684
143,1315.223145
144,1322.622681
145,1335.571289
146,1331.871582
147,1331.871582
148,1342.970337
149,1344.820313
150,1337.421143
151,1346.670288
152,1348.519897
153,1359.619019
154,1359.619019
155,1339.271118
156,1331.871582
157,1328.171997
158,1331.871582
159,1333.721558
160,1328.171997
161,1335.571289
162,1359.619019
163,1368.868042
164,1365.168457
165,1368.868042
166,1341.120605
167,1335.571289
168,1320.772705
169,1326.322388
170,1342.970337
171,1355.919556
172,1330.021851
173,1341.120605
174,1324.472412
175,1337.421143
176,1348.519897
177,1361.468994
178,1378.117310
179,1404.014526
180,1418.911255
181,1407.739014
182,1411.462891
183,1420.773438
184,1424.497925
185,1424.497925
186,1448.705078
187,1456.153320
188,1459.877319
189,1443.118774
190,1448.705078
191,1456.153320
192,1454.291016
193,1433.808228
194,1452.429077
195,1452.429077
196,1446.842529
197,1452.429077
198,1454.291016
199,1461.739624
200,1461.739624
201,1459.877319
202,1443.118774
203,1435.670166
204,1448.705078
205,1454.291016
206,1459.877319
207,1461.739624
208,1418.911255
209,1402.152588
210,1422.635742
211,1413.325073
212,1417.049316
213,1437.532593
214,1420.773438
215,1405.876831
216,1404.014648
217,1404.014648
218,1407.739014
219,1392.842041
220,1400.290527
221,1387.255859
222,1368.635010
223,1331.393433
224,1359.324463
225,1342.565796
226,1344.427734
227,1338.841675
228,1333.255249
229,1325.807129
230,1338.841675
231,1336.979614
232,1333.255249
233,1327.668945
234,1331.393433
235,1320.220581
236,1327.668945
237,1336.979614
238,1323.944824
239,1327.668945
240,1327.668945
241,1316.496582
242,1322.082764
243,1323.944824
244,1340.822388
245,1342.697632
246,1344.572876
