,0
0,837.498169
1,807.687134
2,801.934082
3,795.135132
4,798.447510
5,804.549194
6,812.219788
7,814.660583
8,824.423157
9,819.367554
10,807.164185
11,817.624084
12,813.091492
13,807.687134
14,809.081848
15,797.924500
16,817.449768
17,817.972839
18,821.633850
19,825.120422
20,839.415894
21,850.921875
22,876.025879
23,889.536743
24,890.408386
25,895.638367
26,864.345520
27,851.270569
28,800.365234
29,790.602539
30,806.641235
31,814.311829
32,802.282837
33,801.934082
34,792.694580
35,785.721130
36,781.885742
37,794.960876
38,807.861572
39,789.730835
40,802.282837
41,809.953552
42,822.679749
43,808.733215
44,802.457153
45,807.512939
46,822.505493
47,821.110840
48,809.779114
49,810.127869
50,802.457153
51,794.089111
52,786.244080
53,777.876099
54,770.031128
55,787.115845
56,744.578491
57,749.111206
58,733.421143
59,737.430847
60,733.421143
61,734.641418
62,725.227356
63,718.254089
64,717.033691
65,712.501038
66,715.639160
67,718.254089
68,721.566345
69,721.217712
70,722.089417
71,720.869141
72,728.190979
73,714.767456
74,728.016724
75,740.220093
76,719.823059
77,725.401794
78,719.997498
79,723.484070
80,728.888428
81,739.697083
82,738.302490
83,738.476624
84,740.955444
85,742.017822
86,741.309570
87,727.676819
88,727.676819
89,739.362000
90,741.840759
91,739.893066
92,730.332397
93,742.371826
94,746.621033
95,767.690002
96,766.273560
97,765.742554
98,760.076843
99,745.735840
100,734.935791
101,719.178406
102,714.575012
103,717.584717
104,714.575012
105,715.814270
106,712.450317
107,710.325806
108,705.899475
109,705.545349
110,711.033936
111,717.761841
112,710.679871
113,708.732300
114,695.099426
115,711.919250
116,714.397949
117,709.794678
118,715.283264
119,700.942261
120,704.306091
121,696.692993
122,700.233948
123,680.935425
124,687.132263
125,688.725647
126,707.846985
127,716.699585
128,714.752014
129,712.450317
130,716.876648
131,706.961792
132,715.460144
133,734.758728
134,727.145569
135,721.479858
136,722.365173
137,728.384949
138,723.427429
139,721.125854
140,718.647156
141,725.375061
142,731.748779
143,734.758728
144,747.683350
145,750.339111
146,747.860474
147,743.080139
148,748.391541
149,757.244080
150,748.922791
151,753.348938
152,764.680237
153,790.706604
154,781.499939
155,777.427795
156,780.968933
157,788.759094
158,784.686890
159,778.490234
160,774.949158
161,820.628113
162,816.379028
163,792.831177
164,771.231079
165,751.932617
166,735.112915
167,722.542297
168,717.053772
169,728.562012
170,737.060364
171,732.811157
172,725.906189
173,723.604553
174,720.240540
175,718.813660
176,726.305115
177,734.153198
178,730.407471
179,739.325745
180,731.299255
181,729.515625
182,721.489136
183,733.796509
184,744.498352
185,741.466187
186,749.849304
187,748.600830
188,755.200256
189,754.308533
190,766.080566
191,766.437378
192,770.718140
193,773.036865
194,770.361328
195,793.192200
196,777.139221
197,775.890747
198,768.221069
199,769.469421
200,759.659424
