,0
0,1464.249878
1,1432.659912
2,1410.858765
3,1432.214966
4,1419.312378
5,1438.444092
6,1445.117920
7,1441.558594
8,1449.567139
9,1458.465698
10,1430.880371
11,1439.778809
12,1434.439819
13,1412.638184
14,1419.312378
15,1407.299316
16,1442.448242
17,1438.444092
18,1438.889038
19,1426.431152
20,1451.346802
21,1451.346802
22,1466.474365
23,1453.571533
24,1460.690308
25,1458.020874
26,1437.554321
27,1452.236694
28,1456.241089
29,1465.139771
30,1483.381714
31,1488.275757
32,1491.835083
33,1477.597534
34,1460.245239
35,1441.558594
36,1436.664429
37,1465.584595
38,1488.720581
39,1500.733765
40,1514.081665
41,1524.314819
42,1547.450806
43,1526.539307
44,1518.085693
45,1531.433350
46,1546.561035
47,1536.772461
48,1535.882813
49,1550.120361
50,1530.543579
51,1506.072754
52,1491.835083
53,1499.398926
54,1571.031860
55,1574.591309
56,1563.023315
57,1539.442139
58,1523.869873
59,1538.552368
60,1433.104858
61,1465.584595
62,1475.373047
63,1494.059814
64,1477.597534
65,1461.135376
66,1469.588867
67,1474.483154
68,1466.474365
69,1486.495972
70,1484.716309
71,1487.830811
72,1464.694702
73,1441.558594
74,1456.241089
75,1437.109253
76,1429.100586
77,1445.562866
78,1438.889038
79,1447.342773
80,1460.690308
81,1456.685913
82,1478.487427
83,1478.932251
84,1489.610474
85,1486.940918
86,1486.495972
87,1468.699097
88,1473.593262
89,1483.381714
90,1459.800415
91,1466.919312
92,1484.716309
93,1506.072754
94,1513.636353
95,1544.336426
96,1539.886963
97,1547.895630
98,1567.917480
99,1563.468262
100,1565.247803
101,1565.247803
102,1543.705444
103,1562.260864
104,1553.209473
105,1578.100586
106,1566.333984
107,1576.742920
108,1574.932861
109,1584.436646
110,1604.802124
111,1626.525391
112,1635.576660
113,1638.292114
114,1631.051147
115,1668.614136
116,1652.774170
117,1656.394653
118,1662.730713
119,1638.292114
120,1674.949951
121,1667.708862
122,1677.212891
123,1646.890869
124,1670.424194
125,1684.453857
126,1694.410400
127,1699.841187
128,1699.388794
129,1713.418091
130,1702.104126
131,1727.447876
132,1743.287598
133,1751.433960
134,1733.331421
135,1756.411987
136,1739.666992
137,1762.748047
138,1758.222290
139,1748.265869
140,1734.236084
141,1728.352905
142,1748.718506
143,1775.419678
144,1786.281372
145,1775.872192
146,1760.485229
147,1762.748047
148,1775.872192
149,1762.748047
150,1766.821045
151,1755.507080
152,1779.040527
153,1778.587891
154,1782.208252
155,1751.433960
156,1755.959595
157,1757.769653
158,1762.748047
159,1755.054321
160,1690.337402
161,1750.981201
162,1790.354614
163,1788.091675
164,1768.178711
165,1789.689697
166,1749.128662
167,1722.240356
168,1713.125610
169,1753.686279
170,1765.991211
171,1769.181519
172,1774.194580
173,1766.447021
174,1743.204224
175,1747.761719
176,1755.053711
177,1775.106079
178,1757.787964
179,1785.132446
180,1750.951782
181,1755.509155
182,1776.473267
183,1785.132446
184,1797.892822
185,1792.424194
186,1832.984985
187,1832.073486
188,1821.135742
189,1768.270142
190,1793.791504
191,1745.938721
192,1697.174683
193,1705.833618
194,1726.797729
195,1689.882690
196,1670.741577
197,1719.050049
198,1713.581177
199,1731.810669
200,1693.072998
201,1713.125610
202,1726.341797
203,1717.682983
204,1755.053711
205,1763.712646
206,1761.433960
207,1737.735474
208,1681.679565
209,1661.171265
210,1692.617065
211,1699.453125
212,1710.846802
213,1719.961426
214,1703.555054
215,1673.931885
216,1655.702393
217,1615.597168
218,1636.561035
