,0
0,2844.256104
1,2786.615234
2,2682.403564
3,2736.608887
4,2692.710205
5,2780.889404
6,2832.041016
7,2851.127197
8,2806.083496
9,2872.504395
10,2849.218750
11,2919.074951
12,2860.288574
13,2901.134033
14,2882.047607
15,2833.949707
16,2872.504395
17,2847.691650
18,2817.535156
19,2781.270996
20,2896.171631
21,2924.800537
22,2948.086182
23,2981.678223
24,2964.119141
25,2952.666992
26,2947.704834
27,2979.006348
28,2961.447021
29,2975.188721
30,2996.566162
31,3001.146484
32,2935.870850
33,2871.740967
34,2874.412842
35,2960.683350
36,3011.453125
37,3112.992920
38,3155.746338
39,3196.972900
40,3229.419922
41,3257.667725
42,3285.152344
43,3281.717041
44,3257.667725
45,3256.140869
46,3272.937012
47,3278.662842
48,3324.469971
49,3319.126221
50,3357.680664
51,3334.395264
52,3362.261475
53,3396.616455
54,3353.100098
55,3408.832031
56,3378.293701
57,3348.519043
58,3378.293701
59,3310.345947
60,3325.615479
61,3355.771729
62,3390.890869
63,3418.756836
64,3299.383789
65,3279.879639
66,3304.160156
67,3319.684082
68,3329.635254
69,3318.887695
70,3304.558105
71,3396.904541
72,3427.155518
73,3346.750488
74,3409.243652
75,3368.245117
76,3422.777344
77,3433.126221
78,3450.640625
79,3489.648438
80,3551.344971
81,3634.934814
82,3665.583984
83,3693.048828
84,3652.846436
85,3713.348877
86,3755.939453
87,3754.347412
88,3790.967773
89,3751.958740
90,3798.530518
91,3743.601074
92,3719.717773
93,3619.808594
94,3662.000977
95,3691.456299
96,3626.177979
97,3617.022705
98,3618.216797
99,3589.159424
100,3554.529785
101,3533.433594
102,3470.144531
103,3508.754883
104,3510.744873
105,3520.297852
106,3479.697266
107,3512.336914
108,3477.308838
109,3586.373291
110,3597.916016
111,3669.166260
112,3720.116211
113,3722.902588
114,3691.456299
115,3721.707764
116,3653.643066
117,3695.437256
118,3802.112793
119,3697.825439
120,3697.825439
121,3611.449463
122,3658.020752
123,3666.778320
124,3599.110596
125,3613.042480
126,3597.120361
127,3651.652344
128,3738.824219
129,3751.560791
130,3825.996094
131,3797.336182
132,3799.725342
133,3882.915771
134,3701.009277
135,3727.678711
136,3733.250977
137,3782.210449
138,3799.725342
139,3843.509766
140,3843.907471
141,3885.304199
142,3913.167480
143,3961.728027
144,3953.767090
145,3909.982422
146,3760.318115
147,3822.810791
148,3824.801758
149,3865.799316
150,3840.324951
151,3827.985840
152,3875.352783
153,3861.023682
154,3881.721924
155,3805.297119
156,3861.819824
157,3835.548096
158,3843.907471
159,3667.176025
160,3642.497070
161,3666.380127
162,3726.882813
163,3764.299072
164,3740.017578
165,3613.838135
166,3492.036865
167,3415.214355
168,3365.458984
169,3339.586182
170,3349.914795
171,3267.737793
172,3255.249756
173,3317.285645
174,3272.168945
175,3243.568359
176,3226.649414
177,3274.988525
178,3230.274658
179,3214.564697
180,3179.115967
181,3161.794434
182,3169.850586
183,3213.758789
184,3257.264160
185,3343.066406
186,3341.052490
187,3326.550781
188,3389.794434
189,3400.267822
190,3413.561768
191,3398.656982
192,3424.840576
193,3455.052979
194,3490.098389
195,3553.113770
196,3490.501465
197,3434.508789
198,3434.911133
199,3423.631836
200,3410.338867
201,3420.006836
202,3333.801514
203,3364.819336
204,3355.957031
205,3423.631836
206,3391.002930
207,3384.960449
208,3227.455078
209,3216.578369
210,3251.221924
211,3266.529785
212,3243.971191
213,3237.525391
214,3306.408936
215,3391.406006
216,3315.271484
217,3237.928711
218,3183.949463
219,3191.603760
220,3191.603760
221,3221.815674
222,3245.179443
223,3269.349365
224,3278.211426
225,3317.688477
226,3335.412842
227,3347.497803
228,3273.377441
229,3233.900391
230,3357.971191
231,3459.483887
232,3498.961182
233,3502.989258
234,3490.501465
235,3388.586426
236,3335.010010
237,3339.843750
238,3284.253906
239,3296.338623
240,3347.094971
241,3356.762939
242,3395.434570
243,3340.246826
244,3300.769531
245,3371.264648
246,3402.282227
247,3429.674561
248,3415.575439
249,3440.148438
250,3384.960449
251,3407.921875
252,3363.207764
253,3367.236328
254,3326.953369
255,3397.045410
256,3429.271729
257,3429.271729
258,3478.819824
259,3503.794678
260,3480.833740
261,3552.939941
262,3590.402588
263,3597.654053
264,3622.629150
265,3652.035645
266,3672.982910
267,3653.646729
268,3664.522949
269,3631.087891
270,3627.865479
271,3646.798584
272,3628.671875
273,3569.052979
274,3577.109619
275,3625.448975
276,3585.971924
277,3615.781006
278,3669.760254
279,3661.703369
280,3643.979248
281,3646.798584
282,3747.102783
283,3768.049805
284,3712.862549
285,3708.833984
286,3565.830322
287,3575.900879
288,3396.642578
289,3424.035156
290,3416.381348
291,3356.762939
292,3290.296387
293,3289.893311
294,3388.989258
295,3442.564941
296,3456.664063
297,3373.278564
298,3321.313965
299,3345.483643
300,3434.508789
301,3398.656982
302,3381.335205
303,3393.822754
304,3361.193848
305,3384.960449
306,3391.406006
307,3385.766602
308,3194.825684
309,3154.543213
310,3152.126221
311,2964.005859
312,2906.804443
313,2997.037598
314,3078.811523
315,3165.419678
316,3078.486084
317,2957.405029
318,2741.401123
319,2834.215332
320,2838.856201
321,2504.302490
322,2762.495361
323,2832.949707
324,2863.325195
325,2754.057373
326,2676.852539
327,2710.181641
328,2615.679688
329,3000.015625
330,3223.192139
331,3164.128662
332,2976.812256
333,3100.002441
334,3137.550293
335,3043.469727
336,3140.081299
337,3173.409912
338,3186.488525
339,3186.488525
340,3119.409180
341,3251.036621
342,3225.723633
343,3095.361572
344,3116.877197
345,3220.239014
346,3233.739258
347,3065.829346
348,3178.894531
349,3191.972900
350,3164.128662
351,3172.988037
352,3182.691406
353,3326.975830
354,3108.861816
355,3049.797852
356,3001.281494
357,3036.298096
358,3040.938721
359,3143.456055
360,3100.002441
361,3133.331055
