,0
0,421.576019
1,425.894623
2,416.694214
3,413.971619
4,405.897797
5,404.442657
6,408.385712
7,412.563446
8,412.985870
9,406.508057
10,399.232178
11,398.856659
12,398.058716
13,395.148376
14,400.593536
15,401.109833
16,401.860901
17,405.803925
18,412.140930
19,411.718475
20,421.529144
21,429.086578
22,441.291229
23,438.240082
24,435.141968
25,441.103455
26,436.691040
27,440.681000
28,441.197327
29,438.193115
30,445.844513
31,448.191559
32,442.981079
33,441.197327
34,442.183105
35,443.356659
36,442.605591
37,443.638214
38,443.074982
39,443.121918
40,446.877167
41,449.271149
42,450.773254
43,442.934204
44,437.395111
45,441.056488
46,442.887207
47,442.417847
48,446.126190
49,444.295441
50,449.928375
51,451.054932
52,450.303894
53,448.754883
54,449.224243
55,448.801758
56,450.491638
57,446.595520
58,450.679382
59,452.604004
60,443.028076
61,465.841278
62,468.469971
63,464.808655
64,465.841278
65,466.920929
66,464.714722
67,465.888275
68,467.953674
69,470.347595
70,469.972137
71,467.155670
72,474.760071
73,474.853973
74,475.511139
75,473.070190
76,469.784332
77,475.135590
78,474.196777
79,477.482727
80,478.796967
81,484.336029
82,490.250549
83,494.569122
84,486.401367
85,485.744293
86,483.491089
87,484.899323
88,489.405579
89,494.569122
90,496.916077
91,498.606049
92,507.337128
93,507.243134
94,510.341187
95,515.692505
96,519.353882
97,515.974121
98,521.888855
99,514.941406
100,507.524811
101,502.549164
102,509.359406
103,516.453552
104,517.115723
105,525.439453
106,522.318176
107,526.858337
108,519.007507
109,519.385864
110,530.736511
111,542.087036
112,537.452332
113,533.195740
114,534.141663
115,539.533325
116,533.006531
117,538.398132
118,543.884399
119,534.425415
120,552.208069
121,547.289490
122,537.452332
123,534.709290
124,533.857910
125,539.911499
126,548.613770
127,553.343140
128,548.613770
129,550.316345
130,553.437683
131,542.087036
132,548.329956
133,552.018921
134,540.573669
135,539.533325
136,537.925171
137,536.317200
138,529.885132
139,524.020630
140,506.238068
141,505.765076
142,513.237488
143,513.899719
144,516.642761
145,514.751038
146,514.751038
147,513.048462
148,509.548676
149,506.900177
150,498.765533
151,499.143982
152,503.211243
153,490.252533
154,490.725464
155,489.212158
156,484.482697
157,492.428070
158,484.860992
159,485.617737
160,483.915131
161,496.495483
162,504.535431
163,499.333130
164,499.806030
165,498.481750
166,487.036591
167,477.293945
168,475.875122
169,481.928772
170,490.441711
171,491.009216
172,494.509064
173,490.914673
174,487.698639
175,485.333923
176,489.022919
177,495.644104
178,491.860565
179,503.873383
180,499.427734
181,499.333130
182,501.981567
183,500.373566
184,506.332703
185,506.521790
186,512.480896
187,504.346313
188,507.940643
189,507.278595
190,514.467285
191,509.832367
192,490.441711
193,499.143982
194,505.008392
195,512.764648
196,507.846069
197,514.278015
198,512.859253
199,514.561829
200,510.305328
201,506.805542
202,508.129852
203,510.778351
204,516.264404
205,519.953491
206,520.804688
207,528.371704
208,509.264984
209,505.461487
210,515.920532
211,512.877991
212,511.356659
213,493.481049
214,499.186066
215,529.612671
216,524.287964
217,540.261963
218,532.274963
219,532.465088
220,532.084717
221,541.783203
222,545.396423
223,548.058716
224,558.708008
225,565.744202
226,573.160706
227,567.075439
228,567.645813
229,569.167175
230,559.468750
231,562.701599
232,563.842590
233,568.406494
234,566.314697
235,562.131042
236,564.793335
237,560.039185
238,561.180237
239,564.793335
240,564.603088
241,575.062256
242,576.583618
243,581.718140
244,588.183777
245,599.593811
246,598.072449
247,588.754272
248,596.931335
249,596.551147
250,592.937927
251,589.134644
252,591.036194
253,589.705200
254,589.895325
255,599.213440
256,595.600342
257,587.613342
258,580.577026
259,584.570679
260,609.482422
261,617.089050
262,604.157837
263,603.777405
264,607.390503
265,610.813538
266,611.384033
267,613.095459
268,617.659546
269,612.144714
270,602.446167
271,609.292175
272,606.820068
273,608.721741
274,603.587280
275,603.777405
276,609.672485
277,606.439758
278,614.046326
279,623.935059
280,619.180969
281,623.174438
282,630.781067
283,630.400635
284,634.394226
285,637.056580
286,638.197449
287,643.331909
288,633.253174
289,632.492493
290,629.259583
291,634.203979
292,625.456360
293,637.626953
294,646.755005
295,654.361633
296,657.214172
297,657.023987
298,660.446960
299,666.722351
300,664.060120
301,652.269714
302,653.791138
303,655.122253
304,651.889465
305,657.404297
306,656.073059
307,654.171448
308,634.964600
309,620.892395
310,622.033386
311,603.777405
312,588.564148
313,588.754272
314,594.839600
315,583.429626
316,584.000122
317,570.878723
318,542.543884
319,535.317627
320,532.084717
321,490.438416
322,510.976379
323,489.677734
324,479.028412
325,445.559204
326,451.644501
327,400.204590
328,380.427338
329,412.375183
330,425.781921
331,465.146362
332,446.985474
333,461.913483
334,463.434784
335,435.195221
336,425.021301
337,418.365448
338,449.077271
339,474.084106
340,474.559540
341,482.071106
342,478.838318
343,453.926514
344,454.972443
345,458.585571
346,463.529907
347,437.477173
348,430.916382
349,444.798492
350,442.231323
351,447.651031
352,466.097107
353,486.254761
354,477.239349
355,479.541168
356,474.362152
357,474.841644
358,476.951660
359,499.490112
360,501.024628
361,500.641022
362,495.845581
363,474.937592
364,481.459351
365,485.871124
366,482.610291
367,501.791901
368,499.490112
369,509.272736
370,539.196167
371,539.388000
372,557.035034
373,562.405884
374,565.858582
375,564.515869
376,587.342041
377,569.694885
378,572.572205
379,561.830444
380,554.157776
381,557.035034
382,545.142395
383,537.661499
384,542.456909
385,551.472412
386,559.912231
387,552.815063
388,556.843140
389,564.899536
390,541.497803
391,530.564392
392,508.313660
393,518.479858
394,522.699890
395,523.658936
396,524.617981
397,532.866150
398,529.988953
399,547.636047
400,539.963379
401,528.070679
402,521.740845
403,529.029785
404,541.114319
405,531.331604
406,557.418701
407,551.472412
408,550.705078
409,562.405884
410,564.132263
411,564.707642
412,562.981323
413,548.595154
414,547.444214
415,547.252380
416,543.416077
417,530.372559
418,530.564392
419,537.853333
420,545.526001
421,551.088562
422,554.157776
423,604.797241
424,595.973755
425,591.561951
426,603.838196
427,603.646545
428,595.973755
429,605.564514
430,589.260193
431,587.342041
432,592.329224
433,594.439270
434,595.014709
435,598.083740
436,608.058289
437,606.907288
438,607.866455
439,611.894531
440,625.705322
441,605.180908
442,582.163025
443,599.426392
444,596.549255
445,593.671875
446,592.904663
447,595.206482
448,595.973755
449,602.111877
450,599.426392
451,604.221863
452,602.111877
453,567.201355
454,571.804871
455,584.656555
456,588.492920
457,596.357361
458,594.055664
459,595.398376
460,601.152771
461,612.661743
462,628.198975
463,647.380554
464,641.050659
465,626.856140
466,625.129883
467,641.626099
468,639.707947
469,637.789795
470,636.255249
471,630.117126
472,637.981567
473,648.723267
474,655.244995
475,654.477783
476,642.585144
477,644.503357
478,624.170776
479,620.526245
480,598.851074
481,600.385498
482,592.712830
483,584.273010
484,599.042847
485,625.705322
486,638.940674
487,629.158081
488,640.091553
489,625.513550
490,633.953430
491,622.636230
492,614.963623
493,598.275635
494,602.879150
495,612.086304
496,615.155457
497,613.620789
498,598.659180
499,581.203979
500,574.873962
501,581.587585
502,598.467468
503,599.426392
504,618.991760
505,602.303772
506,606.140015
507,599.426392
508,595.782043
509,601.152771
510,613.045410
511,613.429016
512,617.649048
513,626.280762
514,604.989136
515,624.746277
516,633.761536
517,635.487915
518,624.937988
519,628.774353
520,630.500732
521,616.690002
522,637.022583
523,628.007080
524,624.170776
525,624.746277
526,614.004517
527,618.416260
528,601.344666
529,608.825500
530,605.756348
531,597.700073
532,601.152771
533,588.876465
534,585.807495
535,580.820251
536,581.587585
537,589.452026
538,604.989136
539,602.495544
540,597.891907
541,599.042847
542,586.382935
543,588.684753
544,574.682190
545,585.807495
546,596.740967
547,588.876465
548,589.835632
549,583.889282
550,585.615662
551,585.232056
552,577.559387
553,586.766541
554,596.549255
555,617.840820
556,620.909851
557,616.690002
558,621.101685
559,612.470032
560,594.822937
561,590.602844
562,590.027527
563,581.203979
564,541.881531
565,565.474915
566,572.380310
567,560.104126
568,558.953186
569,542.073364
570,536.702454
571,556.267761
572,547.444214
573,549.937866
574,538.620605
575,536.702454
576,549.937866
577,533.057983
578,544.566956
579,544.566956
580,562.981323
581,569.886780
582,563.364929
583,567.201355
584,570.653992
585,556.075989
586,562.981323
587,558.377686
588,571.229370
589,576.983887
590,578.134888
591,588.301147
592,593.096558
593,576.024841
594,591.561951
595,582.546692
596,592.712830
597,585.423889
598,585.807495
599,577.942993
600,575.257568
601,593.671875
602,593.671875
603,594.055664
604,597.316467
605,586.766541
606,593.626526
607,593.239990
608,580.293091
609,581.259277
610,575.655334
611,586.476685
612,568.312378
613,550.920959
614,550.148071
615,550.534485
616,558.457275
617,549.954712
618,558.263977
619,559.230164
620,580.679565
621,569.085388
622,571.983887
623,580.099854
624,583.384949
625,579.326904
626,582.611938
627,585.124023
628,583.191650
629,586.090210
630,592.853577
631,598.070923
632,599.423645
633,601.549194
634,612.757080
635,624.544617
636,630.921387
637,623.578369
638,633.626770
639,634.399658
640,627.636414
641,630.728088
642,631.501038
643,632.080872
644,642.129150
645,640.390015
646,642.322449
647,637.684692
648,627.443176
649,635.172607
650,631.114685
651,631.694275
652,636.718445
653,638.844177
654,626.090454
655,626.283691
656,633.820007
657,644.448059
658,642.708923
659,640.390015
660,646.573608
661,634.592957
662,631.307861
663,635.559143
664,649.085693
665,650.245178
666,645.607483
667,648.119568
668,653.143677
669,657.201721
670,678.457886
671,694.689819
672,698.941101
673,704.158447
674,704.545044
675,691.404785
676,681.936157
677,683.288818
678,680.003845
679,678.844299
680,674.593201
681,671.887817
682,673.626953
683,683.095642
684,682.902344
685,682.515930
686,681.356445
687,678.457886
688,679.230835
689,680.003845
690,676.525574
691,677.684998
692,696.235718
693,702.226135
694,699.713989
695,706.863831
696,715.366333
697,713.627136
698,711.694763
699,721.163452
700,707.057129
701,710.535461
702,710.148926
703,721.549866
704,705.511292
705,697.201965
706,708.796143
707,712.467773
708,717.878418
709,694.496582
710,669.568970
711,655.849121
712,664.738037
713,663.185364
714,662.408997
715,649.211304
716,659.885925
717,646.494141
718,659.109558
719,650.569946
720,643.388733
721,647.852600
722,664.349854
723,671.142761
724,672.501404
725,675.218506
726,678.129822
727,686.863525
728,690.551147
729,682.011475
730,679.682495
731,686.669495
732,680.458801
733,680.846924
734,670.948730
735,673.665894
736,677.935669
737,678.323914
738,682.011475
739,682.205566
740,683.175903
741,679.294373
742,676.577148
743,688.222229
744,703.554810
745,713.453125
746,712.676819
747,723.157349
748,720.051941
749,741.013062
750,736.937317
751,729.173950
752,734.026062
753,718.305237
754,709.571411
755,718.111084
756,724.709961
757,739.848572
758,722.769165
759,716.170288
760,733.637878
761,755.957581
762,748.388306
763,752.658020
764,748.582336
765,741.013062
766,723.739502
767,723.739502
768,739.072205
769,744.312500
770,746.447327
771,741.401245
772,760.809570
773,762.750488
774,766.438049
775,775.365967
776,776.724548
777,771.484253
778,767.214355
779,759.256958
780,744.506592
781,742.177551
782,710.735901
783,718.887390
784,724.515808
785,704.137085
786,672.307312
787,669.784119
788,639.118896
789,646.105957
790,654.839661
791,648.046753
792,632.520020
793,616.411072
794,618.157837
795,624.756653
796,613.305725
797,630.579163
798,641.253784
799,647.658630
800,618.740051
801,617.187378
802,622.815857
803,621.263184
804,621.069031
805,616.022949
806,616.216980
807,604.377869
808,619.322327
809,609.812256
810,604.960083
811,596.032227
812,592.344604
813,602.437012
814,598.555298
815,597.390808
816,624.368530
817,652.704773
818,645.329651
819,664.349854
820,656.780518
821,627.667908
822,632.714111
823,594.673706
824,625.921204
825,601.272461
826,605.348267
827,611.753052
828,615.052490
829,635.625427
830,645.717773
831,659.303650
832,651.928406
833,639.701172
834,633.490417
835,633.296326
836,629.802856
837,623.786255
838,639.701172
839,623.786255
840,614.082031
841,616.216980
842,637.566284
843,634.849121
844,625.921204
845,616.799255
846,626.503418
847,616.411072
848,622.427734
849,623.009949
850,618.351868
851,604.960083
852,617.187378
853,608.453674
854,602.631104
855,607.094971
856,590.209778
857,587.686646
858,600.989807
859,604.902466
860,600.989807
861,592.577515
862,591.208069
863,546.603333
864,528.213684
865,521.757751
866,536.234741
867,546.016479
868,550.907349
869,548.755371
870,555.015625
871,543.473145
872,531.343872
873,545.038269
874,551.494202
875,544.646973
876,558.732727
877,573.992249
878,582.795776
879,584.556458
880,587.686646
881,573.796509
882,580.839355
883,561.080261
884,563.623596
885,552.668030
886,546.994568
887,533.691406
888,521.953369
889,532.713196
890,519.410156
891,530.170044
892,538.191101
893,544.842590
894,545.820740
895,544.060120
896,565.384277
897,565.579895
898,558.537048
899,559.319641
900,555.993835
901,552.863647
902,553.841858
903,561.667236
904,582.208862
905,584.165222
906,590.425476
907,587.099792
908,584.165222
909,580.252502
910,575.752869
911,579.861267
912,592.381775
913,594.338196
914,601.967957
915,616.640564
916,615.075439
917,609.402161
918,592.968750
919,609.988953
920,630.726257
921,625.639709
922,640.312317
923,617.423157
924,637.769043
925,648.528992
926,630.335022
927,639.921082
928,622.118347
929,641.094910
930,642.464355
931,637.769043
932,640.703674
933,623.683411
934,626.422363
935,627.204834
936,620.553284
937,609.597717
938,596.490173
939,603.141724
940,601.772400
941,588.077942
942,590.425476
943,594.338196
944,580.448181
945,591.990601
946,579.861267
947,603.141724
948,606.271973
949,604.511230
950,616.249268
951,623.879028
952,604.315552
953,593.359985
954,589.838623
955,580.448181
956,573.209656
957,589.447327
958,585.925964
959,559.515198
960,537.212891
961,489.673645
962,494.564514
963,459.414307
964,474.774048
965,475.561737
966,483.143158
967,478.023254
968,473.395599
969,459.611206
970,459.808136
971,446.811401
972,438.540771
973,449.765198
974,459.414307
975,469.851044
976,473.100250
977,453.112854
978,465.814209
979,452.029816
980,464.534210
981,481.863159
982,500.964386
983,489.739960
984,484.620087
985,484.226196
986,491.118378
987,488.164612
988,485.506226
989,499.979797
990,495.647552
991,505.493591
992,512.385803
993,540.348389
994,551.179016
995,548.815979
996,557.283508
997,532.274658
998,531.093201
999,536.803894
1000,536.409973
1001,536.409973
1002,549.997498
1003,560.828064
1004,552.557434
1005,550.391296
1006,543.105286
1007,544.877625
1008,553.345093
1009,554.526672
1010,554.723572
1011,548.815979
1012,546.452942
1013,539.560730
1014,541.136108
1015,541.333008
1016,551.179016
1017,551.179016
