,0
0,464.626770
1,452.215179
2,450.956024
3,450.416351
4,449.427124
5,454.733551
6,469.483551
7,464.447021
8,458.690826
9,450.596283
10,451.135925
11,452.934753
12,451.495636
13,454.553619
14,451.495636
15,445.829498
16,457.251770
17,455.632874
18,456.892029
19,431.708984
20,446.009369
21,450.596283
22,478.117737
23,491.788513
24,481.355530
25,480.276215
26,471.102417
27,480.096375
28,480.815887
29,476.858612
30,483.154388
31,487.831207
32,489.090332
33,485.672638
34,489.450104
35,486.572021
36,482.974457
37,494.486694
38,494.666595
39,488.190887
40,488.190887
41,487.651337
42,497.904419
43,530.462463
44,512.654358
45,504.739746
46,511.035706
47,512.294678
48,519.309998
49,516.971619
50,517.151367
51,518.050842
52,502.941101
53,507.437958
54,507.437958
55,508.337341
56,509.056824
57,510.316162
58,499.523315
59,498.084259
60,518.050842
61,520.928955
62,511.035706
63,512.654358
64,503.660492
65,500.242767
66,504.559845
67,509.056824
68,504.559845
69,502.041656
70,513.193970
71,512.654358
72,514.093445
73,508.517273
74,511.395294
75,502.221588
76,494.486694
77,494.126923
78,488.910461
79,495.565918
80,505.279419
81,518.950134
82,518.770325
83,536.758179
84,548.810120
85,550.069275
86,554.206421
87,549.889526
88,542.334351
89,544.133240
90,552.227783
91,561.401611
92,564.099854
93,569.136414
94,571.474854
95,577.590698
96,575.252258
97,568.416870
98,574.892578
99,578.490051
100,580.648621
101,585.325562
102,578.669983
103,577.051025
104,563.919922
105,557.984009
106,550.428955
107,555.285828
108,543.773499
109,549.349670
110,553.846741
111,562.301025
112,557.444214
113,545.572266
114,588.383301
115,578.849792
116,566.618164
117,558.883362
118,558.883362
119,543.593689
120,553.306946
121,546.651489
122,538.017334
123,544.313110
124,545.032593
125,542.154602
126,558.523499
127,561.401611
128,571.294922
129,564.459534
130,564.916077
131,561.628540
132,560.532715
133,568.934204
134,565.464050
135,569.482300
136,567.473145
137,564.550903
138,560.898132
139,558.888916
140,569.664856
141,577.883789
142,584.459045
143,580.258179
144,572.221802
145,564.550903
146,554.505432
147,544.460083
148,535.510498
149,533.501465
150,532.770935
151,536.241028
152,543.729553
153,543.729553
154,542.633667
155,542.268311
156,542.633667
157,542.816223
158,552.496399
159,555.966492
160,552.861755
161,555.966492
162,557.793091
163,553.774780
164,555.784058
165,564.002869
166,542.816223
167,514.689270
168,504.643829
169,495.511597
170,506.470245
171,504.095856
172,493.867767
173,505.009125
174,496.972809
175,496.607483
176,504.826385
177,518.159485
178,518.159485
179,526.378357
180,521.994934
181,520.351135
182,519.620667
183,515.419800
184,527.656860
185,530.579224
186,531.309692
187,528.752747
188,531.857666
189,543.912170
190,547.017090
191,548.295593
192,553.957458
193,574.413635
194,577.153259
195,585.463562
196,592.677917
197,589.755554
198,589.572998
199,588.659729
200,591.216858
201,586.102783
202,591.947449
203,592.677917
204,590.851501
205,593.591187
206,587.929138
207,587.198669
208,575.874756
209,558.888916
210,554.140198
211,547.565002
212,557.610413
213,561.628540
214,564.733582
215,596.148132
216,602.540649
217,611.672852
218,614.412598
219,603.088623
220,598.339844
221,610.211792
222,608.385193
223,614.229858
224,622.448730
225,627.562805
226,630.302429
227,628.293518
228,627.562805
229,621.170410
230,627.928101
231,634.503296
232,645.279297
233,652.585022
234,666.465942
235,662.082458
236,644.731262
237,575.326782
238,590.668884
239,577.153259
240,581.719299
241,578.796936
242,580.623474
243,580.440857
244,577.518494
245,582.084717
246,598.339844
247,611.124939
248,616.421570
249,607.669495
250,602.141907
251,602.878967
252,601.589111
253,601.957642
254,597.167053
255,603.431702
256,606.195496
257,596.061584
258,587.954346
259,591.086670
260,618.540466
261,637.334412
262,620.935852
263,616.513672
264,609.696350
265,603.431702
266,609.143555
267,620.383118
268,626.831909
269,625.910645
270,624.252380
271,630.148438
272,619.093262
273,615.408203
274,624.805115
275,629.964233
276,636.597290
277,633.649292
278,635.307495
279,634.202087
280,631.990906
281,647.652649
282,644.888855
283,646.915588
284,642.309265
285,654.838562
286,644.888855
287,659.260620
288,644.336121
289,642.124939
290,641.756470
291,629.779968
292,610.617493
293,618.356323
294,656.865295
295,649.126587
296,660.918884
297,650.600769
298,641.756470
299,653.733032
300,657.786621
301,644.704590
302,644.704590
303,649.310852
304,642.493652
305,643.046265
306,638.992615
307,631.254028
308,597.535522
309,580.584229
310,588.691345
311,559.947693
312,558.473694
313,558.289490
314,569.528931
315,570.634460
316,560.132019
317,548.155579
318,502.091980
319,498.406891
320,483.482391
321,425.166046
322,436.958221
323,414.202881
324,434.102264
325,442.854340
326,445.341766
327,434.470856
328,419.638367
329,460.819122
330,474.453918
331,502.829010
332,461.371857
333,474.638184
334,475.559448
335,465.241211
336,473.532684
337,445.710266
338,461.095459
339,491.497467
340,498.867554
341,516.371704
342,509.001587
343,490.115509
344,491.497467
345,515.911072
346,510.383453
347,492.418671
348,498.406891
349,509.922882
350,497.485687
351,517.753601
352,513.607910
353,549.076782
354,532.493896
355,522.820557
356,512.225952
357,515.450439
358,517.753601
359,538.942749
360,536.179016
361,534.336426
362,525.123779
363,509.922882
364,526.505676
365,545.391602
366,548.155579
367,560.132019
368,561.053284
369,561.513916
370,574.872253
371,583.163757
372,593.297729
373,585.466919
374,587.770142
375,615.408203
376,649.955811
377,623.699707
378,636.597290
379,623.239014
380,631.069763
381,617.711365
382,587.309448
383,593.297729
384,595.600891
385,616.790100
386,610.341248
387,616.329468
388,614.947510
389,624.160217
390,624.620911
391,615.868835
392,620.935852
393,620.014526
394,619.093262
395,618.171875
396,616.790100
397,620.935852
398,616.790100
399,628.766602
400,622.778381
401,614.486938
402,594.679626
403,600.667847
404,605.274231
405,601.589111
406,614.026245
407,612.183777
408,609.419922
409,619.553955
410,623.699707
411,624.620911
412,623.699707
413,614.026245
414,614.026245
415,612.644348
416,615.868835
417,608.959167
418,604.352966
419,617.250732
420,620.014526
421,638.900574
422,639.821777
423,643.046265
424,641.203735
425,653.180115
426,666.078064
427,661.011108
428,650.416443
429,657.325928
430,654.562134
431,647.192017
432,641.664368
433,635.676086
434,642.124939
435,631.990906
436,635.676086
437,629.227234
438,625.542114
439,615.408203
440,619.093262
441,597.443359
442,590.994507
443,609.880615
444,608.959167
445,617.250732
446,624.160217
447,633.372925
448,632.912354
449,654.101501
450,655.944092
451,669.302490
452,669.302490
453,649.034485
454,642.585693
455,653.640869
456,640.282410
457,645.810120
458,653.640869
459,654.101501
460,656.404663
461,661.011108
462,661.471680
463,672.526917
464,664.235474
465,666.538635
466,677.133179
467,666.078064
468,678.515198
469,674.830078
470,676.212036
471,670.684326
472,666.078064
473,665.156799
474,676.672485
475,662.853577
476,660.089783
477,672.526917
478,663.314087
479,653.180115
480,634.754883
481,631.530396
482,626.002747
483,631.069763
484,658.707886
485,668.841919
486,676.212036
487,680.818298
488,705.231995
489,723.196716
490,729.184998
491,745.767883
492,749.913452
493,754.059265
494,759.586975
495,757.283630
496,750.293457
497,758.681702
498,747.497314
499,757.283691
500,747.497314
501,736.312805
502,744.235168
503,754.487610
504,770.798279
505,772.196350
506,776.390564
507,767.536194
508,771.730408
509,765.205994
510,760.079773
511,784.312866
512,804.351746
513,807.147888
514,813.206238
515,805.749817
516,813.672302
517,812.740112
518,795.497314
519,811.342102
520,811.342102
521,824.390686
522,824.856628
523,822.060608
524,811.342102
525,844.429565
526,844.429565
527,864.934509
528,873.472168
529,876.286865
530,866.435547
531,856.584412
532,864.090088
533,871.595764
534,856.584412
535,851.424316
536,851.424316
537,856.115295
538,859.868164
539,851.893311
540,841.573059
541,837.820251
542,833.598328
543,830.783630
544,823.278015
545,846.264160
546,866.904724
547,867.842896
548,878.163208
549,879.570557
550,884.730713
551,908.185913
552,912.876892
553,933.986633
554,932.110229
555,953.219849
556,950.405273
557,945.714294
558,934.924805
559,951.343567
560,926.481018
561,926.481018
562,925.073730
563,925.073730
564,910.062378
565,922.259033
566,925.542786
567,937.270325
568,920.382629
569,897.396484
570,902.087585
571,921.789917
572,920.851685
573,924.604492
574,920.851685
575,914.284241
576,933.048462
577,921.320801
578,930.233765
579,918.975281
580,933.517517
581,916.160645
582,917.098999
583,910.531494
584,930.702881
585,928.826538
586,927.888245
587,931.641113
588,949.467041
589,954.158203
590,947.590698
591,946.652405
592,952.281677
593,956.972656
594,971.045837
595,986.057190
596,1014.203552
597,1031.091309
598,1018.894348
599,1002.945007
600,994.501160
601,1005.759521
602,1015.141602
603,1014.203552
604,1002.945007
605,1003.883118
606,1002.945007
607,1000.130432
608,993.562927
609,997.315735
610,997.315735
611,997.315735
612,976.675171
613,942.899597
614,940.084961
615,948.528870
616,957.910950
617,944.776062
618,953.219849
619,937.270325
620,962.601990
621,966.354858
622,976.675171
623,975.736938
624,969.169495
625,934.455811
626,928.826538
627,954.158203
628,956.972656
629,966.354858
630,963.540161
631,966.354858
632,970.107666
633,948.528870
634,940.084961
635,949.467041
636,965.416565
637,968.231323
638,971.984009
639,960.428650
640,934.381470
641,941.485291
642,955.692749
643,963.270203
644,974.636108
645,977.477722
646,982.213440
647,983.160706
648,974.636108
649,988.843628
650,994.526672
651,1018.205750
652,1015.364319
653,1022.941650
654,983.160706
655,1008.734131
656,1010.628662
657,1012.522888
658,1009.681458
659,986.949402
660,971.794617
661,937.696594
662,949.062622
663,965.164429
664,975.583313
665,996.421021
666,987.896484
667,980.319153
668,978.424866
669,968.005981
670,963.270203
671,966.111572
672,968.005981
673,956.639954
674,970.847473
675,972.741760
676,960.428650
677,958.534302
678,966.111572
679,960.428650
680,969.900330
681,969.900330
682,985.054993
683,978.424866
684,975.583313
685,982.213440
686,989.790894
687,988.843628
688,996.421021
689,996.421021
690,1005.892700
691,1007.786987
692,1021.047424
693,1034.307739
694,1024.836060
695,1041.885010
696,1047.568115
697,1032.413330
698,1039.990845
699,1049.462402
700,1055.145508
701,1047.568115
702,1039.990845
703,1059.881226
704,1030.519043
705,1021.994629
706,1041.885010
707,1059.881226
708,1051.356812
709,1039.990845
710,1039.043457
711,1020.100220
712,1025.783203
713,1021.047424
714,1011.575684
715,992.632385
716,1012.522888
717,1012.522888
718,1018.205750
719,1020.100220
720,1016.311523
721,1014.417114
722,1028.624634
723,1039.043457
724,1045.673706
725,1039.043457
726,1040.937988
727,1048.515259
728,1042.832275
729,1041.885010
730,1041.885010
731,1056.092651
732,1049.462402
733,1064.617065
734,1065.564331
735,1077.877563
736,1076.930176
737,1077.877563
738,1143.232178
739,1141.337769
740,1153.650879
741,1147.967896
742,1154.598145
743,1165.963989
744,1180.171631
745,null
746,1177.330200
747,1168.805542
748,1180.171631
749,1185.854614
750,1188.696167
751,1164.069702
752,1163.122559
753,1162.551392
754,1135.891724
755,1154.934204
756,1150.173706
757,1165.407715
758,1133.035400
759,1134.939575
760,1135.891724
761,1161.599121
762,1154.934204
763,1148.269409
764,1128.274658
765,1112.088379
766,1086.380859
767,1076.859619
768,1095.902100
769,1120.657593
770,null
771,1108.280029
772,null
773,null
774,1147.317139
775,null
776,null
777,null
778,null
779,null
