,0
0,319.749237
1,310.353210
2,299.818298
3,302.760498
4,300.008118
5,305.133240
6,311.207367
7,313.675018
8,315.098694
9,314.054657
10,311.397217
11,313.769989
12,310.163391
13,309.024506
14,312.251404
15,302.760498
16,310.353210
17,320.033997
18,314.434296
19,307.600830
20,317.851044
21,321.077942
22,326.962311
23,331.138336
24,336.168549
25,328.480927
26,324.589569
27,324.779449
28,327.816467
29,326.582703
30,337.307404
31,330.189209
32,331.517944
33,323.450714
34,317.091736
35,316.807007
36,315.193573
37,316.996857
38,317.186707
39,319.844147
40,323.071045
41,331.707794
42,338.256561
43,339.205597
44,336.927795
45,335.124542
46,336.643066
47,334.080536
48,333.605988
49,335.504181
50,334.555115
51,335.883789
52,326.582703
53,327.247101
54,324.779449
55,325.064148
56,321.267761
57,314.434296
58,312.251404
59,333.131439
60,329.904510
61,338.541260
62,340.439484
63,337.402344
64,332.656891
65,334.555115
66,335.504181
67,328.385956
68,328.385956
69,327.911377
70,328.385956
71,332.467041
72,329.335083
73,327.626678
74,334.270355
75,328.955444
76,329.335083
77,329.050385
78,328.860535
79,329.429993
80,335.314331
81,337.402344
82,339.870026
83,341.768188
84,344.615448
85,345.279755
86,346.323822
87,348.127075
88,348.411804
89,349.330841
90,348.469238
91,351.149780
92,352.298584
93,352.394287
94,358.904144
95,367.998810
96,372.211151
97,370.009247
98,373.072693
99,370.487946
100,373.359894
101,371.636749
102,369.530579
103,371.062286
104,369.339111
105,371.445251
106,363.020721
107,366.179932
108,365.318298
109,366.467072
110,368.477509
111,374.412964
112,370.487946
113,369.243439
114,366.658569
115,368.764679
116,363.212158
117,363.786591
118,358.616943
119,356.798065
120,362.254883
121,358.999908
122,357.372406
123,354.500458
124,359.095642
125,356.127899
126,362.350616
127,364.552429
128,367.041504
129,370.296417
130,368.094574
131,373.168427
132,374.508698
133,379.295380
134,374.891632
135,381.018585
136,377.380737
137,384.273499
138,381.592987
139,380.348419
140,377.380737
141,380.539917
142,379.103912
143,388.390045
144,393.942566
145,392.506561
146,390.591858
147,392.027893
148,392.315094
149,395.761505
150,393.846863
151,393.080963
152,399.878052
153,401.314026
154,403.420197
155,401.122559
156,401.888458
157,403.228729
158,406.292145
159,405.813507
160,391.166321
161,394.038330
162,395.570068
163,394.612701
164,416.439880
165,427.927887
166,419.790588
167,414.908173
168,416.344177
169,424.002838
170,431.601227
171,432.081512
172,433.522430
173,434.098785
174,429.295807
175,428.431244
176,436.500336
177,440.534882
178,431.985474
179,439.670349
180,429.776093
181,426.413910
182,430.160339
183,428.046967
184,431.601227
185,432.465790
186,441.207336
187,437.268829
188,438.901855
189,439.382172
190,446.970947
191,430.928802
192,418.632996
193,420.073914
194,425.453339
195,418.729065
196,414.694550
197,426.413910
198,431.024872
199,435.347595
200,434.483032
201,435.059387
202,440.150665
203,438.997894
204,444.665497
205,444.473419
206,449.372467
207,445.049713
208,435.155487
209,431.889404
210,437.364899
211,443.512756
212,439.574280
213,441.783722
214,438.613678
215,436.788544
216,433.906708
217,432.273682
218,424.780945
219,435.155487
220,431.697296
221,423.147919
222,428.239136
223,420.746368
224,426.510010
225,424.684875
226,429.872131
227,430.256409
228,436.596405
229,436.596405
230,435.347595
231,429.199738
232,421.226685
233,420.746368
234,421.995148
235,420.554199
236,418.536987
237,419.017242
238,426.798157
239,428.335144
240,426.798157
241,424.204590
242,427.758820
243,425.261230
244,420.650360
245,423.724213
246,431.505188
247,432.561829
248,431.313080
249,429.872131
250,427.374573
251,422.667572
252,418.056641
253,417.480316
254,421.226685
255,423.051819
256,412.869385
257,414.118195
258,418.344849
259,417.768494
260,409.699371
261,424.876953
262,429.679993
263,433.138184
264,435.059387
265,440.534882
266,443.224579
267,442.648163
268,446.490662
269,437.653076
270,435.155487
271,437.653076
272,439.862457
273,434.675201
274,424.973022
275,427.950958
276,437.076721
277,437.268829
278,433.906708
279,438.709778
280,446.010345
281,449.180328
282,456.769196
283,452.926758
284,452.062164
285,454.079468
286,449.180328
287,462.436737
288,451.870087
289,456.865265
290,456.384918
291,452.446472
292,448.604004
293,460.899780
294,471.658569
295,479.343445
296,486.451965
297,482.033112
298,475.501038
299,475.404938
300,473.579834
301,470.121613
302,472.331055
303,472.715271
304,478.767059
305,484.146454
306,483.377991
307,488.373199
308,482.225281
309,473.483765
310,476.077393
311,484.146454
312,464.934387
313,492.984131
314,504.703583
315,501.821686
316,498.363434
317,480.304077
318,451.197662
319,449.852814
320,441.303345
321,405.664795
322,416.711792
323,382.994446
324,384.819611
325,347.259857
326,337.557678
327,360.804413
328,344.474060
329,355.809265
330,326.702850
331,383.762939
332,347.644043
333,370.794739
334,372.523834
335,351.006195
336,360.612244
337,368.201080
338,369.161682
339,379.344147
340,377.711121
341,376.846558
342,388.277832
343,377.038666
344,393.465057
345,418.248749
346,437.076721
347,428.239136
348,435.923981
349,435.347595
350,423.820313
351,445.337952
352,456.961304
353,458.882477
354,455.616425
355,440.919159
356,451.485809
357,452.254333
358,461.187958
359,463.109192
360,459.170685
361,461.091919
362,460.995850
363,442.552185
364,450.621277
365,460.611633
366,467.816162
367,477.134094
368,475.597107
369,477.422272
370,477.806488
371,465.702820
372,474.828613
373,477.230103
374,476.365601
375,477.134094
376,480.208008
377,470.697968
378,464.357971
379,463.877716
380,454.751923
381,468.968933
382,470.025574
383,461.476166
384,466.855560
385,477.902588
386,481.072540
387,486.259888
388,484.338623
389,487.028320
390,488.565308
391,472.427063
392,480.015900
393,490.678619
394,493.752563
395,489.525940
396,493.560486
397,498.939880
398,494.905334
399,502.205933
400,497.787140
401,505.664154
402,501.053162
403,502.398041
404,518.536255
405,520.649536
406,528.142334
407,530.639954
408,532.561157
409,532.561157
410,528.910828
411,527.373840
412,533.906067
413,522.762878
414,523.147095
415,523.147095
416,526.797485
417,535.635071
418,513.156921
419,529.102966
420,515.654419
421,516.422913
422,513.349060
423,524.876282
424,518.152039
425,506.432556
426,518.344116
427,517.191467
428,508.738068
429,514.886047
430,506.816833
431,508.161713
432,507.393219
433,508.738068
434,517.959961
435,516.999390
436,520.265381
437,512.580444
438,512.004089
439,508.161713
440,517.959961
441,497.595032
442,489.525940
443,509.314453
444,515.654419
445,525.068420
446,521.033875
447,523.339233
448,524.876282
449,526.989563
450,523.723450
451,534.866638
452,537.172058
453,517.383545
454,511.235657
455,524.492065
456,518.536255
457,525.068420
458,522.762878
459,526.221130
460,514.501648
461,517.191467
462,522.378723
463,521.418091
464,502.398041
465,506.624756
466,509.122253
467,519.688965
468,524.684143
469,527.758057
470,520.457458
471,508.738068
472,517.959961
473,508.161713
474,511.811981
475,496.634399
476,516.038696
477,532.176941
478,530.832031
479,528.526550
480,516.230835
481,517.191467
482,505.279938
483,507.008942
484,518.152039
485,541.975098
486,548.507263
487,541.590759
488,522.955139
489,509.890778
490,521.225891
491,530.447815
492,521.033875
493,501.629608
494,500.284668
495,496.634399
496,495.289520
497,499.324097
498,484.722870
499,467.431915
500,468.776733
501,467.527985
502,471.466461
503,477.710388
504,472.715271
505,477.614380
506,479.535614
507,475.597107
508,478.671021
509,482.609528
510,478.478912
511,479.823761
512,476.173462
513,481.072540
514,484.146454
515,491.639221
516,492.791962
517,503.742950
518,493.368317
519,495.481689
520,490.486511
521,488.181061
522,505.471985
523,497.787140
524,489.525940
525,507.969574
526,504.511414
527,517.383545
528,510.082916
529,524.107849
530,517.191467
531,508.161713
532,512.004089
533,506.432556
534,500.284668
535,502.974426
536,499.900482
537,498.747742
538,504.703583
539,505.279938
540,504.319214
541,498.363434
542,485.875580
543,482.033112
544,477.998627
545,492.984131
546,498.171356
547,499.516205
548,499.516205
549,490.102264
550,490.294373
551,494.136871
552,489.141663
553,492.407745
554,504.511414
555,507.201111
556,499.708313
557,494.136871
558,489.718018
559,478.863159
560,464.934387
561,462.724945
562,451.485809
563,453.214905
564,448.315826
565,457.153412
566,455.040070
567,458.017944
568,463.397369
569,463.781616
570,448.315826
571,449.852814
572,446.298584
573,451.197662
574,448.988220
575,456.288879
576,466.279175
577,467.816162
578,465.510712
579,468.776733
580,474.924652
581,476.173462
582,471.946808
583,470.697968
584,468.008301
585,473.003448
586,466.567383
587,465.318573
588,480.304077
589,477.998627
590,481.648926
591,495.448120
592,499.332428
593,498.167114
594,495.836487
595,494.865417
596,503.799408
597,505.353119
598,504.187836
599,501.468811
600,497.195984
601,492.923248
602,496.613373
603,491.563690
604,490.981079
605,494.865417
606,487.096741
607,485.931396
608,473.598663
609,471.947754
