,0
0,240.931549
1,240.382553
2,235.284729
3,235.284729
4,230.971176
5,232.461304
6,215.677673
7,219.520660
8,216.069809
9,207.285843
10,208.070129
11,209.481827
12,208.619125
13,211.756287
14,206.972137
15,204.619278
16,207.756424
17,207.834854
18,205.089859
19,206.266296
20,203.913437
21,208.383850
22,209.011292
23,213.795410
24,216.461975
25,216.305069
26,214.579681
27,215.285522
28,214.109116
29,212.932693
30,217.952072
31,214.109116
32,217.010956
33,217.481506
34,218.501068
35,221.716614
36,218.814789
37,222.736221
38,225.481232
39,223.677368
40,225.010635
41,226.343933
42,229.716309
43,229.481064
44,228.147751
45,228.932068
46,230.500610
47,222.657761
48,221.167664
49,222.579376
50,224.461609
51,224.147934
52,225.794891
53,183.914230
54,183.051498
55,183.208389
56,184.463226
57,183.365219
58,181.169235
59,179.600693
60,181.796677
61,183.286804
62,181.169235
63,181.953537
64,178.267380
65,175.522415
66,175.443985
67,177.169388
68,178.032120
69,178.110535
70,175.522415
71,184.227936
72,185.796509
73,183.129944
74,185.561249
75,185.718079
76,184.149521
77,184.541641
78,186.737671
79,182.424103
80,184.855347
81,184.071075
82,184.227936
83,188.698349
84,187.992508
85,187.286667
86,185.404358
87,183.522064
88,183.522064
89,184.463226
90,184.306366
91,183.600510
92,181.326080
93,177.718369
94,178.581116
95,180.698669
96,177.718369
97,169.405014
98,172.698975
99,174.502853
100,174.502853
101,181.326080
102,174.502853
103,172.777420
104,167.757996
105,163.915024
106,165.169876
107,166.032593
108,161.170029
109,162.268021
110,162.424881
111,159.836777
112,157.797638
113,155.131073
114,162.424881
115,156.346710
116,152.974304
117,153.170349
118,155.876129
119,155.601624
120,156.542755
121,156.934937
122,156.856491
123,158.817169
124,158.581894
125,158.785965
126,161.112045
127,162.295502
128,161.601746
129,159.887787
130,159.887787
131,158.255447
132,158.133011
133,162.091431
134,160.051025
135,160.173431
136,159.847000
137,153.440048
138,153.358414
139,154.582657
140,156.214996
141,159.928589
142,161.112045
143,162.825989
144,161.969009
145,163.642181
146,167.559784
147,165.600967
148,164.050262
149,164.376724
150,163.193253
151,162.907608
152,163.560547
153,164.131897
154,163.070862
155,164.213486
156,168.049469
157,168.865646
158,165.927460
159,165.845810
160,164.131897
161,162.254654
162,163.887054
163,161.887421
164,160.499893
165,159.724533
166,159.438889
167,154.664291
168,153.684891
169,155.276428
170,156.541489
171,156.133392
172,154.664291
173,153.276825
174,151.358810
175,144.543777
176,148.951111
177,153.725708
178,158.255447
179,159.806168
180,162.989258
181,160.622345
182,160.173431
183,160.989609
184,163.234070
185,160.051025
186,160.540726
187,161.234467
188,163.193253
189,163.887054
190,164.539978
191,163.887054
192,169.600220
193,173.844269
194,175.803101
195,180.700119
196,179.639099
197,175.721497
198,174.823700
199,175.395035
200,176.211182
201,176.700897
202,173.844269
203,176.700897
204,180.047195
205,181.597931
206,179.394241
207,179.720703
208,174.986938
209,170.008286
210,171.477402
211,172.048721
212,168.784042
213,165.111298
214,167.804626
215,175.150192
216,174.497238
217,176.619278
218,175.395035
219,178.578079
220,176.456039
221,175.803101
222,172.783279
223,174.660461
224,176.782532
225,173.272980
226,173.599442
227,172.048721
228,167.886230
229,166.090683
230,166.988464
231,168.702423
232,167.886230
233,167.723007
234,167.804626
235,164.050262
236,166.498764
237,169.763474
238,168.131104
239,166.969864
240,169.872971
241,173.854370
242,176.093887
243,175.762115
244,175.596222
245,177.835770
246,179.826462
247,180.821823
248,182.895462
249,183.227234
250,177.752792
251,176.757462
252,175.845078
253,177.006302
254,179.162888
255,182.480728
256,185.383820
257,182.812500
258,180.324142
259,180.407074
260,185.134995
261,190.360580
262,190.775284
263,192.517166
264,193.678406
265,193.014832
266,194.424911
267,194.259033
268,195.586166
269,194.424911
270,190.692337
271,192.517166
272,190.111740
273,187.955139
274,191.604767
275,188.452835
276,186.047394
277,182.480728
278,182.895462
279,182.895462
280,178.333435
281,178.831100
282,179.494659
283,179.162888
284,176.176834
285,172.527222
286,171.531876
287,173.937302
288,169.209396
289,170.453583
290,167.882263
291,168.628784
292,167.882263
293,166.721039
294,167.716385
295,168.794693
296,168.462891
297,167.550461
298,166.721039
