,0
0,352.031403
1,347.051849
2,326.026703
3,328.516602
4,322.845398
5,322.983673
6,330.176422
7,329.899780
8,330.453125
9,327.271637
10,329.899780
11,332.251312
12,333.081207
13,338.199158
14,337.230896
15,331.283051
16,340.688934
17,337.922516
18,342.072235
19,337.369202
20,358.532593
21,354.659576
22,361.299103
23,366.555328
24,366.002075
25,364.342194
26,359.362579
27,354.659576
28,355.627808
29,353.829559
30,365.448761
31,367.246979
32,360.745789
33,357.011047
34,361.713989
35,357.841003
36,358.947540
37,362.820618
38,366.140320
39,361.160736
40,366.555328
41,367.938538
42,375.131348
43,374.439697
44,366.416962
45,358.394257
46,367.661865
47,372.503204
48,374.024719
49,372.641510
50,373.194824
51,373.056488
52,369.045166
53,368.491821
54,372.226501
55,375.407959
56,380.802551
57,383.292358
58,376.929504
59,378.312775
60,385.090576
61,385.090576
62,384.537262
63,381.494141
64,358.947540
65,351.478180
66,360.884094
67,370.013428
68,375.961273
69,374.716400
70,379.557678
71,379.142670
72,379.695984
73,373.056488
74,372.918152
75,368.906830
76,369.736755
77,374.993011
78,375.269592
79,375.412201
80,384.957672
81,384.530273
82,386.667389
83,392.508698
84,403.763947
85,410.602570
86,410.317627
87,411.029968
88,418.011078
89,427.129272
90,437.102234
91,440.094116
92,450.352081
93,453.628998
94,455.338562
95,453.343964
96,454.626190
97,455.196198
98,453.771423
99,457.333160
100,451.206909
101,450.921936
102,449.924652
103,450.494537
104,442.231232
105,441.518860
106,435.677521
107,438.242004
108,428.411499
109,434.680267
110,437.244690
111,443.798370
112,440.664001
113,435.677521
114,437.814606
115,435.819977
116,421.002991
117,418.865906
118,409.890228
119,408.607941
120,416.158966
121,415.873993
122,405.188660
123,417.868683
124,413.309509
125,416.728851
126,422.000336
127,425.562073
128,426.844299
129,424.137329
130,420.717987
131,417.298706
132,420.148163
133,432.543152
134,434.822723
135,441.233887
136,437.957123
137,436.389893
138,437.814606
139,429.693665
140,434.680267
141,434.537750
142,442.516205
143,439.239349
144,445.508057
145,447.217743
146,441.946259
147,430.263672
148,426.701813
149,425.562073
150,421.287903
151,425.989471
152,424.849701
153,429.693665
154,427.129272
155,422.855133
156,419.863190
157,424.279846
158,426.986786
159,429.978729
160,426.701813
161,427.556702
162,434.822723
163,431.830811
164,423.567444
165,434.110352
166,430.263672
167,412.739685
168,412.312225
169,411.742340
170,418.153595
171,412.027313
172,397.067780
173,390.086670
174,385.385101
175,378.119080
176,386.239960
177,388.234589
178,382.535736
179,388.519501
180,386.643280
181,380.726013
182,385.488708
183,388.230804
184,394.581085
185,394.003784
186,398.333496
187,397.467560
188,402.663208
189,408.869141
190,410.889679
191,415.796722
192,430.084778
193,439.465790
194,444.517059
195,452.887878
196,454.186798
197,451.011688
198,448.991119
199,450.578705
200,451.300323
201,439.032837
202,435.857727
203,433.404205
204,437.156616
205,442.207916
206,443.795441
207,434.558777
208,422.724213
209,417.672913
210,416.229645
211,414.930756
212,412.910217
213,412.044312
214,416.806946
215,428.497192
