,0
0,517.568176
1,516.331177
2,505.375488
3,512.443665
4,510.676697
5,520.748840
6,531.704407
7,532.057861
8,526.756775
9,520.925476
10,518.805054
11,527.817017
12,520.925476
13,519.688538
14,500.957855
15,518.628296
16,534.708435
17,531.351135
18,529.584106
19,505.552216
20,524.282959
21,528.877319
22,530.114258
23,537.889282
24,548.668213
25,537.182373
26,523.045959
27,533.648315
28,523.929504
29,552.202209
30,558.916992
31,554.852844
32,550.965332
33,551.495422
34,552.732300
35,556.796509
36,555.029541
37,555.559692
38,557.503479
39,553.085876
40,553.792603
41,567.928955
42,576.410828
43,579.061401
44,570.122253
45,576.411072
46,581.801453
47,574.973572
48,588.449646
49,595.457092
50,592.043213
51,592.941589
52,592.941589
53,595.277405
54,591.144836
55,596.355530
56,597.433533
57,596.894592
58,592.761963
59,593.840027
60,597.792908
61,598.152283
62,599.589783
63,596.714905
64,595.636719
65,592.941589
66,600.488098
67,604.800537
68,608.034546
69,605.878540
70,615.581238
71,611.807922
72,615.221802
73,612.167358
74,623.307312
75,615.940491
76,611.987610
77,618.815369
78,612.885986
79,627.799377
80,629.955566
81,635.166260
82,633.728760
83,643.970459
84,633.189819
85,637.861450
86,639.298828
87,634.627197
88,632.111755
89,630.674316
90,633.908447
91,636.423950
92,639.298828
93,636.064575
94,636.963074
95,648.462524
96,656.727722
97,651.876404
98,649.360901
99,650.798340
100,651.696716
101,652.235718
102,638.759766
103,640.017517
104,635.525635
105,646.665710
106,647.564087
107,642.353394
108,632.650818
109,645.946899
110,643.611206
111,663.016602
112,670.922424
113,663.555542
114,676.672119
115,693.562012
116,676.851807
117,677.750244
118,679.547058
119,667.149048
120,674.564819
121,676.375793
122,679.816406
123,663.880432
124,685.430237
125,683.800476
126,683.257202
127,686.335754
128,689.052185
129,695.933533
130,697.020142
131,688.508972
132,697.925537
133,707.885620
134,705.169189
135,712.593994
136,715.310303
137,722.010742
138,720.018799
139,724.002625
140,721.467468
141,726.538025
142,735.592712
143,736.498047
144,742.836243
145,736.135925
146,733.600586
147,733.419434
148,734.143860
149,735.230408
150,734.143860
151,730.340881
152,737.222412
153,737.946716
154,740.482056
155,723.459534
156,727.443481
157,730.703003
158,729.073364
159,739.395508
160,662.793823
161,672.210693
162,666.053467
163,664.423706
164,651.928345
165,667.140076
166,655.369080
167,635.811279
168,636.535706
169,635.811279
170,648.125488
171,640.157471
172,638.346619
173,639.976501
174,626.213440
175,624.583679
176,632.913879
177,629.835266
178,631.646301
179,640.881897
180,628.205444
181,622.591675
182,627.481079
183,624.221497
184,631.646301
185,634.362549
186,634.724731
187,643.960510
188,643.960510
189,640.700684
190,643.598267
191,627.299927
192,601.585022
193,605.750183
194,607.198914
195,604.482544
196,598.144287
197,613.718201
198,620.237427
199,620.418640
200,620.418640
201,609.734192
202,619.513184
203,604.844666
204,619.332031
205,624.945923
206,626.032471
207,618.245422
208,599.411987
209,593.073914
210,605.388000
211,613.899353
212,609.734192
213,615.891235
214,614.804688
215,627.481079
216,629.835266
217,629.835266
218,627.843384
219,634.000366
220,624.764771
221,627.481079
222,622.953796
223,628.748779
224,638.708801
225,640.519714
226,649.211975
227,648.487732
228,651.204163
229,651.747314
230,654.825867
231,649.031006
232,648.306519
233,652.290649
234,662.069580
235,664.423706
236,661.707336
237,664.604858
238,669.856384
239,665.691406
240,667.864380
241,670.761902
242,671.848511
243,651.928345
244,651.928345
245,664.242676
246,677.824463
247,680.178650
248,689.595459
249,684.343750
250,682.532898
251,666.777893
252,662.793823
253,653.920410
254,649.031006
255,656.636780
256,656.817932
257,654.101563
258,653.377075
259,656.455750
260,663.156128
261,672.029663
262,675.832458
263,675.289185
264,674.745911
265,676.375793
266,684.343750
267,685.792358
268,685.249146
269,678.548889
270,678.186707
271,676.919006
272,668.588806
273,666.596802
274,665.691406
275,664.423706
276,672.210693
277,670.037537
278,666.234619
279,664.604858
280,668.407715
281,669.313171
282,664.785889
283,658.266724
284,664.604858
285,690.500854
286,682.713867
287,693.579468
288,681.989563
289,682.532898
290,687.241272
291,675.470337
292,668.588806
293,681.808411
294,690.500854
295,704.988159
296,709.507568
297,710.242371
298,710.793579
299,720.897949
300,724.939636
301,720.163025
302,719.979309
303,719.060669
304,718.142151
305,729.899841
306,715.570068
307,710.793579
308,696.096313
309,678.092285
310,678.827209
311,664.313599
312,626.284607
313,637.674927
314,644.656128
315,646.677002
316,634.551819
317,613.608276
318,576.314148
319,571.353821
320,574.109619
321,514.402222
322,534.610779
323,562.902893
324,531.487732
325,532.589966
326,531.671387
327,510.360382
328,491.254059
329,515.137024
330,539.754761
331,551.145203
332,541.959412
333,551.145203
334,543.612976
335,529.466858
336,508.155884
337,512.748657
338,519.362488
339,534.059692
340,557.391541
341,564.740112
342,573.742065
343,562.351746
344,564.923767
345,580.355774
346,584.765015
347,575.763000
348,572.456055
349,568.598145
350,560.147156
351,565.474915
352,564.923767
353,575.579285
354,587.888184
355,570.435242
356,567.312012
357,576.865295
358,576.497742
359,589.725281
360,590.276550
361,601.666931
362,612.322205
363,568.046936
364,587.153320
365,603.320190
366,610.117737
367,623.528931
368,626.985413
369,629.950684
370,644.592102
371,644.221497
372,642.182800
373,640.329529
374,634.954834
375,627.356079
376,636.808105
377,635.325378
378,639.773438
379,637.734802
380,629.580078
381,630.136047
382,604.189209
383,602.521240
384,599.370605
385,618.460022
386,629.394714
387,628.468079
388,641.070740
389,632.916138
390,639.958740
391,621.425354
392,611.787964
393,619.942688
394,621.054688
395,622.537354
396,620.498718
397,616.421326
398,616.791992
399,630.877380
400,620.498718
401,611.973389
402,608.266663
403,609.563904
404,614.753357
405,615.309387
406,638.476074
407,624.205383
408,630.136047
409,639.588135
410,656.824158
411,655.156128
412,698.338989
413,693.335083
414,679.990906
415,681.658936
416,689.999023
417,665.349609
418,675.913513
419,695.373718
420,687.219055
421,699.821716
422,696.115051
423,709.273743
424,690.554993
425,694.076416
426,705.381714
427,705.010986
428,686.477661
429,690.369690
430,690.925720
431,685.180359
432,683.697632
433,681.103027
434,685.550964
435,684.624268
436,702.972290
437,692.408447
438,686.292297
439,680.361633
440,690.554993
441,669.982971
442,651.449524
443,669.612183
444,660.530823
445,673.504272
446,672.021606
447,664.422852
448,668.870911
449,672.762878
450,673.504272
451,673.874939
452,677.210876
453,663.681580
454,667.758972
455,669.056213
456,662.013550
457,662.384155
458,674.245544
459,680.361633
460,667.944275
461,669.612183
462,667.944275
463,670.909607
464,664.978882
465,661.828186
466,667.017578
467,667.944275
468,670.909607
469,662.384155
470,659.974915
471,651.820190
472,659.418823
473,659.974915
474,655.156128
475,642.738770
476,647.372192
477,643.109436
478,603.077271
479,602.335938
480,584.729126
481,588.621216
482,588.991882
483,579.354492
484,593.439941
485,605.115906
486,611.973389
487,615.124023
488,632.916138
489,633.657410
490,623.093384
491,627.356079
492,626.429382
493,628.653381
494,625.131958
495,631.247986
496,629.950684
497,545.623657
498,537.098267
499,537.098267
500,550.998413
501,555.446350
502,565.083740
503,560.635681
504,544.882446
505,536.171692
506,541.916992
507,531.723572
508,529.684937
509,523.013000
510,528.202332
511,530.796936
512,534.503601
513,543.029053
514,533.020996
515,537.654358
516,545.438354
517,544.326355
518,537.654358
519,548.218323
520,543.770386
521,541.361084
522,553.037109
523,546.550354
524,539.322327
525,545.253052
526,539.693115
527,537.468994
528,533.576965
529,542.102295
530,537.654358
531,525.978271
532,524.124939
533,534.261719
534,534.261719
535,529.533691
536,529.722961
537,541.826416
538,568.492310
539,573.976807
540,577.570007
541,577.191833
542,584.945679
543,567.546753
544,557.712463
545,570.572693
546,572.274719
547,564.331665
548,564.899109
549,559.414612
550,560.171143
551,557.901672
552,556.010437
553,557.901672
554,558.090759
555,570.761658
556,567.357666
557,563.764343
558,571.329163
559,563.196960
560,549.391296
561,548.256531
562,542.772156
563,540.880981
564,528.209961
565,538.044128
566,541.070007
567,547.878357
568,564.520813
569,558.468994
570,559.225525
571,570.194397
572,556.199646
573,566.979370
574,558.658142
575,555.821350
576,563.764343
577,549.580383
578,548.067444
579,554.686646
580,555.632141
581,566.790222
582,568.681396
583,570.950867
584,573.976807
585,573.598511
586,573.220276
